"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46","NNS47","NNS48","NNS49","NNS50"
0.2412,-0.258,-0.2459,0.4824,0.4624,-0.2288,0.3336,-1.3092,-0.2868,0.3136,0.6928,-1.3092,-0.3724,0.5989,-0.43,0.1792,0.1101,-0.3414,0.5749,-1.0177,0.7298,1.2024,-0.3949,1.083,-0.7107,0.1116,2.5886,-2.1571,0.4362,0.0301,0.5162,0.8772,2.7783,-0.2499,1.3001,0.4673,-0.0922,-1.2732,-1.305,-0.164,-0.3659,-0.183,-0.1715,0.0685,-0.681,-0.4345,0.9537,-0.804,-1.452,1.8125,0.8086,-0.12,0.5611,0.7886,-1.0468,-0.0707,-0.2425,-0.6668,0.196,-1.7569,0.6839,-0.0847,0.8537,-1.8357,1.7365,-1.0015,-1.0184,1.1457,-0.5108,0.4407,0.9606,-0.0743,-0.2773,-0.462,-0.6947,1.6154,-0.1216,0.5893,-0.2648,-1.5598,-0.1815,-0.77,-0.8892,0.2284,-0.843,0.6918,-0.6097,-1.3003,1.0677,-1.4325,0.3343,-0.1688,1.0641,1.013,-0.3747,-0.7638,-1.6885
-0.7169,-0.7657,0.6146,-0.9816,-0.4054,0.8272,0.2851,-0.5006,0.7763,-0.4479,-0.1074,-0.5966,0.2271,1.2436,1.4863,0.2558,-0.1975,0.5572,-2.9626,-0.6045,0.764,-0.9527,0.6471,0.683,-2.0491,-1.586,0.056,1.4108,-0.0554,0.0145,0.0658,-0.7586,1.5788,-0.2768,0.7301,-0.4016,-0.3304,-1.2066,0.0051,1.5048,2.1371,0.2406,-1.1723,-1.5574,-0.0045,1.2171,0.5241,1.5937,0.4331,0.0327,0.0021,1.0032,-0.1254,1.2644,1.5602,-0.927,0.4937,-0.3809,-0.7349,-0.5881,-0.755,-0.0796,-1.0677,-0.378,0.7401,-1.3009,-0.2949,0.838,-0.0066,0.4725,1.3234,1.3501,-1.1158,1.3406,0.6423,-1.0415,-1.1022,-0.3513,-1.1,-1.0507,-0.2061,-1.1315,2.2228,1.2865,-0.8312,-0.1584,2.2753,0.2492,-0.9932,2.2675,-0.9387,-2.2493,-1.6176,1.8046,0.3671,-1.2315,0.4543
-1.1895,1.4169,0.1559,1,-2.061,-0.9333,-0.0952,1.3138,-0.163,-1.0591,0.3573,-0.4812,0.0467,-1.589,-1.5302,2.0106,1.2753,0.8515,1.0632,1.3947,0.9293,2.1836,-1.7593,1.4617,0.4505,-0.4421,-0.2644,-0.6491,-1.0301,-1.4749,0.3002,-1.1471,-1.7407,-0.2845,0.2875,-2e-04,0.0669,-0.9503,-1.166,-1.0238,-0.8083,1.1453,-1.7003,0.5481,0.5266,-0.115,-0.4422,1.1928,1.1579,0.2287,-1.1972,1.942,-0.8993,0.2805,0.7464,0.1714,-0.7274,-0.4132,0.0189,-0.448,0.0104,1.527,-1.6471,0.9564,-1.6306,-0.0796,-1.4281,0.2547,0.0241,-0.2042,-0.0793,0.3626,-0.0415,-0.6059,0.021,0.728,0.5222,-1.1033,0.3729,-0.1072,-1.2726,0.1848,-0.7446,-1.308,1.3451,0.2799,1.8427,-0.4719,0.2663,-0.6827,-0.3694,-0.9511,-1.1057,0.864,-0.3288,-1.1025,-2.8784
-0.165,0.9754,-0.9426,0.1936,0.1499,0.855,1.0759,1.2728,-0.9877,-1.687,0.4733,0.9169,-0.8818,-0.211,1.1455,0.4294,-0.0764,-1.37,-0.9779,1.2914,1.1327,-0.5205,-0.3923,0.8284,-0.2541,0.2059,-0.3311,0.7186,1.3543,0.6188,0.02,0.8111,-0.6596,-1.7599,1.217,0.7561,-0.378,0.4568,-0.4636,0.9004,-0.7364,-0.4117,-0.4163,0.5097,1.0894,0.205,-0.119,0.0071,0.9586,-0.7603,0.7034,0.0687,1.3517,-0.5607,-0.6459,-1.1568,0.7277,-1.028,-0.2195,-1.2978,0.7593,0.047,0.6942,0.6555,-0.3604,-0.0361,1.1129,-0.6832,1.0665,1.2458,2.0279,1.3457,2.4353,0.1613,-0.1086,-0.2767,0.5225,-0.0689,-0.2127,0.3636,0.7082,0.0667,0.2812,-0.2172,0.0421,-1.1887,1.1398,-0.2815,-0.9712,-0.0492,0.317,-0.7933,-0.0834,-0.4208,0.2061,0.0931,1.6135
0.9934,0.7795,0.231,0.6628,-0.3832,1.4149,-0.3141,0.4755,0.0728,1.976,0.4451,0.6528,-0.3683,-0.6362,-2.1027,-0.2378,0.6734,-0.6865,1.8383,-0.2689,-0.2942,0.6354,0.5661,0.165,-0.0583,-0.3456,2.0233,-1.3417,2.1006,-0.8555,-0.8495,1.4709,-0.6307,1.0245,0.9186,-1.7751,-0.838,-0.5903,-0.1334,0.4332,-0.4328,-1.1503,0.134,0.744,-0.4841,0.2304,-0.8307,-0.4643,0.7378,-0.4413,0.1864,0.8105,1.6057,-0.6821,1.5351,-0.2621,-0.2503,-0.2817,-1.2773,-1.1686,-0.2994,-3.041,1.4942,0.9515,1.0659,0.5226,0.2846,0.2843,0.7549,-1.6734,0.228,-0.2349,-0.1779,0.018,-1.7016,1.6998,0.2262,0.4006,-1.3353,0.254,-0.8464,-0.1333,0.0496,-1.1354,0.4684,-0.1901,-0.2518,2.0444,-1.032,0.0924,1.8397,-0.1092,0.7134,1.5715,-1.2007,-0.8885,-0.0693
0.1503,1.4598,0.4302,-0.2757,0.5626,1.6615,-0.847,2.3361,-0.3747,-0.8675,-0.4612,0.7315,-0.4892,-0.1661,0.2316,1.9708,-0.2031,0.8738,1.8773,0.0465,0.5217,0.3456,-0.3561,-0.5906,0.7214,0.4471,-2.3182,-1.2096,1.0102,-1.233,0.4647,-0.3659,1.0641,-0.6667,-0.6044,0.5051,-0.1452,-0.7226,-0.038,-0.7578,-0.2058,-1.5941,1.9134,-0.2487,0.5882,-0.0976,-0.7976,-0.5474,-0.3402,0.0709,-0.3614,-0.1264,-2.4177,0.3159,-1.356,-0.4715,-0.313,-0.7599,0.5127,1.4419,0.4238,0.9738,-0.0841,-1.2469,0.3812,-0.4402,1.2815,1.0546,1.3006,-1.4318,-0.3247,-0.8665,0.2889,0.8652,0.9131,-0.6505,-0.0048,-0.2702,-0.2684,-1.0707,-0.2405,-0.1271,0.4602,-1.3593,-0.4107,0.544,-0.9046,1.6346,0.7566,-0.3342,-0.6767,1.2963,0.2112,1.1388,1.069,-0.9812,-1.8006
-0.4536,-0.8594,-0.9383,-0.5459,1.162,0.1838,0.6359,0.125,-0.2823,-0.9407,-1.1887,0.7317,-0.1029,1.6781,0.2063,-0.0627,-1.2726,-1.1263,-1.3808,-0.4935,-1.0734,1.9315,-0.4524,0.1277,-0.7979,-0.3501,0.3322,0.7604,-0.7604,0.6415,-1.1014,1.2437,2.0139,-1.0846,-0.6777,0.7947,1.4,2.0287,0.1873,-0.2859,0.3492,-1.6922,-1.5409,-0.1053,0.7794,-0.8281,0.4811,-0.4964,2.4229,0.7722,1.0695,0.847,-0.7979,-0.3965,0.861,-0.8262,1.0037,0.0326,-0.7351,0.7101,-0.8512,0.8874,0.6069,-2.1027,-0.7451,1.6862,-1.0238,-1.4917,-0.6935,1.3786,0.9029,1.0896,-1.252,0.5723,0.7335,1.053,-1.1208,0.4034,-0.5798,1.5499,-0.6848,0.1528,-1.1064,-0.5654,0.3114,0.9867,-1.6365,-0.0183,0.8156,-2.6435,-0.7997,-0.0834,0.4631,0.3255,0.2852,-0.522,-0.192
3.4528,0.3839,0.5144,-0.0098,-0.5503,-0.1456,0.5121,1.1478,2.703,-0.8078,0.3385,0.15,1.9462,2.1,-0.1206,-0.2595,2.5312,-0.1999,0.1853,-0.1481,0.6651,0.032,0.7182,-1.9644,-0.4984,0.2492,1.1446,-0.5518,0.1991,0.6308,-0.411,1.2897,-1.3982,2.1066,-1.0327,-0.2385,0.5692,0.9983,-0.2743,1.1339,0.88,0.6682,0.0316,0.6895,0.2653,0.1682,0.6694,1.0868,0.8231,-0.5305,0.0464,0.3329,0.5345,0.0506,-0.1656,-1.1827,0.8827,2.1689,0.8036,0.9357,1.1059,-1.8784,-0.8699,-1.372,0.1674,0.298,-0.7968,0.8792,1.96,1.1039,-0.3424,-1.4537,0.2139,0.1386,0.5594,-1.1019,0.6965,-0.2154,0.4288,3.785,-0.3601,-0.5827,0.8407,0.9445,-0.6896,1.2342,-0.4454,1.1395,1.2913,-0.1176,-0.4236,1.8523,-0.2939,1.5381,0.5789,2.4393,-0.4201
1.7603,0.4532,1.2027,-0.8286,0.3778,0.9783,-0.2036,-1.1212,-0.0769,0.005,-0.2177,1.0905,1.0578,0.1647,0.6962,0.3836,0.3839,1.1497,0.246,0.7116,0.9216,0.5219,-0.4185,-0.4308,1.0434,1.0409,1.6847,0.1601,0.1026,-0.3067,-2.5239,-0.8021,-0.5795,2.0786,1.2677,-0.2478,0.5999,0.0654,0.1375,-0.0546,-0.8451,-0.6249,-0.234,0.4134,0.45,-1.4943,0.5869,-0.305,0.0337,0.4303,-0.9788,-0.405,1.4636,-0.2297,-0.7341,0.6245,-0.254,-2.0165,0.1585,-1.4344,-0.9257,-0.4549,-0.1806,0.4033,0.1258,-0.3274,-1.7196,-1.0306,0.5263,0.3939,-0.2273,1.4912,-0.3465,0.4423,0.5691,0.4633,0.3497,1.8034,-2.1022,-0.2818,-0.4777,-0.5547,-0.5957,-1.2636,-0.1195,1.449,-0.0664,-1.4224,-0.5902,1.7067,-0.2311,-0.75,-0.5624,1.1393,0.6196,-0.3938,0.4374
-0.1333,-0.1483,0.5732,-0.7452,0.2774,-0.8103,-0.4531,-0.9057,0.5053,-0.0638,0.1398,0.1145,1.4582,-0.8341,0.9832,-0.1424,2.121,-0.8259,0.7312,0.7567,-1.5087,-0.8486,-0.913,2.2034,1.44,0.0107,-0.3116,-1.4959,-0.6271,-0.367,1.052,0.5122,-0.6323,0.9787,-0.2776,0.4293,-0.544,-0.2211,-0.302,-0.5442,-0.3373,0.9597,0.8333,-0.3803,0.2833,-1.296,-0.976,-0.7066,0.8878,-0.4741,-0.3725,0.3823,-0.255,-0.0189,1.6128,1.188,1.0746,0.3861,0.278,-0.5897,-0.9153,-0.0633,0.5449,0.8587,-1.3172,0.3815,-0.5045,2.3474,-0.8706,0.0316,0.9775,-0.9156,0.1285,-1.2397,0.3425,-0.9568,-0.9764,-0.223,-2.7536,-0.0406,1.9957,-0.3952,-0.3628,0.1052,1.572,1.1271,1.4633,0.2756,-0.6081,-1.3008,-0.8337,0.4349,-1.0567,-1.4332,0.6687,-0.3009,0.43
1.8178,0.9978,-0.4054,0.187,1.0713,-0.7703,-1.1251,0.9889,-0.2976,0.3294,-0.7877,-0.0614,0.1986,0.5894,-0.7982,1.0659,1.2628,1.1221,0.0207,0.3815,1.2416,0.84,0.1057,-0.7002,-1.1841,-0.7496,1.8989,0.1385,-0.8264,1.0361,0.8723,0.4484,0.2906,-0.6212,-1.703,-0.0132,0.5019,2.0008,0.4895,-1.0342,1.9952,-2.1796,0.39,-0.8086,-0.5499,-1.8391,-2.0588,-0.9589,0.8583,-0.5926,-0.2647,-0.1532,0.0368,0.2552,-1.0896,1.1726,-0.9906,1.0628,-0.167,-0.8089,1.176,0.6574,-0.2121,-0.858,1.5205,-1.9753,-0.9136,0.7354,-0.1466,-0.8818,0.8079,-0.2165,0.8929,1.0224,0.1588,-0.3948,-0.6455,1.7298,-1.0477,-0.3534,-0.1885,0.5037,0.7107,1.2956,0.0203,-0.9441,1.1139,0.471,0.4972,-0.0626,0.7548,0.6312,1.5687,0.6767,-1.9811,0.8277,-0.6325
-1.0124,-0.3943,0.909,1.0862,-0.5548,0.6889,-0.9114,1.8103,-1.1421,-0.6937,-0.2479,-0.632,2.0439,-0.98,3.1422,0.6138,-0.0017,1.8146,-0.9909,-0.7225,0.3569,-0.5544,0.2947,0.8839,0.4108,-0.7935,-2.5373,1.501,-0.4886,0.185,0.5501,-0.7262,0.8593,0.666,-2.2365,0.9737,0.041,0.2058,0.2079,-1.0404,-0.9662,-0.2985,-0.1837,-0.0397,0.7623,-0.5992,-0.0418,-1.7508,-1.3274,1.4526,0.5563,-0.5242,0.4499,-0.3441,1.0148,-0.7484,1.148,0.6614,-0.0769,-1.7744,0.3357,-1.2576,2.4232,-0.6699,-1.2055,-0.838,-0.0781,-0.5552,1.9967,-0.2347,1.0197,-2.7867,-1.4149,2.1393,0.3598,0.4569,-0.0345,-2.0628,0.9895,-0.3578,-2.1254,1.0369,-0.0295,0.7829,-0.1403,1.2661,0.3598,0.3834,-1.0831,0.0988,-2.8835,0.6803,-1.0947,0.9543,1.2827,-0.2636,-0.3019
-0.427,-0.9469,0.0754,0.1111,-0.5461,1.9555,0.309,-0.1155,1.0727,0.0103,0.8549,0.0591,-2.1778,-1.0075,-1.7158,0.2064,1.4348,-0.2597,1.3921,0.7388,1.4791,0.4236,0.9147,1.1573,1.0334,-0.0852,0.7049,0.9944,1.5717,1.0857,-0.8259,-0.6703,-1.8032,-0.5308,-0.3828,-0.8332,-2.9731,-1.7389,0.2479,0.2094,-1.7564,0.2648,-0.3046,-0.7026,0.0153,-0.0826,2.8363,0.8571,-0.1826,0.9814,-0.2765,-0.6143,-0.9722,0.4613,0.7299,0.0913,-1.1091,-1.641,-0.0735,0.2096,0.8501,-0.3968,-0.6949,1.2176,0.2441,0.5467,-2.3682,-0.1045,1.2303,0.589,2.3607,0.2501,0.1283,-0.511,-0.6385,-0.6645,1.3117,1.442,-0.6161,-0.2574,-0.6303,0.9336,0.2725,-1.3564,1.4019,-1.3442,0.6012,1.2348,0.6905,0.3294,2.1421,-0.0056,-0.3001,-1.5572,-0.5182,-0.6947,1.2194
2.0241,0.6771,-1.3425,0.0955,0.2871,-0.6068,0.3312,-0.5083,0.4755,-1.3397,0.7447,-0.5577,-1.2003,-0.6638,-1.0824,-0.3103,-0.8298,-0.478,-0.4145,-1.7964,1.762,-0.9834,-0.4282,0.8949,-0.7638,-1.6606,1.3219,0.4544,-1.1799,-1.1634,0.7018,-0.2296,0.2594,-1.5865,-0.0314,-1.5204,0.2337,-0.1035,-0.149,-0.4139,0.3018,-0.0976,0.4425,1.6549,-0.3794,1.69,-1.3518,-0.5068,1.3047,0.5252,-1.287,0.3583,-0.046,-2.0943,0.6601,0.6709,0.8719,-0.1041,-0.0875,1.1714,1.8437,1.321,-0.4704,1.1696,0.2202,-0.8035,-1.2743,-0.9683,0.4246,1.1313,-0.3162,-0.0728,-0.1768,-0.6712,0.3905,-0.7362,0.7976,0.3062,2.4407,-1.0432,-0.1796,0.5234,-0.1604,-2.2486,-0.6242,1.3287,-0.6475,-1.0857,-0.6674,0.8211,-1.0078,1.4057,-0.176,-0.465,-0.7415,0.4618,-0.9037
0.1854,-1.1442,0.5951,0.5699,-0.5353,1.1293,-1.7192,0.2286,-1.326,-0.6506,0.7759,0.9818,0.0051,-0.0199,-0.0167,0.6526,-0.2861,-0.0496,1.4413,0.8107,-1.3838,1.4058,-0.544,1.2881,2.0614,-0.5654,-0.3561,-0.557,0.0581,-1.0838,-0.8886,0.0319,-1.3223,-0.1343,-0.5279,-0.4037,1.9402,-2.4572,-1.3195,-0.4692,-0.5481,0.1652,-0.5382,-0.4219,-1.3223,-1.5331,-1.2771,-0.2952,0.2056,-0.8412,0.5081,0.2295,0.0691,1.9595,-0.4114,0.4409,0.5356,-1.0914,-0.4866,-0.2364,0.6204,-0.2427,-1.2123,0.2019,-0.104,0.9318,-0.0888,0.1292,0.1783,0.516,0.7071,1.1395,-0.0469,2.946,-0.909,-1.576,-0.2006,-0.3141,0.962,1.5646,0.0503,0.7821,0.4422,1.0511,0.7039,1.2913,-0.8538,0.1623,1.6703,-0.1831,1.2113,-1.4487,0.3252,0.3954,-1.6879,-0.0359,0.2472
