"target","NS1","NS2","NS3","NS4","NS5","NS6","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40"
0.0557,0.3775,1.3735,-1.5088,0.197,-0.5672,0.3097,-0.0165,-0.1915,-0.5361,-0.3951,-2.1755,1.201,-2.8666,0.7882,0.4169,1.6376,0.3473,0.3893,-0.0937,0.9566,1.1533,-1.0956,0.1756,0.6534,0.6446,0.6351,0.7607,1.0419,1.2033,-1.4074,1.6891,0.3207,-0.8051,-0.1204,0.1311,-0.5909,1.6989,-0.6844,-0.7794,1.0938,-0.1091,1.6692,0.9277,1.3636,-0.6936,2.1085
1.8181,1.5809,0.5041,0.8275,-0.7287,0.441,1.443,-1.4685,-0.2097,0.0137,-2.5245,-2.994,-1.4101,1.6436,0.0659,0.3492,-0.6564,-1.626,1.7164,-1.4607,-0.1736,-0.1599,1.8566,0.4005,0.0579,-1.1135,0.273,-0.3161,0.1203,-0.376,0.3988,0.1698,-0.2421,0.9199,-1.6569,-0.329,-0.8699,-0.0518,-0.7818,-0.2788,-1.6581,-0.8727,-0.581,1.6408,-0.5334,-0.6327,1.4743
-0.3337,0.4091,-0.4026,-0.8079,-1.3713,0.1988,-0.3261,1.8084,-1.2991,0.1885,-0.9285,-1.8031,-1.7213,1.0826,1.4274,-0.6908,-0.9443,0.8214,0.4041,0.2471,0.5753,0.099,0.5784,0.4935,0.6312,0.2314,-0.6732,-0.7144,0.3424,-2.1375,0.8008,-0.5968,0.008,-0.1471,-0.1138,0.7461,0.768,-1.4235,-0.3129,-0.9833,-2.7434,-0.6573,1.9017,0.8465,0.4011,-0.2512,-0.5607
-0.3798,0.2963,0.7071,1.5263,1.478,-1.437,-1.0136,0.1598,-0.4428,-0.3815,-1.7593,-1.214,0.6654,0.0073,-1.1117,1.6845,-1.9735,1.6236,-0.2625,0.4686,0.0888,-0.6355,1.4888,-0.4588,-1.4333,-0.2618,-0.5276,-0.7084,-1.2444,-1.5223,0.4638,-2.2089,-0.2353,0.6836,1.9124,-0.5629,-0.6159,-0.3829,1.3974,-1.0765,1.7759,-0.6904,0.1231,0.4901,1.3792,0.0278,-0.5877
0.4796,0.4367,-2.5457,-0.1504,-0.318,0.9238,-0.9411,-0.3496,-0.1783,1.7403,-2.3442,-0.559,-0.4308,0.3256,2.139,-0.7956,-1.444,0.3691,-0.2269,-0.2959,-1.2578,-0.7659,-0.6858,-0.1108,0.2964,-0.3596,-1.1299,0.7818,1.4859,2.0256,0.9369,-0.3807,0.9178,0.4381,-2.1908,0.1737,-0.432,-0.6037,-0.1386,0.5512,0.7174,0.6109,2.1178,-0.934,0.7749,-0.4572,-0.617
0.5558,1.2452,-0.6488,0.5189,1.2396,0.5961,0.0496,-1.0012,-0.9573,-0.308,-2.6159,0.38,-0.329,0.082,-1.5482,1.2205,-1.1586,0.2473,0.7446,-0.4213,0.1877,1.3219,2.5266,-0.5918,0.3636,1.0112,0.5801,-0.7369,0.1088,-0.4231,-1.8283,0.7348,-0.0768,-1.9747,0.6502,-0.2546,-0.1087,-1.7897,-1.8018,0.2634,1.7821,0.4743,-0.8895,0.1445,0.7737,0.7645,2.5706
0.2583,1.14,0.0789,1.3508,-1.9929,0.3798,-1.3183,0.9311,-0.2635,-0.0027,-0.5691,-1.2929,1.5633,0.3006,-0.6453,1.6389,-0.1371,0.5431,1.0631,1.7092,0.1824,-0.6562,-0.7578,-1.4253,0.6217,-0.0145,0.2553,0.1101,1.0098,-0.1798,-0.1097,0.7687,1.612,-0.9431,0.3219,-1.1673,1.0103,-0.1,-0.8149,0.0509,0.4075,-0.3651,-0.6727,0.6183,-0.3741,1.3427,-1.9228
2.1492,-0.5682,2.0702,1.1446,2.021,-0.0314,1.1976,0.1924,-1.1634,0.6793,0.3488,-2.0649,-2.5959,-0.204,0.46,0.9866,1.455,-1.2034,-1.053,1.0227,-1.0406,-0.2212,0.854,-0.565,-0.2851,-0.6392,-0.7752,0.2791,1.7953,0.0629,0.6557,-0.6154,0.7397,-0.5293,2.612,0.3981,1.6684,1.4744,0.4989,0.0508,-0.0037,0.2528,0.1474,0.4518,0.4886,-0.7264,0.342
-0.4617,0.116,-1.1557,-0.0838,-1.0781,-0.698,0.2714,0.4907,-2.7871,0.709,-0.888,0.3,-0.9425,0.7017,2.0254,-1.5938,-0.179,-0.1763,0.4329,-1.7075,-0.4072,-1.2624,-0.5515,0.9262,1.9286,1.9982,-1.105,-0.9925,-1.2194,-1.1502,0.0757,1.6367,-0.0986,0.8158,-0.5604,-0.49,-0.3652,0.4252,-1.0512,1.2963,0.355,0.4422,-0.4268,-0.653,-1.0835,0.7143,-1.2758
0.4844,-0.2786,-0.7297,1.176,-0.2773,-0.9399,-0.3353,0.2923,-0.1338,0.1334,0.2204,0.1913,-0.0516,0.6694,-0.2685,-0.0435,0.3306,-0.4788,-0.4788,-0.3134,0.078,0.0822,-1.6502,0.2442,1.4948,2.1038,-0.8617,1.3063,-1.1281,-0.1372,0.1597,0.5549,1.1028,-0.37,-0.4721,-0.3891,0.4888,-0.3124,-0.8112,0.0561,-0.681,-0.3212,-0.5393,-1.134,0.4947,-0.0827,-1.0429
-1.3932,-0.7719,-0.5075,-0.6352,0.8015,-0.9619,1.2544,1.0184,-0.1615,-0.1407,-1.1155,-0.7705,0.639,2.0174,0.5544,-0.044,-0.0612,1.8599,0.2962,-0.2684,2.8011,-0.1504,1.415,-0.2681,-0.3566,-0.9492,-0.422,-0.4502,0.7921,-0.4195,0.6104,0.037,0.0372,-0.1917,-0.2406,-0.5092,-1.2294,-0.4435,1.5353,0.7258,1.3725,-0.3984,1.4772,0.6978,0.3891,-1.2359,0.8146
-1.7175,-0.4548,-0.4974,0.3112,0.2533,-2.3549,0.241,0.4704,-1.5744,1.0149,1.2711,0.228,1.0291,0.7366,-0.5991,1.3201,1.8446,1.4067,-0.9234,0.2231,-0.16,1.0227,-0.3293,-0.0926,-0.6284,1.0034,-2.359,0.5921,0.9095,0.7625,0.9436,-0.1974,0.3276,0.3333,-0.1116,0.1925,-1.5234,1.177,-0.955,0.1573,-0.4888,1.3613,-0.9014,-0.0585,0.6064,-1.4991,0.9832
0.6745,0.0627,0.224,-0.5427,-0.7204,1.9187,-0.2975,-0.0241,0.5202,0.3494,-1.2533,-0.3476,1.381,2.347,1.2016,-0.6486,0.1528,0.8533,-0.7674,-0.01,-1.6562,-1.276,-0.7679,1.3048,1.1379,0.7651,0.0265,-1.8373,-1.2103,0.0167,-0.9012,-0.5636,-0.2656,-0.083,-0.7527,-1.9672,0.6104,0.5864,-0.828,-0.4814,-0.3295,-2.1998,1.7497,0.1272,0.917,-1.0034,-0.3442
0.0967,-1.7596,0.4117,0.4038,-2.3584,1.0618,-1.7257,-0.0553,1,0.9985,1.095,1.6191,0.2536,0.8435,-1.4103,0.3342,0.5435,-0.4911,0.0501,0.3228,0.0642,-0.7729,-0.0916,1.6616,-0.4335,0.3489,0.905,-0.8077,-0.1149,-1.2337,-0.6938,-0.4062,-3.0111,-1.1276,0.1173,-2.3859,-2.1472,-0.8228,0.3656,0.3603,-0.8267,0.2246,0.0705,0.6619,0.8785,-0.9158,0.2986
-1.7563,0.1131,-0.5173,-1.3174,0.0406,-0.9533,-1.3837,0.7776,0.2217,-0.4623,-0.2221,-0.1864,0.5649,1.7177,0.5477,-0.0233,0.143,0.5484,-1.4747,-0.0369,-0.2354,1.0017,-0.6248,0.1867,0.2825,0.4066,0.0329,1.4385,0.7039,-0.4205,-0.5919,0.2469,-0.4927,1.7904,2.0011,0.7939,0.7313,0.7329,0.9527,1.2736,0.3908,1.6801,-0.0604,-0.267,1.2423,1.7887,-0.3522
-1.2043,-1.7447,0.0988,0.5984,-0.884,-0.1262,-0.5185,0.2023,0.3407,2.1058,-1.2994,-1.1169,0.5678,0.4708,1.4329,-0.0078,-1.0263,-1.6149,-0.6391,0.9045,-0.4834,-0.9962,0.5302,-0.2679,-0.5676,1.1725,1.1245,-0.8822,0.3615,-1.0995,0.7387,-0.0505,-1.4885,-0.6813,0.3455,1.3842,0.6237,0.6685,-0.2389,-0.6387,-1.2483,-0.5752,-1.2069,1.1142,-0.5687,-0.8256,-0.9101
-0.2875,-0.0057,0.1142,1.238,-2.9657,-0.2986,-0.4393,-0.4354,-0.1185,1.6394,0.4984,0.8465,1.283,0.1044,1.0194,0.2278,0.1132,0.9692,-3.2445,1.1114,0.7165,0.3904,1.6565,1.4784,-0.2248,1.5153,-0.3323,1.441,-0.3546,0.9123,-0.0602,1.5344,0.0199,-0.0514,0.8936,0.3639,0.3364,-0.6816,0.0449,0.6558,-0.1807,-0.7695,0.0911,-0.6035,-0.4635,-0.6425,0.2807
-0.712,-0.7192,-0.9804,1.2781,-0.409,-0.2609,0.239,0.6946,-0.2884,-0.9236,1.4198,0.8786,0.1478,0.4036,0.9579,0.1219,-0.4375,0.5719,-0.0989,-2.2215,0.3476,1.0375,-1.2452,-0.4865,-0.3269,-1.4224,0.1461,0.1939,-1.0244,-0.1242,0.7069,-0.0279,0.1336,-0.4523,-0.0082,0.261,-0.0509,-0.1589,1.3046,-0.9431,-2.3375,0.7066,-0.8087,-0.1693,0.5961,1.5841,-1.0357
-1.3463,-0.6242,-1.4361,-0.1342,0.4081,-0.2279,-1.2633,-0.3633,0.4575,-0.31,-0.2243,0.8805,0.5245,1.4952,0.2299,0.845,1.356,0.4978,1.8549,1.5933,0.2337,0.7923,-1.6167,0.1422,1.0965,-0.1361,-0.6332,-0.4798,1.8408,0.8986,-0.1727,-0.7303,0.408,-0.7223,1.3269,0.9103,0.1947,0.7488,-0.4889,-0.6852,0.2499,1.085,2.4073,1.6619,0.8589,-1.0912,0.273
