"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44"
0.6236,0.5826,0.1275,-0.5102,0.3415,-1.1843,-0.248,-0.0269,-2.0906,2.3676,-0.5477,-1.8284,-0.1434,0.7407,-0.3829,0.0488,-0.8892,0.1045,0.365,-1.1107,-2.9466,-1.2709,-0.0176,-0.3127,-0.3394,1.5455,1.716,0.0178,1.1454,-0.8652,1.0446,-0.5694,-1.3454,-0.5712,0.3362,-0.9626,0.9942,1.3046,0.0927,0.6363,-0.1887,1.1403,0.7682,-0.1196,0.17,-1.2394,-0.6212,-1.3586,1.2084,0.6621,1.0212,0.3869,-0.1508,0.0083,-2.34,-1.5455,-0.2334,0.2468,-1.347
0.3466,1.3605,-0.5888,0.0374,-0.7345,0.685,-0.2416,0.7839,-0.8602,0.6281,-2.4645,-0.1301,-1.0368,-0.5899,-0.3052,0.3632,1.0998,0.9029,-1.0901,-0.2298,-0.5815,-1.0388,1.8307,-0.8432,0.1404,0.3075,-0.8435,0.9615,0.1125,-0.9854,-1.3083,0.862,0.3036,-0.2865,1.5555,1.7614,0.0149,-1.1856,-0.6436,-0.167,-0.2514,-0.3265,-0.2324,-2.0836,-0.8192,0.7096,0.3361,0.3343,0.4694,2.3059,-1.6865,-1.2701,-1.7926,-0.3801,0.0259,-0.0643,1.0616,-0.9098,1.3257
0.3796,-0.6184,1.2875,2.3071,0.2302,1.7201,-2.3511,-1.5362,-0.2319,1.6474,0.1797,0.4651,-0.0439,-0.481,-0.7133,-0.7479,-1.3489,-0.9313,0.5296,-0.609,-0.3735,-1.1101,1.0094,-1.5312,-2.0785,-0.1901,0.2246,-0.5531,0.4662,-1.2602,1.2933,0.5139,-0.0416,1.0216,0.1279,0.6165,-1.1666,0.0326,1.1691,-0.7336,-0.6895,0.3331,0.1237,-1.767,-0.1598,0.8975,-0.9349,0.3553,-1.5069,0.8606,-0.2036,1.8314,-0.4424,-0.6107,1.4836,0.2781,-1.3258,0.7207,1.6914
-2.076,1.8332,0.6338,0.3951,-0.0109,-0.7113,0.6928,1.3175,-0.8787,0.0208,0.8317,-1.3424,1.3806,0.8485,0.903,0.3556,0.4351,-1.7894,-1.693,1.4877,1.6488,0.0724,-1.6442,1.7559,1.1276,-1.0302,0.4132,2.3737,-0.7085,-0.066,0.2511,-0.0273,-1.8743,-0.6747,1.8725,0.0625,-0.2334,0.2494,0.9751,-0.2276,-0.2236,1.7081,-1.1257,-0.9488,3.4706,-1.3468,0.5495,-0.5365,-0.4655,-1.0557,0.3801,0.217,1.3497,-0.0477,1.5696,0.0276,0.3202,-0.1003,-0.2673
-1.8325,-1.9771,0.0152,1.1061,-1.8768,-1.0873,-0.4563,-1.6703,-1.2666,-0.1559,1.308,1.0223,0.8694,-0.2325,-1.7292,-0.1759,0.5359,1.4144,1.6647,-0.4254,-1.2811,0.7798,-0.0922,-0.4014,0.1532,0.9104,-1.7352,-0.6737,-0.044,1.9551,-2.3709,-1.2121,0.3304,-0.2675,-0.2181,0.4411,-0.3799,2.6664,2.3883,2.8543,0.1279,-0.6526,0.9979,-0.6807,-0.1874,2.1794,0.7865,1.0324,-0.1599,1.0936,0.3971,-0.5303,-0.6986,-1.1382,0.2256,0.4618,-0.5248,0.1718,-0.3092
0.4436,-0.4059,0.753,0.2081,0.6157,-1.9391,-0.7088,0.0551,1.2338,-1.1116,1.6919,-0.7588,-0.1472,0.0022,0.6617,0.3947,-0.2823,-0.1451,-0.5969,0.8669,0.7408,-0.5525,-0.7204,-0.4603,-0.4644,-0.5581,0.9373,0.0251,-0.278,1.798,1.3822,-0.6633,-0.72,-0.3507,-0.2893,-1.1384,-0.4239,0.4045,0.2721,-0.0528,0.6373,-1.4271,-1.6376,-0.3379,-1.0972,0.2801,0.9547,-0.366,1.9497,1.1808,-0.2144,1.0945,2.6968,1.1792,-0.6558,0.5874,-0.5333,1.2354,0.5524
0.9648,0.6442,-0.3408,-0.3767,-0.4709,-1.6808,-0.2944,0.1823,0.2312,0.0409,-1.0964,1.282,-2.454,0.8733,0.302,-0.2008,0.8945,1.5103,0.2547,-0.3847,0.1093,0.1468,0.5729,-2.1957,0.8464,-0.3615,2.3105,1.102,-0.8587,-0.4731,0.2956,1.923,1.5953,-2.0144,-0.0212,0.476,0.3511,0.5294,0.3243,0.7299,-1.0358,-0.2407,-0.5859,1.4673,-0.8986,-0.6528,-0.7688,0.1981,0.0017,1.3094,-1.4321,0.0144,-1.106,0.7097,0.429,0.6133,-0.7349,-0.8439,-1.4839
0.5519,1.286,0.0756,1.6282,-0.9858,0.9873,-0.9629,-0.9553,1.5474,0.292,1.6968,-1.4799,0.1772,1.319,-0.6213,0.3201,-0.3473,-0.7562,-1.7182,-0.5678,-2.612,0.6121,-0.4224,0.3063,1.4392,0.524,-1.1557,-0.2116,1.8141,-0.2897,-1.0339,0.3382,-0.1462,-0.6065,0.176,1.0682,0.992,-0.1847,0.882,-1.4132,0.9998,1.4985,-1.273,0.5953,0.2637,-0.3643,0.1736,-0.7727,-0.4626,0.6117,0.0286,0.5643,-0.8323,2.1859,0.5407,-0.9274,-1.0945,0.1044,-0.0114
-0.2332,0.1965,-0.2656,-0.9072,0.3984,-0.5924,0.2588,-0.7082,-0.1832,0.4041,-1.2226,0.857,0.6915,0.2007,-2.2327,0.9467,2.7128,-2.0279,-0.7545,-0.7572,-0.1111,1.4271,-1.8732,0.4413,-0.5484,0.0042,1.3231,0.4137,-0.3724,-1.2146,0.3029,-1.0344,-0.4948,-1.4198,1.2165,1.116,-0.7054,-1.5151,0.9086,0.4764,-0.1881,0.9546,0.7405,-1.4305,-0.1817,0.5339,0.9265,0.9077,-0.2764,0.028,-1.2503,1.5054,0.9832,-0.7871,-0.4325,-2.1759,0.3026,-5e-04,-0.2801
1.1143,-2.2059,-0.8098,1.2666,0.8064,0.2861,-0.2681,0.0039,0.2682,-0.4978,1.0776,-0.2772,2.3259,0.2136,-0.8324,-0.4722,1.5138,1.8936,0.4181,0.7429,0.3283,-1.0548,-1.1454,-0.3251,-0.8775,-1.6361,-0.9578,0.5113,0.9718,-1.1939,1.2164,2.1616,0.2906,-1.0927,-0.7011,0.1152,0.8183,-0.6047,0.1933,1.0826,-1.5136,-0.1166,0.4022,0.8646,-0.1509,-0.5893,0.9255,1.5055,-1.2168,0.2756,-0.3701,-0.9499,0.248,1.0428,1.1974,-0.9174,1.0201,1.8387,0.2863
0.4593,-0.7673,0.3024,-2.3722,-1.7191,-0.2853,-0.1695,0.8987,-0.0713,0.4239,1.9523,-1.1583,2.0944,1.244,-0.027,-0.4038,-0.1537,-0.8733,1.263,0.8975,0.8251,-1.7127,-2.5238,0.9285,-0.1768,1.128,-0.6375,0.511,1.0543,0.0447,0.3045,0.4076,-0.4089,-0.4841,0.7426,-1.5615,-2.1163,-0.7374,0.0088,-0.2488,0.8194,-0.9095,2.3663,0.2795,-2.5234,0.4755,-0.0424,-1.2258,-0.4083,-1.2232,-1.9632,0.3279,-1.6489,1.4917,-0.8059,0.1062,-1.0515,-2.8539,-0.5491
0.5032,-1.8348,-0.6328,0.3473,-0.633,-0.428,-1.7946,-0.519,0.2716,-0.1201,-1.4792,1.1622,-0.7465,-0.5551,0.5211,-2.7708,0.1488,0.0176,-0.4087,-0.9028,-0.0346,1.3751,0.9271,1.5009,-0.0031,-0.263,-0.901,-0.0658,0.4008,0.9195,-0.0218,-0.8039,0.3534,0.1592,-0.8855,-1.4817,-0.4252,1.1728,1.0466,-1.1114,-0.5743,-0.5222,1.9309,-0.0074,0.2019,1.2043,-0.6371,1.4223,1.9179,1.473,0.1117,-0.161,-1.2747,-0.0466,-0.5931,-0.6863,1.6569,-0.1751,1.0378
-0.113,-0.2475,-0.0375,-0.63,-0.8064,-0.1135,-0.585,0.1135,-0.149,0.724,-0.9003,0.8751,-0.9939,0.2388,-1.6181,1.0357,-0.446,1.6402,0.0563,-1.0928,-1.399,0.4312,0.2757,-0.6188,1.0373,0.0929,0.2552,-0.7534,0.2687,1.3243,-0.6081,0.7143,0.4956,-0.3338,0.2165,-0.0369,0.5374,-1.2188,-0.3432,0.752,-0.242,-1.1129,0.0743,1.8712,-1.1004,-0.7805,0.66,-0.2663,-0.8641,2.3618,1.7127,-0.5323,0.4547,-2.064,1.5476,0.1799,0.2956,-0.4951,0.4207
0.3485,0.776,-1.0923,-1.0359,-0.6365,-0.1715,-0.8957,2.4196,-0.5786,1.3484,-0.4651,1.6482,-0.3595,1.6773,0.4877,-1.2222,0.7634,-0.8314,-0.3981,-0.021,-0.8184,0.2424,-0.4635,-1.8195,-0.3462,1.7543,-0.234,1.2468,0.0029,-1.6579,1.1738,-0.7912,-0.8011,-1.9892,0.576,0.4914,0.358,-0.0556,0.4055,-0.2199,1.2492,-0.1468,-0.0223,0.8013,0.3325,0.3224,1.3821,-0.9005,0.2897,-1.0751,1.9975,0.1452,-1.9952,-0.6092,0.7733,-0.5235,0.3391,-0.7607,-0.2502
2.8889,-2.6911,0.2026,0.1187,0.8595,0.4013,-1.0345,1.1577,-1.1685,-0.3816,-0.3507,-0.7365,-0.4706,0.1973,-1.0094,-0.7427,-0.1364,0.4002,-1.3086,0.0233,-0.1322,2.0873,0.4482,-1.656,-1.1613,-1.0536,-1.0566,-0.1505,1.3238,-1.4837,1.6245,-0.296,0.8095,0.3481,0.1227,0.362,1.1215,1.4583,-0.9827,0.2557,-0.2904,0.2054,0.011,0.6861,-0.9776,-0.7626,-0.1701,1.6944,0.5528,0.0455,0.1644,-0.8528,0.8372,0.1078,-0.5259,0.4806,1.1342,0.9551,-0.9651
-0.7494,-0.5691,-0.9615,0.6023,1.8335,-1.1623,-0.5663,0.516,0.0974,-2.1849,-1.4538,0.5099,-0.8563,0.3777,-0.258,-0.1087,0.9159,0.2313,-1.9107,-0.074,-0.1114,1.7186,-0.3192,0.4508,-0.845,0.8067,-0.9258,-1.8069,-0.3367,1.3731,0.7261,1.4229,-0.963,-0.8972,-0.5911,-1.6672,0.1742,0.0072,-1.0942,-0.4331,0.9499,-0.3118,1.2907,0.7317,-0.5158,-0.4813,-1.4653,-1.241,1.0134,-0.0216,-0.4572,1.6607,0.1288,-0.098,-0.2656,-1.1917,-0.7714,0.9217,-1.1872
-0.5877,0.1263,-0.4483,0.4828,-3.0295,0.0246,1.8089,-0.8932,0.8687,-0.0441,1.1574,-0.3535,1.159,1.8896,-0.3192,-0.7491,-1.1762,-0.439,1.1165,0.4479,0.753,0.187,-0.2021,0.45,0.0683,-1.2767,-0.5796,-0.15,0.6029,0.0258,0.954,-0.6841,0.4008,-0.3211,-1.2939,0.8623,-0.2507,-0.6275,-0.5438,-0.2523,0.0169,1.4327,1.0148,1.3477,3.1102,0.9643,-0.2107,1.0992,0.2017,0.2863,0.6357,1.3712,-0.0666,1.0968,-1.2767,-2.0583,0.3229,-0.4505,-1.0419
1.9862,-0.1936,0.2849,-0.5197,0.5347,-1.5873,-0.701,0.8024,0.3293,0.0742,-1.8147,-1.26,-2.0411,-1.6795,-1.5951,-0.6219,0.4932,-0.0848,-1.4601,0.9765,-0.504,1.7662,1.6858,1.0375,-0.1286,0.0787,-0.5482,-0.7099,1.3559,-0.2378,0.028,0.7844,1.6551,0.5191,-0.5836,1.1016,-0.8715,1.9967,0.7985,-0.9839,-0.2693,-0.5419,1.4371,-1.0731,-1.0623,0.3417,0.3885,-0.1944,-0.3235,1.758,0.7315,0.9418,0.723,-0.9819,1.2151,-0.4308,0.2402,1.2126,1.0774
0.5993,-0.4583,0.1041,1.781,1.7214,0.5022,0.7661,0.4381,-1.2545,-1.5458,-1.1119,-3.2554,-0.5177,1.9645,0.9699,-0.6487,-0.4025,-0.393,-0.7558,-0.3271,0.2077,-1.7056,1.9538,0.4508,0.9382,0.5358,-0.0954,1.6806,-1.159,0.0528,-0.3471,1.6401,-0.3929,-0.0455,0.3566,0.4848,0.3609,-1.0922,-1.2404,0.6262,-0.5646,-1.232,-0.8976,-0.9355,-0.6345,-0.3362,-1.9388,-0.2251,-1.052,-1.7355,0.1858,0.8019,1.135,0.2646,0.2716,0.0242,-0.3025,-2.07,-1.2252
0.3251,1.2697,-2.2447,-2.3079,-0.3528,-0.1671,1.8574,-1.7023,0.1158,-0.7704,-0.6253,1.9125,1.0228,1.3338,1.2638,-1.0325,-0.045,0.8957,1.8419,0.8482,1.9658,1.07,0.4693,-1.0264,-0.0859,0.4354,1.8399,0.0995,-0.1679,0.5339,1.321,1.3573,0.1404,0.178,0.3674,-1.062,0.7192,0.1013,1.1421,0.5606,0.051,0.4236,0.3087,0.1946,1.0555,-0.7275,1.1143,0.8293,1.2979,1.2988,-0.2722,-1.3713,-0.4587,-0.9879,-0.6478,0.9003,0.2398,-0.4729,1.7155
-1.201,-0.6356,0.5697,-0.2401,0.5282,2.4189,-1.1074,0.826,0.5821,2.0855,-0.2048,-1.6574,-1.9722,0.6598,0.3294,0.2134,-1.1727,1.2855,-0.3653,0.9705,0.5821,0.2348,0.018,-0.3873,-0.5572,0.3559,-0.1703,-0.2895,-0.7048,1.8648,-1.2666,-0.4401,-0.3361,0.1405,-0.7565,-1.347,-0.357,-0.5803,-0.8239,0.4809,-0.3048,-0.1853,-2.0861,-1.1767,0.1055,-0.9604,0.5161,-1.5848,0.144,-0.0372,0.2391,-0.9441,-0.3133,0.5531,-0.3846,0.5093,-0.08,0.5391,0.1474
-1.1997,-0.4567,1.0056,-0.0456,-0.1027,1.0614,-0.1085,0.3328,1.5752,-0.1195,0.0027,-0.264,-1.3296,1.902,0.2282,-0.2391,-0.818,-0.4629,-0.8246,0.1476,-0.4859,-0.0274,0.3397,0.4645,-1.0709,1.1159,0.759,-0.8951,-0.7607,-2.8611,-0.1252,0.5686,-0.2006,0.6512,0.07,0.4147,0.7692,-1.5728,1.1545,-1.2735,-0.7484,0.2191,-0.4266,0.8168,-1.4475,-0.878,-0.6302,0.6739,-0.0959,1.0308,-0.6737,-0.6076,-0.7099,0.8162,0.4608,-0.8752,0.7485,-0.3801,0.7659
-0.4858,1.4844,1.0013,-0.2877,1.1315,-1.3331,-0.2552,1.4489,1.0775,-0.0759,0.5146,1.9386,0.2601,-1.2965,-0.7197,-0.3904,1.2696,-0.7113,-1.0748,-1.144,-0.3741,0.3226,2.0553,0.1442,-0.7758,-0.7523,1.0655,-0.7186,-0.7777,-1.0408,-0.6438,-0.2693,-0.6159,-1.0458,0.4648,-0.1555,1.5993,1.3084,-0.6443,-2.816,2.2083,-0.1108,0.6136,0.1935,-0.2638,0.8826,1.5055,-0.331,1.0067,0.3993,1.0677,0.6345,-2.0926,0.822,1.4485,-0.3025,0.9239,0.5313,0.0767
1.1415,-1.6271,-1.2518,0.4646,-0.8278,-1.6631,0.9,-0.3132,-0.3057,0.4713,1.2558,0.6183,1.0736,0.9225,-0.0464,0.8222,1.7553,0.4282,0.7734,0.7636,-0.4508,-0.4971,1.5095,0.4385,-0.7442,-0.7707,0.0457,2.1141,0.4235,0.0766,-0.5935,0.6525,1.6219,0.8539,-0.1796,-0.0147,-0.9051,-1.0826,-1.102,0.6618,-1.2599,-0.3229,0.7559,0.6672,0.0189,0.4934,0.122,-1.0041,-0.1202,2.1313,-0.544,0.4729,-0.1595,0.7379,-1.6151,2.2969,-1.2517,0.1996,-0.954
0.7503,0.2845,0.9496,1.0356,0.8018,-0.891,-1.0731,0.2241,-2.7369,1.4325,-1.1526,1.5657,0.6409,2.1233,-0.0513,0.4272,1.4055,-2.6684,-0.3089,-0.5543,1.0922,-0.3943,0.6042,0.4123,-1.1621,1.2025,0.1116,0.4688,0.9059,1.5939,-0.6934,1.0594,-1.3622,-0.1189,0.9253,-0.8429,0.7486,0.7136,-0.7292,-1.1661,-0.0337,0.7507,-0.4184,1.8165,-1.0318,-0.8665,-0.1201,-1.4212,0.3496,0.4795,0.2786,1.7245,-0.1697,-0.137,0.495,1.0112,0.1987,-0.0216,-1.0367
-0.1679,0.1754,0.5555,-0.8283,-1.0689,-0.8775,-0.8029,-0.0676,0.2504,0.239,0.9279,-0.0594,1.7592,-0.1171,-0.6595,0.7214,0.793,0.2941,0.8696,0.637,-1.1349,-0.0371,2.9681,0.125,1.653,1.2657,0.6179,-0.449,-0.2368,-0.9081,1.1129,0.687,1.4844,-0.1253,0.5188,-1.7861,0.4927,-1.0319,0.5181,1.3043,-1.0767,-0.5479,1.8557,0.8427,-0.1568,-0.1315,0.0106,-0.3133,0.6281,0.4595,0.6812,1.3093,0.5904,-0.8478,1.2932,-0.2541,-1.1709,0.7113,-1.2036
