"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14"
-1.124,-0.2494,-0.6212,2.5947,-0.4187,-0.9109,1.611,-0.2088,2.228,1.0223,0.8469,-0.6696,0.3352,0.3217,1.8482,-2.0531,0.0014,-0.4232,1.5844,-2.0651,-0.9274,-0.5278,0.9913
0.0336,0.4858,-0.0124,-0.5065,0.8861,-1.0153,0.9994,-0.6394,0.7928,-0.5255,1.1234,-0.631,-0.8302,-0.8454,-3.1511,-1.9173,-0.8954,0.735,0.3865,-0.345,-0.1878,0.8465,1.0373
-1.1557,0.4423,0.3637,0.2432,1.8734,2.2326,0.6109,-0.9987,-0.9492,0.5797,0.0423,1.9953,0.5554,-1.5,1.3924,-1.0578,1.679,-1.315,-0.5339,0.3237,-1.4601,1.4506,0.0617
0.1726,1.139,-0.0483,0.4465,-0.3342,-0.9596,0.7419,-0.6229,0.5195,0.1339,0.1079,-0.4304,2.018,-0.1638,0.2245,0.0078,-0.5098,-0.5384,0.325,0.0156,1.162,-0.0804,-1.6128
0.831,-1.4874,0.4585,-1.0877,0.439,2.0547,-0.3426,-0.7954,-0.031,0.0341,1.7728,1.1423,-2.5396,0.0122,1.4573,0.9374,-0.7929,1.0821,-1.5995,0.4643,0.1472,-1.7049,1.3538
1.0633,-1.0989,-0.6874,0.9977,1.4893,-2.5847,0.3866,0.1702,0.7536,-1.2575,-0.1699,2.2045,-0.044,0.9138,0.0572,-1.3268,-0.689,0.5004,0.923,1.5016,-0.7003,0.315,1.4852
0.8439,0.834,-0.9583,0.5273,-0.5387,-0.7223,-0.5863,0.8293,0.3142,0.848,-0.7306,1.0044,-0.0048,-0.5148,0.1283,-1.621,-0.7849,-0.1152,0.0713,0.3865,-0.2496,0.6566,0.3152
2.3623,-0.0733,-2.0913,-0.644,0.8377,0.4973,-1.2474,-0.7963,1.5208,1.7723,0.1816,-1.3083,0.9028,-0.3968,1.5232,-1.1281,-0.5497,0.6582,0.0677,1.6066,-0.168,-0.7766,-2.2013
-0.9544,0.1779,1.0504,-0.8667,1.1742,-1.6579,-0.5024,1.7122,0.1997,1.4335,0.0578,-0.0299,0.6363,0.0608,-0.4464,0.2491,-1.2712,-3.2887,0.7314,0.7939,-0.5428,-1.0858,0.2122
-0.3328,1.5733,-0.2406,-0.4835,0.6675,-0.5767,1.3955,-1.576,0.0217,-1.5553,-0.0565,1.658,-0.5563,-1.0184,0.0157,-0.7657,-1.0105,0.0902,0.1743,-0.0073,-1.8727,-2.1228,0.5018
-2.0593,0.0577,1.6498,1.2626,0.782,-1.0625,-0.1183,1.1252,0.5778,0.9542,-0.2698,0.9621,0.2696,-0.0963,0.4119,0.0197,-0.6283,0.7028,-0.9059,-0.2803,0.1745,0.9904,0.1758
0.4863,-0.2719,-0.1891,0.4249,-0.6896,-0.4722,-1.9612,-0.8681,0.7495,-0.6459,-1.2636,-0.527,0.2056,0.4832,-0.0667,-0.9243,-1.3378,-0.7458,1.6167,-0.3686,0.7252,-0.4888,-0.2241
-0.9182,1.9425,0.1473,-0.2248,0.718,-0.2229,0.7243,-0.9154,0.0991,1.9815,-0.5517,-0.3215,-0.6458,-1.8254,-1.4758,0.0736,-1.2857,0.015,-0.1899,-0.5689,1.5553,0.3925,0.3551
-1.5138,-1.8221,0.3936,0.9351,-0.075,2.1925,2.4021,0.634,-0.8813,-0.3302,0.6863,0.25,-0.2151,-0.6941,1.0633,0.5795,-0.7993,1.4412,-0.5373,-1.1856,-1.2884,-0.3559,1.0746
0.5048,-0.2472,-0.1558,-2.0082,1.5465,2.1242,-0.0909,1.7726,-1.2406,-0.6297,0.0894,-0.6176,0.5938,-0.0165,0.3581,-1.7774,0.1092,-2.79,0.5839,-0.9744,1.0321,-0.1413,-0.274
-0.3827,-0.0647,0.9058,1.1619,-0.3155,0.3535,1.074,0.3504,-0.0838,1.8197,-0.9209,1.2687,1.0349,0.5739,0.8574,-0.2892,-0.2213,0.2568,-3.0813,-1.95,0.8268,-0.7931,-0.3069
0.1172,-0.4536,0.1623,0.3297,-0.3337,0.4794,-0.1422,-0.7204,1.3343,-0.1076,-0.7422,-1.409,1.5648,-0.2131,0.7535,-0.1701,-1.4626,1.0612,0.5918,0.8089,-0.9441,-0.6291,-0.1701
1.0377,0.7487,-0.371,1.7299,0.6184,0.1632,-1.4794,-0.0644,0.004,-0.0217,1.128,-0.9173,1.0937,0.1083,2.0478,-0.6837,-0.6094,1.8639,0.8382,1.5201,-1.3565,-0.2127,0.0206
-0.4408,0.1111,1.5262,-1.0673,-0.0884,0.3995,-0.5224,0.3158,-1.1102,1.2743,-1.4304,-0.4953,2.1734,0.4033,-1.0113,-1.096,-0.0973,2.2623,-1.5447,0.3322,0.9798,0.5173,-0.2871
0.1412,-0.1994,-0.8858,0.7741,-0.6868,-0.4732,-1.1416,0.7188,0.0308,-0.0047,0.5439,-0.5705,-1.7639,-0.0571,-2.0146,0.5942,0.2004,-0.7755,0.2236,-0.5008,2.1052,-0.2012,-0.7668
-0.167,-0.9503,-0.5193,0.1814,-0.6281,1.128,0.1955,0.0482,1.8841,0.9975,0.113,-0.1009,-0.3763,1.1159,1.4389,0.3246,0.7354,0.4982,-0.5566,-0.4409,-1.0904,0.5156,0.5582
1.6018,-0.5498,-2.5313,-0.6055,-0.2615,-0.1857,-0.1112,0.1112,0.1729,0.3492,-1.0356,-0.4888,0.4042,-0.0501,0.1836,-0.2435,-0.9623,1.2338,0.5104,-0.2852,-0.9971,0.0079,-1.5226
