"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8"
0.3622,0.5857,-1.5133,0.2199,-0.6338,0.7689,-0.7032,-0.3755,0.2409,1.5967,1.8792,1.7603,0.9732,1.0891,-1.4879,0.0033,-0.2208,-0.9981,0.773,-0.0879,-0.0067,0.2593,-0.9042,0.6829,0.2138,-1.0128,-0.0257,-0.8655
1.2529,0.0466,1.4197,-0.101,-0.5048,1.1238,0.9922,-0.3561,2.0046,1.2208,-1.2303,2.2437,0.805,-0.9147,0.3022,0.0541,1.7413,0.0881,1.6447,0.0263,0.7247,1.4319,1.2983,0.134,-0.0831,-0.6007,-1.135,-0.807
1.457,1.6729,0.4612,-1.3182,-0.2359,0.6639,0.2412,-0.1248,-1.0595,-0.2864,0.6619,-0.2863,0.3655,0.9054,1.9298,-1.1593,-0.5269,0.6914,-0.5392,1.4305,-0.8053,1.8778,1.2578,1.5248,0.484,0.2637,0.1035,1.7284
-0.4164,-0.6621,2.0981,1.3349,1.93,0.7987,-0.9493,0.3509,0.5617,-1.5462,-1.8354,0.3918,0.2922,0.531,-0.1396,-0.9577,-1.7862,0.5495,-0.6735,-2.8946,-0.0975,-0.9871,1.9681,1.9039,1.6277,2.8526,-0.7109,-1.1358
0.3479,0.325,-1.2265,-0.6194,0.2876,1.2661,1.2345,-0.7706,-2.1135,0.5359,-1.1214,1.0934,-0.1201,-1.3372,0.0726,1.1296,1.6246,-0.1793,-0.095,0.9984,0.3257,-0.2335,0.0024,-1.5557,1.3537,0.6836,0.4019,1.9682
-0.8839,-0.779,-0.2288,0.966,0.976,1.8744,0.483,-1.2656,0.531,-0.4806,-0.3227,-1.5854,1.9332,0.4311,-1.0634,-0.6536,0.4371,-1.0491,-0.1746,-0.1447,-1.4512,-2.7174,-0.5255,0.9735,-1.3833,-1.8222,1.9327,-2.7082
1.4149,1.9863,-0.1765,1.3899,1.6754,-0.454,0.642,1.7409,-2.6682,0.5449,-0.3131,2.6769,1.7162,-0.4098,-0.6403,-1.3206,-0.6422,-0.0056,-0.1668,0.8232,2.5474,0.0769,-0.4887,-1.3169,1.1298,1.6368,0.3538,-1.1538
1.5092,-0.2575,0.4586,0.9034,1.4622,1.7504,0.5292,0.6652,1.7352,1.2141,-0.4415,1.1382,1.841,0.4596,-0.503,-1.7957,0.5967,0.3404,-1.7527,-0.0688,0.5381,-0.1,0.1518,-0.3595,-1.1042,-1.3689,1.2861,-0.6559
-0.2445,-0.6284,-0.9809,-1.0703,0.0994,0.4836,1.4548,-0.2273,1.6287,0.5033,-0.5011,-0.1159,-0.2096,0.2098,1.142,-1.5658,1.3494,-1.353,1.2104,0.4733,0.3608,-0.8323,2.0779,-0.8236,-0.7555,0.0701,0.8514,-2.8767
-1.4597,-1.866,0.5281,-1.1815,0.3478,1.3674,-0.9389,0.5268,1.1964,0.4364,-3.0699,-0.5673,-0.6784,-0.2927,-1.7874,-0.8044,-1.2624,-0.1212,-0.9968,-0.1272,0.2171,0.3068,0.2022,-0.2659,0.2158,0.2846,1.1693,1.7128
-1.0051,0.2155,0.5723,-0.4127,0.173,-1.0799,0.2886,-0.4739,-1.5789,0.5792,-1.5855,-0.7524,0.6714,0.6288,-1.9703,-2.2911,-0.5817,-0.7534,-0.92,1.8601,1.2426,-1.2702,-0.3232,-1.1453,1.2095,1.3464,-0.8454,0.1397
0.7682,-0.1515,-1.2807,1.3223,-0.113,-0.111,-0.023,-0.8322,-0.62,-0.6009,-0.2665,-0.3057,1.7381,-0.1526,1.6599,0.4287,0.2881,0.987,0.1093,1.4565,-1.0468,-0.3887,-0.7395,0.63,0.1503,-1.2205,2.3495,-0.3354
1.6477,1.1622,0.6853,-1.1402,-0.4831,1.5826,0.1375,-0.5517,0.2495,-1.8842,-0.0322,0.814,0.3428,0.2665,-1.7105,0.4661,1.6465,-1.2191,-0.1237,-0.2063,0.0703,2.3868,0.7751,1.1984,0.8526,-0.3506,1.0464,-0.5716
-1.9045,-0.4427,0.7706,-0.9119,-1.1246,0.7079,-0.3877,-1.1954,-1.1631,0.586,-1.2449,-1.4398,-1.3322,-0.1025,-1.344,-2.1183,-0.8119,0.9874,0.0783,1.0359,-0.6385,-0.4698,-1.2596,-0.1259,0.9427,0.0335,0.4759,0.5861
1.1863,0.5983,1.7162,0.9944,-0.2331,-1.1736,0.5743,-1.6018,0.6708,-0.4203,0.3338,0.8911,0.0763,-1.3533,0.9191,1.0286,1.1508,-0.5087,-0.1855,-2.6266,-0.159,1.666,-0.875,0.0151,0.8871,-0.3677,1.6991,-0.7909
0.594,0.9989,0.4389,-0.3307,0.2389,1.8444,1.0653,0.5226,-1.0788,-0.7708,-1.0172,-0.1951,-1.1323,-1.1185,1.3814,0.5031,1.782,1.2219,0.5794,1.9522,-0.6002,-1.424,-1.4138,1.6126,-0.9197,1.2177,0.2662,0.3628
-1.2783,-0.7451,1.2599,-0.9599,0.3489,-1.2331,-1.2596,1.6735,0.1606,-1.2808,-2.2472,-0.459,-1.0716,-0.1899,-0.8936,-0.5169,0.5492,0.1762,-0.1422,-1.0059,-0.6901,-0.4235,1.0285,1.3464,-0.2643,0.1932,-1.3914,-0.4735
1.9864,-0.9827,-1.6971,1.3794,-0.3472,-0.7357,1.9348,1.513,0.2189,1.1239,1.584,1.8516,0.1339,1.2778,0.6608,1.5023,-0.1991,-1.3815,-0.1334,-0.9096,-0.233,-1.5296,0.9012,0.0328,0.527,0.013,-1.4721,-0.0334
0.8184,0.2239,-0.1146,-0.6836,-0.3729,0.6669,-0.6803,0.4326,-0.0875,1.5943,0.7253,-0.8567,0.6385,1.457,1.096,-0.6742,0.0873,1.0964,-0.5849,0.3652,0.0487,0.6714,-0.3884,-0.6109,0.6542,-1.8813,-1.7031,-0.3543
0.5354,0.3218,-0.4267,0.7082,1.1172,0.0878,-0.0486,0.4108,0.991,0.5546,1.465,-0.2023,0.4533,0.2929,0.0391,-1.3631,0.1721,0.984,-1.1026,-1.9421,0.972,-0.7265,-0.8452,0.2257,0.5205,-1.1161,0.0308,0.7974
-0.4441,-0.1168,-0.4215,-1.0368,-0.0921,0.6851,-0.574,0.5724,-0.0612,-1.2618,-0.088,0.1947,0.5764,-0.3949,0.385,-1.233,0.2111,-0.8824,0.7312,-0.2461,1.4356,-0.7381,-0.9382,-0.7683,0.3982,-0.2719,0.6748,-0.0584
1.026,0.7255,0.5828,1.4119,1.1132,-0.3352,-0.4856,1.1616,-0.4856,0.2155,0.4511,-0.0073,1.12,0.5198,0.2546,0.1841,-0.6758,-0.2315,-0.9946,0.1594,-1.9637,-0.7806,-1.3462,-0.8833,-0.1008,-1.7433,1.3896,0.8086
-0.5597,0.7625,-1.5046,-0.2334,0.8308,0.0398,-0.3627,0.6432,-0.7095,0.232,1.0368,0.0808,0.1875,-1.1639,2.1513,1.1134,0.5079,-0.9858,0.7207,-1.1366,-0.0782,1.0124,-0.4503,0.1688,0.5339,-2.307,-0.0103,-0.4936
-1.0923,2.2326,-0.7669,-1.1348,-0.4265,0.0912,0.558,-0.6722,-0.9625,-1.1712,1.1504,0.3063,-0.3206,0.0032,0.3485,1.5935,-0.4856,0.4505,-1.1663,1.2836,-1.6961,-2.8134,-1.6169,-2.0973,1.1161,-0.5499,-0.7056,0.6671
-1.2541,0.3243,-0.5244,0.4112,1.7852,1.273,-2.0175,0.1522,0.0755,-0.1149,1.0518,-1.1182,-1.3018,-1.953,-0.0481,-0.7793,1.1381,0.6404,0.9456,0.797,0.5647,-0.5552,-1.1256,0.4003,0.8794,-0.1364,-1.0706,0.2508
0.0624,0.3083,-0.8138,1.6935,-1.5355,0.0477,0.8362,-1.4665,1.3193,1.0981,-1.6065,-0.8729,1.9437,0.714,0.0869,-0.1143,0.2465,-0.273,1.4852,-1.2884,0.047,0.9511,-1.1033,1.9138,1.638,-0.1928,-0.6752,0.2765
1.3584,-0.4475,-0.173,0.2843,-0.2571,-0.795,-0.6979,0.7076,0.228,0.6519,-0.0487,1.6418,-0.4646,0.7678,-1.0667,1.0908,0.4311,-0.4645,-0.2943,0.4104,-0.5481,1.4887,-0.0898,-0.0801,-1.6643,-0.1275,0.0943,0.2371
0.3915,0.0615,0.9343,0.2621,-1.8652,1.7504,0.7316,1.6998,0.5347,-0.8422,0.1755,-1.4724,1.3203,-0.5361,-0.1222,1.1062,-0.8462,-0.1106,1.3081,-0.563,0.2597,0.537,-1.1065,0.6286,0.0303,0.9133,-0.5925,-0.4858
-0.47,-0.5036,-0.1721,1.5211,-0.6533,-0.0341,-1.1141,0.2674,-1.0423,-0.728,1.981,-1.5505,0.0702,-1.5143,-1.0844,1.9025,-0.1844,0.8639,-0.961,0.6987,0.5867,-0.2957,-1.1476,1.3113,0.5836,-0.9451,2.4422,0.2786
0.1967,1.1923,-1.7389,0.4591,-0.7202,-0.2637,-0.062,0.6091,1.146,1.7527,-0.5439,-1.0634,0.2088,-0.5759,1.8652,0.371,0.6346,0.5101,-1.0559,-0.4202,-1.9258,0.2133,-1.5928,0.624,0.6289,0.4888,-0.5197,0.6116
-0.2035,-1.2052,-0.285,1.1848,0.2327,0.9326,0.7616,-0.6141,0.3672,-1.4612,1.1544,0.259,-1.2004,-0.0084,-0.238,-0.5119,-0.7296,2.031,-0.1514,0.5741,1.5044,1.3055,-1.1178,-0.5219,1.1492,0.521,2.4457,0.3496
-1.6103,-1.2864,-1.0857,-0.9061,-2.2796,0.4609,-3.0232,-0.8589,0.52,-0.364,0.2777,2.0256,-0.6117,-0.6663,-0.5549,0.8681,-0.1897,-0.5332,-0.2794,0.5476,-0.4406,0.2012,-1.8324,2.2443,-1.4194,-1.2902,0.6658,0.5135
-1.9738,-0.6235,0.1773,0.7139,-0.2007,0.3864,-1.63,-0.1769,-0.8019,-0.6398,-0.9998,-0.8538,0.4153,1.4194,-0.6571,0.5277,0.6792,0.0711,-1.5091,0.9767,1.5668,-0.4126,-0.7533,-0.4555,-0.5398,-2.3511,0.6365,0.1846
-1.3481,0.4205,0.0793,0.9962,0.963,0.6665,-1.9298,-1.3328,-0.907,0.9612,0.2225,0.5473,0.9119,-1.1727,-1.3376,0.5424,-1.7724,-1.3957,0.3448,1.5213,0.3491,-0.2761,-1.6687,1.5392,-0.7811,0.3773,0.164,1.8927
1.1026,0.4329,0.7671,2.8144,-0.8927,0.2442,-0.8168,-0.0333,-0.1872,0.8554,0.4006,1.339,-0.0999,-1.5365,0.1432,0.3186,0.2965,0.3314,-0.036,-1.1359,-0.8653,1.0706,0.1998,0.9934,1.0261,0.3357,-2.8927,0.4991
-0.3559,0.2936,-0.4306,-0.2144,-0.2324,-0.5015,-0.4282,0.1603,0.403,1.5196,-0.3273,-0.3159,0.2357,-1.0314,-0.5013,0.8401,0.0974,1.305,-0.7385,1.4977,1.6881,0.2098,0.8511,-0.5931,0.4814,0.5896,-0.2977,0.2784
-0.5618,0.5225,0.4276,0.6068,1.679,-0.2481,-0.4098,-0.7772,-1.8141,-0.6487,0.841,-0.5801,-0.6248,0.526,-0.7046,0.222,1.139,0.5486,0.0804,-0.8813,0.375,-0.0339,0.5329,0.3382,-1.6485,-1.1238,0.3096,1.2626
0.5626,-0.3883,0.8374,-0.8336,-1.1838,1.6086,-2.0118,1.3266,1.1825,-0.1707,-0.3085,0.0317,0.2458,1.7189,1.1985,0.6617,0.7107,0.0259,0.0314,0.485,1.7602,0.9653,-0.7294,1.36,-1.0067,-1.115,1.2821,-0.522
0.5696,1.4988,1.5965,0.4384,-1.443,-0.3845,0.6459,-0.9539,0.0481,-0.8472,0.184,0.2376,0.6578,-0.9319,0.3053,-0.4737,-0.208,1.6069,-0.052,0.9776,1.2603,0.2398,0.7468,0.0814,0.3589,0.4648,0.9353,1.3399
-0.9252,0.774,-2.4659,1.6246,-2.0327,0.9495,-0.4324,-0.6747,-0.1312,1.2844,-0.3741,0.0934,-0.3551,0.6437,-0.7558,-0.63,1.75,1.8954,0.1641,0.5452,0.0098,0.5464,-0.2437,-1.5254,-1.7792,-0.0836,-0.9517,0.4856
-0.5902,-0.6252,0.2414,0.219,0.4208,-0.8697,-0.3719,-0.6482,-2.6924,0.6575,-0.7785,0.9835,0.8793,-0.4223,0.2313,0.6315,-1.1741,-0.7768,1.5385,0.2235,0.4164,-0.0416,0.5874,-0.1026,-1.3812,1.7988,-0.0476,-0.0407
-0.8184,-0.9536,-0.6557,-0.763,-0.8222,-0.4898,0,0.6886,-0.8364,-1.0774,2.0513,0.2187,1.8372,0.3451,-2.2481,-1.0058,0.4423,-0.5798,0.045,-0.5113,-0.7642,-0.7354,-1.0115,0.8935,-0.3119,0.5797,1.4093,-0.2506
-1.2087,1.0787,-1.8962,0.7965,-0.4776,-0.0502,-0.3836,1.0265,-1.3334,0.436,-1.8827,0.0874,-0.4833,0.4821,-1.8108,0.7912,-0.9238,0.685,-0.5636,0.4065,0.5301,-1.8201,-0.3643,3.106,-1.0927,1.716,0.4373,0.6072
0.437,0.6102,0.1977,0.8277,-0.1614,0.3605,0.6159,-1.1497,0.981,0.8677,-1.7252,-0.7078,0.3749,1.0978,-0.0918,-1.9982,-0.6466,-0.3804,0.2162,-2.0601,1.2574,0.5204,-2.5287,-0.5411,-0.0418,0.3409,1.4394,-0.1182
-0.9705,-0.248,-1.3294,-0.1445,-0.1876,-0.88,-1.6717,-0.7141,-0.7968,0.0781,0.6757,1.2165,-0.7995,-0.1345,-0.8988,0.5438,1.6483,0.4849,-2.1623,1.1762,-0.4559,0.7972,-0.8259,-2.2968,0.4736,-0.4148,0.2313,-0.7437
-0.6935,-1.0572,-0.6752,-0.2901,0.2638,-0.0237,0.8608,1.329,1.389,0.3461,0.1142,-0.306,-0.9169,1.0157,2.0683,-0.143,-1.0886,-0.578,-0.2042,-1.6979,-0.3318,-0.4848,2.2419,-0.5621,-0.8102,-0.3399,-0.3191,0.1414
0.8336,-0.6437,0.1336,0.8412,0.7517,0.083,-2.0792,-0.1804,0.5954,-0.4557,-0.0295,0.1963,1.1557,1.1541,0.2845,-0.1139,0.1874,-0.1923,0.5579,0.9689,1.6235,-0.1039,-2.2646,-0.2269,-0.3002,-0.2371,1.0886,-1.1187
0.4646,-0.1223,0.0817,-0.6955,1.9392,-0.3345,-9e-04,0.5009,0.3505,1.1513,0.0197,0.0857,-0.2487,-0.2149,0.0305,-0.2621,0.9974,0.9536,0.2063,-1.1448,0.2188,0.499,0.8941,-2.9169,0.0866,2.7225,-0.3202,-0.1693
0.2595,-1.6132,-0.5472,0.0577,1.9625,-1.855,0.8321,-0.6084,0.2726,0.8101,-0.5539,0.7772,0.7085,-0.9792,-1.0669,2.9736,-1.6536,1.1229,0.4583,-0.4373,-1.3505,0.6057,0.9765,0.2612,-1.9732,-0.599,-0.6526,-0.9548
1.2546,0.029,-0.8756,-1.0804,-0.3092,1.2975,-0.0905,0.0515,-0.9113,0.2402,-1.0674,-0.2794,1.6254,0.0714,1.9995,0.0123,1.7365,-0.7145,0.2952,-1.2719,0.3131,0.5073,1.4069,0.8967,-1.3426,0.1273,0.1759,-1.0987
-0.2734,0.9612,-0.9979,1.6001,0.5709,-1.2497,-0.2273,-1.7742,0.4996,-1.9011,-0.2534,-0.0898,0.7362,-0.8558,1.8885,0.8147,-0.5832,-1.294,-2.9677,0.2789,0.446,1.6819,2.1031,-0.6702,-1.278,0.2842,0.8045,0.1365
