"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NS47","NS48","NS49","NS50","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29"
0.156,-0.091,0.4598,0.4677,1.8808,0.8963,0.2771,0.0293,-0.1039,-1.5963,1.3695,-0.6323,0.5609,-2.1217,-1.5588,1.3334,0.9709,0.225,0.4257,-0.3505,-0.2001,-1.0085,1.1125,0.8263,2.2315,-0.671,-0.5297,0.7565,-1.3408,-2.4441,1.6945,-0.5072,-0.1222,0.3276,-0.0127,0.8036,0.7587,0.7961,-0.2771,1.6314,1.9252,0.8531,0.7093,-0.3697,-1.0776,0.366,1.0761,-0.0842,-1.3833,-0.0765,-0.6628,0.5884,-0.203,0.7623,0.178,-0.0776,0.0526,1.5865,-0.9404,0.24,1.8399,1.4652,1.4343,0.0062,0.1509,0.5953,1.1576,0.9133,1.2384,0.1416,2.1967,-0.3201,-0.7134,-1.3592,0.0228,-0.884,-1.1899,0.3891,0.3974,-1.0089
-0.844,-0.5283,-0.6373,0.7651,-0.495,-1.4599,-0.1387,1.7386,-0.411,0.6732,0.438,-1.8103,-1.1861,-0.2917,1.449,-0.4307,0.6994,0.1921,0.5141,-1.0554,0.8448,-0.9432,0.3581,1.4348,0.4204,0.6397,1.3846,0.3493,-0.6363,0.9351,-0.0293,3.0907,-0.3507,0.3243,-0.664,0.2204,-0.1272,0.6849,0.0596,-0.8174,0.0056,-0.1167,-0.3774,-1.6697,0.4582,1.579,-0.8489,0.7098,1.4404,0.9741,-0.8223,0.7983,-0.3142,-0.7672,0.3891,-1.1703,-0.5219,0.2403,0.5877,-1.381,-0.0837,-1.6386,-1.355,0.5532,-0.5429,0.9035,0.7074,-0.0176,-2.3433,-0.2132,0.785,-0.3558,0.1994,-0.2207,-0.363,1.1883,0.2877,-0.4649,-0.4195,-1.0482
-0.2648,-0.6354,-0.0186,-0.6035,-1.5052,-0.2803,0.2036,1.5241,-0.4199,0.4639,1.8383,-0.1093,-0.5571,-1.2671,1.3778,-1.6829,-1.142,-0.4431,-0.4381,0.8382,0.2748,0.2208,2.1649,-1.5089,-0.7821,0.1178,-0.3155,1.3323,-0.3282,0.9001,0.2866,0.837,-0.522,2.2112,-0.0589,1.4075,1.2058,0.4967,-0.3575,-0.3617,-2.3588,0.4896,-0.7145,0.4778,0.1091,-0.0786,0.6097,-1.2674,1.393,0.7981,-0.2043,-0.4597,0.3096,-1.7275,0.5948,0.6663,-2.0275,0.4664,-0.9388,1.3425,-0.2974,-0.4715,-0.291,0.1531,0.6256,1.6624,1.6452,0.0197,0.8845,1.7867,-2.7642,0.2708,0.1769,-0.0853,0.4222,-0.3945,-0.3399,-0.7754,1.2645,0.3318
-0.8253,1.3479,-0.8353,-1.2475,0.08,0.2176,-0.4663,0.2027,-0.207,1.224,0.9505,-1.4134,-0.8431,0.4868,-1.9412,-0.4213,-1.0926,0.1479,-0.9507,0.6055,1.8983,-1.4897,1.609,0.9584,-1.8574,1.0896,1.1547,-0.4627,-1.3169,2.4326,0.0855,-0.1983,-1.5392,0.618,-0.0212,-0.1427,0.4658,0.1301,0.7956,-0.152,1.208,1.1443,0.3102,0.181,0.6301,-1.8587,0.0671,-0.3095,1.4272,0.815,0.1445,1.4738,-0.9427,-0.4026,-0.7204,-0.538,-1.9309,-0.4052,1.0909,-0.5208,2.2441,-0.1499,-1.21,-0.5021,-0.9066,0.6687,2.1481,0.3946,-1.222,-0.1095,1.7249,-0.4188,0.2605,-0.7293,0.1453,-3.3964,-0.1759,0.9155,2.0084,-0.372
0.306,-0.0859,2.2533,-0.2838,-1.6136,-0.6022,0.2091,3.4077,0.242,-1.9608,1.6144,0.2547,2.6719,-0.2766,-0.0515,-2.1535,0.754,-1.3,1.5287,-0.2313,-0.7693,-0.7432,0.8537,1.1139,0.7119,0.8856,0.1241,0.0391,1.146,1.3553,-0.825,-0.3569,-1.256,-1.5225,-1.2916,-0.3617,0.3907,1.4035,0.1298,0.5977,1.061,0.2365,0.7479,-1.1999,0.422,1.0172,0.5025,-0.3296,-0.3066,-1.4748,0.2763,1.5181,-0.3046,1.5196,-0.99,0.0132,0.8207,-0.1366,0.5204,0.9735,0.0939,-0.5977,-0.9514,1.754,-1.3035,-0.236,-1.9378,0.5963,0.1628,-0.9327,0.6596,0.4947,0.843,-0.2595,0.8431,1.1017,-0.5482,-0.5876,0.2292,2.347
-0.7986,1.0284,-0.4954,-0.369,1.8403,-0.236,0.0525,1.0054,0.5756,0.2583,0.2652,1.6043,-1.951,0.5757,0.391,1.1935,1.5618,-0.4811,-0.2528,-0.3241,-0.3221,0.5076,0.0644,1.8171,0.9101,0.7146,0.4015,1.2793,1.2295,1.5,0.5192,-1.3648,-0.1702,-0.5082,-0.2197,0.1903,0.7737,-0.739,0.1965,-0.6919,-0.082,-1.6946,-0.9063,1.3041,-1.8213,-3.3931,-1.0359,0.1163,-1.0194,-1.3216,-1.1445,-0.9842,-0.7251,0.3141,-0.9663,0.0965,0.0481,-0.0307,-0.2709,-0.6345,-2.9754,0.8156,-1.0138,-0.5882,1.7305,1.0166,-0.1137,0.61,-1.2718,0.6288,-0.5487,1.9399,-0.0481,0.1079,2.2152,0.0348,1.1234,-0.0964,-3.01,1.3302
-0.2112,-0.8792,-0.2704,1.46,-1.1296,0.6504,-0.7345,0.4255,-0.8861,0.7099,0.9261,0.3047,0.3684,-1.3479,3.1425,-0.0359,1.1776,1.2489,1.542,0.6991,-0.6578,1.8397,-1.2113,0.6246,0.7124,-0.6122,-0.5825,-0.3297,-0.4587,-0.8778,0.9053,1.0704,-0.4487,0.0987,0.4325,1.2104,0.557,0.2732,0.1897,-1.5379,-1.4156,-0.4699,-0.2282,-0.381,0.8497,-0.2772,-1.5464,-1.7183,0.2327,0.4,0.2314,0.0127,0.1112,0.2015,-0.3568,-0.9188,0.4678,-0.4446,0.1472,0.256,0.5115,1.9729,-0.2124,-0.1663,-0.2524,-0.8812,-0.1258,2.6598,0.7863,-0.8205,1.6886,-0.8259,-0.3784,-0.2452,-0.2379,1.2092,-0.6847,2.5344,-0.3066,-0.1305
-0.8248,-0.0575,0.1567,-0.2594,0.6978,-1.2159,-0.9912,1.4846,0.4454,-1.5056,0.1636,-0.878,0.0613,1.1071,-0.5273,-0.3033,1.238,0.6523,0.4094,-0.3459,-0.7896,2.11,0.1613,-0.2161,-0.0982,1.1054,0.5821,-0.3031,-0.5817,-0.7984,0.1732,-0.2404,0.7597,-1.8193,-0.9132,-1.4211,0.1854,-0.9736,1.0255,-0.2534,1.3392,0.2607,0.3462,-0.1445,-1.4571,0.7983,-0.1181,0.6746,0.3611,-0.1526,-1.6673,0.3858,2.6402,-0.8309,-0.2673,0.2833,-0.4082,0.7277,1.3925,0.8085,-1.9298,-1.0852,-0.2407,2.9979,-1.1127,-1.7597,2.7231,0.497,1.5911,-0.9002,-0.0381,1.7569,-0.0131,0.2988,-1.0883,-2.4254,0.6988,0.3052,-1.5803,1.087
-0.3411,-0.8078,0.5517,1.1404,-0.2851,2.1189,1.0445,-1.3325,-0.1101,2.0977,-0.7907,1.243,-2.1403,0.5777,0.3608,-0.8077,0.4772,-0.7181,-0.6645,-0.4053,-0.7142,0.0115,-0.9689,-0.2027,-0.2627,0.2873,-0.5538,-2.3125,-0.2176,1.2131,-0.702,-0.4343,1.2473,0.6121,0.231,-1.5224,0.9598,0.0477,-0.328,-0.9117,-2.2448,0.4605,0.8181,0.4517,0.8697,-1.7691,-0.2307,0.0628,0.4737,0.9654,0.3692,-0.0297,-0.2543,1.2379,0.4779,-0.1496,1.1255,0.2623,1.3203,-0.7374,0.4016,-0.3004,0.6377,0.6767,0.8561,-1.0788,-1.3356,0.5756,0.2863,-2.0845,1.5257,-1.4372,0.9792,0.7355,1.786,0.0413,0.6608,0.4333,-0.4823,1.0799
3.5968,3.1471,0.9021,0.2076,-0.7712,-0.8354,-0.9244,0.6396,0.6792,0.7729,0.1437,0.5425,-0.5057,0.7249,0.7083,0.0401,-0.4435,0.156,0.267,-0.0871,-0.7409,-0.8612,0.3211,-0.7639,0.4274,0.0114,0.2962,1.1719,-0.0626,-0.1182,0.482,-0.6614,0.0027,1.0049,1.2294,-1.204,-0.8511,-0.1973,-0.7853,0.6689,0.28,0.3686,1.3321,-0.7956,2.3396,0.3328,0.1215,1.8673,0.407,1.2553,-0.0579,1.4714,-1.1056,-2.6562,-2.1586,-0.3898,0.8083,-1.6614,-0.2051,1.0797,0.3437,-0.2145,-2.3409,0.3251,1.0429,-0.1806,0.1358,0.2808,0.6055,-0.2708,-0.4843,-0.0916,0.719,-0.3265,0.1572,0.8834,0.3986,1.0421,-0.7169,2.284
-1.1368,-1.0539,-0.4895,0.9222,0.4771,0.8066,1.6107,1.2873,-0.3541,-3.5512,-1.4103,0.3083,-0.1787,0.2775,-1.3165,0.1017,1.229,-1.0547,2.2441,-1.8131,1.7793,0.9105,0.3246,0.9492,0.2886,0.3875,0.1515,1.8283,0.777,1.2018,1.2276,0.5695,-1.1681,1.0154,-0.8,0.0156,-0.8988,0.9769,-0.1339,1.2936,0.0941,-0.5828,-0.2493,0.6665,-1.2839,-2.1917,0.0297,1.6872,1.166,-0.0072,0.7195,-1.203,-1.8974,1.1599,-1.285,0.7828,2.2431,-0.1769,-0.8774,-0.5304,0.0382,-1.8888,-2.091,-0.1134,0.769,0.1051,0.4038,0.8623,0.9602,1.1236,0.8998,-1.0559,0.3788,0.7223,0.9706,0.6597,-1.7556,-0.5615,0.3491,-0.8659
-0.2208,-0.6246,1.5317,0.9938,-0.1727,-0.6103,-0.0982,0.0891,0.4189,0.3656,0.5414,-0.165,-1.5213,0.4978,-0.0737,-0.5212,-0.7146,-0.1442,-0.7716,-1.0683,2.9018,0.061,-1.2502,-0.2676,0.63,0.2991,0.6689,-0.1442,0.8267,0.218,0.2546,0.6533,-1.3858,0.426,2.6404,-0.0252,-0.0679,0.2492,0.2815,-0.5598,-1.0156,0.6675,0.1538,-1.0284,0.4413,0.2147,1.6864,1.5503,0.9248,0.8815,-1.1912,0.4248,0.7558,-0.7049,-1.1723,1.499,0.4964,-0.069,-0.7096,0.8907,-1.066,-0.0555,-2.7499,-0.0736,2.3158,-2.2033,-0.3288,1.9146,1.1454,-0.4286,0.1274,-0.4397,-0.2367,-0.7631,-1.1485,0.1506,-0.6083,0.9255,-1.4397,-0.4438
0.1375,0.9332,1.6718,-1.3739,0.3293,-0.3863,1.0511,-0.8286,-0.5795,0.7813,0.1948,0.6398,-0.219,-9e-04,-0.1551,-0.2044,-0.4915,-0.0791,0.8933,0.3857,-1.5807,-0.0829,1.5473,0.8261,1.2113,-0.4421,0.3848,-0.4368,-0.1267,-1.43,-0.0985,-0.4339,1.3021,-0.2783,0.2942,0.4866,-1.8528,0.2317,-0.0371,-0.2946,-0.9763,1.0185,0.4213,-1.0391,-0.983,-0.5663,-1.1531,-0.7638,0.8586,0.4299,0.8379,-0.1757,-0.8935,1.7839,0.2976,-0.1787,0.2166,0.5074,-1.1806,-0.0752,-0.2626,0.0384,0.8544,-0.1777,1.1126,-0.4918,-0.5101,1.23,-1.0563,0.0532,0.3475,0.4927,-0.0357,-1.1024,-0.01,0.5573,0.0246,-0.2346,1.3657,-1.1074
-0.471,-0.6877,-0.4157,1.4386,-1.8442,0.6134,-0.0295,-0.8668,0.8335,-1.9113,0.0021,-0.1782,0.7817,-0.3543,0.0928,-1.5517,0.1286,-0.1623,0.456,0.3012,-1.1207,-0.3653,-1.6761,1.008,-0.7161,-1.5786,-1.0458,0.3213,-0.0253,-0.0326,1.257,-0.3143,1.1424,1.2062,0.0679,0.142,1.0564,-0.9048,0.1874,0.3079,0.1682,-1.3227,-0.5424,-0.1457,-0.844,1.9565,0.0914,-0.4923,-0.6057,-0.3887,-0.2272,-0.5523,-1.5465,0.2559,-0.2611,1.0665,-0.2554,0.9464,0.6265,-0.8466,1.9174,0.9534,1.3735,0.1093,-1.7145,-1.5291,1.6045,-0.5439,0.5185,0.7834,-0.7085,-1.2595,2.4101,-0.2811,1.2034,0.3852,-0.0013,-0.7799,-1.0896,-0.4126
-1.1531,0.0284,-0.7902,1.7969,-0.5835,0.2015,-0.8721,-0.4891,-1.0852,1.5355,0.3276,-0.2335,-1.4179,-0.2335,0.1869,-1.2583,-1.7843,-1.6284,0.6616,-0.1966,-0.138,-0.2159,1.557,2.2674,0.923,0.7435,0.873,0.9863,-0.487,1.6218,-1.0363,0.5026,-0.4929,-2.1872,-0.1426,0.0304,1.7862,0.2831,-0.4691,0.6245,1.5007,-1.7544,-1.3579,0.1584,1.0314,-1.301,0.5204,0.33,0.9671,-0.4065,0.0074,-2.4984,0.3053,-0.2516,-0.4881,-1.2561,1.4359,-1.4951,0.7131,0.5698,-0.3219,0.1335,-0.4777,0.1951,-0.3246,0.6422,0.8631,0.5417,0.3304,-0.8016,-0.8634,-0.7923,0.8468,-0.475,0.2784,1.4832,0.6782,0.0261,0.9103,-2.1632
-0.2407,-2.147,-0.9835,-0.3016,-1.347,0.1573,-1.7934,-1.7972,0.8459,-0.8348,-2.7444,-0.1821,0.3333,-0.2147,0.0738,-0.6893,0.6039,-0.8179,0.1307,-0.0121,0.0931,0.0331,-0.2515,-0.0039,-0.6763,-1.3532,-0.4473,0.7265,-0.7827,-0.5848,-2.9127,1.5208,-0.5142,1.6161,0.3035,-1.28,1.1729,0.3767,-0.1841,-1.3764,0.0643,1.0185,-0.7055,0.2226,0.3942,-0.5902,0.7087,0.0743,1.1346,0.0994,-0.5022,-0.4895,-0.1087,-0.2277,1.0029,0.6348,-1.3509,-2.0494,-0.8728,0.5953,1.1634,1.0667,0.2656,-0.3676,0.1427,1.4485,-1.451,-0.9508,-0.2079,-1.8549,0.7798,-0.1311,-1.8316,-0.1672,1.3145,1.1188,-0.7965,0.948,-1.8018,-1.4906
0.1672,-1.0529,-0.4929,-1.9315,-0.6877,-3.26,2.2415,1.1125,-0.6089,-0.9073,0.0078,-2.0307,-3e-04,-0.1836,0.032,-0.4181,-1.0279,1.0128,-1.1759,-0.4126,-0.6118,0.2517,0.7168,-0.9884,-0.0893,0.38,1.1228,1.6975,-0.2109,1.5751,1.3327,0.1412,0.3393,-0.4476,-0.6442,-0.3989,0.5508,1.4912,0.9902,0.0527,-0.5471,-0.1981,1.0753,0.6342,-1.3473,0.5336,-1.0524,1.5761,2.2694,0.9695,0.3491,0.2841,-0.4296,1.4574,0.6862,-1.5451,0.4567,-0.093,-0.6119,0.6096,0.1635,-1.1974,-0.4526,0.035,-1.8437,-0.9623,-0.0287,0.6203,-0.0223,0.6391,0.0769,-0.1868,-0.275,1.7618,1.4414,-2.0125,-0.8929,-1.534,-0.4639,0.9553
-0.8403,-1.6208,-1.6146,-0.0733,0.4127,0.9272,-1.2686,-0.1515,-1.9998,0.3798,-0.0414,-0.2348,0.3306,1.5225,1.1583,-0.0758,-0.4233,-1.2531,-0.448,-0.3914,-0.5799,0.7049,-2.4873,-0.2778,-1.0653,-0.6022,-0.2603,-0.1209,0.4155,0.8055,-1.4916,0.0081,-0.84,0.2737,0.6011,0.8211,1.8324,1.0669,-1.2582,0.1691,0.4244,0.6622,0.8869,0.9829,0.4923,0.6573,-0.7138,-0.2187,-1.2923,0.7371,-0.5207,-0.1473,-0.1704,1.2705,-0.1674,1.1248,1.1562,-1.0629,-0.1873,1.2957,0.8178,-0.1593,0.584,0.1163,0.2827,-0.1305,-1.077,0.6692,-0.627,0.9463,2.0318,0.5998,-0.9334,0.1003,1.0934,1.0535,-0.8369,0.5242,0.274,0.4717
0.1622,-0.0048,1.9786,-0.9966,-1.5862,-0.8126,0.793,1.6047,-1.1334,1.1702,-0.958,-0.4134,1.9142,0.2179,-0.5216,1.8167,-0.6678,-0.9323,0.1779,-0.4426,0.6095,-0.3245,0.4066,-0.4167,0.0544,-0.4514,-0.088,-0.8511,-0.1561,0.4331,-1.7105,0.2278,-1.6714,-0.4719,-0.2434,-0.2152,0.131,-1.7914,0.049,-1.563,0.2635,0.7633,-0.4228,-1.6406,-1.9689,0.1866,-0.5428,-1.1706,0.6379,-1.0565,-1.8848,-0.5357,0.8964,0.082,-1.2798,0.1832,1.7267,1.7048,-0.6386,-1.218,-0.7211,-1.7689,-0.0992,-1.7036,1.7838,-0.1609,-0.0071,-0.0197,0.5335,-0.123,0.2951,0.8967,1.5541,-0.8842,0.583,1.5332,0.9074,-1.3543,2.2043,0.8333
-0.1994,1.802,1.3698,0.2923,0.0952,-0.7968,-1.8862,-0.7607,1.9001,1.9785,-2.7842,0.2473,0.0699,1.7357,-1.0066,0.9013,1.0236,0.3481,-0.6054,1.1442,-1.6808,-1.0029,0.4671,1.5608,0.7868,0.75,0.3448,0.344,1.3071,0.2631,1.2681,-1.8044,-1.3334,-1.4447,0.6493,1.0028,-0.0491,0.5703,-1.416,0.3981,2.1016,-0.6677,-1.0192,-0.4765,-0.8077,-0.5288,1.0598,0.0967,0.0641,1.362,-0.3456,0.1616,-1.5175,-0.4233,-0.5052,1.918,-0.6444,0.6861,-0.1325,0.2326,-0.3678,0.7896,-0.9369,0.3604,-1.1354,1.2901,-1.3607,0.605,0.7483,-0.1554,-0.3585,-0.0273,0.746,-0.5357,0.5449,0.6792,0.9235,-0.549,1.0758,-2.2609
