"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NNS1","NNS2"
0.5327,1.2565,-0.0372,2.708,0.6152,1.4227,0.1318,1.6063,-0.4444,0.3558,-0.0919,-1.5801,-0.5207,1.1664,0.2294,-0.5841,0.0816,-0.6753,0.2673,0.6227,-0.5833,-0.1138,-0.4303,-0.6174,-1.8925,-0.6505,-2.2893,-0.708,-1.0375,-0.0435,1.6951,1.2326,-0.1476,0.2815,-0.0718,0.3492,-0.3684,0.3399,0.8693,0.9971,0.2247
-1.1057,0.143,0.4952,-0.1576,-0.6626,2.6456,-1.1365,-1.3819,1.452,1.2636,-0.6492,-0.3937,0.4856,-2.3011,-0.2261,-0.4146,-1.4263,-0.9186,-0.3396,0.3272,-0.6212,1.3573,0.1854,-0.2411,-0.7052,0.8941,1.1106,0.8169,-0.7848,-0.12,-0.0154,-0.9593,0.369,0.5978,-0.541,-0.9511,0.193,-0.4998,-2.3088,-0.9379,-0.6747
0.3905,-1.9616,-0.5305,-1.0205,-0.8701,-1.2625,0.2047,0.2695,0.4163,-0.7313,-0.4445,0.8794,-0.6016,-1.811,0.4043,-0.7521,1.7723,-0.9111,0.5187,1.4535,1.5101,-2.7573,0.2722,0.1127,0.0294,-1.048,-1.0159,0.581,-1.5012,-1.3972,0.2615,2.0219,-0.3314,0.2962,-0.1556,-0.3611,0.6118,0.3703,-0.0989,-0.7076,1.814
-0.6844,1.1408,-0.0275,-0.1194,-0.9141,0.8584,1.0525,-1.7775,1.0365,0.5553,0.1676,-0.4293,-0.5873,0.8323,-1.0934,0.8153,0.4328,-0.4939,1.1224,0.5095,-0.5546,-0.0271,0.4632,0.4474,0.1721,-1.2198,0.2297,-0.8246,0.2792,-1.7408,1.1501,-2.2395,-0.3005,0.0235,-0.1534,0.5691,1.1937,-0.774,-1.2018,-0.2103,0.6221
3.705,0.9816,-0.7196,0.3761,-0.2988,-0.8195,-0.6006,1.4364,-0.9088,0.469,-0.0942,1.8175,0.7789,-0.1673,-0.249,-0.177,0.3715,-1.5064,0.4147,-1.1044,-1.1779,-0.4594,0.4121,0.5099,2.1699,-0.1431,-2.0823,1.3329,0.0887,0.2211,0.9914,0.1883,1.596,-0.8221,-1.262,-0.0734,0.965,-0.9503,-0.971,-0.5402,1.0739
1.5957,0.3048,-0.027,1.5455,0.1122,-1.8281,-0.3263,0.5388,-1.4665,0.8324,0.7305,1.7839,1.8547,-0.049,0.4605,-0.823,0.2747,3.094,-0.6153,-0.1459,-0.6047,1.093,-0.2925,1.4718,-0.0388,-0.0011,-0.3402,0.8523,0.0336,0.4698,1.09,0.3967,0.8789,2.1302,0.6482,0.3462,0.9454,-0.6389,1.2131,1.1052,0.0086
-0.63,-1.2239,0.7266,-0.2689,-0.3679,0.8753,0.1811,-1.0267,0.6353,-0.5022,0.061,-1.0502,-0.3661,1.377,-1.7448,-0.2995,0.3857,-0.6334,0.5998,-0.4544,-0.9113,0.6151,-1.4176,1.1603,-0.2623,1.6648,1.0896,1.3005,0.6688,-0.8106,-0.0744,1.309,-0.428,-2.2913,-0.5637,2.0955,0.5876,-0.2519,0.012,0.3868,-0.5353
0.2173,0.8623,-0.034,-1.1339,-1.2126,-1.1729,0.154,-0.4606,-0.1656,-0.35,-1.1797,-0.4885,0.5064,-1.921,-1.5107,0.329,1.3649,1.9427,0.2306,0.578,-1.3338,-2.1199,-0.5845,0.0646,0.186,0.1769,0.4698,-0.729,1.9103,-0.4442,-0.499,0.2327,0.2383,1.7297,-0.2154,0.9596,1.2328,1.1909,-0.3608,-0.7775,-1.1819
-1.5831,1.8073,-2.439,0.785,-0.1572,1.5097,-0.2948,1.53,0.1593,-1.0143,-0.7908,1.4318,-0.5785,0.9125,1.1693,-0.2939,0.087,-0.0318,2.1237,0.6711,-1.0936,-0.9326,0.201,-1.0919,-0.681,1.0232,-0.1853,-0.0689,-1.4098,-1.5064,-1.709,-1.2112,-0.9226,0.3284,-2.9474,0.4589,-2.0023,0.6907,-0.2015,0.7377,-0.4018
-0.4935,0.6464,-1.0256,1.4769,0.5776,-1.1127,-0.7461,-0.6649,-0.595,-1.2929,0.2759,1.3932,-0.0151,-0.2539,0.4994,-0.3506,-0.2696,1.0005,-0.7543,-0.0915,0.036,-2.1371,-0.6557,0.1219,0.8714,-1.1705,1.1328,-1.355,0.9823,2.5554,-1.4695,-1.4261,-0.3686,0.9596,-0.3557,-0.1692,-1.1248,-0.4208,-0.1275,-1.3711,0.2857
-0.4271,-0.5399,-0.2917,-0.8372,-1.4014,0.3054,0.2177,0.3326,0.357,2.152,-0.2426,-0.4681,-0.7074,1.6352,0.9793,1.9165,0.4881,-1.3594,0.407,0.001,-0.5341,0.2423,1.6396,-0.306,0.164,-0.3951,-1.8475,0.0976,-1.1127,-1.2154,-1.3283,0.9518,0.4198,-1.7671,0.5469,0.2747,1.6021,-0.8192,0.3788,0.5652,0.2808
0.6217,1.0465,-0.4315,0.7477,-0.5221,0.8181,1.8751,-0.5795,-0.4449,0.8639,-1.7025,-0.4907,1.1835,0.6037,0.3983,0.9596,0.6038,1.4914,-0.1018,-0.0859,0.9822,-1.7609,2.4067,-1.4181,0.4749,0.91,-0.8172,-0.9602,-0.9011,-0.9565,-1.0411,-0.061,0.331,-0.1939,0.6443,0.2798,0.4816,-0.2701,0.5128,-0.9388,-1.7893
-0.8656,-0.1441,0.4507,-1.1775,-0.7513,-0.4484,-0.81,-0.3337,-0.4063,-0.4758,-0.8933,-1.274,-0.4285,-1.1881,-0.4807,-0.497,-0.5014,-1.2394,2.0257,-2.4916,-0.8886,-0.4396,-0.2691,1.0321,-0.2605,0.9011,-0.4665,0.4998,-2.0276,0.2895,0.653,-0.1151,1.0859,-0.2502,-0.3537,-1.356,-1.5923,-0.8908,-0.5077,-1.8543,-1.3876
-0.6481,-0.3813,0.251,-1.2142,2.0582,-0.3215,-1.3918,-0.5535,-0.2061,-0.4876,0.563,-1.4457,-1.9855,-1.268,-0.6386,-0.9625,-1.5512,1.205,-0.6847,1.5303,-0.3532,1.7624,0.2299,0.053,-1.1247,1.1503,-0.5415,0.3766,-0.7596,0.2215,0.9557,1.126,-0.1976,-0.8377,-0.3015,1.2267,-0.748,0.7866,0.3001,0.6198,2.2007
-0.2681,0.0415,-1.48,-0.8709,-0.0776,-0.1772,1.0439,1.6733,1.4641,0.92,0.3448,-0.3295,-1.0098,1.3972,0.7721,0.8933,-1.9272,-0.7094,-0.0289,-0.4316,-0.1393,1.8583,1.032,0.6946,0.3688,0.9978,0.699,-2.6106,0.2853,0.4658,-1.5463,1.3799,0.1823,0.1677,-0.1815,-0.4182,0.2095,0.4188,-1.3997,0.4811,-1.661
0.0272,0.9985,-0.0252,-1.7418,0.5198,1.0314,0.0145,-1.6819,1.0167,0.3861,-0.5784,0.0833,-0.1281,0.9937,-0.1492,0.9652,-0.419,-1.3446,1.2416,0.0228,-0.3337,0.5989,0.333,0.404,-0.1848,0.5498,-0.6283,-0.1472,-0.0715,1.5906,-0.2277,1.897,-0.5208,-1.4375,0.1664,-0.5832,0.2506,-0.6166,-0.3625,-0.5315,-0.9716
-1.4507,-1.5463,0.4924,-0.7844,-2.5869,-0.185,-2.3302,-1.4452,1.6017,3.0134,0.7384,-0.098,-1.4664,0.7622,-0.0936,-1.2944,-0.3211,1.1578,-0.3194,0.6327,-1.8904,-0.9643,0.5081,-0.7429,-0.1362,2.2761,-1.2453,2.0252,1.0906,-0.3707,1.0214,-0.6266,-1.0521,-0.718,-1.3731,0.7891,0.1736,-1.3008,-1.6411,-1.1828,-0.0096
-0.4813,0.5774,-1.1411,-0.9951,0.9012,-2.1477,0.1467,0.6272,-1.6108,-1.0348,0.5429,-0.7847,0.5132,0.1473,0.7927,1.6848,-0.7742,0.0092,-0.774,0.4775,0.3816,2.2551,-1.2884,0.5654,-2.4025,-1.0479,-1.3728,1.0538,-0.3131,-0.6794,1.4578,0.6494,0.6096,-0.0562,0.9394,1.3164,-0.136,-0.1891,-0.4453,-1.3939,-1.15
2.6547,-0.724,0.4163,-1.0632,-0.3975,0.8662,1.813,-0.0544,-0.1861,2.1855,0.5545,-0.6857,1.2301,0.05,-1.4097,0.761,-0.4004,1.7736,-0.9689,1.6031,0.0855,0.0458,-1.5987,0.0337,1.751,1.2042,0.4112,-0.2961,0.7987,1.376,-1.1595,0.9816,0.9857,-1.0288,-0.378,-0.5789,0.1184,-1.2045,1.4129,0.4793,-0.7311
-0.4964,-1.0449,0.7202,1.2895,-0.5732,-0.2491,-0.29,-0.4729,-0.756,-0.6321,0.3039,-0.9206,4e-04,-0.1277,0.6753,0.114,-0.1031,0.0532,-1.1137,0.4538,0.6712,-0.1429,0.689,-0.6213,-0.8158,7e-04,0.3675,0.9357,-0.1633,-0.9853,-0.0831,-0.1187,0.2339,0.7937,0.7463,0.4949,-1.1154,1.1352,0.0337,-0.8484,0.3783
0.4442,-0.4527,-1.171,0.108,-2.2479,-0.2882,0.1508,1.3815,0.0217,0.4751,0.5258,1.3655,-0.4171,0.4554,-1.7985,-0.0081,-0.3511,0.1048,-1.5887,-0.4536,-0.4237,-1.0235,1.1977,-0.2811,1.1019,-1.5185,0.1754,-0.1083,0.2421,-0.102,0.3359,1.2705,-0.5626,2.0604,-0.4845,0.4526,-0.0125,-0.3213,-0.3061,-1.5854,-0.8645
0.0326,-0.8393,-0.4378,-0.1412,0.4996,-1.0413,-0.0393,0.2832,2.1104,1.4361,-1.0404,-0.9149,-0.5301,1.4558,1.2085,0.8734,-2.1867,0.6832,1.0042,-0.9311,0.312,0.5148,1.5539,0.7497,1.251,-3.4671,0.5384,-0.3225,0.1214,-0.4443,0.6727,-0.3467,0.6926,-0.2986,0.6329,0.7278,-0.6158,0.3704,0.2463,1.3051,0.3741
0.6023,-1.2359,-1.3176,2.2202,3.2682,-0.1885,-0.1013,1.1819,0.9323,0.7274,0.5832,1.4078,0.7222,-0.9387,-0.976,-0.0115,0.8684,0.2654,0.5349,1.939,2.4682,-0.2626,0.941,-0.7751,-1.7703,-0.6327,-0.958,-0.7381,0.6709,0.8545,-1.6653,0.7826,-0.904,-0.4916,0.1492,-1.4371,1.2166,-0.0267,0.8025,-0.7612,2.1323
-0.4747,0.7395,0.5582,0.8212,0.4567,0.3141,-0.2012,0.1086,1.1654,-1.2404,-1.7772,-1.2659,2.5598,1.1684,-1.4611,0.4505,-0.4039,0.09,-0.691,-0.9632,-0.3945,0.5464,0.3395,-1.0477,0.1526,-0.3058,0.2941,0.2268,0.045,1.4819,-0.2744,-0.551,-0.4888,-1.6268,0.8037,0.6549,0.3254,-0.6209,-1.0561,1.2029,-0.4016
-0.0565,-0.1757,0.5072,-0.3086,-0.062,0.2743,-0.2667,0.4719,0.0277,-0.553,-0.3879,-0.6776,-0.5578,-1.1102,-0.3226,0.6588,-0.5286,-0.726,-0.7179,0.5592,-0.0957,-1.2946,0.0328,-1.584,-0.8838,1.4964,0.9283,0.2615,-0.2295,-0.1737,1.0109,-2.93,0.9972,-0.3261,-0.2787,-0.2691,0.7049,-1.3725,-0.2517,1.1091,0.4218
1.9306,0.0687,0.5857,0.0558,1.8547,-0.4841,0.1603,0.3567,1.1434,-1.256,1.1483,0.6678,-0.0824,0.0073,0.3483,0.9493,1.3798,1.5925,0.7411,-0.5088,-0.606,-0.6896,0.9385,-1.5745,-0.9313,0.158,0.129,1.1386,-0.3744,-0.2624,-0.8888,1.7219,-0.5671,1.569,1.9304,1.3033,0.5283,0.4924,1.2313,0.1544,0.0607
-0.9915,-0.6596,-0.7425,0.0453,-0.0352,-0.3518,0.0035,-0.6816,1.3545,-0.8595,0.3478,0.2394,-1.9074,0.2996,2.1522,-0.3582,-0.7974,0.3305,-1.357,-0.9649,0.2014,-1.29,-1.0069,-0.5724,0.1661,1.0208,-0.9008,0.0163,0.6686,-1.2278,-1.3829,2.0471,0.1386,-1.962,0.0879,0.1908,0.7467,-0.2143,-0.3569,0.3111,-2.0721
0.4441,0.2508,0.1475,-1.2077,-1.1336,-0.1654,-0.6609,-0.6715,0.6096,0.7448,0.648,-0.5226,0.4844,0.5036,0.4321,0.666,1.0424,0.6238,-0.0495,-0.4349,0.1469,0.2599,0.4758,0.5765,-0.5109,0.0526,0.3554,1.5059,-1.554,0.612,-1.1346,0.8781,1.9945,-0.8279,0.1044,-0.645,-1.883,-0.3494,0.1966,0.499,-0.4638
-0.5933,-0.3988,0.3433,-0.004,-1.5779,0.3684,1.7311,-1.3321,0.4872,-1.0096,-2.3468,-1.4594,-1.0153,0.5322,0.9812,0.0203,-0.1932,0.6722,-0.0414,-1.8491,1.2864,-0.4732,0.914,0.648,1.4009,1.1952,0.0103,-0.2142,-0.7316,1.6333,-0.4684,2.1651,-0.9376,-0.4136,-0.2349,1.1983,-0.3557,-0.3658,-1.0659,-0.4741,0.4654
-0.9473,-1.7486,-0.1522,0.0686,-1.4057,-0.0836,0.1821,-0.4089,-0.9186,-0.0754,-0.3332,0.5671,0.0562,1.9841,-2.7946,-0.7022,-0.2704,0.6173,-0.103,-0.1441,-0.4074,0.444,-0.3855,-0.545,-0.4264,-0.2134,0.1273,1.9564,0.0452,0.4537,-0.6959,0.8553,-0.5933,0.1828,-1.0036,0.2999,-0.7766,-0.4658,-1.0285,2.0063,0.4328
-0.9397,0.7654,-0.83,0.3972,-0.3425,-1.1398,-0.3391,0.417,1.742,1.3062,-1.0918,1.7657,1.2671,-0.2955,-0.8189,-0.4515,-1.4522,-0.7994,-0.0622,-1.1317,-0.6065,-0.2697,-1.4259,-0.6172,0.6591,0.1049,-1.9667,0.5465,-0.592,0.1833,0.2098,-0.8352,0.0992,-0.3339,-0.937,0.0046,-0.507,0.7468,0.1426,-1.1037,-0.3594
-0.1177,-0.0762,1.1319,2.7316,1.6153,1.615,0.4347,1.611,-1.0814,-1.8109,0.1981,1.0739,-0.2146,-0.79,0.6678,-0.968,0.2892,0.2274,-1.5015,0.4681,1.4674,-0.2642,0.3542,0.5066,-0.833,-2.3232,0.9816,-1.3988,0.5695,-1.2095,-0.354,-0.4098,0.2162,-0.6717,2.0919,2.0618,-0.7134,-1.2938,1.75,0.9207,-0.7191
1.2754,0.5932,-0.8624,1.1237,1.5332,-0.8278,-0.3449,0.0043,0.1514,0.0833,0.5525,-0.3442,0.7334,0.0481,-0.6594,0.8185,0.9912,-0.4778,1.0821,-0.8888,-0.2056,-0.4403,-0.2682,-0.6471,1.4165,0.0944,-1.4383,-0.1535,2.0374,0.1302,-1.5219,-0.3054,1.8398,0.2648,-0.2765,-1.2347,0.1157,1.2797,0.264,0.4737,0.0557
0.3183,-1.2127,-1.1058,1.894,-1.212,-0.3411,1.1026,0.1517,1.3377,1.0828,0.7077,0.5354,-0.0589,-0.4813,-1.0103,1.5621,0.4501,0.8696,0.7679,-0.2056,-0.3862,0.9337,1.3111,-0.5272,-0.3202,2.1043,-1.2678,-0.5474,-1.0337,0.0101,2.2438,-0.2193,-1.27,0.1453,-2.0335,-1.2781,-0.0758,-0.0914,0.8796,0.8606,-0.5712
0.0045,-0.7381,1.3994,0.0073,-1.1335,0.4962,1.4333,-0.5722,-0.3978,-0.3332,1.2542,-1.3271,1.1304,2.3564,1.3237,1.1227,0.652,0.3289,-0.8309,1.599,0.3992,-0.7502,0.0614,1.2581,-0.2655,1.2727,-0.3302,0.0415,1.185,0.7829,-1.6229,-1.2975,0.1317,-1.4793,-0.1449,-0.2007,-0.3969,-2.2574,-1.0246,-1.0278,-1.2291
0.1962,-0.8988,0.2182,-0.0612,1.0056,0.023,1.0998,0.3245,-1.8913,-0.8862,1.8437,1.3717,0.7625,0.7191,-2.9896,-0.2658,1.1196,-0.3933,0.2241,-0.5898,-0.7708,1.5655,0.5537,-1.4232,0.0796,-0.31,0.026,0.3597,1.6045,0.304,-0.6121,-0.957,0.2534,0.3502,1.0579,-1.4014,-0.07,0.1769,0.9597,0.9191,1.8676
2.068,-0.0341,0.1696,-0.0903,-0.8649,-1.1224,-0.4272,-1.6824,0.7312,-0.65,0.9317,0.3285,-0.3558,0.2548,-0.0594,0.114,0.1539,-0.1192,1.0457,-0.3588,0.2128,0.3293,1.0062,0.1803,1.3607,1.6079,-0.6889,-1.7413,-0.4744,0.2366,0.0101,0.9165,1.1864,0.372,0.7936,-0.4601,-0.0812,-1.205,-0.4447,0.7735,0.6944
-0.4048,0.1444,-0.4588,-1.2709,-0.3342,0.2226,0.3765,2.0098,-0.8599,-1.494,-0.8636,0.4019,1.3818,0.1399,-0.9854,-1.3854,1.1331,0.7506,-1.4396,-0.2313,-0.061,1.4013,0.3334,-1.3868,1.1721,1.3801,-0.315,1.5764,-1.997,-1.6252,-0.3616,-0.6804,0.8473,-0.5639,0.2697,2.9493,1.2711,-0.0262,0.9177,0.0668,0.6691
-0.6274,-1.251,0.3485,0.6835,-0.2516,0.0873,-0.746,-0.0651,-0.4603,-1.6577,-0.9873,0.6089,0.5328,-0.9709,0.5836,1.5821,1.0807,0.2746,-1.0351,0.547,0.5125,-1.1074,-0.1391,-0.7346,-1.4816,-1.1489,0.226,-0.5898,-0.2071,0.2189,-0.6445,-0.9607,-1.2011,1.8235,-0.2906,0.6155,-0.2013,-0.0702,0.9498,0.1679,0.6499
-0.3269,0.7522,0.1409,-0.2624,0.3181,-1.112,0.1798,-0.4991,-0.2062,1.2796,-0.0415,0.2138,-0.3252,0.4778,-1.3698,-1.4639,-1.0262,-0.6978,-0.2135,-0.1448,-0.0939,0.9162,-0.1595,-0.3223,-0.1222,-0.1674,-1.3351,-0.5658,0.7891,-0.3165,2.2584,-0.424,1.4473,-0.273,-0.7623,-2.5772,0.195,0.9225,-0.6591,-0.5217,-0.7432
0.7914,-0.0558,-0.8249,0.3341,1.5167,-0.5964,-0.7184,-1.4404,0.081,0.1487,-1.0251,-0.4038,-1.3293,-0.0661,0.8373,-1.3547,-0.1854,-1.8015,-0.4527,0.5347,2.3244,0.0044,-0.0154,-0.8077,2.3422,0.3604,1.5179,-2.9014,0.5185,-0.7771,-0.0913,-0.1179,-0.2215,1.0613,-0.9759,-0.5437,-0.4073,0.6258,0.8984,-0.3248,1.2416
0.287,0.3196,1.0688,0.7304,0.1398,0.7821,-2.0492,1.9,0.0073,0.9785,-1.077,0.0044,-0.5278,-0.3657,-0.2948,0.3308,-0.0608,-0.9177,-0.3141,-0.2696,-0.7949,-0.6306,-0.1195,-0.0451,2.872,-0.8833,0.6612,1.0065,-1.9111,-2.2129,1.567,-1.2451,0.211,-0.7555,-0.1486,-0.1647,0.3975,-0.2466,1.4062,0.2666,-0.5655
0.759,1.2997,-0.1625,-0.3423,0.3064,1.4653,-0.7087,0.5894,-0.612,1.8539,0.9293,1.0182,1.4904,0.5676,-0.1561,-0.6964,-1.2243,-0.7803,-1.1972,-0.0199,-0.9576,0.1218,-0.2148,1.2818,0.4417,-0.2679,2.1077,0.8884,1.0319,0.4221,-0.5225,0.6413,0.9345,-0.7974,-2.3144,-0.4227,0.0713,1.3771,-0.0584,1.8162,-0.2264
0.0707,0.3893,0.1943,1.3877,-0.4142,0.2928,0.4714,-1.6214,-0.4848,0.8684,-0.2426,0.594,-0.029,0.1337,-0.4292,-0.4816,0.5294,1.0026,-1.3236,-0.5325,-0.6913,0.1774,0.3444,1.2148,-0.0642,0.0932,-0.2835,-0.288,0.5683,-1.6688,0.2969,0.4966,0.7376,0.8467,-0.146,1.4191,-0.2905,0.5595,-1.6892,2.028,-0.6604
