"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46"
-0.6822,2.1127,-0.8692,0.8169,0.0368,2.131,-0.468,-1.5184,1.6196,-1.0649,1.1736,0.3506,-0.4181,0.1627,0.1969,0.3017,-0.9229,-0.0248,0.3646,-0.9807,-1.254,0.614,-0.5286,1.7014,-0.1197,-0.5108,-0.1079,-0.2668,0.7161,-1.8336,0.4306,-0.8673,0.4618,0.3419,0.3266,-0.595,-0.1391,-0.3887,-0.6572,0.2403,-0.2042,2.1916,-0.9728,-0.9745,-0.8592,1.5955,-1.375,0.8272,0.8207,0.583,-0.1585,0.8614,-0.0664,1.6743,-0.0481,0.7727,-0.1145,-0.529,-0.146,0.1868,0.2986,-1.2665,0.8174,-0.7729,0.0894,1.2291,-0.5374,-0.5991,-0.8439,0.9576,-0.7671,-0.61,0.9128,-0.2768,-1.0792,-0.409,-0.6742,-0.8778,1.4861,-1.8184,-0.8266,-0.128,0.1107,-2.5237,-1.2256
1.6078,-0.7831,0.6042,-1.4968,-0.8373,-0.2622,2.0557,1.51,1.917,-0.6607,0.8017,-0.4166,1.6154,0.7354,1.1514,1.8626,0.1655,-0.3815,-0.6632,1.0628,0.8245,-1.3659,2.0724,0.4322,0.9464,0.0602,-0.4489,0.4088,0.4618,0.7759,0.0711,-0.377,0.2495,-0.1094,-0.1157,-0.374,0.5417,0.4803,-0.7428,-1.6258,0.1873,1.0374,0.2542,-0.1487,-0.0882,0.0726,-0.8602,0.171,-0.8886,0.2102,2.2809,-0.7437,0.9498,-1.3471,0.3764,-1.0499,0.4198,0.1982,0.3191,0.4883,0.8046,0.7497,1.5372,-0.3418,-1.861,-0.6045,-1.1221,-0.5674,1.0708,-1.7067,-0.5244,-0.9915,0.1437,-0.0359,0.7217,1.2128,-1.9344,1.3082,-0.4218,2.1788,1.2518,-0.9058,0.2095,-0.5972,0.3838
-0.184,0.5191,-1.501,-0.1535,-0.8446,0.2574,-0.7787,0.1493,-0.1638,-1.3403,0.1116,0.0502,-1.6317,-0.945,0.5363,0.3384,-0.0565,0.0054,-0.7905,-0.7787,1.0368,-0.4601,0.1086,-1.4457,-0.3967,-2.2395,-0.0922,-0.8127,-0.449,-0.4976,0.3315,2.3316,0.3814,0.8326,1.6657,1.3634,0.5245,-0.5801,-0.183,-0.2429,-1.3492,0.179,-0.1956,0.9413,-0.5727,-0.1583,1.1989,-1.5342,-0.0958,-0.3327,-0.1194,0.389,-0.2781,0.8153,0.6005,0.1463,-0.7229,-0.9536,1.3145,-0.2459,-0.1357,-0.1096,1.7293,0.4474,0.9053,0.4339,-0.7484,-0.5355,-0.6124,0.8974,-1.0958,0.7613,-0.8331,-0.4303,-0.8674,-1.5575,-0.0754,0.3715,-1.3365,1.4301,-0.0037,-0.5738,0.5425,-0.7654,-1.4684
0.0397,0.1678,2e-04,-0.3057,-2.1448,0.9382,-0.0505,-0.5601,1.0448,-2.5804,2.423,-0.8517,-0.47,-0.7646,0.0501,-0.675,1.5031,0.0139,0.8007,-0.8784,-1.4927,-0.5746,-0.4251,-0.1564,0.1987,0.9337,-0.3595,-0.331,0.9506,0.0305,0.2816,0.4804,0.587,-0.4052,0.111,0.4293,0.732,-0.5908,-0.2575,-0.3911,1.3066,-0.0705,-0.0279,1.5827,0.0548,0.0673,1.5662,1.5243,0.027,-1.5312,0.0971,0.0997,-1.2505,0.1919,0.837,1.6343,0.9004,-0.2529,-1.8046,0.4522,0.0393,0.0832,-0.3912,0.4221,-0.4825,2.0202,0.3632,-0.5248,0.3126,0.6531,0.6715,-1.6685,-0.6281,-0.1538,-0.6265,-0.6731,1.6867,-0.0141,2.03,-1.42,1.1181,0.8713,-0.0348,-0.958,0.2541
-0.6842,0.4922,-0.2088,-0.5148,-0.0613,1.3481,-0.1082,-0.7084,-0.7627,0.4775,0.4219,1.6114,-0.9231,0.8554,0.5687,0.6176,0.1594,-0.8924,-1.3355,0.7459,0.7301,-1.3176,-0.0986,-0.701,-0.3867,-2.2793,-0.4795,0.3849,0.6802,-0.2463,-0.2216,0.4608,0.0563,-0.0782,0.2319,0.3665,-1.0125,1.2024,1.8752,0.8483,-0.6986,-0.1647,-0.0812,-0.7439,0.0691,-0.6562,1.1265,0.486,-0.4716,-1.2145,-0.7549,0.7099,-0.5255,0.8304,-0.2489,1.5857,0.7876,-0.4618,0.372,-1.6223,-0.1945,-0.2209,-0.9095,0.7777,0.5046,-1.275,1.3528,-0.3882,-1.2997,-0.0346,-0.1665,0.5593,-0.386,0.6012,-0.5957,0.2576,-0.9604,-0.575,-0.8098,-0.3745,1.1959,-0.8274,0.3192,-0.3744,-1.1786
-0.7207,-0.5004,0.9805,-0.7531,0.4588,-1.7292,1.2333,-0.0341,-0.9381,1.1095,-1.6116,-0.7299,-0.8507,-1.2444,0.4606,-0.458,1.2191,-0.7668,0.4252,0.789,0.251,0.7466,-1.0372,0.2566,1.9144,0.751,-1.4853,2.0664,-1.1231,0.055,0.7721,-0.0886,0.9108,-0.3379,1.7914,0.4658,-0.702,-0.4137,-0.8076,0.8166,-0.413,-0.9038,0.1222,-0.5248,-1.9566,-2.2905,0.7648,0.0314,-1.7218,1.2767,1.6471,-1.1527,-0.006,1.1506,-1.7385,-0.8773,0.1935,0.5548,0.9543,0.5806,-0.2368,2.0185,0.7678,0.4466,-0.2298,0.2999,-1.0603,-1.5786,0.7407,-0.9227,0.3716,-0.3459,-0.0302,1.1737,-1.4078,-0.3748,0.3017,-1.9708,-0.5561,0.1455,0.4847,0.4902,0.6023,0.0305,-1.0448
-0.9242,0.8734,-0.6651,0.203,-0.044,0.4404,1.46,1.2444,-0.3969,0.1391,-0.5086,2.7455,-1.0228,-1.3588,-0.2598,-0.0321,0.6835,-1.8824,-1.9403,-0.5276,0.2724,-1.3632,-1.0434,0.5402,0.3086,-0.9913,0.7799,0.8484,1.4484,0.1307,0.1205,0.4467,-1.1576,1.966,-0.3692,-0.631,0.0614,-0.4364,1.3948,0.8719,1.3447,0.8476,0.9355,-0.515,-1.6631,-1.5042,-0.4389,1.2878,-2.585,-0.6713,0.6403,0.3678,-0.5476,-0.9372,0.103,-0.2561,-2.125,1.1436,0.4329,-0.2989,1.2809,-0.7741,-0.1953,0.5038,-0.3261,1.6477,-0.4577,-0.9525,-1.8452,-0.9184,-0.2796,0.1957,0.2776,-0.9511,-0.1889,-1.5135,0.7739,-0.2149,-0.2503,0.8898,0.1744,0.4978,-0.451,-0.1451,-0.4801
-1.262,-1.8143,0.1135,-0.6708,-0.0501,-0.1053,0.0895,-1.6925,0.9577,-0.0721,0.2599,-0.8996,1.782,-0.7605,0.2761,1.5627,-0.5674,0.6929,-1.0803,-0.5722,-0.56,-0.3139,1.1245,0.348,-0.0826,0.0911,0.3777,0.8521,-0.5724,0.5729,-0.6608,-1.113,-0.4975,-0.3951,0.0876,-0.968,0.2773,-1.0162,-0.9097,-1.0461,-0.6639,2.0176,-0.6115,1.0096,1.598,0.2306,-1.5259,1.2546,-0.0391,0.4794,-0.9368,-0.4212,0.074,0.2384,-0.5273,0.0955,-0.3662,-0.1359,-1.3752,0.3006,1.9123,-0.125,-0.1019,-0.6643,0.4175,-0.6809,-0.0511,0.7973,-0.0415,-1.5458,-1.2616,0.8028,1.2612,0.3064,-1.2052,0.5397,1.6211,1.9327,0.0901,0.7596,0.7085,-0.4847,1.5397,0.3514,1.2727
-0.7294,0.3121,0.6816,1.4125,-0.2452,-0.1417,-0.8415,-0.5486,-0.4944,-1.3335,-0.7679,-2.164,1.724,1.5539,0.173,-0.713,-1.399,-0.9253,0.0889,-0.0465,-0.55,-0.7902,-0.3868,0.4311,-0.3229,1.4312,-1.3661,-0.5363,1.4827,-0.3033,0.9297,-0.3385,-0.9168,-1.5161,-0.4192,-0.2931,-0.9181,-0.487,1.2923,-0.8,1.2767,0.193,0.7,-0.511,0.124,1.39,0.5976,-0.4828,0.9858,-1.5519,1.0262,-0.9524,0.1365,-1.7616,1.1141,2.1733,-0.1528,-0.3778,1.4387,0.4623,-0.1387,2.0342,-0.1047,-0.2455,1.4905,1.5176,-0.6274,0.1208,0.249,2.0193,0.026,0.9727,-0.2604,0.0873,1.2524,0.068,0.9274,1.5186,0.6721,-1.3547,-2.2991,0.3376,-0.2199,0.3929,0.0129
-0.7273,1.7433,-1.2035,-0.33,1.9438,-0.519,-1.0824,1.2158,-0.4871,-0.1583,-1.1003,-0.8131,0.3903,-0.3014,-1.1564,1.1446,1.4605,0.0074,2.836,-1.2077,0.5075,0.1194,-0.629,0.984,-0.1787,-0.3551,0.2323,1.809,-0.6193,0.5074,-0.6448,-2.4041,-0.5054,-0.6848,-1.7791,1.082,-0.5911,0.9058,-1.3111,1.4331,-0.5819,0.7095,-0.2406,-0.0087,1.5232,-1.3982,0.4667,0.6983,-1.0233,-0.086,-0.1017,1.2968,-0.7501,-0.5787,-0.3815,-1.0339,0.7774,0.2973,-0.4855,0.5762,-1.8874,-0.1933,-1.5812,2.8507,0.1996,-0.5095,1.0546,-0.5973,-0.1674,-1.715,-0.6054,-1.0471,1.1187,0.4226,-0.9587,0.4227,-0.1305,1.0724,-0.5811,-1.1164,-0.291,0.307,-1.949,-0.2387,-0.1658
0.0047,0.1815,-0.0186,-0.6904,1.5348,-1.204,-1.1652,0.3808,0.7489,-0.9657,0.4741,0.6137,-0.2746,-0.7767,0.2401,0.0968,-0.6507,0.0646,-0.5681,0.3863,-1.2535,-0.967,0.3714,0.2899,0.6558,-0.0123,0.5137,-1.0145,0.2106,0.8425,-0.5779,0.5596,-0.0223,-1.4376,-0.0679,-0.8948,0.3617,2.7218,0.1954,0.5809,1.109,0.566,0.9224,-0.8926,-1.2486,-0.7462,0.1873,-0.607,1.0449,-0.4963,-0.2341,1.6733,0.8011,0.8566,-0.6946,1.7942,-1.7972,0.3092,1.9733,-0.4518,-0.4582,0.8831,1.585,0.7038,-0.369,1.2941,-1.0005,0.4847,-0.9796,-0.7741,2.0607,-1.7039,-1.6277,-0.832,-0.1178,1.071,0.6531,2.0639,-1.4068,-0.2509,-1.8838,-0.7192,1.8399,0.0362,0.1075
0.0865,-0.557,-0.6475,1.3394,0.7003,1.2976,2.2793,1.8372,-2.7973,0.9577,-1.5434,0.4858,-0.9457,-0.9872,-0.2256,-0.7679,-1.5067,-0.3543,-0.6984,0.4387,0.7193,-1.4046,1.8548,0.6278,0.5937,0.1915,-0.3973,0.9808,-0.1099,0.8441,1.2852,0.5599,-1.8204,-0.9738,-0.8577,-0.5506,0.5002,-1.394,2.2322,-1.7064,-1.08,0.0048,0.5573,0.7997,0.7191,-1.8731,0.2963,0.9305,-0.6241,-0.4091,0.9477,-2.0535,-0.4888,0.2659,-0.3657,-0.6226,-1.3738,-1.6643,0.1865,-1.0258,-0.2217,0.3136,1.4419,-0.8195,0.7039,-0.9575,1.1501,1.3278,0.4432,1.5631,-0.0636,1.0716,1.2601,0.6404,1.1416,0.4551,-1.6994,0.1402,-0.5006,1.0871,-1.2286,-0.3984,-0.2891,1.0184,0.5935
-0.8241,0.116,0.6839,-1.1132,-0.864,0.3552,-1.2081,-0.9934,-0.4718,-0.0852,0.162,-0.6174,-0.0405,0.4447,-0.1635,1.0833,-0.4186,-0.0761,1.5456,-0.2709,-2.5622,2.2247,-0.8861,0.1033,-0.1105,0.1712,-1.6249,0.1583,-1.4298,0.1567,1.0646,0.706,0.7698,-0.8435,0.9956,-0.6313,-1.7459,0.7651,0.8506,0.1038,1.3102,-0.4927,0.2158,-2.5301,0.0864,0.8345,-0.155,0.2045,0.4064,0.7996,-0.7064,0.1645,1.6244,0.4739,0.355,-0.4509,-0.4056,-0.4919,-0.1025,-2.4721,-0.0417,0.9282,0.8205,1.8387,1.3712,1.3184,-1.0798,0.937,-0.0854,-0.006,1.4458,-1.0385,-1.1051,2.2652,-2.5887,0.5003,0.4702,-1.3973,-0.6535,1.3664,-0.6028,1.1669,-0.6234,-1.682,-1.9665
0.1759,-0.6202,-0.5098,0.5765,0.3456,-0.9537,-2.028,0.2546,0.0237,-2.165,0.3591,-1.0052,0.7321,0.5201,0.7794,0.2049,-2.5869,-0.6287,0.5317,0.4114,0.1958,-0.5349,1.8744,0.1841,1.1736,-0.6715,2.0878,1.626,-0.5065,-0.6549,-0.1019,-0.3583,0.4713,-0.8002,0.3842,1.034,-0.2707,1.2664,0.7619,-1.8642,0.2708,-0.1549,0.2012,0.5123,-1.4064,-2.061,-0.6834,1.1234,-0.631,0.8198,-0.3103,0.7991,-0.3236,-1.9839,2.4056,0.2828,-0.955,-0.4233,-1.1008,1.0386,-1.1548,1.0087,0.0451,-0.5274,-0.6594,0.3439,-1.4064,-0.0149,0.8179,-0.1182,0.5894,0.9849,0.4899,0.7782,0.6731,1.5092,-0.8607,-0.2184,0.5188,-0.17,0.142,-0.6241,-1.8514,-0.0023,0.0987
1.5581,1.0208,2.2107,0.463,0.3709,0.0931,1.07,1.972,0.3845,-0.977,0.8085,0.1499,1.4167,-0.6813,0.19,-1.5278,-0.269,-0.6029,0.4491,-0.5884,1.2103,-0.4463,-0.8545,-0.7529,2.0124,0.1946,-0.6473,0.1029,0.4629,-0.3317,0.3244,-1.4214,1.115,-0.5549,1.415,1.3291,0.2393,-0.2422,-0.0539,0.2184,-0.2699,-0.9703,0.8994,-0.4663,1.0262,-0.6162,0.0769,0.4036,0.9896,-0.635,1.6509,1.382,-3.4244,-0.7093,-1.3158,-0.0257,-0.4641,0.0877,0.7646,-0.1509,-1.2388,1.8455,-0.7584,2.7291,-0.0906,0.2669,-0.1111,1.0521,1.2241,-0.9301,0.5348,0.3096,0.3052,6e-04,-1.0474,0.0428,-0.7242,-0.6839,-0.8172,-0.1855,-1.224,1.3577,-0.1544,-0.3821,-0.9816
0.7144,1.4372,-0.8325,1.0445,1.1791,1.6453,0.4615,-0.3304,-1.6126,1.4918,-0.09,-0.062,0.0359,0.9911,1.4423,-1.1664,1.8595,-0.2952,-0.4107,0.9395,1.2091,0.6554,1.6216,-1.4327,0.0675,2.5367,0.2862,0.0145,-0.7324,-0.6434,-0.5355,0.3708,-2.3321,-0.1791,-0.5192,0.9604,-0.9186,1.3132,1.2281,1.5143,0.3069,-0.4668,-1.0921,-0.1231,1.4198,0.7607,0.3424,-1.7922,-0.7902,0.49,-1.0777,-0.8307,0.6189,1.4059,1.5336,0.1342,-0.1101,0.5168,-0.8411,-0.2605,-0.226,-0.3307,0.576,-0.9242,0.2844,-0.4914,-0.8126,-1.567,-0.4171,-1.4077,-1.9453,-0.8967,-1.7934,1.8379,0.1675,0.0321,-0.0583,-1.0017,-0.6212,0.7439,-0.3245,0.5514,-0.9435,1.0009,0.3731
1.709,1.0139,0.244,-0.3607,-0.3236,-0.2286,-0.7753,-1.4479,1.7769,0.1407,-0.5544,-1.6699,2.1684,-0.1976,0.9412,0.2573,0.0962,-0.9493,0.9285,-0.61,0.7145,2.1331,-0.5674,0.2804,-1.3115,0.3415,0.9992,0.5865,0.9177,-0.158,-1.1559,-0.7884,-1.0717,-0.0752,0.665,0.057,-0.1022,0.2647,-0.49,-0.0688,1.0233,-0.0376,-0.9041,-0.0755,-2.5494,0.5637,-1.2873,0.2478,0.1143,-0.2883,0.1417,0.9222,0.2245,0.8762,0.5264,0.0265,1.3428,1.4652,-0.8897,-0.8885,0.9746,0.9921,0.1198,0.6172,-0.3827,0.4837,0.4181,-0.4271,-1.4444,0.4569,1.3384,1.0198,-0.1591,-0.388,1.5554,-0.9977,2.5255,-1.5265,-0.4068,-0.1122,1.5312,-0.3842,-0.4518,-0.6782,1.482
2.2682,1.4857,0.2972,-0.2666,-0.8254,-0.6621,-0.5097,-0.6459,-0.0223,-1.7782,0.5348,1.12,0.4592,2.213,0.075,0.3893,0.651,-0.7459,1.3351,-0.2854,-0.2945,-0.1161,-0.387,-1.2867,0.052,-1.4002,-1.2057,-1.6417,1.0943,3.2731,-0.2053,-2.0099,1.0946,1.788,1.1656,1.539,-0.1011,-1.2728,-0.3434,1.323,-0.402,0.3407,0.8368,1.5262,0.7135,-0.1962,-1.3162,1.3108,-1.0236,-1.7506,0.4243,-0.0219,-0.3974,1.0102,-0.7498,-1.646,0.8751,0.3634,0.4415,-0.295,1.3144,1.1936,-0.8396,1.3433,0.9354,-0.3502,1.0697,0.3064,0.5512,0.6188,-0.4052,0.0802,-1.9296,-0.007,1.4454,1.5666,0.5978,0.0461,-1.0238,0.1261,-0.3529,0.2963,0.3208,-0.4697,0.0035
