"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46"
0.7697,-0.9392,1.4824,0.3036,1.1208,-0.9459,0.0829,0.6427,-0.5262,-0.1467,-0.9885,-0.2813,0.6638,0.7292,0.2399,-0.3353,0.8979,-0.8984,0.8753,0.7402,-0.6543,0.3145,-0.5136,-0.3125,-0.9958,1.2109,-0.227,0.7498,0.2171,-0.1362,-0.2083,-1.2697,1.1822,0.1771,0.7613,0.3457,-0.4269,-0.6215,0.9615,-1.2107,0.5504,-0.1448,-0.4316,1.2299,-1.7194,-0.9861,0.4972,-0.6572,-0.1846,-0.1315,1.6845,-0.1589,1.7313,0.9866,-1.3858,1.39,-1.5429,0.6754,-0.0723,0.0818,-0.3695,-0.3359,2.5297,-0.5813,-0.0221,1.9132,-0.8843,0.6047,0.4361,-0.0915,0.1611,-0.659,-0.1975,0.1358,-1.211
0.3441,2.0136,0.1877,0.383,0.2048,0.1516,-1.1306,1.077,-0.6566,-1.7726,0.2971,-0.0246,-0.0375,0.5914,-1.0716,0.3925,0.8425,-0.4498,-0.241,1.762,-0.0571,0.4655,-1.3193,0.3294,-0.4273,-0.3265,-0.6331,2.0611,1.0503,-2.387,0.1856,-0.3333,-0.4937,-0.3183,-0.5452,-1.2256,-1.6393,-1.4562,-0.1203,0.4645,0.7548,-0.9721,0.793,0.3737,1.796,0.3817,0.3871,-1.0928,1.1874,0.054,0.1842,-1.0525,-0.2198,0.3851,-0.4384,0.5952,-0.2057,-0.7991,0.9165,-0.0203,-0.347,-1.4107,0.4752,0.4718,-0.6398,-1.3447,-0.7895,0.5549,2.2156,0.1553,-0.5127,0.136,-1.4117,-0.8853,0.0217
0.6863,0.6021,-1.0178,1.403,-1.8836,0.674,-0.6579,0.5477,-0.8604,-0.2902,0.668,0.698,0.2944,-1.211,-1.43,0.1461,-1.4374,-0.8368,0.4423,1.0051,-0.6637,0.1209,0.1234,0.305,0.7605,0.5198,0.9272,1.7344,-0.8275,-0.1398,-1.021,1.3877,0.1835,-0.9014,-0.1206,0.3822,1.1962,0.3639,-0.003,-0.8425,-0.839,0.0039,1.117,-0.3627,1.643,-0.3813,0.1978,0.5684,2.3509,-0.0672,0.2721,-0.1904,-1.8249,-0.7643,0.9359,-0.9143,0.3124,0.0825,2.0077,-1.4995,1.5345,0.1789,-0.7613,-0.9685,0.1866,-0.0036,-0.2963,0.8001,0.3512,0.9289,0.3228,-0.5778,-0.3513,0.5176,0.3296
-0.4112,3.1358,-1.3783,1.638,-0.4418,0.6785,0.7306,0.11,-0.6011,1.5476,0.9405,1.1725,-1.4145,-0.4085,-0.5067,-2.6024,-1.2759,-1.17,0.0552,1.4079,0.2187,-0.0286,-1.6062,-1.5093,0.4575,-0.431,-0.908,0.2787,0.098,-1.0614,0.3023,-0.7326,0.9962,0.2889,-1.1778,0.8987,0.0732,-0.9404,-0.153,1.2265,1.4082,0.4772,-1.7077,-0.6071,0.2095,0.8911,0.2935,-0.0311,-1.6616,1.5316,0.2308,-0.0152,0.5107,-1.0428,-0.189,-0.5483,0.3188,-1.0007,-0.567,0.8677,0.3871,-0.0376,0.8145,-0.3655,-1.4719,1.2275,-1.0639,0.0107,1.0952,0.2499,-0.698,0.2427,0.3874,-1.4918,0.3856
-1.3558,0.3394,0.2446,-0.0748,0.9226,0.1491,0.2449,-0.9239,0.7261,1.6898,-0.2319,-0.0602,-0.2216,0.4524,0.0122,0.5529,-1.3082,-0.2915,-0.1303,-0.7316,-1.2637,0.5772,0.9144,-1.0241,-0.0584,0.6054,0.9265,-0.2268,-0.2701,0.7471,0.2403,-0.8751,-0.5123,-0.2356,2.1773,-1.4137,2.0091,0.399,-1.341,0.491,-0.3286,-0.6964,0.6113,1.4777,0.6509,-0.7649,-2.2333,-0.5373,1.1211,-2.2965,-0.0069,0.1531,-0.1821,0.4357,-0.8464,-0.8296,-0.3828,0.8932,0.7533,0.6116,-2.0434,-0.1598,-1.6301,0.625,-1.3536,1.5124,1.1038,2.2989,1.2381,0.3499,-0.9776,-1.1683,0.8965,-0.2178,0.7572
-0.0225,-0.1725,0.1428,-0.1817,0.2649,-0.3438,0.6716,-1.5075,1.015,-0.6784,0.7914,1.7105,0.9306,-1.4412,-2.1048,-0.9893,0.8984,-0.4641,-0.6253,-0.445,-0.0229,0.036,-0.4764,-1.1379,1.6063,0.0143,1.998,-1.0164,1.632,1.9521,0.9879,1.4403,-0.1451,-0.0089,-1.313,1.8647,-0.0309,0.065,-0.0611,-0.9184,-1.4769,0.4974,-0.1624,-1.8844,-0.9721,1.3282,1.7413,0.2181,-0.9964,-0.9861,0.004,-0.9674,-1.1918,1.4837,1.0376,-0.2863,-0.7611,0.6347,-0.4358,2.613,2.5378,-2.0174,-0.3735,-0.2757,0.6256,0.3731,1.188,-0.1908,0.1527,0.0045,-1.2762,-0.7869,-0.2591,-1.2489,-0.9891
0.4779,0.8117,-0.9096,0.2132,0.0019,1.9213,-0.695,-1.1076,-0.4143,-0.4053,0.1141,-0.7477,1.6145,0.8017,-0.5389,-1.6803,0.1463,0.9826,0.6926,-0.3978,0.9895,0.4031,-1.6802,-0.1615,-0.2976,1.1002,0.9081,-0.4936,0.663,2.1906,1.0011,1.5992,0.922,0.2337,-1.3139,0.49,-0.1252,0.18,-0.4584,0.7181,1.2477,-0.3968,1.1304,-1.2176,0.7238,-0.0664,0.3864,1.8823,-1.8971,-0.5145,-0.6785,1.2217,-2.0186,-0.1666,0.6207,1.6623,1.5624,-0.3885,0.1609,0.3158,-2.2823,-0.3612,-1.034,2.6113,-1.2673,1.3789,-0.5099,0.2359,-0.2214,-0.3103,-0.1723,-0.993,-0.0489,2.119,-0.4425
-3.0235,0.4291,0.2436,-1.2771,0.2306,-0.2982,-0.0288,-1.2103,-0.2874,-0.0533,-0.7389,0.7973,-0.0995,0.5026,-0.8162,-0.8188,1.809,-1.3905,-0.9903,-0.6557,-0.313,0.7177,-0.6603,0.2542,-0.8622,0.1276,-1.4563,0.1469,0.5822,-0.2051,1.0993,0.4972,0.1691,0.2861,0.2336,1.0982,0.0837,0.6839,-0.5731,0.4475,-0.6392,-1.1622,0.3397,0.6596,0.4091,-1.6423,-1.2046,-0.8875,0.1946,0.4701,0.8535,0.3504,-1.4201,0.3421,1.621,0.6892,1.6562,-1.1246,-1.5322,2.199,0.8537,-0.1252,0.9053,0.598,0.0831,0.8289,2.697,-2.2235,-0.3523,-1.0141,0.552,0.5136,0.2485,-0.7779,-0.7059
-2.1691,-0.2774,0.5568,-0.8467,-0.5417,0.0526,-0.4846,-0.7148,-0.299,0.2285,-0.2745,0.9013,1.6515,1.4961,0.0317,1.5343,-1.2127,0.0075,-1.1646,1.437,0.6105,-0.537,-1.2427,-0.3365,-0.3041,-0.9245,-0.6144,0.9706,-1.066,0.0748,-1.1365,0.6531,0.5106,-1.3348,0.0184,-0.8509,-0.2667,-1.0612,1.0271,-1.3877,-1.3009,-0.6028,-0.7776,0.8255,1.9291,1.3203,-0.7596,-1.8932,-0.2525,0.6885,0.3608,0.3515,0.8145,0.8161,0.1319,0.7206,-0.7724,-1.1791,0.8974,-1.0197,0.4474,0.119,-1.896,-0.2017,0.0158,-0.0519,1.9078,-1.4188,1.1443,0.0121,-1.3694,-1.5618,-1.9734,-0.7636,0.6437
-0.262,1.6483,-0.0703,0.3737,1.0558,-0.7168,-0.5234,-1.0284,-0.0051,2.6093,1.8807,-1.4892,-0.9207,-0.2568,-0.8163,0.2798,1.0772,-0.7323,-1.7887,0.1166,-1.6287,-0.3582,-0.0048,0.2173,1.2131,-0.2101,1.5359,0.4743,0.1696,-0.1131,-0.3373,0.3525,0.5868,0.8567,0.5623,0.3444,-1.9454,-1.3975,-0.753,-0.6317,-1.6269,1.6273,-0.506,-0.829,0.8906,0.5572,-0.919,-0.0291,0.3365,0.1784,-0.7349,-1.4885,-0.7362,-1.0589,0.2098,0.2126,1.0497,1.5712,-2.6695,-0.1259,-0.7202,-0.8316,-0.2728,0.9695,-0.543,-0.4235,0.6178,1.0052,0.334,-0.308,-1.3122,-1.3637,1.9785,0.1797,0.1729
1.9139,-0.927,-0.0126,-1.6679,-1.0998,-0.5414,0.481,1.0509,-2.2057,1.295,0.3743,-0.0028,0.9066,0.5185,0.1163,0.4473,1.4307,-1.0522,0.4309,1.0198,0.7254,1.6179,-1.6038,-0.3195,2.1618,1.0447,0.7637,-0.6681,-0.024,0.9783,0.9315,1.5143,-0.716,-0.1969,-0.5255,-1.3882,-1.3981,2.885,0.025,-0.3924,-0.795,0.7556,-0.595,0.2743,0.3424,1.0697,-0.9866,0.9281,-0.7435,-1.0669,-0.7968,1.419,-0.3614,-1.3147,-0.1317,0.605,-1.2662,-0.3115,1.2205,0.976,-0.0116,-0.3705,-0.7527,1.3741,0.8166,-0.611,0.5766,0.902,0.0427,0.5391,-0.335,0.7876,-1.7206,1.9427,-1.0347
-0.1646,-0.3304,0.2237,0.8878,-0.6228,-0.6359,0.3038,-0.2518,1.5634,2.1813,-0.4057,-0.2609,0.6165,-0.0454,0.1672,1.2933,0.2714,0.9414,-0.6228,-0.3198,0.4529,0.3213,0.2636,0.0094,1.5256,-1.1813,0.5372,-0.5214,0.3361,-1.8935,0.7436,-1.4725,-0.9673,-0.4677,-0.3117,-0.8468,0.6263,-0.606,-1.1021,0.2245,0.8352,-1.6082,0.1919,0.6528,-0.6689,-0.1356,0.3588,0.9448,0.9365,2.3622,-0.7431,-0.5744,1.6353,0.1912,-2.0963,1.9026,-1.8286,1.0995,0.3288,-1.0804,0.967,-0.3117,2.373,0.1025,-0.2204,-0.315,-0.4823,-1.4137,0.209,-0.5232,-0.7536,0.3532,-0.7798,0.5185,-0.3819
0.5993,0.7193,1.2562,-3.3024,-0.1744,-0.2938,1.1247,-0.8013,-1.5151,-0.2851,-0.7925,-1.1825,0.7563,-1.2438,-0.8125,0.5986,0.542,-1.7296,0.4047,0.1313,-0.5269,-1.2905,0.007,0.2166,0.7128,-1.7787,-1.8159,-0.0339,0.6758,-0.5967,-1.0927,-0.5075,0.6802,-1.1289,0.2947,0.1766,1.3248,-0.3765,-0.2396,-0.7793,1.4754,0.3426,-0.7913,1.7196,1.5557,0.491,0.3866,-1.5407,0.02,-0.5763,0.3119,-1.564,2.2554,1.8011,0.2068,0.4546,0.0286,-0.0083,0.7673,0.1281,1.1447,1.7974,-0.8535,1.8156,0.1701,1.0098,0.5925,0.4906,-0.47,-0.3049,0.3792,0.0701,1.0613,-0.9539,0.371
-0.3405,-0.3011,-1.4951,-0.5004,-0.1456,0.6098,1.8611,-0.2764,0.2673,-0.0901,-0.2971,-0.838,1.0672,1.6192,0.4545,-1.2855,-0.6887,0.5006,-0.5091,-0.1322,-0.8117,-0.4617,0.2987,-0.4163,2.0485,0.7159,-0.2934,-1.9594,-0.5266,-0.5787,-0.7385,2.0737,0.9541,0.3885,0.5141,0.8199,0.0482,0.0448,0.4222,-1.8483,-0.0286,1.0589,-0.1311,0.1233,0.9701,-2.3929,0.3989,0.8835,-0.8011,1.721,1.2138,2.0107,-0.5129,-0.1335,0.7837,0.5315,-0.894,0.3785,0.9928,-0.8209,-1.1843,0.5359,0.437,-1.8927,0.1492,1.2343,-0.6037,1.3372,0.3989,1.6967,1.1837,-0.6482,0.2844,1.7935,-0.6532
0.2013,1.0236,0.2505,-0.7445,-0.3436,0.5219,-0.5029,-0.1392,0.1869,-0.0963,-0.693,-0.3151,0.3685,0.0248,-0.0166,0.8405,0.1934,2.0209,-2.6799,-0.9055,2.2523,-0.9496,0.1323,-0.358,-0.8397,1.5643,2.4254,0.9437,-0.0195,-0.0943,2.1342,0.55,0.3892,-0.3986,0.9499,-0.0036,-0.0346,-0.3758,0.9449,0.8769,1.0984,1.5234,-1.2763,-1.2947,-1.2099,1.1417,0.7669,0.0042,-0.0598,-0.0148,-0.584,1.1131,0.4169,-0.9128,0.7425,0.4432,-0.1768,-1.2844,-0.0565,0.019,0.4094,-0.3397,0.1747,-1.7854,0.9844,-0.6545,-1.218,-1.0257,1.5073,-1.5532,1.2742,0.5205,-1.3384,0.2593,0.8769
-0.9079,0.0389,0.2883,-0.3805,0.57,-1.2099,1.5132,-0.1485,-0.6222,0.4425,-0.7658,-1.7879,0.7573,-0.9526,1.753,-2.0085,-0.6098,-0.4944,-0.258,-0.789,-0.1893,-1.1947,0.364,0.4409,1.8604,-0.2027,-0.263,-0.4288,0.2602,-1.0452,0.5221,-0.7198,-0.4051,-0.5523,-1.1764,0.4892,-0.612,-0.2808,-1.0033,-0.5058,1.4647,0.2947,1.2248,-0.1796,0.6807,0.3577,0.5739,0.2001,0.2244,0.2336,0.6014,0.5669,1.2699,-0.8929,-0.3582,1.0387,-1.2134,-2.2172,2.1144,0.0994,0.8128,0.1601,-1.3608,0.0022,-0.2929,1.8758,-3.1545,-1.2602,0.8948,-1.165,-1.0904,0.4126,0.8585,-0.3296,-0.7571
-1.5011,-1.419,0.5031,0.8569,0.0799,-0.8798,-1.5479,1.398,0.6505,0.1772,-1.6363,0.1939,0.5574,-2.4779,-0.1268,-0.9222,0.7579,0.4328,-0.1156,0.0049,-0.0533,-0.6433,-1.035,0.6202,-0.3284,1.8129,0.5161,0.9458,0.2427,-0.8539,-0.8405,1.1401,-0.5487,0.6398,-0.9287,-0.0921,0.1278,0.8808,0.1314,-0.4275,-1.3616,0.7519,2.5776,0.2908,0.1004,1.0295,-0.0495,0.174,2.1192,-1.2778,0.5671,-0.3793,1.8678,0.0589,0.8181,-1.013,0.2298,1.1982,0.387,1.1274,-0.7214,0.1494,-2.0049,1.4857,0.7075,-0.8284,-0.5998,-0.2637,0.2191,-0.7444,-0.2952,0.3243,-0.1012,-0.2932,-1.5745
0.5296,-0.0608,0.8715,2.1056,-0.5562,0.5862,-0.148,-0.6001,1.1196,2.9979,0.2259,-0.5723,1.3634,0.6075,-1.3808,1.0332,0.2158,-0.4204,-1.1668,-1.4011,-0.1224,0.3595,-0.7632,0.6197,1.0931,-0.1963,1.1796,-1.1061,0.172,-0.889,0.2304,-0.142,-0.0435,0.2657,-0.0418,0.2787,1.2905,-0.3263,-0.0104,0.3744,-0.0403,-0.1905,-1.5334,0.2255,-0.9985,-0.1692,-0.5619,0.6917,0.2103,-0.1516,0.3219,1.0524,-0.7751,0.4176,-0.1803,-1.0981,0.0628,-1.9048,-0.1278,-0.3097,0.9315,1.1839,-0.0233,0.513,0.1722,0.7957,1.511,-1.3901,-1.7901,-0.5381,-0.9579,0.8675,0.8639,-0.3139,-0.2741
0.5655,-0.922,-0.2372,0.9913,0.8586,-0.7304,1.5163,0.1888,-0.7116,-0.3661,-0.0525,-0.5488,-0.7029,0.2812,0.8658,-0.2249,1.0971,-1.1282,-0.2013,0.8664,-0.136,-0.291,0.4655,-0.4663,-0.4371,1.1496,0.9696,0.2907,-1.2881,-0.0927,-1.3555,0.3207,0.0106,0.5641,-0.1589,-0.3206,-0.6137,0.1597,-0.4995,-0.8537,0.2077,-1.724,-1.2124,-1.849,0.4683,0.1113,0.744,-1.5965,-0.1607,-1.6351,-0.8482,-0.438,-3.1206,-0.0015,-0.4903,-0.3689,1.3629,0.1085,-1.6343,0.2362,-0.8399,0.0384,0.6242,1.9541,0.039,1.1005,0.1255,0.405,-0.5731,0.1782,-1.2694,-1.0797,-1.4161,1.477,-1.0653
0.8164,1.0224,1.078,1.2463,-0.5946,1.6389,2.1169,-1.0426,0.412,0.1378,-0.4334,-0.3393,-2.7326,-0.3032,-0.1826,0.1105,-0.4912,1.579,0.1668,-0.0854,1.974,1.7555,-0.1327,-0.3215,-0.6782,-0.6327,1.4252,-0.442,0.1413,0.1131,0.557,0.0247,0.3172,-1.1705,0.1318,-0.7141,0.2584,-1.1403,2.3299,-0.9818,0.2495,1.6751,-0.4758,0.5638,-0.9625,-1.4843,0.7643,0.1885,1.4268,0.212,0.9942,1.3164,1.4581,0.2363,-1.8162,1.0043,0.6705,-1.0009,-0.9423,1.2378,-1.1387,0.1053,-0.1616,0.0694,-0.2068,0.0013,-0.6942,0.4985,0.8815,-0.0761,0.5134,0.5214,0.0275,0.2352,1.2775
