"target","NS1","NS2","NS3","NS4","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17"
-0.8926,-0.0999,-0.7861,1.4837,0.6764,-0.2251,0.0771,0.1486,-0.3656,2.311,1.1105,-0.5115,-0.4667,-1.1746,1.1707,-1.0705,1.5326,0.6641,0.1533,-2.1867,0.066,-1.6911
-0.0912,-0.535,0.5315,-0.137,1.1771,-0.3037,-0.0188,1.1821,0.3535,0.4769,0.1545,-0.3978,-2.6146,-0.5007,0.6784,0.242,1.5014,-1.2453,0.0664,0.2894,0.9191,0.8746
-0.9321,0.6245,0.932,1.0927,0.819,-0.842,-1.5308,-0.4327,-1.131,0.6785,1.0822,0.0047,-2.0411,1.1673,-1.3355,0.1211,2.3003,-0.3074,-1.5206,-1.1735,2.4642,-0.6298
0.029,0.7013,1.6757,-0.2745,0.1001,0.3027,1.2771,0.0044,-0.8036,0.4383,0.0111,1.265,0.3618,-2.6469,-0.566,0.2661,0.2192,-0.4895,-0.2247,0.2266,-0.6931,-0.3185
0.6983,0.8746,0.8398,0.3682,-1.3897,2.1987,0.0415,0.5247,-1.337,0.3967,-1.2605,0.2893,-0.7057,0.3744,-0.5454,-0.2152,1.6247,0.354,-1.1456,-1.7566,-1.0519,-0.707
0.5241,0.1947,-0.2179,0.2702,-0.3096,0.5826,0.4787,-0.5355,0.5788,0.4272,-2.3477,-0.0474,-0.3644,0.8205,-0.8679,1.9079,-1.1347,0.4274,-0.4924,0.8123,0.4804,2.1548
0.4744,-1.7888,0.0761,-0.4526,-0.5898,0.7335,0.6996,0.4982,-1.0405,2.6502,-0.442,-2.8481,-0.1456,0.5057,-0.62,0.7076,0.8222,-0.3995,-0.7904,0.0056,-1.0091,0.1945
-0.0601,-2.3811,0.0862,0.066,1.223,0.4867,-2.4684,1.0572,0.7629,0.8885,-0.7499,0.0772,-0.6464,1.3338,0.9543,-0.2098,-0.557,-0.9709,0.4655,0.837,2.4266,1.6433
-0.6881,0.5621,-0.8402,1.6909,-0.1616,-0.3471,-0.1106,1.7875,-0.6111,-0.0249,-0.9723,-1.8713,1.413,0.4542,0.2462,0.2283,-0.6277,0.0865,0.9086,0.5469,1.8951,0.2405
-0.5392,2.6271,-0.3277,1.1883,-1.4894,0.01,0.1409,0.253,-0.9428,1.2442,0.3503,-0.4273,1.4968,0.7096,0.1934,-0.2482,-1.1749,-3.1802,-0.1031,-0.0423,0.1407,1.9536
-0.6546,1.5474,-0.5581,0.2176,-0.0597,0.117,0.7281,1.0856,1.7231,-0.9467,0.1164,-0.9881,-2.6692,-0.6915,0.5629,0.0906,-3.8822,-0.3738,-0.3461,-0.1813,0.2007,-0.303
0.2837,0.336,-0.7132,-1.1497,0.5175,-0.8555,-0.237,1.3377,-0.7959,-0.4779,0.4177,0.0184,0.5073,0.367,0.097,1.7289,-0.5123,0.1055,1.4573,-1.247,0.7794,1.0517
-0.5203,-0.1447,1.4078,-0.3544,-0.0214,-0.5661,-0.7631,-0.6813,-1.0022,1.252,0.3183,-1.7643,0.5582,-0.5143,-0.353,1.7708,-0.1881,-1.3393,-0.4494,1.2737,0.2833,-0.943
-0.2982,0.4573,0.15,0.0846,-0.6526,0.7786,-0.6881,-0.1942,-0.0723,-0.978,1.8219,-1.2472,-2.4994,-0.2825,-0.1501,0.5175,1.5589,0.2262,1.1864,-0.2424,0.4029,-0.3384
-0.9554,1.6178,-2.0862,2.8229,0.6389,-0.5697,-0.744,-0.3697,1.3007,2.1694,-0.9926,-0.2169,-0.6072,1.1283,-1.7941,0.1067,-0.0429,-2.8737,1.2683,1.0939,-1.1685,0.5654
-0.091,-0.238,0.2809,0.1563,0.5578,-0.3297,0.832,0.1091,0.2883,1.0007,-0.5089,0.2578,-0.4176,-1.1569,-0.544,0.2878,-1.4601,0.2485,-0.7712,-1.1575,0.5806,-0.2186
0.026,-0.0924,1.3208,-0.1928,0.3296,1.1391,0.5016,-0.2098,-0.2695,-0.3682,-0.3261,-2.2216,0.3617,0.5185,-4e-04,-2.096,0.7512,-0.2772,0.5238,0.3449,-0.6896,-0.7884
-0.107,-0.4064,-0.4354,0.1155,0.2329,-0.548,-0.6486,-0.6592,0.8756,0.6623,1.1971,3.3114,-1.8937,0.3702,0.3211,-0.5549,0.1131,-0.4208,-1.4301,0.3271,-0.2722,0.593
0.8348,0.079,-0.3222,-2.0223,-0.4589,-0.7027,-0.4824,0.7887,1.5672,-0.2211,1.0553,-0.6138,-0.244,-0.261,-0.7092,-0.1247,-0.918,1.4019,-0.2886,-0.2201,1.6201,0.5055
0.0481,-0.044,0.5969,-0.7859,0.447,0.9314,-0.2608,-0.2217,0.8626,-2.0332,-0.127,1.0362,0.2273,-0.459,-0.2394,-0.1338,-0.453,0.9134,0.338,-1.4599,0.822,-1.0056
0.0269,0.3826,-1.1529,-0.0874,0.5107,0.7142,-0.6904,0.6703,-0.6335,0.0245,0.5664,0.6981,0.1166,-1.724,-1.0623,-0.6597,0.9043,0.6561,-0.1693,-0.0328,-0.3561,-2.0216
-0.5712,0.0306,-0.0742,0.1141,1.0551,-0.4804,-1.0033,0.8818,1.2681,1.0064,-0.3969,-0.3429,0.4465,-0.7681,0.1031,-1.2135,-0.7092,0.6536,-0.4827,0.9374,-1.3918,-1.3418
-0.2883,-0.951,1.2902,-0.604,2.2068,2.362,-2.4897,-0.4777,-1.0943,-0.2891,0.3355,0.5538,0.3981,-1.152,0.3112,-0.2145,1.2526,-0.4425,-1.7043,-0.8156,-0.1979,1.2389
-0.6904,1.2682,-0.7818,1.3993,0.5893,1.1156,-0.1449,0.5184,1.2388,-0.8336,-0.4605,0.5788,1.5492,0.0385,-0.9918,0.7752,-1.1614,0.0431,-1.2971,1.0074,0.4697,-0.6001
-1.1917,1.2225,0.9762,0.3235,0.3515,1.2065,-1.2622,-0.1118,-2.5363,0.2291,-0.2839,0.51,-0.2567,-1.2061,1.3208,0.4531,0.1874,1.4864,-1.7551,-0.3314,-0.2293,0.9419
-0.4429,1.4665,-0.8732,-0.2269,0.669,-1.2393,0.5819,0.1038,0.6192,-1.021,-0.8253,-1.0791,2.0989,-0.6828,-1.0358,1.6573,0.2503,-1.6155,0.2551,-0.9196,-0.245,-1.1114
-0.5752,0.9309,-0.5929,0.0465,1.2951,-2.2706,2.484,-1.6033,-0.4402,0.177,-0.8156,1.2549,0.1238,1.7098,1.1491,0.7157,0.078,0.3457,0.4737,0.092,-1.5124,-0.4081
1.1026,0.4668,-0.6613,-0.2932,0.3639,-0.4227,-0.5256,1.0826,-0.4342,-1.2845,2.2555,1.1669,0.649,0.4025,-2.5215,-0.7846,-0.3761,-0.3896,-0.5833,1.5015,-2.2311,-1.6162
-0.0245,0.1591,-1.9458,0.5038,0.6367,0.3721,1.4162,-0.7508,0.214,-0.1098,0.3528,1.6472,-0.1692,1.6223,-0.4886,1.6681,1.4939,-0.038,-0.161,-0.5191,-0.6378,-0.7914
-0.6681,1.9991,0.4298,-0.1708,-0.065,0.9642,0.3664,-1.0219,0.1767,-0.4072,0.2942,-1.4228,0.1371,-0.209,2.2797,-1.1541,0.2695,-1.0767,1.1472,1.8723,-1.2041,-0.1983
6.3687,-0.8135,-0.9616,0.2713,0.0124,-1.6817,-0.4999,2.2744,1.6841,-0.9782,0.2422,-1.0831,0.2728,-0.4777,1.0869,0.5437,1.2322,-0.2635,0.9096,-1.1989,-0.6585,1.2799
0.3069,-0.8077,-0.4534,1.4839,-0.4107,-0.7903,0.0763,0.4888,-1.0473,-0.3316,-1.6641,-0.746,0.1957,-0.5161,-1.9721,-0.2926,0.6139,0.2126,-1.8535,-0.2733,-2.1608,0.5742
-0.5394,-0.0365,0.7158,1.3729,1.9394,0.0406,0.5161,-1.0847,-0.071,0.5857,-0.7188,-0.295,-0.6715,1.0382,-0.1491,0.1463,-0.7435,0.948,-0.6113,0.2498,-0.3527,0.3176
-1.059,1.0767,1.5345,-0.9044,1.2361,-1.412,0.1935,0.7836,1.0803,0.2857,-2.2023,0.2534,1.8717,-2.3919,0.6335,-0.8335,0.3958,-1.2845,1.3854,0.0484,-1.7919,0.6134
-1.0404,2.6408,0.3694,-0.7508,1.4832,0.083,-0.0464,-1.1045,-0.2955,1.2291,-1.194,0.3496,0.4264,1.9009,0.0377,0.4461,-1.1051,-1.6764,0.2552,-1.7398,-1.0487,0.3602
-0.97,2.5271,-1.2584,1.6153,0.1868,0.7395,-1.5357,-0.1601,-0.9878,-0.3529,-0.2601,0.6008,0.0602,-0.5845,0.0141,-1.4845,-1.9672,-0.3078,1.0276,0.4273,1.8547,-0.2462
-0.1208,0.0493,-0.0668,0.7947,-0.6129,0.5476,1.3328,-0.3174,-0.8929,-1.9502,0.8351,-1.4734,1.8403,1.2792,-1.2198,-1.4959,0.9,-0.5377,-0.5359,1.7891,-0.6158,-0.9978
-0.6073,-0.8076,-0.3314,2.097,-1.0844,-0.18,-0.074,0.1129,-0.7951,0.9811,0.7069,0.605,-0.4619,-1.4868,-0.9043,0.5164,1.6582,0.4483,-0.5476,0.6659,-0.7468,-0.5852
-0.1034,-0.2884,-0.0491,1.2497,-0.8861,1.0601,0.0412,0.3651,-0.5792,0.5317,-1.7026,-0.527,0.0614,-0.241,-0.3395,-1.2019,-0.5504,0.4059,1.1597,0.8377,0.7628,0.2686
0.5009,1.0242,-0.7947,-0.2509,0.3591,-0.0498,-0.1335,0.7519,-0.3891,0.7901,0.1771,-1.6124,0.6302,-1.0082,1.5141,1.0827,-0.0539,-0.3874,0.8612,-1.0051,-2.2116,-0.5269
-0.922,-0.1619,0.764,1.8316,0.6337,-0.4932,-0.4834,-1.015,-0.0803,0.1136,-0.877,-0.2555,-1.8552,-0.6873,-0.0887,0.5298,0.3042,0.9988,0.3802,0.0673,-0.8627,0.4196
1.9646,0.2072,-0.6934,-0.3699,-0.4759,0.441,0.1257,0.8378,-0.3393,-0.0947,-0.2907,1.2045,-0.7082,-0.3249,-0.5586,-0.2006,-0.0961,1.0962,-0.4799,0.3207,-1.4965,1.8858
1.1561,-0.3813,-1.2269,-1.7753,-1.5384,2.0721,0.7286,-1.3005,-1.2613,-0.3524,-0.4218,-1.8507,-0.8718,-1.0768,-0.2226,-0.5827,0.2351,-0.4132,-0.089,-0.6656,-0.0927,-0.3529
0.338,0.8736,-1.541,-0.1772,-0.9049,0.4546,-0.2021,-0.5203,2.4053,-1.5454,-0.2218,0.5221,-0.9163,0.6176,0.4423,-0.1646,0.4213,-0.818,-0.8162,-0.234,0.4958,-2.0434
0.6271,-1.0437,0.5169,-0.6829,-1.463,-0.3662,-0.6858,-0.3518,-0.0853,-0.6231,1.4095,-0.7253,0.8489,0.6563,-0.5784,0.3341,1.2962,0.0987,-0.1256,-0.5423,0.843,-0.1056
0.1517,-1.0479,-0.5851,1.3806,-0.326,0.1184,-0.2533,0.8908,2.049,-1.8965,0.2534,-0.1458,0.7908,-0.9879,0.0547,-0.3433,-0.0576,0.5837,0.2406,-0.033,0.912,-2.3307
-0.1809,1.2535,-0.3031,-0.045,-0.9822,0.4807,1.772,-0.4107,0.2781,-0.2514,1.4108,0.071,-0.267,1.2393,-0.9521,-1.4733,-2.2458,1.0164,-0.6148,0.3414,0.9773,-1.3421
-1.0254,2.2068,0.9778,-0.6696,0.7948,0.5507,1.5149,-0.1175,-1.9958,-1.5332,0.1524,-0.3194,-0.3857,-1.0117,0.4138,-2.1181,-1.2575,-0.9688,-0.6809,0.4854,-0.4121,0.2869
-0.2038,-1.3214,-1.0832,0.7054,1.5944,-0.407,-0.2534,-0.1888,-2.0102,1.2011,2.8742,-1.672,-0.5485,-1.6546,-0.4557,-1.1346,0.1794,-0.1973,0.3462,0.9922,-1.7056,0.2637
-0.143,1.5168,0.2599,-0.223,0.2958,-1.4614,-0.5666,0.106,-0.0794,0.7248,-1.1948,1.0862,-0.8432,0.8575,1.0126,0.7294,0.3578,0.7898,0.2202,-0.945,-0.7894,-0.6801
-0.8372,1.2724,-0.7553,0.579,1.1915,-0.0847,-1.054,0.1794,-0.9185,1.6431,1.1237,0.8373,-0.2569,0.9614,-1.1779,1.2157,-0.0388,0.6553,0.2486,0.2314,0.6822,-1.3069
-0.1393,-1.1226,0.6896,-0.296,-0.0167,-0.022,-0.0949,-0.6297,0.9404,1.1348,-1.6078,-0.1046,0.1373,-0.614,2.1279,1.1538,-1.0446,0.1385,-0.3358,-0.4157,0.5758,0.7363
0.2497,-0.2841,-0.406,0.4545,0.1219,1.38,1.6213,-0.3997,-0.4348,0.7565,3.3045,-1.053,0.7906,-0.4543,1.2908,0.1893,-2.2222,-0.5249,-1.4169,1.3157,-0.6184,0.373
-0.9761,0.642,2.3511,-0.2699,0.8068,-1.0365,-1.1534,-0.1553,2.4828,-0.7428,0.5721,-0.5309,-1.4754,0.9653,0.3874,-2.7198,-0.4675,0.182,-0.5191,-1.6869,-0.583,-1.5801
1.3524,-0.022,1.1148,-1.3969,-0.4586,-0.5466,-1.7067,-0.3899,-0.1438,0.1642,0.7821,-0.4254,-1.578,0.3143,1.9787,0.6882,-0.6919,0.2985,-1.0574,0.1757,0.3255,-1.3464
-1.2093,-0.4053,2.1246,1.288,-0.3181,-1.3359,-1.3524,-0.5698,-0.4879,1.8686,-0.9808,1.1301,-0.9378,0.7233,-0.8721,2.7617,-1.3649,-2.0637,1.3274,0.7104,1.4287,-2.4196
-0.0076,-1.5758,-0.0698,0.7394,-0.3483,-3.4484,0.0527,-0.1385,0.5813,-0.0435,0.7372,-1.1478,-0.8451,0.4054,1.9161,-0.046,2.1537,-1.0185,0.8038,-0.1084,-1.113,-1.9392
0.0291,0.1334,-0.8137,-1.5861,1.5374,-0.8342,-0.9698,0.809,-0.4377,-0.5439,-0.9649,1.2313,-0.564,-1.0733,-2.3356,-0.5293,0.6161,-0.4509,1.0781,-0.1968,0.2436,0.8162
0.9723,-0.9706,-0.2249,-1.2326,-1.0833,-0.804,0.58,0.256,-1.3905,-0.4818,0.5661,-0.3746,-0.1035,0.3307,-0.403,-2.354,-0.1787,-0.1488,0.3765,0.2116,-0.1145,1.4601
-0.2319,1.4316,-1.3167,1.3744,0.138,0.2014,-2.4938,-0.4296,-0.5105,-0.237,0.1445,-0.9356,-1.85,0.3211,-0.3242,-0.2897,-0.223,-1.1879,1.2235,-0.4676,-1.1032,0.4732
-0.3012,0.8223,0.4426,-0.6418,0.4552,-2.2508,0.9803,0.2408,-0.2678,0.5159,-1.1876,-1.2908,0.1465,-1.5576,1.0118,0.4723,-1.7662,0.0969,-0.816,0.9686,1.4428,0.7398
0.5273,-0.7531,0.3184,0.0251,-1.2308,-0.2685,-0.7024,-1.0863,-0.7843,-0.2734,-1.0621,-0.8674,1.2526,-0.1116,0.2519,0.4335,-0.9415,-1.215,0.2855,-1.6466,-1.4316,1.9626
0.3098,0.4958,-1.0231,0.7749,0.5772,-1.26,-2.3934,-0.89,-1.3792,-1.1341,-0.5134,0.838,0.3433,0.8612,0.735,0.0492,-1.6298,-0.1172,0.7146,-0.3554,-0.0987,0.0832
1.6905,-1.1819,0.3291,-0.6141,-1.8465,0.4307,0.7347,-0.2741,0.347,1.2013,0.0203,-0.7116,-0.5098,0.9342,-1.0426,-0.4949,-0.39,0.8516,-2.4609,2.3809,0.0085,0.8944
-1.2749,0.7571,0.3669,2.0026,-0.0889,0.5619,0.0356,-1.1562,1.0438,-1.1564,-0.0046,0.9004,1.3245,-0.5444,-0.9251,-0.6438,0.3774,-0.449,-0.6156,0.9079,0.2495,0.3254
0.4337,-0.0783,-1.8493,1.0921,-0.926,1.2216,1.2117,0.688,0.6275,-0.5692,0.662,-1.2482,-1.0763,-0.9421,0.2352,-0.0407,-1.1921,0.2691,0.3994,0.0031,-1.2235,-1.6502
0.3144,-1.0464,1.1252,1.2424,-0.2823,-0.7246,0.8389,1.9481,0.4823,0.9983,-0.6814,1.3566,0.427,-0.1797,-0.2785,-1.5022,-1.6152,-1.0973,-1.2127,0.5287,0.8502,0.6362
-0.9338,-0.0304,-0.2043,1.7768,0.4042,-0.4566,-0.3701,-0.103,-1.0752,0.5296,-0.8633,-1.1743,-2.4643,-0.7937,0.1987,0.6548,0.5494,0.0641,0.4536,1.0435,1.5567,0.6987
0.8125,-0.4265,-3.256,0.1721,0.2769,-0.4171,-1.8177,1.594,-0.4034,1.0041,-1.6058,0.3331,0.7478,1.3084,1.4333,-0.1001,0.1509,0.3651,-2.8813,0.4446,0.6411,1.2937
0.648,-0.5419,-1.3345,7e-04,0.707,0.7902,0.1455,0.1987,-0.935,-0.4403,-0.6225,0.3945,-0.5526,-0.3661,-0.3485,-0.7455,0.5168,0.727,0.1301,0.1841,-1.1411,2.4158
-1.0389,1.7031,1.0288,-0.9726,1.0156,0.2024,0.332,-0.5071,-0.1725,0.7011,-0.553,1.0723,0.966,1.4097,0.5655,-1.0043,0.1577,0.3721,-0.9041,1.4891,1.5388,-0.1424
0.8511,-0.3318,0.3187,-2.5058,-0.2426,1.4599,-0.6579,0.2741,0.9113,0.8428,-0.1069,0.774,-1.0816,-0.169,0.1714,0.2,1.1174,-0.946,0.9221,-0.5324,1.2189,0.7608
0.0492,1.6418,-0.3499,-0.4912,-0.4716,1.6814,-0.6174,0.0814,-0.5114,-1.339,0.5592,-0.7457,0.206,0.2932,-0.7585,0.2318,-0.2701,0.4002,-0.5579,0.4481,0.2936,0.0489
-0.1691,-0.7786,0.1705,1.0488,-0.1579,-0.5234,0.329,-1.0381,0.3983,1.8301,0.1256,2.0428,0.8534,0.1424,-0.6564,1.4636,-1.1326,-0.1626,-1.8433,-1.3579,-0.046,1.9995
1.415,-1.0983,-0.6488,-1.484,-2.0345,-0.2621,-0.3372,-0.5548,-0.0954,-1.3573,-1.0314,0.8282,-0.2451,0.9863,0.4104,0.3096,-1.8082,-2.4426,0.9585,-0.8985,-1.6873,1.6179
0.2457,-0.7561,0.7451,-0.5214,-1.2022,0.1313,-0.2499,-0.1138,-1.4629,-0.3307,-1.5887,0.5566,0.5205,-1.7835,-1.3265,1.6762,0.2586,0.437,1.9171,-0.5859,-0.9193,2.111
0.6871,1.5386,0.4293,-0.2231,-0.9596,0.1736,0.1848,-0.8867,0.0492,-1.1098,-0.6767,-0.1467,-0.1151,0.8319,0.6299,-0.8795,2.1136,-2.3231,0.5114,-1.0867,-0.4183,2.1777
0.2762,-0.5281,-0.9538,-0.1381,0.0229,0.5957,-0.4823,0.2402,0.4688,-2.9257,0.4603,-0.138,-0.0744,0.7713,-0.0706,-0.6389,0.2488,1.2749,-0.1462,0.9899,-0.0124,0.8904
0.2593,0.9334,-1.7264,0.1127,1.0604,-1.9267,1.0664,0.3739,-0.194,0.6197,0.0703,-1.4069,-1.2646,-1.4582,-0.9902,-0.557,-0.1307,1.2099,0.0562,-0.0165,-0.7524,1.145
-0.1756,1.0133,-1.2543,-0.4424,0.0916,-1.8425,0.0289,-0.814,0.4446,0.1581,0.1792,-0.2742,-0.8359,-1.073,-1.0226,0.7957,-0.9266,2.0081,-0.0805,-0.9459,0.4808,-0.2005
