"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23"
-0.0154,1.1032,0.675,1.8152,-0.3156,-0.8328,-1.7609,-1.8289,0.4301,-0.0845,0.3296,-0.396,-1.7234,1.48,-1.1556,-0.2364,-0.1449,-0.4647,1.3349,0.6419,-0.3449,0.4674,0.2909,0.8344,-0.9744,0.0291,-0.3573,0.1325,-0.3759,0.9227,-0.5615,-0.3615,0.0352,-0.987,0.7379
0.1467,0.6392,-0.7348,-0.2536,-1.4748,0.0973,0.4309,-0.0953,0.451,1.5914,0.6339,0.3941,2.2891,0.7495,-1.969,1.2542,-1.3402,1.2287,0.9954,0.2461,-0.7139,0.8527,-0.2618,-0.0447,-0.5978,0.5141,1.2964,0.1515,-0.6371,0.587,-1.3361,1.091,0.56,0.2487,1.3958
-0.6658,-0.5973,1.0855,-0.7582,0.0346,0.5706,0.8706,-1.4165,0.6857,1.9097,-1.2567,1.6474,-1.6105,0.394,0.1537,-0.276,-1.2055,-0.0675,1.532,-0.4836,0.034,-0.877,-0.3128,-0.0956,-0.3108,-0.9927,-0.1061,-1.44,-1.2814,-0.4692,-0.9253,-0.3491,-0.6185,-0.57,0.9488
1.6001,-0.3518,0.1963,0.0088,-0.1764,-0.0177,0.7781,-0.8549,-0.5604,-1.9926,-0.0593,-0.112,-1.8339,1.7065,-1.5253,-0.5527,-0.4711,0.2658,0.3017,0.6545,-0.9897,-0.9354,-2.7365,1.0244,0.43,-1.7776,-1.789,-1.0412,-0.3377,-0.441,0.3562,-0.1958,0.0158,-0.154,0.6445
0.1755,0.0354,1.6355,-1.8942,-1.0072,1.6176,-0.0249,0.3544,-0.381,-0.9433,-0.4794,0.3809,-2.4709,0.5361,1.9577,0.0184,0.228,0.8405,0.6688,-1.515,0.2004,-1.5621,-1.5614,-0.9371,-0.8348,-0.6787,1.3064,1.4554,1.032,-1.1729,0.2634,1.1175,0.7392,0.1168,-2.2491
0.7868,-0.3147,-1.826,-0.0996,-0.2543,1.2924,0.5096,-1.2097,1.0506,0.08,1.2945,-1.0098,1.0991,-0.8128,0.4501,-0.9683,0.7267,-0.9982,0.1521,0.2679,-0.3066,0.2339,-0.9687,0.2548,0.1063,0.5086,0.268,-0.4634,0.8448,-0.3844,-0.5341,-0.9765,-0.2453,-0.9114,-0.1252
-0.4182,1.8398,-0.5666,-0.8052,0.0208,-1.3777,1.8422,1.7271,0.2105,-1.7226,-0.04,0.4735,-0.529,1.3376,-1.6892,-2.8923,-1.5813,1.5759,3.502,1.3832,0.8584,1.9763,-1.6404,1.095,-0.0908,-0.4197,0.0461,-0.305,-0.7528,-1.3162,0.8921,0.3281,-0.6296,-0.3148,-0.282
-2.1834,-0.3587,0.4633,1.1877,-0.7056,0.6443,-0.3608,-0.2439,1.2322,1.6707,0.2468,2.025,-0.3659,2.1231,0.2365,-0.0145,-0.1551,-0.3991,-1.0373,-0.0086,-0.7689,-0.2903,0.3722,0.3834,-0.3944,-1.0625,0.8817,-0.0877,-0.113,2.0878,-0.8351,0.2668,-1.499,0.2767,0.1498
-0.2724,1.1991,-0.1077,1.0732,-1.5431,-1.1885,-0.106,0.9818,-0.4744,-0.3782,1.0586,-0.1335,0.6864,-0.6774,2.7351,-0.0518,-0.8981,0.4817,-1.1087,-0.2652,-1.3662,2.0401,0.1319,-0.2331,-0.5854,1.0399,-1.5215,-0.2662,-0.3027,-1.4907,0.5366,0.2274,-0.0365,0.5911,-1.0775
0.2019,0.0815,-0.2454,1.0416,-0.9121,-0.6531,-0.7277,1.1633,0.0233,-0.3236,-1.0024,1.0353,-0.4286,-0.7264,-0.2951,-0.4519,-0.5057,-0.4684,-1.231,0.6501,-1.2981,0.1827,-1.4841,0.2814,-1.5815,-0.1282,-1.0741,0.3823,0.8716,-0.4008,0.0489,1.1333,-0.3886,0.6763,-0.1778
-0.1214,-0.9219,-0.1094,-0.6983,1.3817,-0.1292,0.5874,1.3514,-0.1132,-0.2105,0.8027,-1.3537,0.1619,1.1364,0.7335,0.2502,-1.4205,1.3669,0.3612,0.7517,0.5311,-1.2627,-0.4965,-0.324,-0.2604,1.7543,0.7841,-1.0268,0.0618,1.0725,-0.4244,0.8827,-1.0113,0.2109,0.2431
0.0699,2.1271,-2.6867,0.415,1.1746,0.0474,0.1279,1.1806,-0.1601,-1.6271,0.6787,-0.4784,0.8773,-0.3119,0.3992,-1.2246,-0.3778,-0.9352,-2.1129,-0.783,-0.8081,1.4285,1.3074,-1.0892,-0.0018,0.7549,-1.3259,-0.543,0.7791,0.5083,-1.5066,-0.7828,1.9828,-0.5596,-0.3311
0.6041,0.2973,0.8928,-0.7495,-0.7171,0.9683,-0.7103,-0.4632,0.1624,0.3546,-1.1215,-0.0443,2.018,0.011,1.3587,-0.1487,0.543,0.6963,0.4173,0.6917,-0.4571,0.0127,-0.3732,-0.0111,0.5734,-0.7086,-0.9085,-1.4805,-1.1083,-1.992,0.4437,-1.352,-2.1412,-2.4107,-0.402
1.6581,-0.9806,0.2161,-1.0749,-1.5141,-0.7045,-0.4448,0.0942,0.6147,-1.4718,0.6099,-1.0621,0.8476,1.1637,-0.8137,0.2527,0.2059,-0.7748,1.0825,-0.9917,0.6372,-0.3765,-0.6462,0.7283,-0.7263,0.1925,0.0924,0.0505,0.6016,-1.1094,0.8149,0.4079,-2.2884,1.0335,0.4492
0.558,2.3524,-1.5759,-0.6182,-0.1223,-0.3847,0.4719,-0.927,0.6775,-0.6767,0.2369,-0.5298,0.1461,0.2238,1.0225,-0.5417,0.3713,0.6449,1.4782,-1.1247,-0.4485,0.0709,-0.8545,0.0898,-0.5672,-1.6092,-0.6373,1.5215,-0.3799,-2.2063,0.8516,-0.1098,-0.0425,2.9129,-0.1326
-1.4394,0.4977,-0.9622,1.7996,1.7053,-0.2297,-0.0046,0.4583,1.6014,-1.2601,-0.1452,0.712,0.8453,-0.1179,-0.4261,-0.6164,-0.631,0.1838,0.1314,-0.6123,-0.4023,-2.1448,-0.107,-0.0943,-0.4997,1.7191,0.4202,-0.94,-0.6226,2.1678,-0.1313,-1.9321,0.9299,-0.6595,0.0682
0.6916,-0.0164,-1.1456,1.5449,-1.3997,0.1317,-1.2302,-0.5688,-1.5713,0.7637,1.3226,0.8393,0.1505,1.2443,0.7471,-0.0268,-0.615,-0.3502,-0.2198,1.0635,0.5496,0.2415,-1.5031,0.0601,-1.7668,-0.1872,-0.4454,0.1378,-1.5182,0.8895,-0.0094,0.1101,1.7233,1.0731,-0.5958
0.5515,-0.96,-0.3793,0.3523,-0.4391,-0.4084,-1.182,-0.0152,1.042,1.0813,0.0561,-0.814,-0.3586,-0.7047,1.7733,0.3031,-0.0918,0.5538,0.5675,-0.851,0.0913,-0.0657,-0.8202,-1.1199,-0.1846,0.0142,-0.0056,-0.5784,1.2746,-0.2578,0.0311,-0.5779,0.139,-0.8137,-0.0161
-1.8662,0.2139,0.9386,1.2976,0.2717,-0.1901,0.306,0.5717,0.5959,2.5124,0.4889,-1.2052,-0.1749,-0.1305,1.5774,0.379,0.1805,1.8029,-0.2881,-1.1835,-0.2517,-1.1411,-0.6158,1.4709,0.5249,-0.5116,-0.0953,-0.5139,2.0436,0.0712,-1.4295,0.5668,-1.4517,-2.1875,0.9921
0.3578,0.4185,-1.1818,-0.1648,0.9239,-1.9438,-0.8709,-0.2723,-0.3505,0.1692,-0.217,1.0777,-0.2158,0.1287,0.488,0.8153,0.8926,-0.299,0.3543,1.4838,1.2437,0.9117,0.7076,0.4642,-1.9149,-0.2354,1.4587,2.0389,0.2307,0.4713,-0.6274,0.8254,-1.1912,-0.9711,1.3732
-0.7328,0.4326,1.2828,0.9731,-1.1336,-0.691,1.721,-0.7143,1.7408,-0.3968,0.3662,0.7885,2.1428,-0.3139,-0.5874,-0.0619,0.5127,-0.7696,0.415,0.3887,0.7792,-0.6719,1.2114,0.5383,0.9121,-1.0783,-0.2255,1.0379,1.1112,-0.4198,-0.4199,-1.0625,-0.1002,-0.0527,-1.5447
1.26,1.7175,-1.748,-0.349,-1.1976,-1.2741,1.5483,-0.0965,0.6642,-0.5591,-1.19,0.6898,1.4663,-0.6376,-0.7828,-1.5399,1.0249,-0.9861,-0.6921,-0.1283,0.4023,-0.81,1.5749,1.8057,2.3337,-0.3945,0.5394,0.4764,-0.3638,1.023,-0.7092,0.9127,0.425,-0.6936,1.1719
-1.7311,2.0222,1.5629,0.3761,-0.3349,-2.7089,-0.7213,1.2285,0.112,1.992,-0.769,0.9858,0.1033,0.035,-0.2081,0.7449,0.4176,-1.0688,0.3173,-0.0768,-0.3688,1.4745,-1.049,1.2235,-0.1411,0.3784,0.9144,1.6076,0.0769,-1.3783,0.3394,-0.0216,1.786,-1.8145,-0.9771
0.8827,1.3902,-0.4207,-0.3838,-0.8259,0.2219,-0.4279,-0.5678,-0.0614,-1.2742,0.458,-0.7172,1.8801,-1.657,0.8537,1.2072,-0.4359,0.2187,0.2775,1.4282,-0.4473,-0.7219,-1.1136,0.9119,-0.9962,-0.3054,0.8499,1.2409,0.833,-0.4225,-2.4553,-0.813,-0.6877,-1.136,-1.6738
0.321,0.8725,2.8723,-0.3073,-1.6554,0.1427,-0.1211,0.1007,-0.5184,-0.2187,-0.797,-0.0855,0.3211,-0.778,-0.8956,-0.1293,-0.3384,-0.7593,2.1735,-0.5276,0.3938,1.6433,2.2343,-0.0393,0.4657,0.5582,1.1677,0.1049,-0.0561,0.7607,-0.7194,-0.1007,1.4287,0.9817,0.0423
0.8431,-0.4046,-0.7311,1.6115,-0.4321,0.8814,-0.7022,-1.6017,0.713,-0.5372,-0.7063,-0.4694,-0.5056,-1.5615,-1.2729,1.049,1.6361,-1.5239,0.6687,0.1911,-0.7608,-1.0736,-0.8224,-0.4027,-1.1782,-1.3935,0.8726,0.4142,-0.8362,-0.9928,-0.0401,-1.328,-0.4204,0.7442,1.6278
-0.3058,0.002,-0.6289,0.9028,0.8527,-0.4857,0.9075,1.0043,0.6862,0.3245,-0.9681,-0.4846,1.9442,1.3381,1.0296,1.7264,-0.2279,0.868,0.9273,-0.9651,-0.0568,0.788,-1.0641,1.1574,1.4705,1.6849,-2.5884,-1.3051,1.0591,1.2006,-0.3816,-1.5563,-0.1523,1.1707,-0.6686
1.1094,0.6039,-0.4571,-0.1345,-0.6097,0.6462,0.3656,0.4359,-1.3631,-0.2284,-1.233,-1.2422,1.3028,0.753,0.4629,1.515,0.388,-0.1754,0.2294,-0.2814,0.0667,0.37,-0.1026,-1.5054,-0.4707,-1.0812,-0.6141,-1.4296,-0.201,0.4938,1.1555,0.332,-1.2348,0.9507,0.0698
-1.7484,2.1814,-0.9653,0.341,0.689,0.3358,1.2261,0.7681,1.3978,-1.8924,1.6703,-0.02,-0.2286,-0.7922,-0.8843,-0.7023,-1.5887,-0.1767,0.817,1.7927,-0.3989,-2.4712,2.6681,0.7248,0.2933,-0.6991,0.7395,-0.777,-0.8092,-0.16,-0.3444,-1.4669,0.1097,-1.4964,-0.1199
-0.3763,-0.747,-0.2517,0.51,0.3011,-0.5997,0.7871,2.2606,-0.9253,-0.7324,-0.3958,0.7156,-0.3635,1.143,0.4061,-1.345,-0.1844,0.3576,-1.6804,1.518,0.959,-1.1172,-0.0096,0.9656,0.3956,-0.7259,0.0657,1.3552,1.1735,-0.3111,1.4834,-0.5895,0.8799,0.555,-1.3444
-0.5013,-0.4296,-0.8014,1.0906,-0.4143,0.5329,-1.2157,0.4395,-0.6971,0.7957,0.2319,0.3942,0.2736,1.8567,1.8809,-0.0306,-1.834,0.4425,-0.8017,-0.6907,-1.367,0.2326,1.0608,0.5677,1.4405,-1.5174,-0.7897,-1.3006,0.4723,0.9727,0.0883,-0.2049,0.0511,1.5889,-1.5242
0.0221,-1.1536,0.4888,0.8697,0.4511,1.0785,0.5383,-0.189,-0.7464,-1.213,-2.261,1.3529,-1.7626,0.9918,0.4401,0.5116,0.1232,0.0303,0.4804,1.488,-2.5692,-1.8905,-0.1002,1.2692,1.1585,-0.6873,-0.3821,0.2864,0.2309,1.1916,0.7403,0.8715,1.4824,-0.8113,-0.5745
0.0733,0.0918,-0.2267,-0.3003,1.0678,0.6419,0.439,0.523,0.094,-1.4648,-0.1237,0.1171,1.0134,1.2162,0.4823,-0.4602,-1.4784,0.7316,0.8794,0.2282,-0.3791,0.7235,0.2879,-2.1786,-0.9662,1.1384,-0.5424,-0.4888,-1.6235,-0.6192,-1.0653,1.9249,-1.7756,1.1674,1.339
-1.8711,-1.0821,-0.4108,0.7768,-0.8051,1.0617,1.1707,0.9638,-0.1462,1.9896,0.5674,1.9014,-0.3104,-0.1968,-2.2414,-0.7641,0.5548,1.7374,0.5214,-0.5967,1.5726,-0.0493,-0.7542,-1.664,-0.6433,-0.8282,-0.4999,1.4212,-0.6905,-0.7013,0.7502,0.0021,-1.5527,0.3289,0.2039
-0.5331,0.4029,0.1913,1.7401,-0.7021,-0.9993,0.6872,0.7864,0.9663,1.2409,-1.2439,-0.1159,-0.2448,-0.5039,-0.8684,-2.0024,-0.6304,0.8395,0.8128,-0.4712,-0.6399,1.2406,0.1853,-0.5668,-2.1984,-1.7642,2.4999,0.4575,-0.4903,-0.1978,0.7356,-1.6035,-0.5674,-0.7555,1.3357
0.9882,0.0028,-0.6346,-0.1207,-0.9614,0.638,-1.0258,0.3879,-0.0876,-0.799,-0.2193,0.0403,0.0206,2.3263,0.1301,0.8319,0.4549,0.0016,0.5884,-1.3049,0.7267,-0.6049,-0.0263,-0.5476,1.4839,-0.3947,0.3458,-0.709,-2.5287,0.7056,-0.3093,-0.0491,-0.8921,0.0311,0.7588
0.6753,0.0795,-3.1843,0.6607,-1.2996,-1.508,0.1691,1.5266,1.5063,-0.9653,-0.2228,1.1243,-1.2443,-0.5011,0.137,-0.5137,-1.4991,-1.1728,1.8469,-0.2647,1.6879,0.2829,-1.9414,0.3936,-0.2558,0.6802,-0.49,-0.2862,-2.9445,1.1012,-0.1935,1.2216,-1.7943,-0.3048,1.546
-0.0406,0.105,-0.5957,-0.8863,0.2791,-1.3187,-0.4462,1.5018,3.1356,0.0523,0.8511,-0.4846,1.7616,1.6609,6e-04,-0.4467,0.2614,-0.3367,-2.0505,-0.9822,-0.3286,0.8947,1.6149,-1.9482,0.114,1.6747,1.0451,-2.0039,0.1783,1.0181,1.3063,-0.0598,-1.0111,0.0249,0.7977
-0.449,0.926,-0.8669,0.666,0.47,0.8917,-2.5686,1.4047,-1.8219,0.5182,0.7176,-0.3943,0.1463,1.0008,-0.7133,-0.85,-1.4022,-0.0479,-0.1044,-0.3822,0.7783,0.6559,-0.4582,3.4162,0.2052,-1.6221,-0.5972,0.9014,-0.5332,1.006,-1.7253,1.0189,-2.0098,-0.5772,1.2432
0.113,-0.4784,-0.7414,0.2363,1.3571,-0.6994,-0.3175,-1.4718,-0.389,1.1945,0.632,0.4256,0.5592,-0.1025,0.6758,-0.3237,0.419,-0.1644,1.1028,-0.4258,0.7515,0.0923,1.6957,0.5047,1.4985,-1.1393,0.3853,2.0025,1.328,-0.7378,0.9163,1.2863,0.4607,1.5525,-1.2593
0.0516,-0.8876,0.2247,-0.1162,-0.4187,-1.315,-1.0854,0.3546,-1.1681,1.1087,-0.4361,1.9726,3.122,-1.1314,2.2824,0.9904,0.3815,-0.5023,-0.2097,1.6907,1.0612,-0.9038,-0.6153,-0.1522,-0.2997,-0.653,-1.4784,0.2181,0.2906,1.0285,-1.2367,1.2339,-0.1572,1.2235,-1.2519
-0.1279,1.206,-1.1873,-0.183,1.108,1.6615,0.2735,-0.0514,-1.035,1.9107,-0.0808,-1.1892,-0.4435,-2.7417,0.7266,-0.6011,0.4003,0.46,-1.389,-0.3339,1.3316,-0.7151,0.7942,-0.1461,-0.3729,1.2598,-0.2512,-2.1874,-0.5732,-0.4259,-1.1041,0.0203,0.5282,0.3654,-0.586
0.4219,0.4656,1.6424,-0.1473,0.8142,-0.6041,-1.4331,-0.0388,0.3438,0.1546,-0.3544,-1.2306,-1.0499,0.6171,0.5459,0.5824,-0.2907,1.362,1.0217,-0.9151,1.4307,-0.4636,1.3155,0.1533,-1.4645,-1.6579,0.8297,-1.5675,-0.8918,-0.8093,-0.0979,-0.3752,-0.4233,1.8258,-0.9099
0.3625,-1.0972,0.6924,-1.0313,-0.0818,0.6252,-0.6897,1.019,1.2663,-0.8412,0.9075,-1.2478,-0.9107,-0.721,1.6212,0.81,1.8616,-1.5744,-1.022,-0.6741,1.3525,1.2404,-0.807,-1.3167,0.3453,-0.2052,-0.1889,0.436,0.3929,-0.5833,-0.2968,-0.3115,0.6744,1.7581,-0.3807
-1.0231,-0.4569,-0.1233,0.5646,1.5704,0.231,1.6598,0.5036,-1.0346,0.0476,1.038,0.6156,-1.9217,0.4396,0.3472,0.2235,0.8937,1.1521,1.6667,0.5162,-0.8615,0.8688,-0.8647,0.3832,0.0272,0.4712,-1.0501,-0.2792,-0.453,-2.2163,0.9788,-0.7704,-0.91,-0.8286,-0.6159
-0.4899,-0.2925,-0.632,0.1435,1.4212,2.3913,-0.9668,2.2636,-2.089,-0.112,-1.3191,-0.1198,-0.7909,-1.7841,-0.7969,-0.3914,0.4384,-0.4676,0.4453,-0.1163,-0.5193,0.3832,0.1625,-0.5216,0.2664,0.1269,-0.5778,-0.8788,-1.6628,1.06,0.6093,0.1328,0.2472,1.1786,-0.2111
-1.1918,-1.4194,0.7957,-0.2617,0.1107,1.498,1.3796,0.3187,0.9113,1.6696,-1.0646,-0.1337,0.001,1.2075,1.2669,1.1165,0.026,0.715,-0.9006,-0.3484,-0.1583,-0.0461,1.6954,-0.6754,-2.0849,0.7768,-2.099,0.777,-0.1127,-0.4411,1.5488,-2.2001,-0.2938,0.8584,0.8235
0.8919,-0.9681,0.3656,-0.104,0.911,-1.2468,-1.0836,0.1741,-1.5023,-0.3856,1.114,0.5845,0.2968,1.2843,-1.1856,-0.4761,-0.069,-0.9872,-0.3156,-1.2818,1.1476,-0.9569,-1.5147,0.4739,1.2398,0.4638,-0.4882,1.6686,0.4542,-0.3026,-0.3998,0.2668,-0.9865,-0.1764,1.4421
1.018,1.6921,-0.9956,-0.4776,-1.5391,-0.9693,0.8836,0.6804,0.2868,1.178,-1.3792,-0.1704,0.9707,-1.5638,-0.1199,-0.9356,0.8678,-0.1121,0.787,0.2169,0.9868,-1.0907,0.7969,-1.052,-1.1137,1.1219,1.5282,-0.8973,0.2828,-0.1785,1.1242,1.2155,-1.0417,0.0084,-0.3736
-2.9842,0.9771,1.2339,1.0003,1.3561,2.3092,1.2635,0.89,-0.8237,0.732,0.0464,0.7259,-1.6551,-0.9096,0.4596,0.5094,-1.3683,1.0865,0.6755,-0.1106,-0.6574,-0.5818,-0.5857,-0.8293,-1.7355,0.2878,1.7329,0.2563,0.2811,1.8269,0.7838,0.1168,-0.7252,-0.3411,1.2659
-0.0339,-0.4543,0.8031,-0.5791,-1.8787,1.0042,-0.2688,0.7871,0.6797,-1.5893,-0.6358,0.9418,0.1571,-1.1973,-0.8897,-0.4644,-0.1132,-2.4546,-0.6675,0.1493,0.0352,0.6325,-1.9297,0.7148,0.3869,-0.943,1.066,2.1435,0.3052,0.6082,2.4525,0.9432,0.3428,1.5442,0.6006
-0.6505,0.4745,-0.2396,0.5317,0.6246,0.4322,0.0043,0.2914,-1.6773,1.1467,0.3316,0.3598,-1.2458,2.2,-1.5298,2.1664,0.454,-0.1596,1.3503,-0.033,-1.6687,-1.2372,0.5587,-0.2623,-0.8078,-1.3263,0.983,1.0325,0.0307,-1.2488,-1.2054,2.0069,-0.8961,-1.3585,-0.3074
1.4924,-0.8456,0.1814,-0.643,-1.8921,-0.6293,-0.533,-0.4023,0.7481,-0.5256,1.4737,-0.1963,-1.2504,-1.3011,1.1439,-0.3323,-0.212,0.462,-0.8338,-0.1351,0.3755,-0.1842,-1.1691,-0.4955,1.7119,-0.8311,-0.7081,-0.4022,-0.2077,-1.4265,-0.7353,-1.2729,0.9608,-0.2195,-1.6991
0.7798,-0.7564,-0.116,0.4496,-0.5595,-0.1992,-0.2025,0.1472,-0.5515,-0.431,1.1363,-0.2607,0.0016,-0.053,-1.1732,-0.3111,-0.248,-1.3669,-0.1483,1.1093,-0.0464,-0.2049,-0.5265,0.0443,-0.3625,0.8707,0.5381,1.4892,-0.1106,-0.0487,0.9956,-2.6868,1.0189,1.3531,0.263
1.9957,-2.2751,-0.1738,-1.1284,-1.4663,0.2878,-0.7853,0.8384,-0.7028,-0.9033,0.1234,0.3956,-0.5376,0.7678,-0.032,-0.7187,-1.4482,-0.1726,0.3699,0.3645,0.7586,0.3178,1.2772,-0.9344,-1.1318,2.2203,-0.0157,-1.3876,0.9058,1.5822,-1.1128,0.5354,-0.5622,0.4611,0.2865
0.7495,-0.9261,-0.0273,-2.6011,0.7351,0.0153,1.0304,0.1334,0.962,1.1776,-0.6104,-0.0754,1.3733,-0.334,0.0743,-0.0374,1.0408,0.0595,-1.0202,0.3041,-0.1325,-1.3113,-0.2363,0.6287,-0.8845,-0.5179,-1.4623,1.4136,-0.1505,0.6914,-1.1768,0.2945,0.0204,1.8727,-2.8061
0.5992,-1.5003,-0.4865,0.68,0.1654,-0.4927,0.9122,0.6787,-0.9383,0.5214,-0.2955,-0.0477,1.0643,1.6085,-1.8464,-1.3915,-3.5459,-0.7199,0.4805,0.9384,1.731,-1.406,0.6225,-1.1397,0.2207,0.1761,-0.4526,-1.1913,-1.4148,0.2537,1.449,-2.3004,0.0283,-0.1905,-0.8375
0.0236,-0.4457,-1.2877,-0.9509,-0.4798,0.2587,-1.0941,0.9889,0.6283,1.6002,0.5368,0.8844,1.0078,0.0227,-1.0337,-1.3416,-0.0941,-0.6535,-2.3528,0.88,0.3498,0.7725,-1.6548,-0.1207,1.2542,-0.0794,-1.9848,0.62,-1.497,0.535,-0.6986,0.7231,0.4935,0.5068,-0.2115
-1.1911,0.35,0.5435,0.2486,-0.1578,0.4835,-0.2724,0.9023,0.5893,-0.1389,0.3848,0.4282,0.0378,-1.3396,-0.814,-1.391,1.3274,-0.3665,-0.022,-0.1043,0.3962,0.6174,-0.3739,0.4889,-0.1503,0.4645,-0.8992,0.3668,-0.4242,0.3618,-0.7837,-0.0988,0.0036,0.4701,-0.3768
-0.7004,0.1916,0.5767,0.9432,0.3929,-0.6046,0.1107,1.4652,-0.6804,-0.3851,1.1828,-0.4513,1.2205,1.3973,-0.9207,-0.3368,-0.4365,0.0484,-0.0845,-1.0963,-0.3895,-0.1123,0.0671,-0.4298,-0.8662,-1.2288,-0.0509,-0.8678,1.6065,-1.891,-1.052,-0.7753,-0.3967,-0.7768,-0.975
1.1065,0.2159,-0.8614,-0.5879,-0.6623,-0.3006,0.1025,-0.0286,-0.2806,0.3081,-1.1571,0.3121,-0.8173,1.0834,0.2904,-1.4324,-0.7035,0.3714,0.5519,-0.6292,1.7387,-0.0558,0.1843,1.0497,-0.419,-0.8271,0.588,-0.928,-0.6321,-1.4063,-1.4467,-1.257,-1.0293,-0.608,-1.4742
0.0195,0.2008,1.1459,-1.6069,0.058,-0.346,0.5749,0.6324,0.5575,-1.9491,0.9179,0.8809,-1.1861,-0.2339,-1.1066,1.8184,-0.0736,-0.0436,0.821,-1.0309,0.3011,0.2165,0.3511,0.5783,0.5405,-0.4427,-0.9409,-0.3465,-0.279,-0.4019,1.2712,-0.6316,0.541,-1.0795,-0.2616
