"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NNS1","NNS2","NNS3","NNS4","NNS5"
-0.7234,-0.1856,0.6369,0.865,-1.3318,0.3625,2.4134,0.2939,1.4684,-0.5961,-2.2122,0.6491,1.0803,-0.4843,-0.6885,0.0122,-2.1737,-2.2663
-0.3017,-1.7396,-0.1986,2.1642,-0.6314,-0.252,-0.0156,0.3832,0.787,0.5903,-0.8154,1.2125,0.5503,-0.1671,0.545,-0.8989,1.716,-0.95
0.1014,0.4645,-0.3303,-0.1205,-0.0127,-0.7392,1.6301,0.729,-0.9977,0.7305,0.9135,-0.0605,0.2498,1.0436,0.7327,-0.1913,2.2404,0.2033
-0.6834,-0.2922,0.1549,0.7323,0.8522,0.4871,0.1822,0.5922,-0.5556,-0.9422,0.3358,-0.0099,-0.3369,-0.2948,1.1458,1.6108,0.8113,-1.5096
0.2484,-1.3181,1.0761,-0.1017,0.2539,-1.1666,-0.5393,-0.3287,1.8666,0.2974,0.405,0.375,-0.4928,-0.5929,0.1436,1.7056,-0.8733,1.4017
4.9029,0.1569,-0.1972,0.1736,-1.8606,0.5964,-1.5822,-0.3264,-0.4421,0.9596,-0.5264,-0.7954,0.3784,1.1814,1.264,-0.2845,-0.0312,1.9294
0.3454,-0.0095,1.8175,-0.2917,-0.2073,0.887,-0.5914,-1.3215,-0.6921,-2.0809,0.3427,1.0794,-0.9235,0.5993,-2.1009,-0.8778,-0.6484,-1.0918
-0.5279,-0.397,-0.1928,0.6469,0.7347,0.8,1.4912,-1.1749,-1.3426,0.3301,0.6964,-1.4436,-0.8087,1.0369,0.6973,-0.545,1.1984,-1.3446
2.1701,-0.1299,-0.1123,2.1557,-0.8079,-0.9868,-1.3474,-1.4041,-0.2344,1.0337,-0.3791,-1.0191,-1.0885,2.1631,0.6238,0.0888,0.1232,-1.032
-0.1997,-0.2721,0.3528,-0.227,0.377,1.2735,1.6541,-0.7264,0.9392,0.2187,-1.8684,-0.6017,0.2021,0.3564,-0.243,1.0747,1.4084,0.2245
-0.1959,-0.8725,-1.2317,1.3708,-0.141,-0.9425,-0.7547,-0.3829,0.0298,-0.7838,-1.2283,0.3176,2.0487,0.7495,2.1162,-0.2713,-0.3844,-1.0051
0.6038,-1.3949,-0.8083,0.817,0.1119,-1.0007,-1.4725,-0.7572,0.622,-1.1469,-0.0474,0.5066,-1.0646,2.4573,-0.8688,-0.2167,-2.8708,0.3317
0.0238,-0.4234,0.8499,-0.3336,-0.7345,-0.4545,0.8096,0.3304,-1.3591,0.5842,0.7196,0.4425,-0.0013,0.0109,0.1245,-0.0828,1.4676,0.9815
0.2987,1.2141,-1.1588,0.1719,-0.6664,-0.4992,1.3984,-0.6653,0.5014,0.8816,-0.9894,0.681,-0.7782,-1.0572,0.6877,-1.3256,0.9727,0.9094
-0.3751,0.4671,0.9659,0.5184,0.1235,0.4813,0.398,-0.4064,-1.4282,0.7314,0.7503,-0.2566,-1.3143,0.3112,-0.1116,0.4918,0.2719,0.8509
2.2054,-1.0955,-0.9151,-0.2777,-0.0754,-0.5268,0.4944,-0.5482,0.2125,0.06,1.8511,-1.3974,-0.6555,-0.788,1.1558,0.5267,0.5003,0.9599
-0.7089,1.1653,1.5375,0.9256,1.7211,0.8444,-0.0407,-1.2651,0.5773,-0.0059,-0.8353,-1.5676,0.7915,-0.0485,-1.6858,0.6297,0.3223,-0.3412
0.1929,0.2842,0.7041,-1.1138,-0.7336,-1.6499,-0.1428,0.8006,-1.2962,0.0474,0.3183,-0.5212,-1.088,-0.0337,-0.1122,0.2231,-1.0408,1.2567
-0.5875,0.1394,-0.1545,0.1041,1.1613,1.0433,-0.9333,-0.6266,1.0458,-0.4036,-0.6777,-1.7791,0.5783,0.0716,-0.0992,-0.8773,-0.5649,1.2945
0.9904,1.0092,0.3278,-0.121,-2.1247,-0.6152,-0.6248,2.0588,-1.01,-0.9294,0.7072,-0.2697,-0.8594,0.7013,0.8766,0.6781,0.1082,1.1891
-0.1361,0.857,-0.9936,-1.9016,-1.7656,-0.1922,2.1785,0.3774,-0.8435,-0.5403,0.5489,0.5434,-0.9855,1.2403,2.0035,1.2536,0.0568,-1.2422
-0.0247,-0.6179,0.4728,1.4542,-1.5985,-0.6782,0.3219,-0.5182,0.8058,0.9852,0.4663,0.388,0.3172,0.4943,1.1586,-0.3298,1.4609,-0.9456
-0.9958,-0.5989,0.4374,0.6122,0.4616,0.2363,-2.1993,0.2351,2.0149,1.4245,-0.2595,1.7569,1.3099,0.953,0.6742,0.3441,0.3257,-0.8508
-1.4455,0.8797,0.797,0.5996,0.6215,3.3419,-0.2433,-1.5615,0.5066,-0.6108,0.575,-0.1382,1.4364,1.1383,-0.6045,-0.7355,-1.195,0.416
-0.8445,0.8178,-2.0913,0.9693,1.9719,1.6242,-0.3613,1.8008,-1.9121,0.1858,0.0449,-1.5029,0.1314,1.2551,0.9844,-0.5391,1.2952,1.0183
-0.1413,1.135,-0.8673,-1.9238,-1.1825,0.5433,-1.2148,0.4406,-0.1881,1.2356,-0.1569,0.5453,0.4156,-0.771,0.8918,-0.2431,-1.4046,-0.5533
-0.7017,0.4751,-1.7083,0.6644,-2.3972,-0.2067,0.8966,-0.5445,1.1824,-0.3292,0.9583,0.6199,0.7079,-2.123,1.9775,2.6863,0.7136,-0.9264
0.8225,0.611,-1.6901,0.9847,-1.5108,-0.4921,-1.1457,0.571,-2.2658,0.8779,-0.275,-1.5656,0.4931,0.3125,-0.4355,-0.8037,0.2394,0.4736
-0.7695,0.0952,1.9889,-1.9327,0.8359,1.432,-0.9869,2.084,0.9925,-0.6647,0.1109,1.2146,-0.1071,1.8351,0.5561,-1.5537,-1.2207,-1.4303
-0.224,0.6958,0.08,0.2766,0.3136,-1.0516,-0.258,-0.858,-1.5524,-0.4555,1.2753,-0.8605,-0.7576,-0.8029,-0.7919,1.9452,-0.3125,-1.1329
-0.5174,-0.1507,0.28,1.1302,-1.2664,-0.1756,-0.6429,0.7803,0.1992,0.9709,1.2929,0.5771,0.2541,0.9065,0.5889,1.4402,-0.6725,0.2771
