"target","NS1","NS2","NS3","NS4","NS5","NS6","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40"
-1.1667,0.0137,2.3284,0.5378,-0.5526,0.5482,-2.1406,0.2948,0.118,0.0711,-0.2169,1.2059,-1.4664,1.2466,0.2441,-0.2668,2.6227,0.8947,0.1553,0.5581,0.2847,0.8105,1.4717,0.4847,0.2165,-0.5374,-0.3806,0.5144,-0.9826,0.8465,0.3852,-1.6008,-0.5962,-0.2116,-0.0518,1.4159,-0.4019,-0.1339,0.1215,-0.0285,1.7703,0.6957,0.606,-1.2195,0.7206,1.1598,-0.7927
-0.569,-2.0559,-0.4972,0.95,0.5265,0.6245,0.5287,-0.2596,2.0387,0.37,0.5117,-0.1101,0.1741,-0.4824,1.2063,-0.9396,1.6093,0.7725,1.1679,1.463,-0.5063,0.6248,0.38,-1.9785,0.1013,-0.5642,0.4084,0.001,0.6421,1.1428,-0.8839,-0.3219,-0.4074,-0.8548,2.0939,1.2259,1.6588,0.9543,-0.117,-0.0782,-1.7856,-0.6166,-0.7657,1.6665,1.1692,1.1228,-0.1484
-1.2554,1.8597,1.4955,-0.5773,0.2696,1.1207,0.3438,0.2577,-1.0257,0.2811,-0.5495,1.0205,0.6989,-0.7952,-1.2108,0.2668,0.8439,-0.4542,-1.0262,1.9453,0.2983,-0.9983,0.6515,0.621,0.7313,1.8053,-0.6688,-0.9909,0.3938,0.5808,0.7074,-0.1072,0.3042,0.1362,1.3179,-1.1476,1.24,0.4534,0.1302,-0.4395,0.2066,1.2103,1.2794,-0.7624,-0.19,-0.0656,-1.2952
-0.3124,0.8605,-0.8926,0.2707,-0.4544,-0.5966,-0.5345,-0.4985,-0.5419,-0.5848,-1.7312,-0.8968,0.3062,0.0771,-0.1904,-1.1415,0.3855,-1.4351,1.0259,-1.3527,0.5926,-1.0289,-0.1957,0.3095,0.5147,0.7764,-0.0272,0.4735,-0.493,0.5142,-1.5047,-1.482,1.0819,-1.3376,-0.6334,1.1323,-0.3311,0.163,1.1795,0.8813,0.1535,0.2523,-0.5385,-0.607,0.7395,0.4617,-1.1265
0.2518,0.9164,0.5494,-0.6656,1.1111,-1.4289,-0.7543,-0.6553,1.1025,0.2482,1.2183,0.3099,1.0146,-0.2204,1.0175,1.6175,0.6633,-0.3,-0.6915,1.1763,0.5274,0.4206,0.0498,-0.6649,2.2528,-0.3415,1.4869,-0.119,0.6926,-0.626,-2.0549,-0.0092,0.5378,-0.1432,1.1188,0.0152,0.3946,0.0137,-0.297,-1.3494,0.183,-1.7228,0.3737,-0.2547,-0.1412,-0.9936,1.0526
0.9963,0.1629,-1.8429,-1.0854,-2.7592,-0.9804,1.3898,-0.769,1.2402,-1.6508,1.398,0.0074,-0.5803,-0.6996,-0.5176,0.376,-0.0615,-0.0303,-0.0889,0.4086,-1.4441,-1.4693,0.1949,-0.6735,-0.0666,-0.147,-1.4435,-0.8838,0.9033,-0.7446,-0.0893,0.9073,1.3913,-1.3682,-0.2167,-0.0543,-0.6806,1.162,0.9484,-0.6856,0.3648,-0.158,-1.0426,0.9138,-1.9142,-1.5238,2.1437
0.03,0.6651,1.1705,-0.3692,-0.9726,-0.3021,-1.361,0.7416,-0.5135,-0.774,0.1998,0.7187,-0.4654,-0.0452,-0.2524,0.2537,0.4745,1.0063,1.014,-0.1651,0.0934,0.206,-0.4915,1.1848,-0.8495,0.2744,0.7793,-0.6334,0.564,0.1701,-0.553,1.8689,0.1734,0.6276,1.1129,-0.9449,0.5933,0.0437,0.5051,1.1155,1.6609,0.2331,-0.6683,0.6624,-0.4806,-0.3767,-0.8665
1.6445,1.4017,0.0353,-2.9484,0.0852,0.5031,0.7403,2.6254,-1.7507,0.7412,1.4528,0.9821,-0.05,-0.4168,0.5034,1.3313,-1.3594,0.255,0.3808,-2.0381,-2.1682,0.1177,-1.2108,-0.9205,-0.9927,-0.0153,-2.4615,0.6867,-2.4491,0.024,-0.6874,0.0053,-0.0064,-0.6078,-0.5472,1.3876,0.7802,0.4043,-0.058,-0.4378,-1.9768,-1.0001,0.6597,0.488,0.9209,-0.9434,1.0299
-0.1541,-0.7448,-0.0767,-0.1829,0.1666,-1.044,1.4202,-0.6318,0.3682,-1.702,0.2126,-2.0489,0.2026,-0.7551,-0.2343,-1.5517,0.0775,0.5538,-0.8382,-0.4682,0.4726,-0.1206,0.8925,-1.1017,0.6691,-0.7149,0.3526,-1.353,-0.7791,0.6609,-0.0282,0.1996,-0.3958,0.5172,-0.2816,1.4601,-0.4534,-0.813,-0.3444,-0.8806,0.3355,-2.4546,0.8156,1.3737,-0.6398,0.7263,0.0465
0.3749,0.1602,-0.3381,0.793,-1.0321,0.8446,0.5984,-1.7719,-0.2838,1.867,-0.6226,-0.3222,0.6646,0.4477,-0.9472,-0.5891,0.5331,1.8294,-1.6166,-0.5947,0.3156,-0.0068,-2.1242,-0.526,-0.8449,1.3806,0.6472,1.4025,0.6318,0.7468,-2.6452,-1.21,-0.26,0.5165,1.4865,-0.1697,0.1421,-0.8496,-0.4266,0.7512,-0.2428,0.0512,0.4994,1.1195,-1.2154,0.5203,-1.3971
-0.7985,2.0771,1.5309,-0.5707,0.721,0.8983,0.8175,0.3406,1.5673,1.0241,1.6335,1.0638,1.492,1.2794,1.2311,1.8915,0.7413,0.0305,-0.588,-0.2738,1.1501,-0.6355,0.649,0.1767,-0.3537,0.8576,0.1975,-0.2862,0.6469,1.0486,-0.5088,1.0231,0.3268,0.0962,-1.3856,0.7482,-0.6278,1.1028,-0.4532,-0.506,-0.1673,-0.4598,-0.1821,0.6594,-0.2228,-0.1031,0.4137
-0.4337,-0.1177,0.0167,0.6927,-0.7204,-0.3265,-0.2272,0.4257,0.2921,0.1355,0.1592,-0.3142,-0.1708,1.3272,0.2869,-1.5505,0.4786,-0.8248,-0.8825,-1.1794,0.5476,0.7839,-0.8522,0.0125,-0.1267,-0.1992,1.0884,-1.466,-0.154,0.7075,-0.0029,0.6353,0.3224,1.1898,1.6756,0.2845,-0.5507,-1.7261,0.155,-0.0013,-0.9364,1.1281,0.706,-0.4459,1.0044,0.8815,-1.8309
-1.2581,-1.9921,2.2143,1.3853,1.4941,0.6057,0.5544,0.2391,-0.175,0.6645,-2.0037,2.0646,-0.8684,-0.7426,-0.6134,-0.1005,0.207,-1.2289,-0.388,-0.6003,-0.1627,0.5384,-1.1729,0.1581,0.0358,0.9062,-1.0257,-0.1683,0.6563,0.0932,1.0408,0.15,-1.0446,0.2189,-0.8305,0.3179,-0.1809,0.9509,1.1927,-0.0226,0.1268,-2.0158,-0.5164,0.5328,-0.511,-0.1179,-0.8611
-0.2084,-1.0704,1.9252,0.3237,1.1512,0.9558,2.4983,1.0281,-0.6844,-0.9597,-0.8387,0.031,-0.7634,1.6759,1.7264,1.1159,-0.874,-0.4438,1.4235,-1.278,-0.6871,-0.4971,0.5233,0.4717,1.6925,0.0772,0.8928,0.7755,2.6629,0.0584,-1.379,-0.5523,0.6015,-0.4513,-1.9323,-1.2441,0.7967,-0.3463,-0.4115,0.0396,0.382,1.0421,0.3809,1.3719,0.7727,0.4432,1.5713
-0.244,0.8931,-0.9535,1.1209,-0.2779,-1.7143,0.2724,0.067,0.6884,0.2116,0.9506,0.4025,1.2626,0.3291,0.2909,-0.7002,0.1112,0.5422,0.8184,0.947,0.3989,-0.9468,-0.0819,-0.7576,0.1146,1.455,-0.3119,1.253,-1.0517,-0.4543,0.7765,0.0196,0.1754,-0.8288,-0.1136,0.2482,1.5785,-0.5319,-1.1071,0.6382,-1.1065,1.4874,-1.1126,0.2064,0.5063,-0.4473,-0.441
0.2863,0.8484,0.7446,-1.1561,-1.2243,-0.2762,-1.1231,1.8988,0.0125,0.3901,0.5286,0.3823,-0.5,-1.3505,0.5488,-1.8342,0.4583,-0.2623,-0.6787,-0.3246,0.8534,0.931,-1.3188,-0.2758,-1.0937,1.1847,-1.2882,-1.8009,-0.2087,-1.5926,-0.0923,-0.8949,0.987,0.1296,0.7535,-1.2138,-0.6629,0.1479,2.9665,-1.2362,1.0488,0.911,-0.477,-0.3801,-0.0983,-0.2746,1.1505
-0.8494,1.5477,1.2478,1.1855,2.0627,-0.464,1.0203,0.2234,-0.8853,0.4272,1.2676,-1.2266,-1.1759,0.6651,0.4104,1.3396,-1.251,-0.1585,-0.4483,-0.6812,0.8303,0.577,0.8299,1.0474,-0.3634,-0.2195,-1.4352,0.2651,-1.7716,-0.3061,0.2622,0.1451,-0.4486,0.2392,0.6579,-0.3122,-0.1952,0.606,-1.1931,1.6578,-2.1245,1.0289,0.3506,-1.8448,0.771,0.7644,-0.2984
-0.8359,-0.4701,-0.1905,0.6504,-0.1167,-0.182,0.2691,1.4732,0.344,2.9246,-2.0323,0.1418,0.0649,0.8891,-0.6038,0.9853,1.2411,0.5325,0.3198,-0.0387,1.1952,1.7144,2.0485,-0.2755,0.5672,0.679,-0.549,0.2309,1.243,-0.3969,-1.0315,-1.1903,0.8514,0.5972,-0.3928,0.1281,-1.6181,-2.3195,0.4434,-0.0982,-0.0642,1.4962,0.9091,-0.2171,0.4112,1.4086,-0.8307
0.3783,-0.6604,0.8019,-0.8682,-0.4669,1.3677,-0.3407,0.7224,0.7909,2.4891,0.5391,-0.3332,-0.0122,-1.2427,-0.5456,-0.778,1.2527,0.2368,0.5917,0.4967,0.9168,-1.0713,0.3702,0.5344,-1.3892,-0.8204,0.3918,2.5359,0.5772,-0.23,0.3981,-0.2604,0.6009,1.7019,0.0153,-0.5015,1.2497,-1.5861,0.2576,-0.9495,-0.0882,0.754,-0.9814,-1.4262,-3.1368,-1.3867,0.1875
-1.7381,-0.1084,1.7299,-0.9316,2.2261,1.5308,1.7446,-0.41,0.097,0.2359,1.5711,-1.4594,-0.0411,0.5034,0.7249,-2.0207,1.1547,-0.5534,-0.5955,-0.7969,0.1095,-1.1705,0.4193,-1.6543,-0.0542,-0.7238,-1.9189,-0.2297,0.1943,-1.7642,0.5079,0.6465,0.1859,-0.2633,0.4053,-0.0256,0.8746,0.2248,0.8821,-0.4641,-0.4784,-2.1388,0.8389,-1.2847,-0.5684,-1.3737,0.0144
-0.0771,-1.2464,0.0122,0.6367,0.7072,-0.1387,-0.85,-0.7583,-0.5306,0.1735,0.4861,0.3205,0.1574,1.0221,0.4415,-0.5661,-0.3772,-0.9981,-0.6062,2.0794,-0.0373,0.4632,-0.1215,0.6847,-0.0089,0.5039,-1.4513,0.7089,-1.3425,-1.0806,2.2275,0.1879,-0.5854,-0.0178,0.438,-0.1671,-0.7165,1.8598,-0.0393,-0.4428,0.192,-1.7502,-0.2442,-1.4343,-0.3884,-0.7642,2.0114
-0.5105,-1.575,0.6056,0.1448,0.9021,-0.5797,0.6243,0.0481,-0.4371,-0.4152,0.5129,-0.37,0.6458,3.0687,0.0383,0.892,0.2366,-0.9288,1.2732,0.5556,0.5186,0.5315,-0.2875,1.2925,-0.98,0.0611,-1.3455,0.2813,-0.5517,0.2576,-0.1688,-0.3407,1.6779,-0.9031,-1.2045,-0.0313,-1.9629,-0.1763,-1.1191,-0.4899,1.6132,1.2429,0.1837,-1.322,0.6895,-0.0537,-1.4796
1.8509,-1.8814,0.8554,0.3265,2.4591,1.4727,0.1637,0.941,0.2317,0.122,-1.3303,1.3775,-0.0915,-0.357,-1.2636,-0.4644,0.4446,-0.1416,1.7124,1.1919,-0.2041,0.7921,-0.5078,-1.8234,1.5421,-0.2252,0.6747,-1.753,-1.7056,-1.8526,0.1888,-0.8288,-1.1105,-0.2272,-0.8665,0.3953,-0.4065,-0.3017,-1.0355,0.2659,-1.6279,-1.5018,-0.2421,0.0516,1.1423,0.5628,-0.922
-0.4847,-1.6408,-0.8946,0.8217,0.0033,0.8749,-0.3539,-0.2403,0.4917,-1.6123,-1.5405,0.7796,1.0215,0.0456,1.4013,-0.9636,-0.6994,-0.2747,2.8139,-0.1618,-0.2212,-0.5626,0.4985,2.0759,-0.3621,0.6917,-0.6789,-0.2936,-1.5391,-0.046,0.2207,-0.9262,0.2831,0.0899,0.3939,-0.445,-1.1322,-0.312,-0.1508,-1.2486,-1.8442,1.1979,-0.3945,0.435,-0.471,-0.7368,2.0574
0.1142,0.8505,-1.2965,0.6766,-0.9088,-0.3492,0.012,-0.2374,-0.0239,0.408,0.0804,-1.3025,-1.0913,-1.075,-0.9194,1.34,0.6123,-1.269,-0.1131,-0.3637,1.137,0.7903,-0.6499,-0.6696,0.405,-0.3117,-0.7905,1.9022,1.4102,0.4715,0.7131,-0.2711,0.8818,0.5412,-0.3239,1.1591,-0.5988,-0.7563,0.511,0.3609,-0.391,-0.0044,0.6055,-1.1264,1.4662,-1.6704,-0.9873
