"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20"
0.0818,1.1725,0.6557,0.8325,-1.1141,-0.7297,-0.975,0.8585,-0.1824,-0.9392,-0.5129,-0.5689,0.6147,-1.6071,1.8577,-0.6408,0.6638,-0.3074,-0.4514,0.685,0.4787,0.6004,-0.0459,-1.7167,-0.353,0.0701,0.0015,-0.1138,-1.7786,1.0549,0.6515
0.9194,1.1252,0.9034,0.4933,0.2726,-0.2064,-1.3528,-0.0479,0.896,0.983,-1.2595,-0.3104,0.2754,-0.8658,-0.666,0.1459,-1.3011,-1.4679,-0.4428,-1.8928,-1.8009,-1.0457,-0.37,0.7754,-0.9705,0.0633,1.4432,-2.159,1.1591,0.1311,-0.4169
-0.2111,-0.3196,0.7244,0.564,0.3707,-0.1614,-1.6149,0.949,0.0706,-1.264,0.9693,-0.0337,0.5483,0.6469,1.6805,-0.6416,-1.6347,0.1956,-1.6296,-0.2107,0.9257,1.2787,-1.8469,-0.3308,-2.8706,0.0611,1.2957,1.4398,0.3108,1.5906,-1.3839
-0.6358,0.3249,-0.1067,-1.4704,-0.7599,0.5327,0.1613,-0.222,-0.0298,2.02,-0.7951,0.0459,-1.5038,-0.0416,-0.2755,0.197,-0.1002,0.4151,-0.7362,-0.5959,-1.3079,1.0203,0.7713,-0.0082,0.6038,0.7326,1.4491,-0.1453,-3.0938,1.4138,-2.8719
0.7179,1.2582,-0.4351,-0.8639,-0.8319,-0.2278,-0.4587,1.0393,0.1101,0.2319,0.0192,1.0988,-0.2541,-0.5668,0.4927,-1.4472,0.3524,-0.912,0.1157,0.4143,0.4173,-0.076,-0.1462,-1.7647,1.0923,-1.7792,1.007,-0.7949,1.4463,-0.3688,0.4
0.4166,1.878,0.8685,-0.8739,0.509,-1.0267,1.0511,2.5373,-0.7176,1.1039,-0.3817,2.1167,-1.0011,-0.6258,-0.7546,1.8921,2.7519,0.0938,0.2239,0.6123,1.4283,1.262,-0.6104,1.0722,1.2895,0.3087,-0.0046,0.8903,-2.6368,-0.8455,-1.1287
-0.257,0.5828,1.3109,0.9963,0.8258,0.1215,0.3366,0.4182,-1.5475,-1.1771,-0.8485,-0.7502,-0.0545,0.4731,-0.0362,0.3034,-0.1692,-1.9812,-0.7429,-1.0904,0.0592,-0.114,0.8032,-1.8968,-0.1195,-0.899,-0.6009,0.3809,-1.2207,-1.4369,-0.6443
-0.0188,1.1558,1.4067,0.0683,0.631,-0.701,-0.4153,-0.0659,-0.0998,1.1391,-0.389,1.5458,1.1054,0.8139,-0.7496,-0.5872,-0.7817,0.4771,-0.1477,0.0876,-0.6769,-2.2874,0.3909,1.9249,0.6362,0.0122,1.3263,0.9145,2.0455,1.2982,-0.4518
-0.056,1.1435,-2.1399,0.1608,-1.61,-0.5027,1.9139,-0.2476,0.3882,0.0115,1.2991,1.3932,-1.3759,1.0679,0.5859,1.9902,0.5464,-0.4559,-0.18,-0.241,0.504,1.0898,0.8567,0.6301,-0.3705,-0.9412,1.1266,0.6789,0.2993,0.1166,-0.0848
-0.3145,-0.592,1.0953,-1.1776,-1.2227,0.7714,0.4518,-0.892,0.4853,-2.3377,2.7459,0.3144,-0.3837,0.7364,0.8291,-0.7246,2.349,-0.2655,-1.1609,-0.1252,-0.7802,-0.0467,-0.7395,-1.4837,1.2261,-1.1836,0.0542,0.9089,1.2593,-0.1066,-0.112
0.0742,0.2732,0.4687,-0.4078,0.3353,-1.8302,1.4831,0.915,2.2548,-0.6573,-0.24,1.3542,-0.5046,-0.5041,1.2322,0.3641,-0.9228,0.7713,0.6216,-1.4824,0.7845,-0.4419,-0.2325,0.147,0.2799,0.8751,0.4049,0.7033,0.8926,0.502,0.515
0.086,-0.0057,-0.114,0.1565,-0.1161,0.4832,-0.2408,0.6472,0.0505,0.0026,-1.3171,-0.7371,-1.2272,0.3997,1.4786,-0.2003,1.2692,-0.0694,0.4043,0.3499,0.045,-0.6653,0.0576,1.4511,-0.3252,1.4669,0.8426,-0.6285,-0.5174,-1.1753,1.5554
-1.3745,-0.3027,-0.3019,-0.7694,0.3143,-0.9776,-1.3658,-1.3388,-0.4414,0.3134,-1.395,0.8433,-2.7347,1.302,1.8571,-0.7185,-0.128,-1.1405,-1.182,0.5253,1.0551,0.8995,-0.9562,0.0743,0.0257,1.6752,0.083,0.5665,-0.8827,0.443,-1.1227
1.135,-0.6746,-0.5045,0.3151,0.2712,0.0627,0.4963,2.0025,0.8137,1.6222,-0.0207,-1.9058,-1.7291,-0.1349,-1.3987,0.1642,0.6425,-0.332,1.4916,-1.2027,2.5804,-0.7033,0.3631,-2.0837,-0.0633,0.1395,-0.4526,0.6168,0.3092,0.7935,0.7345
-1.0821,1.6596,-1.1948,-1.6725,-0.4423,-0.8498,0.6117,1.3471,-2.2442,0.0379,-0.3386,0.2918,-0.1666,0.8263,0.2206,-1.5416,0.1253,0.8764,-0.8939,0.8668,1.3091,-1.1067,-0.2575,0.7766,0.3201,-0.0298,0.9504,0.1327,2.1905,0.1766,-1.2375
-0.389,0.1393,1.418,0.0839,-1.2951,0.622,-1.4713,0.3066,-1.2361,0.7012,0.4161,0.0933,-0.3737,-0.9633,0.1915,-0.6293,-0.8246,-1.366,-0.8089,-0.1008,0.6054,-1.5577,-0.3192,-0.057,-0.9566,-0.4381,0.7171,-0.0863,1.8534,-2.1137,1.4115
1.6844,-0.0659,0.0217,1.5808,1.6182,-0.201,0.2559,-0.8535,0.3662,0.8178,0.5456,-0.5799,1.4329,-0.3766,1.6194,0.8341,-0.7532,1.4144,0.2639,0.5929,0.4159,1.6279,0.7765,-0.3619,-1.6339,-1.4041,-1.677,0.4564,0.8127,-0.0694,0.9496
-0.1722,-0.5693,-0.307,-0.7182,-0.7566,-1.6927,1.5344,0.3766,0.4422,1.2102,1.0484,-0.5636,1.9335,-0.8783,-0.0222,1.615,0.2422,-0.5311,-0.0273,-0.0162,0.413,-0.7832,1.3655,0.1392,1.7904,-0.0752,0.4587,0.3574,-0.3245,-0.0046,0.5735
0.4322,1.3971,0.4037,0.432,-0.8065,0.6756,0.828,-0.1578,0.53,-0.3495,-0.2517,-0.7587,-1.2073,0.8109,0.603,0.4415,0.7657,0.0087,2.3866,0.3669,-0.7719,-1.1095,-1.7346,-0.5916,-0.458,0.2306,-0.2838,0.6043,1.2365,-1.5895,-0.1907
-0.7268,1.4932,-0.1915,0.3506,-3.2849,0.1996,-1.0258,-1.4197,-0.8572,0.6931,0.5783,-0.3684,-0.4508,-0.4655,-2.0097,-0.6908,0.6945,-0.1408,-1.379,-0.6555,-1.2251,0.5076,-0.9067,1.8192,1.4405,-1.3758,0.0851,-2.5894,0.3831,0.1547,1.3789
-0.4838,-0.0916,1.0627,0.0781,-2.0462,-0.2904,0.3328,-1.3989,0.3521,0.1639,-0.5357,0.3409,0.4349,1.4261,0.0426,-0.6161,-0.9357,0.2442,-0.5668,-1.2214,0.1543,-1.9815,0.6914,-1.0459,1.2325,0.7311,-0.2695,-0.718,-0.3382,-0.2356,1.3879
-0.8863,0.059,0.069,-1.448,-0.502,0.7185,-0.9118,-0.7312,0.3767,-0.6076,-0.855,-1.2012,-0.3087,-0.6281,0.6379,0.967,-0.6709,0.5162,0.4045,0.8866,-0.4063,-0.4497,-0.2059,-1.5844,-0.311,-1.0786,1.2769,-1.1728,-0.6071,0.9556,-1.3954
-1.0363,-1.6369,-1.1967,0.4382,-1.3057,1.1446,-0.9256,-0.0759,0.4032,-0.4851,-0.4089,-0.8212,-1.0955,-2.2391,-0.7194,-0.1213,-0.5428,-0.9881,-0.7158,-1.0595,-1.2698,0.2933,1.2544,-0.5703,0.2653,-0.8465,-0.3147,-0.1963,0.1094,-1.2237,0.144
-0.4192,-0.6237,2.0518,-0.5654,-1.3048,-1.2333,0.1507,-0.2032,-0.412,0.9535,-0.3056,0.2637,0.3177,-0.4471,0.0889,-0.0879,0.4291,-1.6936,-0.9218,0.8751,-0.8606,0.1668,-0.2067,2.2669,2.1574,-0.4144,-0.1186,-0.3768,0.2758,0.3063,-0.3293
-0.0872,-0.6684,-0.5642,-0.0134,-1.5915,-0.0052,-0.3465,-1.3498,-0.8043,-1.1563,1.157,-1.8934,0.6069,-0.3218,0.0457,0.1378,-0.2062,0.8733,0.7772,1.0009,-0.1168,-0.8284,-0.4966,-1.3814,-0.5053,0.8301,0.3312,0.0491,-0.0783,0.4013,0.2009
0.1899,-0.5261,0.0781,-1.4936,-0.0211,0.688,0.7655,2.4125,0.7442,0.4068,-1.3087,1.0287,-1.7117,-0.2677,-2.0699,-0.4501,-0.0414,0.5626,-0.767,-1.3513,-1.0986,0.1204,-0.0777,-0.5322,-0.5694,-1.4474,-1.2152,-0.7788,0.8198,1.2716,2.2976
0.0533,1.4526,0.1117,-1.2968,0.7036,1.8146,0.6918,-0.6851,-1.6242,0.281,1.0287,0.1311,0.5343,-2.4769,-0.1237,-0.0104,-0.839,-2.0225,0.1264,1.0166,-0.6946,-0.5966,-0.2301,-0.0525,-0.5701,-0.2197,1.4236,1.4698,0.4979,0.5533,-0.4281
0.2329,-1.2244,0.72,-0.1132,0.7425,1.6916,0.211,-1.1412,0.6561,0.0697,1.6116,0.6746,0.1507,0.4285,-1.1278,-0.5527,1.1815,0.273,-1.4513,-0.8431,2.5043,0.6552,1.0019,0.9767,-0.1039,-0.9989,-0.8728,1.695,-0.095,1.0272,0.0077
