"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26"
0.8197,2.1026,-0.5507,-1.7755,0.8132,-0.4887,1.4051,1.3295,-2.0491,1.0348,-0.881,-0.1518,-1.0285,1.3259,-0.4652,0.3587,-0.572,-0.512,-0.654,-0.2287,-2.0304,-0.3796,-1.6258,-0.2479,-1.0126,0.363,-1.2727,-0.7557,-1.0685,0.5137,1.3543,1.4378,-1.3261,-0.7113,-1.1707,1.7285,-0.8417,-0.8474,1.8198,1.3162,-0.7196,2.7963,1.1059,1.5092,0.6784,-0.6297,1.1029,0.806,1.8057,-0.7748,-0.2994,-0.9787,0.3641,0.7926,0.6002,-0.9633,-1.071,0.0152,0.2226,1.3876,-1.1492,-0.1822,-0.5642,1.7338,1.6546,0.681,-0.0543,1.0962,-1.8021,-0.492,-0.8849
-0.0384,-0.0685,-0.922,-0.1786,0.0832,-0.1378,-0.1797,0.4344,-0.9356,-1.2131,-1.551,-0.504,-0.1326,0.8192,-0.893,0.6114,0.189,0.5475,0.2166,-1.223,-0.2806,0.0706,0.7445,0.5768,-1.1119,0.6591,-0.4099,-0.3068,0.1817,0.6836,-0.3755,0.6148,-1.0811,1.5468,0.4199,-0.1391,-0.1493,-0.4601,-0.4738,0.6083,0.7915,-0.1721,0.3408,0.923,0.1942,1.0875,0.3538,-0.6912,-0.2099,0.2728,-1.4639,-0.059,-1.0625,1.176,1.0477,-0.2944,1.0113,0.5175,-1.4672,2.4837,-0.4052,-0.015,-1.1638,1.1642,1.2435,1.5119,1.1599,-0.2459,0.0268,1.5747,-0.2827
-0.5389,-1.7748,0.0571,0.9237,-1.4608,0.3004,0.5199,-0.371,-1.1712,1.1101,2.614,2.1107,-0.272,-0.1378,-0.8355,-0.721,0.2495,0.8579,-0.1092,0.8861,0.1742,2.7068,0.8613,-1.3945,0.01,0.6591,0.2191,-0.2128,-0.349,-0.6558,-2.413,-0.4646,0.3959,1.1951,-0.2232,0.7064,-1.0217,-1.6885,-0.2443,0.9077,0.0794,-1.0318,-0.2639,0.4826,0.5707,-1.5844,0.3425,0.2519,1.4131,1.3157,0.2431,-0.1229,-1.7031,-1.086,-0.159,0.4617,-0.6882,1.7811,0.0704,1.376,0.1624,1.4269,0.6695,-0.8962,-0.5287,0.2299,1.2023,0.4401,-1.4415,-1.6405,-0.8405
-0.4837,-1.0541,0.5122,1.1938,0.1704,0.4017,-0.3242,-0.275,0.4528,0.4689,-0.9515,-0.6638,-1.7409,0.4709,-1.045,-1.2043,0.1656,-0.4089,0.5938,-0.3674,1.0625,0.4118,-0.7919,1.2283,-0.2383,1.0558,0.0705,0.0532,-0.1973,-1.0006,0.4111,-2.3191,0.6883,0.2698,2.0798,1.2229,-0.8308,-0.7576,-5e-04,0.221,0.8723,-1.2319,0.262,0.9166,-0.4266,-1.1796,0.2047,0.4227,-0.3938,-0.086,2.3286,-1.391,1.4724,0.6884,0.3481,-0.2137,1.3146,-1.192,-0.3724,-1.2109,-1.5978,-0.9078,0.9366,-0.7233,0.1412,1.3148,-0.4571,0.0893,-0.7612,-0.5884,0.2153
2.0316,-1.6035,0.4211,-0.7416,1.817,0.3451,-0.7901,0.5651,0.2282,-1.2278,0.6137,-2.9922,0.5806,-0.1703,0.5322,-0.0309,0.5801,-0.3093,1.0437,-0.4849,0.5684,0.789,0.2685,1.1897,-0.2864,-2.771,-0.1194,0.6816,0.0155,0.3621,-0.5992,-0.0648,-1.0623,0.88,-0.0749,-1.9664,0.0413,-0.8714,-0.6489,-0.2349,-1.2292,-0.9869,-1.2309,-0.7242,0.3333,-0.772,0.1429,0.186,1.6004,2.0985,0.3131,1.2367,-0.2133,0.0984,-0.8877,0.0759,-0.4313,1.4317,1.9788,-0.6238,-0.0412,-0.6714,-0.4499,-0.5266,-0.487,-0.9018,-0.4553,0.3879,1.0748,-1.8588,1.5149
-1.607,0.074,-0.1705,0.2489,0.7163,0.0755,1.6826,-0.676,0.2972,2.3561,0.3607,-0.165,1.6002,-0.2547,1.6233,1.0302,1.1485,-0.0728,1.104,0.716,-0.5422,-0.2733,-0.0221,0.4323,-1.0392,-2.0249,0.0161,-1.0137,0.6003,1.4864,-1.8374,-1.0303,-1.8217,0.2303,1.4805,-0.9696,0.989,0.9759,0.2042,1.3312,0.7521,-0.0327,-0.2644,-0.1219,0.9669,0.9187,-1.1159,-0.1867,-0.076,-0.8779,-2.1418,-0.1435,-1.0066,0.3529,-0.7511,0.7929,0.7534,1.8408,-1.0455,-0.4321,0.1244,-2.0741,0.6367,-2.0157,1.143,-1.9821,0.3114,0.0439,0.999,-1.0317,-0.3235
-0.4104,0.6595,0.3524,-0.9752,-0.7768,1.8126,1.2268,-0.9241,1.8799,-1.1809,-0.2534,0.1146,0.0386,-0.5437,-0.4807,0.1749,-1.3049,-2.3572,1.1493,3.0324,0.0743,0.0476,-1.7071,0.9444,-0.3318,0.1864,-1.1411,-0.7755,-1.3163,1.1834,1.089,-0.9898,-1.1099,1.5138,1.1315,1.3983,-1.1962,0.9676,-0.9164,0.0824,-1.454,0.6531,0.1184,-0.2616,-0.6887,2.1109,-1.9673,0.3686,-1.2273,0.1497,0.5801,-0.2226,-0.1516,-0.961,0.3404,-0.4393,0.2414,1.8973,1.6785,2.5483,0.4168,1.1428,0.4276,-0.4655,-0.1275,-0.8098,-0.6074,-1.2596,0.5517,0.8202,-0.3071
-0.8701,0.6643,-0.4513,-0.5452,3.1932,1.39,-0.8745,1.6933,2.4086,-0.8689,0.2292,-1.1232,1.9123,0.7793,0.0123,1.3262,-0.3832,0.8884,1.3602,-0.1075,-0.4223,-0.3966,-1.6657,-0.5098,-0.3885,-1.3379,0.7725,0.2089,0.5956,-1.9919,-0.1135,-1.7005,2.8417,0.8129,0.9838,0.467,0.6456,1.2562,-1.8442,-1.9302,-0.2951,-1.2224,0.6463,1.455,-1.2992,-0.0043,0.7204,-2.0533,-0.3299,0.6684,-1.9078,-0.6774,-1.1419,1.0909,0.412,0.1659,0.6334,-0.8583,0.137,-0.155,-1.1316,1.6095,-0.1677,-2.9482,-0.2979,1.4911,2.1913,0.0344,1.093,1.054,1.1082
-0.7252,-1.3634,0.5838,1.3109,3.3884,-0.8764,0.3936,0.5938,-1.2983,-0.7384,1.0973,-0.091,-2.0256,0.8428,-0.06,0.3141,-0.3641,0.731,-0.6378,-0.5379,1.6602,1.1787,-1.3889,-1.1001,0.5298,0.5943,0.4326,-0.6068,-0.8552,1.1515,1.0306,1.7324,1.8958,0.3383,0.2121,-0.1516,-0.7136,-1.6774,0.3368,-1.567,-0.28,2.3596,0.5155,-0.1917,0.2598,-1.061,2.0004,0.9351,1.733,0.6057,-1.525,-0.7137,-0.344,0.2531,2.6586,0.4363,0.3017,-0.072,-0.8175,-1.7123,-0.1658,0.0644,0.6481,0.3611,0.1156,0.0221,0.5285,-1.6853,0.6003,0.778,0.1177
-1.2551,0.2831,0.1525,-0.0305,0.8682,0.0604,0.039,1.108,-0.1861,-0.6976,2.2121,0.1388,0.0791,-1.5892,-1.3272,-1.4557,0.8452,0.5446,0.5629,-0.8159,0.9504,-0.3444,0.2091,-0.469,-1.8084,0.0874,-0.5924,2.8393,0.0369,0.2218,-0.136,2.3079,1.0224,-0.1652,-0.4601,-0.2265,0.8802,0.8444,-1.0022,0.6861,0.6948,-0.8817,1.688,-1.4685,1.435,0.3258,0.6997,1.221,-2.0562,-0.9612,-0.4236,0.1155,-1.0401,0.5691,1.4707,-0.8445,0.1447,1.6591,0.3557,1.817,1.8792,0.0054,0.8285,0.8856,-0.1166,-0.5871,-0.52,2.3493,0.7934,0.6508,0.4514
-0.9139,-0.5209,-1.1666,0.8443,0.5588,1.9775,0.2607,-0.2604,0.8543,-0.1587,-0.8518,1.0332,-1.9693,-0.3183,0.6232,0.6043,0.9664,0.8676,-2.0794,-0.6788,0.4635,-1.0793,1.288,2.0733,-0.0864,0.0502,1.5893,1.405,0.6692,0.2804,0.7752,1.7852,1.4166,-0.487,0.3725,-1.0374,0.4715,-1.7359,-0.107,0.8261,0.8363,-1.4655,0.9033,-0.0056,-0.902,-0.0392,-0.5796,-0.3749,-0.2983,0.5479,0.6547,0.6775,2.4062,-0.8074,2.3498,-0.6751,-1.3034,-0.4607,0.1258,0.4535,-0.7471,1.0913,-1.0889,-1.1401,0.6001,0.3102,0.9631,0.023,-0.2194,-1.4355,-0.5059
-0.6785,0.1934,0.3405,0.6395,-0.6425,1.5586,-0.6241,0.3104,-1.0818,-0.958,-1.2878,0.7125,2.1288,0.6601,-0.2781,0.2158,-0.7062,0.7699,-0.2031,1.1712,0.5459,-2.1094,0.2562,-0.3195,-0.7145,0.8446,-0.1318,1.1368,0.6349,0.592,2.4071,1.8143,1.0275,0.7505,-0.9751,-0.0698,-0.2225,-0.5759,-0.4719,0.7272,-0.3583,-1.5093,0.8431,-1.1364,-0.5169,-0.2083,1.1939,0.1075,1.5852,-1.1075,0.771,1.7423,-0.4393,1.4049,-0.371,0.6568,0.3009,-0.3341,1.9566,-0.557,-0.9842,-0.2769,-0.1072,0.3983,0.8938,2.2356,-0.4398,-0.5565,-0.8585,-1.2123,1.2759
-0.2455,-2.1749,-0.3867,-0.3295,-1.3125,-1.3826,-0.3443,0.8479,-0.2544,3.7233,0.7884,1.3546,0.3191,-1.6791,-0.8194,-0.7622,0.7356,-0.075,0.1048,1.5832,-0.425,0.2867,-0.2009,-0.6811,1.2716,-0.6984,0.343,-0.5443,0.1826,0.8594,0.2391,-0.0242,0.4827,-1.1256,1.7092,-0.2269,-0.5225,1.8313,0.2943,1.736,-1.201,-0.7034,0.3355,0.5774,1.0759,0.4528,-0.5243,-0.6997,-0.6665,0.7259,0.2234,-0.174,1.6943,-0.9567,0.9144,-1.4101,-0.2265,0.2833,1.4764,0.0884,-1.3074,0.4678,0.5487,1.5221,-0.692,-0.4715,-0.0146,0.8751,-0.1975,-1.0876,2.1403
0.9708,-0.7998,-0.39,2.4804,0.3705,-0.4842,-1.028,-0.1244,1.0352,-2.3537,2.122,-0.9966,-0.4407,1.0873,-0.0168,1.2837,-0.4022,0.7299,0.1859,1.1821,-0.6216,0.0817,-0.6213,-1.53,-1.3869,0.7065,0.4078,1.2422,1.103,0.4199,0.6191,-0.2971,-1.814,0.408,1.0944,0.8892,0.8114,2.5073,-1.6602,1.3348,-1.3274,-0.6606,0.212,-0.7982,0.5221,1.5092,-0.2093,-1.1006,1.423,1.2147,0.5013,1.7055,-0.0964,0.7464,-0.8537,0.6428,-0.5763,1.1602,0.5797,0.4595,0.1981,0.38,0.1815,1.3957,1.6203,-2.1657,-0.8165,-1.7787,1.0694,-0.8033,-1.1847
-0.4576,-0.659,0.5487,0.4436,0.763,0.7535,0.4964,0.4672,-1.531,-1.9397,1.5436,-0.4142,1.8923,-0.3643,-1.6182,-1.978,0.7751,-1.7564,-0.2808,-0.8412,0.9169,0.211,0.3891,-0.2182,1.2209,-1.0199,0.2155,-1.0157,-1.5666,1.311,-0.5368,1.5034,-0.1768,-2.4235,-0.9657,-1.167,1.0669,-0.1333,0.2422,-1.9319,1.9331,-1.3428,-0.9878,0.5471,0.6749,-1.435,-1.4291,0.4877,-0.0443,-0.6379,-1.4095,2.8939,0.4667,-0.359,2.8814,-0.2392,0.1884,-0.4814,0.8263,-0.9129,-1.4551,-0.943,1.2243,-2.0855,0.3064,0.675,0.122,-1.5435,-0.2428,-0.4715,0.1869
-0.351,-0.6789,0.084,1.5384,0.3789,0.2441,-1.4849,-0.9069,-0.9478,-0.866,0.1635,1.7622,0.3838,-0.5675,0.2491,-0.5763,0.8471,1.4515,-1.6687,0.2128,-1.8141,-1.1135,0.8993,1.0785,-0.1646,-1.3179,-0.3149,-1.3499,0.1905,-0.5257,-0.1365,0.2654,-0.2935,-0.3928,-0.0245,-0.1472,-0.7886,-0.1595,1.4391,0.8458,-0.5347,1.2776,0.8526,0.4629,-0.3499,-0.5943,-0.3681,-0.2946,-0.7852,-1.8982,1.2361,-0.8972,-1.5516,0.7283,-0.9839,1.2255,-0.6538,0.5027,1.1968,0.9757,-1.0265,-0.1698,0.9773,2.9728,-1.4663,-1.0051,-0.3082,0.0704,0.3659,0.4251,-1.1765
0.2448,-0.3957,-0.0642,0.9495,1.4043,0.569,0.5736,-0.5483,-0.8531,-0.2147,0.237,1.3389,-1.6,-0.0244,0.1415,1.0254,0.3231,-1.0268,-1.375,-0.6759,-1.2923,0.7036,0.427,-1.3316,0.6616,-1.6469,-0.6203,0.0959,2.0165,0.3707,-0.628,-1.4347,0.1588,-0.8775,1.8358,2.0377,-0.6421,-0.0847,0.6965,-0.2773,0.2415,1.068,1.2526,0.0443,-0.182,0.6353,0.4483,0.8854,-0.2848,-3.2746,-0.9872,-1.271,-2.2257,-0.7812,-0.9767,-0.0348,-2.6296,-0.2387,0.8838,-0.5068,-0.1565,0.4109,-1.5059,0.9643,-0.0366,1.1889,0.6526,0.9542,-2.4183,0.3576,-0.9981
-0.1501,-1.4686,-0.7142,-1.3891,-0.239,-1.1988,0.271,-0.1993,0.4459,0.6822,0.3946,-0.6388,1.3132,0.2082,-1.15,0.7572,0.9817,0.6281,0.03,0.3288,1.8707,-2.2227,-1.2208,0.3238,0.9832,-1.2756,-1.7957,2.4101,0.7009,-0.3135,0.7263,0.4411,1.2968,0.9697,-0.3673,0.3754,0.3716,0.9811,0.5991,-1.1595,-1.2916,1.5839,0.3648,-0.1463,0.5546,-0.8549,0.6216,-0.6795,-2.3793,-1.4227,-0.0956,-1.3233,-0.1259,0.6519,-0.3771,0.4652,-0.7231,2.1024,-0.0306,-0.2028,0.4569,0.0479,1.0707,1.2175,0.0245,-2.2005,-0.1047,1.8306,-0.6514,1.3961,0.5451
0.267,-0.4128,-0.4985,0.1482,1.0844,0.4953,0.1625,0.4105,1.1956,0.2746,0.2542,0.6475,1.3469,-0.2754,-2.3812,1.2262,-0.5521,0.0459,0.2031,1.854,-0.5237,-0.8764,1.1162,-0.4413,0.1798,-0.9329,1.2234,0.3212,-0.1001,0.1296,-0.3336,-0.1911,-0.6775,-1.7113,0.2519,-0.6783,-1.8174,0.5871,0.8608,-0.8501,0.4815,-1.43,-0.2014,-0.5714,-1.4329,-0.9869,-0.7298,0.0486,0.4314,0.0232,-0.2236,-0.0063,0.0587,-1,-0.4018,0.8403,-0.0416,-1.8304,1.2652,0.1739,0.0179,0.1487,0.7378,0.4822,-0.2254,0.6641,1.3611,1.7753,-0.9594,-1.1349,0.1463
-1.0861,-0.0467,0.1459,2.1485,-0.4476,0.3711,0.3337,0.3012,1.0555,0.6063,-0.4866,0.2978,-0.6038,0.0756,0.0411,-0.0255,1.2449,0.5554,-0.2082,-0.1889,1.1495,0.1264,-0.2673,1.2715,-2.1332,1.1647,0.92,-0.2754,-1.1062,0.5534,-2.2358,0.2836,0.7449,1.3205,0.6331,0.5155,0.812,-0.2165,1.7315,0.8531,-0.0899,-1.5414,0.0893,0.8966,-0.3403,2.213,-0.7003,-0.845,0.0518,-1.4729,-0.8499,-1.9919,1.9196,0.4636,-0.2723,0.9955,0.9365,-2.2086,0.827,-1.077,-1.4267,0.0845,-1.0594,-1.4673,-0.5548,0.3987,-0.1265,0.1017,0.5865,-0.1845,-1.6212
-0.6072,-0.945,-1.1369,-0.9139,-0.2714,0.7859,1.6671,-1.056,-1.1336,-1.539,-0.2328,-1.0339,-1.1017,0.7453,0.6474,-0.0753,0.5924,-0.4655,0.8797,0.7426,-0.6347,1.0819,2.7455,0.5279,-0.0637,-0.5503,0.3167,-0.2187,1.226,0.6145,-0.4064,-0.2187,1.0315,0.1999,0.1719,2.0463,0.6115,-0.5841,1.6223,-0.9512,-1.01,1.1764,0.9576,-1.379,1.3706,-0.2491,0.5229,-1.5121,1.218,-0.6933,1.2537,1.3789,0.1352,1.2966,-1.1725,2.6538,-0.3836,0.8372,1.009,0.5675,0.4954,-1.9037,0.4365,0.5799,0.8996,0.9798,1.5616,0.0994,-0.8107,0.3764,-0.6405
-0.633,-0.0614,0.2206,1.2813,0.6112,-0.353,-1.3522,-0.6381,-0.0537,-1.1492,0.3827,-0.2481,0.9681,0.424,-1.8187,1.4607,-0.835,-1.3144,-1.2599,1.0862,1.1709,1.5115,0.0456,-0.3169,-0.0744,0.108,-0.262,0.5009,-0.9897,0.1412,0.3328,0.8452,0.3551,-1.3568,0.8572,0.723,-0.1173,-0.8564,1.4119,1.4045,0.1928,0.0419,0.1845,-0.3683,0.0072,0.6086,-0.1824,2.0124,-0.5035,-2.1037,-0.4974,0.8194,-0.2361,-0.1608,-1.5741,1.6157,1.0017,1.3304,-0.3965,0.4572,-0.8259,1.2549,-1.0985,-0.5822,0.3142,1.2643,-0.3451,-0.4775,1.5829,-0.9286,0.4093
1.7428,0.3358,0.166,-0.7156,0.5537,0.0681,0.7,-0.5477,0.4716,-0.5207,2.8437,0.3469,-0.6306,0.9416,2.4413,-0.7964,-0.7868,-0.1756,0.4377,0.6516,-0.3146,0.4208,0.6049,-0.1869,-0.5465,-1.1415,-0.8669,1.0401,-1.4095,0.7637,-0.954,0.1559,-1.6943,0.8084,-0.336,-1.2949,-1.9007,1.0324,-1.2917,0.6929,0.0542,0.8651,0.208,0.2428,-0.7698,-1.1155,0.6706,-0.5838,-0.1284,1.6854,-1.5991,3.1767,0.6683,-0.6337,-0.3886,-1.2863,-0.2808,1.2681,-0.2286,-0.3302,1.5935,0.4259,1.2792,1.4225,1.679,0.6108,-0.0127,0.9816,2.0825,0.6422,-2.4755
1.6091,-1.6092,0.831,0.2996,2.1005,0.5741,0.049,-1.274,1.2683,0.5599,-0.0984,-0.1896,-1.8718,-1.1023,-0.1741,-0.1633,-0.9541,-0.7795,-1.5362,1.0303,0.165,1.1561,0.6306,-0.2945,1.2649,-1.0259,0.0984,-0.7232,0.2737,-0.4342,2.0752,-0.0455,-0.2322,2.0135,1.824,-0.9864,0.7823,-1.251,0.4057,-1.0618,-0.8955,-0.22,-0.7952,-0.7464,-1.3347,-0.5919,0.2249,2.4648,-1.2263,-1.3269,-0.2982,0.4034,-2.3808,-0.584,-1.04,-1.3059,0.0373,-1.4833,-0.1807,-1.5881,-1.1401,0.4814,0.2729,-0.1151,-1.3698,-0.3192,-1.4172,0.3389,-1.552,0.946,-1.0223
-0.9767,-0.6976,1.0622,-0.7419,0.6039,0.686,-0.3859,1.06,-0.1636,2.2073,-0.2377,0.6529,0.2574,1.0276,0.0911,0.6529,-1.4743,0.1837,-0.0792,-0.611,-0.7597,-0.2192,-1.7633,1.6593,0.1053,0.2397,0.0942,-0.7782,0.6449,-0.616,0.4819,1.0784,-0.1558,-1.2617,-1.0075,1.8158,0.271,-0.3193,2.167,-0.4977,1.5069,-0.1835,0.2423,-0.4995,0.1807,-0.1832,0.6967,0.0876,-0.4254,0.3538,-1.6508,-0.458,1.2661,0.25,0.4911,-0.4685,1.5895,0.7306,-0.8399,-1.2243,-0.3834,-1.3075,-1.1722,0.742,0.4807,0.0253,-1.4212,-1.1876,-1.1206,0.4386,-0.1447
