"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NNS1","NNS2","NNS3","NNS4","NNS5"
-1.5006,-0.4986,0.8587,0.1641,-1.5054,1.5383,-1.5391,0.46,0.5789,0.4932,-0.5478,-0.0907,-0.2394,-1.0092,-0.4823,0.7868,-1.2601,-1.4456,-0.3918,-0.218,1.3473,0.426,-1.0578,0.3157,1.059,-0.1875,0.1907,-1.6732,0.1118,-2.0537,-0.946,0.0088,-0.2297,-0.9349,0.3695,1.1156,0.7074,0.726,-2.2728,-1.4288,-1.3502,0.2731,0.8081,1.3193,-2.3631,0.2445,2.0816,-0.0805
-0.3702,0.3371,-0.7273,0.3992,-0.8411,1.4313,-0.5265,-1.5177,1.7633,0.5812,-0.8887,0.3991,0.7246,1.7643,-0.7212,0.3058,-0.7691,-1.3551,1.8017,-0.9429,1.4411,0.5857,0.3919,-1.8756,0.3578,0.5617,0.182,-0.792,-0.6193,-0.5426,-0.5961,1.2678,-1.8296,0.5528,-0.7929,-0.3726,-0.0298,-1.878,-1.4449,0.3587,2.1708,0.0032,0.5829,-1.2205,0.5503,0.2309,1.6829,0.1554
-0.1116,-0.0064,0.081,0.7981,-0.1667,-1.0137,0.238,1.5151,0.5158,0.1297,0.9998,2.1758,-0.4538,0.2223,0.8967,-0.9776,1.0995,1.1305,-0.7151,-0.3418,1.7383,-1.082,-0.262,-0.5911,-1.5941,-1.7355,1.135,0.3589,0.0384,0.8454,-1.2321,-0.485,-0.8684,1.3933,-0.7918,-0.9536,0.5135,-1.31,-0.8276,2.2179,0.0504,-0.6857,-1.3884,0.1808,0.7547,0.5483,-1.288,1.6416
0.635,-0.1721,-0.1768,-0.7002,0.6573,-0.5783,1.4457,-0.4878,1.0706,1.2963,-0.0098,0.9739,0.4409,0.3686,-0.2156,1.6244,-1.6474,0.4749,0.9838,-0.6548,1.6847,-2.7258,1.0422,-0.7926,-1.0415,-0.8808,0.3611,0.1603,-1.294,-0.3825,0.7283,0.5403,0.9327,0.8825,1.7608,-0.4959,-1.7944,-0.2241,-0.8517,0.1796,0.2006,1.8187,0.6174,-0.011,1.6868,0.2364,0.7167,0.2175
-0.2431,0.193,0.6176,-1.1352,-2.7741,-0.7567,0.3657,0.8521,0.0514,-0.3203,-0.0807,-0.5714,0.9615,0.8888,-0.2936,-0.7242,0.8165,1.3387,0.5675,-2.4282,0.6921,-0.1023,0.456,1.7831,-2.0522,-1.0115,-0.3212,0.705,0.8628,1.35,-0.6785,-0.1963,0.2232,0.8303,0.2415,-0.8334,-0.9851,1.4511,-2.0895,0.989,0.0824,-1.0406,-1.2587,-2.3062,-0.4891,0.0795,-1.0431,-0.5805
-1.8887,0.5475,-0.6445,-1.1486,-0.9427,-1.1288,-0.2048,-0.2727,-2.1765,0.5689,0.7582,-1.6397,-0.5343,0.7139,1.8397,1.3684,-1.4327,0.0365,0.1931,1.7217,-0.6959,0.7247,0.7996,0.9988,-0.0502,-1.1089,-0.4469,-2.0859,-0.153,-0.6194,-0.0017,1.0989,-0.282,-1.9216,-1.2615,0.6547,0.744,-1.3072,0.6181,-1.3164,-0.8862,-0.6715,-0.9371,-1.0513,0.1666,0.6249,0.1095,0.6949
0.2244,1.4389,0.847,1.1726,0.8679,-1.1052,-0.8823,-1.1812,1.0105,-0.0616,-0.1973,0.8587,-0.9292,0.9291,1.0607,-0.7583,0.2802,-1.3824,1.6756,-0.2106,-0.5991,-1.8825,-0.7056,-0.2324,-0.9688,0.5025,-1.5886,1.9249,1.2123,-1.2503,-1.082,1.2022,0.8701,-3.5852,-0.0788,-0.2048,1.298,-0.2424,0.794,-1.4581,-0.0749,0.4652,-0.2237,0.4218,-0.4126,0.7106,1.0366,0.4073
-0.1561,-0.0342,-0.2938,0.4118,-1.3096,0.618,0.5676,-0.0031,-0.7763,0.1221,0.5044,-0.8649,-0.9209,1.5324,-0.3366,-0.7495,1.334,0.6741,0.5795,0.7066,-0.6829,0.9461,0.6096,1.4559,-0.3662,-0.6894,0.5351,-0.4935,-1.1484,0.1176,-0.0798,-0.4176,-2.0034,-1.3167,1.0277,-1.0424,0.1822,0.2492,0.9411,-2.171,0.7022,0.484,0.9574,-1.0304,-1.0803,0.176,2.6567,0.891
-0.4112,-0.5403,0.5053,-0.6017,-1.4972,0.129,0.3068,2.1297,-1.1934,-1.5483,-0.7089,0.1223,-0.8087,-0.0013,-2.0087,1.5229,1.0842,0.0394,1.073,1.5644,1.4497,-0.6648,-1.0262,0.1585,1.1572,0.8137,0.9362,-1.0144,-0.8686,-0.5177,-0.9932,-0.3642,0.9089,0.1062,1.1194,1.2347,-2.1066,-0.2329,-1.7528,1.3639,0.8755,1.007,-1.3379,-1.2356,-0.3346,2.3766,0.3306,-0.2801
0.5517,-1.2914,-1.3579,0.4771,0.7573,-1.0747,1.1329,-1.3593,1.1636,0.1157,-0.529,1.0937,-1.9666,-0.2056,0.5696,0.7228,-0.5135,1.2087,1.0418,-0.5306,1.5875,-1.8552,0.708,0.6602,0.8214,1.4626,-2.5984,0.1119,-0.55,0.7013,-1.8808,0.4701,0.0032,0.9176,-0.6946,-0.9304,0.4003,0.3001,-0.1302,-0.305,0.1324,0.6116,2.5283,-1.6535,0.4218,2.6423,0.6462,-1.2534
2.8058,0.1897,0.4069,-1.3696,1.4022,1.7202,0.0822,0.8512,-0.5136,1.873,0.4302,-1.395,1.2565,-1.2733,0.7241,-0.1022,1.5027,-0.7445,0.4303,-0.4442,1.484,0.458,0.5524,0.8422,0.5939,0.5949,0.0788,0.4035,-0.2635,2.0768,-0.2206,1.0193,0.3752,-0.5019,-0.2036,1.0063,0.8138,-0.4647,0.8538,-1.0121,1.6769,-0.2737,-0.28,0.0555,-1.0082,-0.5196,-0.7814,-0.0213
-1.0924,0.1202,-0.4123,0.2374,0.7548,-1.1139,-1.6179,0.9305,-0.1493,0.9425,0.922,0.1826,-0.3037,-1.0544,-0.1187,1.7034,-0.6356,-0.155,0.2139,-0.565,0.8651,1.4431,-0.9654,-1.504,1.8134,-0.0954,-0.7039,-1.6788,0.1847,1.3291,-1.0209,0.1022,-1.7665,0.4576,-0.0478,0.2156,-0.2267,-1.979,-1.0168,-1.1277,-0.7806,2.0515,1.0163,-0.07,-0.82,1.7172,0.7674,-0.1318
0.0138,-0.2753,-0.9673,-1.5959,0.4198,1.1103,0.6699,-0.1847,-1.4474,-0.8964,1.0805,-0.2063,1.3302,0.4778,0.2392,-1.1368,-0.3354,0.8113,0.526,0.472,-1.8599,0.6205,-1.7502,0.1864,1.6897,-1.505,-0.7613,0.4429,0.4936,0.0747,-0.3836,1.1999,-0.2066,0.335,1.9966,0.5045,1.0877,0.2429,-2.0874,0.2552,-0.3445,1.0203,-2.2784,-0.4916,-0.086,-1.9202,0.1361,0.0967
2.3246,0.5712,0.5025,-0.5295,0.6938,2.6705,-0.7938,-0.1264,1.0041,-0.8946,-0.7123,-0.5246,0.491,0.9314,-0.0952,-1.5524,0.6313,-0.9318,-0.1446,-0.2936,-0.263,1.4412,-1.2357,1.1088,-0.5126,-0.2326,0.0304,2.7798,1.0033,0.3234,-0.0204,0.6861,0.7438,0.1713,1.1092,-0.1593,-0.2151,1.1739,-0.6166,-0.0169,0.0643,0.5324,1.3921,-1.4957,0.5598,0.9855,0.6483,-0.303
-0.4549,-0.4494,-0.3584,-0.6511,2.4099,0.6259,-0.8424,-0.2438,0.4051,1.2,-1.9676,0.987,-0.5987,0.7001,1.3258,-1.6434,-0.5704,-0.0082,-0.0654,0.8282,-0.3066,0.2783,0.6031,-0.8119,1.3613,0.779,-1.3178,-0.0408,-0.7842,-0.7071,-0.1788,-0.4766,-1.0181,-0.5733,1.6024,-0.7707,-1.0114,0.6428,1.0859,0.6129,-1.443,1.0629,-0.5261,0.1583,0.4815,0.2372,-1.5824,0.47
0.7393,-0.3176,2.391,-0.5227,-0.2321,-0.1614,-0.8716,1.3769,-1.9212,0.7281,-0.2653,1.1294,-0.8795,-1.3738,1.2704,1.1719,-0.9454,-0.0932,0.8005,-0.6014,0.441,0.5869,-1.2042,-0.7642,1.1704,0.628,-0.5287,1.3301,0.0181,0.0258,-0.8791,0.1928,-0.0182,-0.2431,0.0735,0.1337,-2.0946,-0.6195,0.6795,-0.568,-0.0063,0.7058,-0.1325,0.3957,-1.2009,-0.5257,-0.0031,-1.1867
0.3278,-0.0458,-0.0745,0.3534,0.7166,-0.2745,-0.5847,0.4212,-1.2066,0.66,0.5507,-0.1662,-0.6723,2.1633,0.2279,-1.8187,-0.6321,0.2556,-1.1363,0.3987,1.4551,0.1974,1.3479,0.995,-1.0612,0.416,-0.3675,1.2926,-0.7351,-0.0836,0.1923,-1.2011,-0.6619,1.1808,-0.1141,-0.4492,-0.1865,0.4859,0.8096,0.253,-0.3071,-0.6438,0.7057,0.8224,0.2868,0.3057,-0.9637,0.7909
0.1819,1.1451,0.7495,1.4995,-1.6128,0.7859,-1.3511,0.7408,0.1317,-0.8821,-1.8225,1.4514,-0.0566,-0.5002,-0.244,0.9076,-0.1475,0.7893,0.8599,-1.6711,0.6351,-0.0417,-0.133,-1.0968,0.101,0.8275,0.53,-1.6178,0.1531,-1.1651,-1.9905,0.4212,1.143,0.8437,0.4706,-0.7517,0.5497,-0.7622,0.241,1.4398,0.5682,0.1068,-0.6962,0.1821,-0.9451,-0.7933,0.5246,-1.322
-0.173,0.2636,0.0587,-1.0908,0.2256,1.2689,0.9095,0.1595,0.528,-0.8932,0.8315,-0.7323,0.0379,-1.7093,-0.5778,-0.6753,0.6072,0.1521,-0.4399,-0.3044,-1.0851,0.4846,-0.1922,-1.016,-0.0506,1.1802,-0.4459,0.9989,-0.5971,-1.0269,0.0711,0.0308,0.629,0.9204,-1.4646,0.2309,-0.685,1.4721,-0.1031,-0.5389,-0.0932,0.1842,0.1669,1.0795,-0.0194,-0.5343,0.8282,-0.2422
0.0042,0.0484,-1.1722,0.7709,-0.2122,-2.2539,-0.0707,0.3677,-1.2936,1.9983,-0.0064,0.3027,-0.3435,0.6462,1.2155,-0.5501,-0.212,0.6307,0.6282,-0.1965,-0.6242,-0.7001,0.0171,0.0561,-1.5153,0.7949,0.2159,0.9708,0.6339,-0.2533,-0.877,0.1441,-1.2074,1.8201,1.0868,-0.111,-0.6577,-1.2079,0.0721,0.9324,0.8411,-0.5844,-0.7467,-0.6163,-1.1071,-0.1303,2.4795,-1.0651
2.1497,-1.1489,0.9549,1.1969,1.2717,-1.3678,0.8434,-0.4432,-0.6,-0.8348,0.6216,0.7221,0.0043,-1.1146,-0.0378,0.8114,0.072,0.245,0.2327,1.1104,0.7176,-0.3317,-0.754,0.6804,0.083,0.9576,0.2743,0.2705,2.4132,0.9274,0.6839,1.2586,2.6344,-0.047,0.6518,-0.1685,-1.533,-0.7942,0.2398,0.7579,-0.0064,0.9115,-0.3739,-0.1948,-0.6992,0.733,-0.1676,-1.0002
1.4061,0.2899,0.9921,-0.8823,1.9679,-0.1119,-1.758,-0.3308,-0.5732,-0.6234,0.8504,0.1182,-1.2528,-0.663,0.8508,-0.8187,1.203,1.5515,0.6188,1.5423,0.6811,-1.5254,-0.5902,-0.2578,0.4911,1.8728,1.2157,0.6152,0.31,-0.9395,0.325,1.3422,1.8517,-2.1403,0.4781,-1.0289,-0.1898,0.7474,0.9957,-0.5086,-0.2885,0.3871,0.012,-2.4283,-0.0314,0.6493,-1.0302,0.6379
0.1831,-1.384,-0.1801,-1.349,-1.1297,-0.0593,-1.2329,-0.2224,0.8146,-0.2302,-2.2669,-0.7682,-0.223,0.7751,2.4754,-0.083,0.6261,-0.3574,1.0413,-1.0481,1.1008,-2.0979,0.6855,0.2551,0.0802,0.3768,0.2135,-0.9583,-2.2264,2.4318,1.1505,-0.4321,1.6131,1.7841,0.7584,0.0783,0.4435,-0.3039,0.4189,0.7173,0.4036,0.2433,0.2775,-0.6236,-1.0792,1.5759,0.9934,0.1012
-0.0841,-0.9949,-0.4098,1.418,-1.381,0.2644,-0.5845,0.1549,-1.3632,0.1252,-0.4131,1.2546,-0.7731,1.7785,0.3954,-0.1717,-1.0756,-1.0584,1.7523,-1.1639,0.6768,0.1448,-2.2355,1.9351,-1.0208,-1.1135,-0.4999,-0.4398,1.2297,0.8542,-1.2269,-0.8321,-1.6119,-0.0306,1.0289,0.3613,-2.313,1.3159,0.0359,0.1437,2.5207,0.7822,-0.6884,-0.3423,-0.8792,0.053,-0.4725,-0.5125
-0.5167,1.7532,-0.8223,-1.4768,0.1778,-2.2522,0.2749,-0.9836,0.6653,-0.071,-0.6691,0.7278,-1.3573,0.5436,1.5633,-0.5485,0.957,-0.9815,0.7989,1.6075,0.874,0.9224,-0.5848,-0.0123,-1.5308,-0.697,-1.219,-0.1124,-1.1923,-0.1193,0.5836,1.0152,-0.6394,0.4106,-1.0884,0.9289,-0.3544,0.2931,0.6592,0.765,-0.4161,1.752,-2.0479,-1.3642,0.8671,1.9868,0.0387,-0.8386
-0.2596,0.3612,0.8185,0.3848,0.5949,-1.3977,0.7892,0.762,0.1276,0.2001,1.1964,0.7549,-0.0515,0.4931,0.2692,-1.6048,-0.6071,-0.5559,0.4191,-1.1135,-1.562,-0.1519,-0.0665,-1.4461,-0.1873,0.5878,0.6858,0.9679,0.7735,-0.8329,-1.7916,0.7746,0.7044,1.7315,1.0725,-1.0561,-0.7311,-0.1768,-0.2499,1.5197,0.0041,-1.2473,0.7684,-1.2902,-0.4223,-1.6537,0.4137,-1.717
-1.0064,-0.79,-1.115,0.2989,-0.7601,-1.4915,-0.2745,-0.8535,-1.7455,-0.3326,0.6515,-1.1774,0.4384,0.6392,0.0705,1.5361,0.5993,-0.3999,-0.1961,-0.9269,-0.7974,-1.1789,1.7539,-0.3197,1.8688,-0.72,-0.2384,-0.0205,0.9912,2.0576,-0.949,-0.3528,-2.0246,0.0456,-0.1851,0.3262,0.3058,-0.935,-1.6345,-1.5968,-0.503,0.4654,0.2239,-1.8465,-2.3377,-2.1918,-1.5891,1.2839
1.4207,-1.5603,-1.5755,0.01,-0.4491,-0.2473,0.105,-0.7685,1.1502,1.3034,-0.7157,-0.0647,-0.5602,0.4457,-1.2021,1.6084,-0.5467,1.7289,2.0181,-1.011,-0.6041,1.6442,-0.1235,1.6805,0.5613,0.3227,-0.2296,0.9555,0.6689,1.439,0.7791,-0.6019,0.4112,1.259,-1.904,2.1129,-0.2868,0.0332,0.3432,-0.1422,0.795,0.0549,-0.2955,-1.2169,0.2201,-0.3371,-0.1157,-0.6108
0.145,0.115,-0.7203,1.533,1.2859,0.5937,-0.7501,-1.787,-1.0345,-2.1172,-1.1298,2.0612,1.163,-1.8942,-1.4685,0.6152,-1.1349,-0.3383,-1.6717,-0.0404,-0.0886,-0.6914,-0.9325,1.2725,-0.5102,-0.9209,1.5871,0.2752,1.5072,1.7198,-0.0135,-0.1946,0.6442,0.6413,0.6907,0.1394,0.8155,-2.7546,1.0895,0.4468,-0.347,0.6071,-0.5918,1.3059,0.3479,-0.2498,-2.4555,-0.0406
0.5654,-0.5385,0.4081,-0.0783,0.8373,-2.2645,1.5094,-0.3531,0.6382,0.1538,-0.1381,0.2345,0.1588,-0.3398,0.7689,-2.02,1.2442,0.2151,-1.1601,1.6244,-0.0927,-0.3258,0.1369,0.6467,1.6472,-0.4567,-0.2323,-0.5731,-0.4494,0.1176,0.0243,0.7407,-0.3587,0.0352,-0.3964,0.3654,-0.2551,0.2738,-0.8625,1.1029,1.0185,-1.1105,-0.1973,0.0498,0.612,0.2128,-1.6543,-0.2205
-0.5376,0.1622,-1.5229,0.0616,-0.1554,-1.0232,-1.731,0.3968,-0.3575,1.6445,-1.5268,-0.0534,0.0283,0.0515,2.0943,0.1371,1.3014,0.2173,-0.8755,1.6379,-0.1162,-0.6294,-0.2594,-0.6958,-0.5711,-1.6315,-0.4151,-0.2769,-0.4368,-1.9433,-0.507,0.1471,1.2105,-0.1622,0.2316,0.0716,-1.0296,-0.6082,-1.1335,0.7889,0.9152,0.629,-0.1345,-0.2312,-0.3539,1.1968,-0.6376,0.2507
-0.3277,-0.1851,-1.987,-2.0849,0.2609,-0.0552,-0.1652,-0.7074,-1.4963,-0.0446,-0.3959,-0.4703,1.603,-0.5565,1.6706,0.8015,0.7901,0.4277,0.4589,0.2492,-0.6508,-0.0662,0.5022,0.1166,-0.3316,-0.2276,-0.5131,0.7548,-1.3979,-0.7184,0.4684,0.1843,-0.4102,-1.6131,-0.7872,1.849,-0.3428,0.9252,0.6219,0.1656,-0.8774,-0.723,0.8763,1.4292,-0.162,-0.4376,0.4573,1.4896
-0.3224,0.4243,-0.3381,0.2624,-1.6554,-1.6254,0.983,1.4515,-0.2482,-0.2439,-0.253,-0.073,0.3021,1.5584,0.4199,-1.2714,0.8887,0.8661,0.9542,0.4263,0.5889,0.4507,-0.6468,1.113,-0.243,-1.5481,-1.694,-0.5985,0.3915,-0.3436,0.021,0.6325,0.2996,0.3837,0.1211,-1.4692,0.0754,-0.9201,0.555,0.145,-0.4515,0.0216,0.0735,1.3281,0.1487,-0.3156,0.1681,-1.2095
0.2318,-0.1244,-0.4842,-1.465,-0.4844,-0.4901,-0.4263,-0.3514,0.0658,0.2418,0.2517,1.1357,-0.2045,0.5112,1.4794,-0.2648,0.942,0.1549,1.0103,-0.4251,0.6174,-1.2187,-0.9916,0.1058,0.4392,-1.52,-1.6066,0.4712,0.7736,-0.658,1.3041,-0.2559,0.989,-0.4227,0.9874,-0.1551,0.5816,-0.9104,-0.2566,-0.3241,0.537,2.1849,-0.7999,-1.0012,1.3409,-0.559,0.3114,0.1235
0.8377,-0.342,1.1909,0.5968,0.4694,-0.1213,0.567,0.9854,0.6749,-1.2246,0.7236,0.0176,0.1321,2.3273,-0.4113,0.7716,0.2015,0.0782,-1.2213,0.1907,-0.2943,-0.4603,0.0698,-0.234,1.6412,-1.0161,0.6921,-0.3781,0.3514,0.8491,-0.4281,6e-04,-0.0558,1.3964,0.7956,-1.0146,0.5049,0.9362,-0.8068,1.4227,-1.5645,0.3507,-2.3106,0.9884,-0.6748,-0.1776,1.5563,-1.2835
-1.3457,-1.6446,-0.5393,-0.4671,-1.2153,-0.2449,0.4667,-0.0648,-0.0107,-1.8799,-0.5994,-0.0686,-1.4426,-1.4655,-0.9336,-0.0176,-0.0011,0.8517,-1.9031,-0.5362,0.9014,0.099,-1.8921,-0.6257,1.8645,1.2068,-0.9919,0.8843,0.7166,-0.8357,-1.7099,0.4361,-0.3985,-0.3614,0.4189,-0.396,1.1833,0.12,1.3073,1.1138,0.2173,-0.4192,-0.5834,0.3731,0.9412,0.4593,0.2387,0.8205
1.2328,0.5344,-0.6771,0.6959,-1.3413,-0.1354,1.3049,0.4626,1.3432,-0.1909,3.0592,1.0429,-0.0141,0.3537,0.7798,0.1784,-0.9446,0.5368,-0.6073,0.1111,1.2724,1.7134,-1.5722,0.8891,-2.1514,-0.0146,0.1506,0.0906,0.0219,2.0436,-0.8565,-0.2301,1.5036,0.7308,0.1499,0.4767,0.8049,-1.0739,1.1978,-1.3141,-2.1318,-1.1587,-0.2271,-0.3,0.3216,1.4887,0.4129,-1.5683
1.1368,-0.8085,-1.4151,-0.4061,0.0678,-0.2035,1.4673,0.4961,-1.7137,1.0267,1.715,1.7637,1.2584,0.256,0.5351,-0.177,0.2601,-0.1896,0.1903,-0.243,0.0927,1.8072,-1.2035,-0.5774,-0.0835,0.8454,-1.1347,2.257,0.6196,-2.0782,0.5512,-0.4866,0.3819,0.2114,-1.9099,-0.1106,0.4158,0.6958,-0.5403,-1.653,0.1917,0.2723,-1.4151,0.8544,0.7024,1.3611,-0.1363,-0.9103
0.7543,-0.1379,0.664,-1.2912,1.4113,-2.4389,-0.7434,0.8759,-0.6822,1.1672,0.453,0.3767,-1.0282,0.3469,0.4421,0.2772,0.1756,2.6682,1.0674,0.59,-0.9054,-0.4836,-0.5443,0.3892,-0.1607,0.3675,-0.0366,-0.7269,-1.3773,1.1477,1.1483,0.188,0.0301,-0.0336,0.2994,-0.6383,0.8446,1.3492,1.1508,-0.0477,-0.1144,0.366,-0.3453,0.6058,-0.9571,-0.8224,-0.075,0.4868
-2.5216,-2.0661,-0.793,-2.147,-0.3366,0.4054,0.6045,-0.1523,-2.1398,-0.1959,-1.0022,0.0773,0.0117,-0.5675,-0.4031,-0.0333,-0.3959,-1.4556,-1.6875,-0.1146,-1.3296,-0.9274,-1.3522,0.0123,-0.4154,0.1392,0.9699,-0.358,-1.9946,0.2852,0.5343,1.155,0.1253,0.4831,-1.4926,0.2037,-1.5153,0.6129,0.5922,0.363,-1.0209,1.0834,-0.8804,-0.8044,0.5985,0.7972,0.4719,-0.1501
-0.2873,0.5573,-0.2896,1.7488,-0.2735,-1.3432,0.4652,-0.0017,-0.2391,0.9551,0.6903,0.0263,-1.7273,1.2699,-2.4486,0.0477,-0.3455,-0.1381,-0.7827,-0.1094,-1.5998,-0.3995,1.1525,-1.6689,0.3269,1.4153,1.4239,1.75,-0.0776,-0.0464,-2.3464,0.1072,-0.6796,0.0902,0.8443,1.5353,-1.8261,0.8702,-0.1422,-0.1248,0.3797,-1.4228,1.1873,1.0628,0.9889,-1.6808,0.6257,-0.4669
-0.496,-0.5368,0.221,0.8182,-1.2383,0.1831,-0.5825,-0.751,0.4066,0.3938,-1.7432,-0.9755,1.32,-1.5331,0.5238,0.698,-1.8294,-1.5472,0.6096,-0.1107,2.1003,-0.3318,1.5196,-0.87,-0.6794,0.805,1.5768,0.7316,-0.9059,-0.1352,-0.1017,-0.4918,-0.8287,0.2711,-0.4745,-0.6498,1.2628,0.3711,-0.9665,-1.1698,0.2536,1.8173,-1.9175,-0.3477,0.5806,-0.4306,1.0031,0.7775
