"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42"
-1.3607,-0.1937,-2.097,-0.4234,-2.5043,-0.5307,0.7335,-0.3114,-0.4741,0.3988,1.8877,0.3011,-0.0145,1.0601,0.0715,0.5075,-0.6823,1.2523,-1.3222,-0.2651,0.8743,-0.7765,1.3365,0.8169,-1.3943,0.1255,-0.1153,0.4823,0.5242,0.2493,-0.0294,-0.184,-0.7501,2.2735,0.6478,-1.7139,-0.8673,0.3893,1.1561,1.9555,-0.843,-0.8829,1.4539,-0.7549,2.2267,-0.0757,-0.4957,1.2157,1.1177,-1.7666,-1.5987,0.6146,-0.8489,2.0525,0.35,-0.3688,-0.7907,1.0743,-0.5717,-0.1415
-2.0245,0.4028,0.655,-0.764,-0.6226,-1.1364,0.4532,-0.0231,-0.8966,-0.9453,-1.1713,0.428,-2.4084,0.3275,1.3194,0.9291,-0.6453,-0.3523,-0.6881,-0.3661,-0.1376,-1.1762,0.6337,-0.3874,-0.6785,-1.0483,1.7379,0.6024,0.6212,1.4685,0.794,-1.1699,-1.0122,0.4459,-0.5742,0.3535,0.5461,-1.1519,0.7722,0.1014,-1.0136,-0.2765,0.5448,1.2971,-1.0366,-1.2326,-0.2199,-0.5084,-0.3173,-0.1688,-0.6686,-0.6999,0.3839,0.236,-2.3166,-0.5761,-0.1124,-0.5222,-0.39,-0.2752
0.0066,1.1673,1.7476,0.4594,0.0842,1.2121,0.0132,-0.6195,0.8067,-0.3046,1.2422,-0.2181,-0.0104,-0.3336,0.9306,-0.5775,-0.9809,2.2691,-2.2169,-0.2649,1.434,-0.4131,-0.1846,-0.0156,-1.0117,-1.033,1.1946,0.3745,1.7061,-0.1821,-0.1805,-0.8034,-0.0155,-0.9996,0.6272,0.0921,-0.7755,-0.7211,-0.0833,-1.3228,0.7957,0.1596,1.1206,-1.7155,-0.7582,-0.2242,-0.0341,0.1368,0.351,-0.737,-1.5082,-0.9476,-1.8986,-0.3482,-0.3517,-0.2046,-0.2268,0.7712,-0.6825,-0.762
-1.2498,-0.4375,0.8119,-1.5369,-0.5849,-1.8832,0.7651,0.712,-0.2577,0.4501,1.0821,0.1425,0.0411,-0.8131,0.2116,-0.5045,-0.0406,-1.7341,-1.367,-1.5181,1.4463,-0.571,-0.7063,2.0016,0.1462,0.3595,-0.3283,-1.3326,0.5627,-0.5191,0.5262,-1.4289,-2.0807,0.4684,0.1853,-0.3634,1.4998,0.9016,1.0055,-0.6245,-0.692,-1.2579,0.7651,0.2115,-0.8912,1.1209,0.8889,-0.602,-0.7136,0.2681,-1.261,-1.6756,-0.8098,-0.1682,-1.3745,-0.4204,1.2821,0.3506,1.1512,0.3199
0.2932,1.7211,0.8323,-1.0478,-0.16,1.6655,0.9645,-0.0557,-0.5508,-0.5577,0.083,0.0196,-0.6583,1.0861,1.6971,-0.8882,-0.1983,2.8037,-1.8582,-0.4622,-2.2742,0.1746,-0.0941,-0.1491,-0.3401,0.6251,-1.5756,1.5313,0.1839,0.9726,-0.5284,-0.2262,0.5538,0.092,0.2831,0.9884,0.6648,1.7346,0.3663,1.0966,0.2604,1.2553,-0.2265,1.335,0.7103,2.0599,-0.9405,0.8478,0.0822,0.4206,1.4697,-0.4257,0.5846,-0.8705,-1.0737,0.3011,0.4874,-0.2938,0.0369,0.843
-1.3904,-0.3804,-0.0312,0.0969,2.0899,-0.1183,-0.9567,0.5014,-0.1119,2.1064,-1.0939,-1.2071,-0.4514,-0.5234,-1.9006,-0.1796,0.6196,-1.4548,1.1279,-1.5725,0.9487,0.8556,0.8636,0.8042,-0.6849,0.5648,1.1093,0.2595,-1.8617,0.5754,1.0639,1.2548,2.5411,-1.1298,-0.9078,-1.4428,-2.1749,-2.3845,1.4579,0.2711,2.2493,-0.9626,0.443,2.4977,-1.3732,-0.8252,0.3508,-0.2582,0.2557,0.7223,-0.8318,-0.7577,0.0639,1.8207,-0.0985,1.6005,-1.2514,-1.426,-0.1126,1.2632
-0.8434,-1.7892,0.9746,1.211,-0.3465,0.8894,1.6138,0.742,-0.4221,0.5565,1.7303,-2.4333,0.177,0.5364,-0.3854,-0.6946,-0.1761,1.3245,-1.1355,-0.4074,0.1388,-0.2934,1.0528,0.2995,1.7452,-0.1168,-0.9861,2.416,0.3762,0.6535,0.3759,0.1443,-2.0199,0.883,-2.031,-0.2165,0.231,-0.8408,-1.1148,-0.1547,0.6219,0.0291,-2.3471,-1.4807,-2.5773,-1.1735,-0.1868,0.7019,-1.5442,1.1204,0.0335,0.6325,-0.1233,2.4411,0.7227,-0.0428,0.4378,0.6674,2.0297,-1.9044
-1.5247,-0.768,-1.4993,-0.2335,0.9603,-0.1269,-0.101,-1.9388,-0.6781,-0.0025,-0.0826,0.9667,1.0887,-0.7779,0.0293,0.2537,-1.2084,0.3849,-0.1638,-0.2625,-0.4962,-1.5408,-0.9179,1.5515,1.5052,-1.0744,2.6703,-0.2943,-0.6684,1.1403,-1.9709,0.81,-0.4208,-0.8249,-1.2697,-0.5288,-0.8896,-0.0504,0.0516,-0.2232,-0.7593,-0.7056,0.4725,0.7487,-1.7264,1.3276,1.2504,-1.062,0.048,-0.0487,0.9755,-1.2774,-0.438,-1.0102,-0.2597,0.5329,0.8864,-0.8916,-0.8921,0.022
1.5206,1.5247,1.1251,-1.0298,0.7244,0.3492,1.1427,-0.1158,-0.882,1.0019,-0.6779,-0.4753,-0.5754,1.4339,0.1572,-0.5172,-0.2199,-0.1959,-1.4548,0.4678,-0.6762,1.2318,-0.8315,0.2049,0.0868,0.3524,-1.1994,0.992,1.507,0.385,-1.8328,-1.4491,0.6776,-0.6229,-0.1705,0.6371,-0.0343,-1.563,-0.6628,-1.1624,-0.5696,-0.5584,-1.4524,-0.7884,0.6247,-1.6845,1.4766,-0.3508,0.9223,1.0884,-0.1376,-0.56,-0.0701,0.5385,0.0899,1.2163,-1.07,0.478,0.1451,-0.4478
-0.0576,0.3628,0.4003,0.049,-1.7115,1.5306,0.133,-0.2764,-0.7303,0.7771,1.1835,-0.6992,-0.1742,0.1125,-1.1892,0.0982,-0.9004,-0.1498,-1.5943,1.1702,-0.0639,0.3947,1.1064,-2.3169,-0.9514,0.6227,-0.8988,0.1911,-0.8833,-0.2874,-0.0638,0.7493,1.1585,-1.3736,1.4402,-0.5628,-0.0109,-1.3666,1.9503,0.1963,-1.2267,-0.4313,-1.0826,-2.1425,-0.4061,0.2245,-1.7106,0.7111,0.1694,0.9638,0.1699,-1.0492,0.6077,0.1178,0.6007,0.0739,-1.263,1.2341,-0.836,-0.4817
-0.6104,-0.396,-0.636,-0.8544,-0.1427,-0.5372,0.2856,1.1938,1.0081,0.1861,-0.1774,-1.029,-0.176,-3.1296,-1.2899,1.6118,0.3418,-1.0631,0.3611,0.0357,1.0368,-2.8915,-1.1545,-0.3416,1.1255,-0.5802,1.3173,-0.1957,0.8995,0.5335,0.4278,1.2664,-1.2009,-1.4691,-0.8521,1.7137,-0.0216,0.5982,-1.7415,-1.2026,-0.1591,-1.2626,0.2621,0.8008,-0.1792,-0.4711,0.2595,-0.8798,0.4017,0.3187,0.5389,1.5816,-0.8259,-1.8001,0.8546,0.9071,-0.1901,2.1785,0.2698,1.9748
1.0914,0.2308,-0.4495,0.0437,-0.8405,-0.9922,0.9199,1.4016,1.0293,1.616,0.7437,0.2244,1.2896,1.2906,-1.5528,1.012,0.9507,-0.2072,1.5533,-0.1906,-1.1698,0.0586,-1.098,-1.1426,-0.7392,0.699,0.6972,-4.1291,-0.3187,-0.1572,0.9832,0.1719,0.5044,-1.1882,0.1699,1.3754,0.9087,0.7246,-0.3081,-1.887,-0.4701,-0.006,-1.0767,0.2601,-0.439,-1.0997,0.3431,1.468,0.1217,0.5194,-0.0136,-0.473,0.8651,-0.2338,0.1735,0.6499,1.0439,0.0895,0.2437,-1.0218
-0.6671,-2.9028,-1.7661,-0.2261,1.1907,1.1054,-0.741,1.7358,2.809,-0.4986,-1.7984,1.2107,-0.5531,-1.158,-0.6578,0.4057,-0.5568,-0.8044,-0.8959,0.8169,-0.1789,0.0139,-0.1905,0.7372,-2.4654,-0.5033,-1.5491,-2.4541,0.7443,-1.3521,-0.6213,-1.5443,-0.9886,-0.0441,0.5548,0.6941,-0.742,0.3349,-0.087,0.4469,0.3965,0.524,-0.2934,-0.4055,-0.0729,1.7332,-0.9234,-0.6234,-0.3375,0.3869,-0.4514,0.3266,-0.3246,0.6166,1.2075,-0.2804,1.3621,0.6998,-0.2018,0.8536
0.9963,-1.9149,0.8792,-0.3209,1.7495,0.2404,0.8392,-1.9304,0.6576,1.1135,0.0211,-0.9924,2.3878,0.5307,-1.9231,0.5726,0.7659,-0.7488,0.5111,-0.0869,1.7188,1.022,0.333,0.5001,-1.172,2.5626,-2.6271,1.1623,0.9895,1.4617,1.0706,-1.1453,-1.469,0.0024,1.8954,0.3274,0.2309,0.7636,0.2331,0.2682,-1.005,-0.0643,-0.3378,-0.8113,1.3852,0.9583,0.1586,0.2544,-0.4361,1.4284,1.0485,-0.6449,-0.1245,-1.1657,-0.2346,-0.3958,-0.0638,-0.4539,1.2691,-1.3895
-0.259,0.793,0.3629,-1.2398,0.1571,-1.3346,-1.8389,0.3139,0.8493,1.3019,-0.8765,-1.3011,0.448,-1.7474,0.5889,0.5377,-0.8119,0.2349,-0.6553,-0.9402,-0.6134,-0.3958,0.6565,0.7225,-1.5684,0.8317,-0.2517,-0.0417,0.4205,1.0089,0.2481,1.2064,1.4179,-0.6229,0.5406,0.6936,0.8587,-0.8155,0.4921,-0.3888,1.2533,-1.3158,0.3284,-0.9066,1.5783,-0.6056,1.1451,1.1234,-0.3854,-0.1953,3.4078,-1.2396,-0.27,1.6177,-1.9012,1.2813,0.5548,-1.615,-0.3588,0.5573
-1.5348,2.7924,-0.5325,0.3316,0.397,0.1123,-0.3856,0.4727,0.1872,-0.3901,0.2759,-3.4908,0.1874,1.6975,-1.1911,-0.9991,-0.3165,0.7222,-0.286,0.2924,-0.9953,0.3658,1.4053,0.6558,-0.8257,0.9611,1.4909,-0.5399,0.1244,0.4142,-0.0238,1.0442,-1.3269,0.577,-0.0901,-0.6093,-0.2578,-1.2564,-0.2673,0.3987,-0.4999,0.1083,0.2537,0.2944,-0.5156,0.2915,-0.1319,-0.1564,2.8214,-0.7565,1.6406,1.4727,0.053,-1.0219,-0.5169,0.2006,0.896,-0.7597,-0.9466,-1.9971
0.0106,-1.2576,0.419,-0.4393,-0.4307,-0.098,-0.9051,0.8947,-1.6126,-0.0591,0.1439,-0.8013,0.5252,0.9515,0.6546,-0.1657,-0.1851,0.3404,0.2399,-0.5313,0.9314,0.371,1.2987,-0.1827,0.9187,1.1851,-2.7513,-1.421,-0.89,-1.1764,-1.4566,-0.2371,0.8171,-0.8567,0.6717,0.7268,-1.1076,0.1062,-1.0166,1.4717,-0.9812,0.5913,-1.7555,0.3156,1.0882,0.2882,1.4003,1.0417,-0.5379,-0.3049,0.3414,-0.7004,0.2148,1.0032,-0.661,-0.2737,0.7262,-0.9396,0.4942,-0.265
1.0327,-0.5645,-0.7051,0.523,1.163,0.4209,-0.3238,0.5229,0.9998,-0.2772,-0.2005,-0.1777,-0.5848,0.1724,0.0685,0.5006,1.2016,0.5724,0.077,-0.2057,-0.8099,0.1698,-0.4803,-0.1625,0.5983,-0.4003,1.0387,0.0964,-0.5593,0.8886,1.4013,-1.6409,0.8108,-0.7714,-1.9379,1.8806,-1.4854,0.6788,0.6795,0.0449,-1.1086,-0.1343,0.0965,-0.0343,-2.6154,-2.0636,-0.6224,-1.9749,-0.5702,0.4859,-0.2394,1.3173,-0.8538,0.942,1.5621,0.6753,-0.4889,1.0272,0.2321,0.5677
0.6359,0.1096,-1.4173,0.1135,2.1236,1.2221,-1.1048,0.6988,-0.5734,0.8184,-0.5049,-0.2788,-0.1516,0.1062,-1.6246,0.5791,0.2091,-0.7651,-0.1969,-0.6893,-1.5748,1.4261,-0.8919,0.8714,-0.0814,0.4882,-0.0863,-0.3909,-0.0377,-0.1437,0.4964,0.093,0.081,-1.1382,-1.7963,-0.7383,0.2186,-0.3588,-0.4899,-0.0183,0.191,-0.5603,0.4563,-1.8278,-0.4053,1.7745,-1.0939,-1.012,-0.4492,-0.5737,0.4709,0.2242,0.0412,0.9222,-0.2763,0.6189,-0.1423,-0.6944,1.2622,0.1595
-0.6422,-0.251,1.0479,-1.4485,1.9405,-0.324,-0.8586,-0.9623,0.6444,-0.5784,1.6985,0.1916,-0.0598,1.3058,0.2598,-0.2181,-1.0102,2.0445,1.0516,-0.2292,-1.4343,-1.3357,0.4359,-2.0884,-0.0864,-1.323,0.8859,-1.817,0.6571,-0.5774,-0.5166,-1.6413,-0.5889,1.2305,-0.8134,2.5673,1.976,-0.9592,0.5089,0.4398,1.4148,1.1475,-0.918,0.3472,-0.2949,0.5293,-0.5768,-0.528,-0.3814,-0.4408,-2.2326,0.0241,0.0038,0.384,-1.0996,0.2069,-1.2627,0.6575,1.6403,-0.9581
-0.7629,0.5739,-0.2744,0.1843,-1.2881,1.1244,0.2898,0.8834,-1.1378,0.2337,0.0794,-0.7567,-0.3004,0.5618,0.2401,0.8737,-0.6617,0.7245,-1.2404,-0.8914,-1.866,-0.3026,-0.4427,0.9218,1.2821,0.5338,-1.6864,-1.2032,-0.5241,0.2926,1.5185,-1.1644,-0.1808,0.4327,-0.5102,0.098,0.5421,2.5166,0.3376,0.8865,0.2371,-0.328,0.4336,-0.8257,1.1358,0.0216,-0.3245,-1.2022,0.7252,1.3995,-0.383,1.4211,0.6033,-1.3742,0.2542,-0.6171,-2.3515,1.9434,0.5494,-1.7131
-0.9669,-0.9996,-1.1669,0.2954,-2.3436,-0.2014,0.7804,-1.0145,-0.8704,0.2358,0.1495,0.2149,-0.3104,1.5107,-1.6292,0.0035,-0.1402,-0.7874,0.3149,-0.7882,-1.0217,1.3799,0.525,0.5606,1.2108,1.3767,0.8686,1.1376,-1.2616,-0.4546,-0.1635,0.7088,-1.0662,-1.8819,-0.4099,0.8166,-0.8228,0.0168,-2.4504,-0.3983,-0.1608,-0.2701,-1.1797,-0.4957,-0.6212,0.6685,-0.7879,-0.7311,0.0981,1.4084,-0.25,-0.0694,0.0711,-1.2359,0.294,0.636,-0.9569,-2.1027,1.3391,-0.8456
-0.8157,-0.4915,0.0924,1.4529,0.8405,1.0434,-1.2828,-1.3101,-1.8143,0.832,-0.4936,-0.8794,0.0044,-1.6551,0.1573,-0.0917,1.0675,1.5122,0.2417,0.9057,-0.3331,-0.2396,-0.2163,0.7263,0.4764,-2.1574,-1.5392,-1.4032,-0.3716,-0.7991,2.1929,2.511,1.7728,-0.9288,-0.1883,-0.7163,-1.0935,1.7394,-1.7368,1.1602,0.0949,0.2828,-0.0137,-0.7046,1.018,0.5621,-0.4587,0.9173,-1.244,0.5465,-0.6089,-0.8199,-0.7863,-0.16,0.5852,-0.2611,-0.5077,-1.0791,0.2886,-0.1323
1.8157,1.0584,0.4148,1.2848,0.1515,-1.5037,-0.7574,-0.8194,0.6863,-0.7871,0.2621,0.6908,0.8328,0.1142,0.3,0.2765,0.3401,1.6668,0.1824,2.0403,0.8084,1.9299,1.4671,0.3021,0.0569,-0.7293,-0.7756,0.582,-1.4716,0.6142,-0.7548,0.388,-0.128,-0.5745,1.254,0.8477,-0.5238,0.8816,-0.3226,-1.0103,-0.0239,2.1299,-1.1964,-0.9412,0.2375,-1.1,1.1231,0.3804,0.2944,-1.2867,-0.0076,-2.416,-1.8054,-0.181,-1.372,-0.4587,-0.9505,-0.4265,-0.6124,0.4659
0.03,0.9281,0.429,-0.0098,-1.9421,-2.1217,0.7684,0.3816,0.2783,-0.1838,0.1454,0.9495,0.2663,-1.451,0.3187,-0.0633,-0.0079,0.1873,-0.0956,1.4217,0.093,-0.5972,0.6178,0.1414,-0.0034,-1.072,2.6195,0.8503,-1.0116,-0.0343,0.0269,0.9829,0.8561,-0.2655,0.6221,0.0032,-2.3142,0.5461,1.1346,-0.1514,2.4305,-0.0182,-2.1703,0.4042,-0.5551,1.2659,0.5366,0.1285,-0.4247,0.38,0.2978,0.5027,-1.7394,0.2263,0.7052,1.1304,0.9471,1.0159,-0.7886,0.632
-0.8089,0.3247,0.8908,-0.9783,1.8871,1.7977,-1.0875,0.1696,-0.7027,-1.0989,-0.2961,-0.0379,0.5494,-0.1151,-0.1439,-0.3221,-2.1277,-1.8419,0.7874,-0.5627,-0.9651,0.2039,0.4289,1.1445,-0.2192,-2.5002,-0.0509,-0.2708,0.8111,-1.3399,-1.3957,0.9956,-0.8555,1.1307,-0.2036,0.737,-0.8245,0.9446,1.6356,-0.4413,1.0349,0.5223,0.5536,-0.5232,-0.3135,-0.4309,1.9772,0.6601,0.7842,-1.6318,1.3887,0.6177,-0.912,-0.1316,1.3076,-0.3195,1.4983,1.6687,-0.8747,1.0337
-0.1484,-0.6233,-0.3506,-0.0482,0.3457,0.6608,0.3664,-0.0982,-1.9267,1.3055,-0.5574,1.4257,1.028,-0.4329,0.3516,0.6446,-1.5846,0.2015,-0.1068,1.6453,0.6838,-0.0334,-1.3304,0.2977,-0.5529,0.0846,0.7228,-0.7696,0.3317,-1.8116,0.6607,1.7922,-0.4021,-0.6791,1.7517,-0.7402,-0.3651,-0.1956,-0.4121,0.1191,-0.951,-1.5103,0.8484,1.2967,0.0416,2.3422,1.7583,0.5272,-0.2981,-1.2452,-0.6025,0.2964,-0.1669,0.1442,-0.908,0.2493,-2.3559,-0.625,-2.1819,-0.8168
0.2529,0.6869,-0.4054,-2.0281,2.6245,1.3774,-0.4302,1.2095,-0.1027,0.0848,0.1218,1.3209,-1.349,2.3356,-0.8968,0.6968,0.3804,-1.3365,2.8003,1.2315,0.0683,0.8254,0.4293,1.6004,-0.48,2.5634,-1.4954,1.2233,1.9346,-0.7305,0.2872,0.3236,-2.3498,1.657,0.4994,-0.363,-1.8902,0.0263,1.6143,0.7223,0.4766,-0.7818,-0.3141,0.2183,-0.3123,0.6412,-0.5261,1.6656,-0.5972,-0.1518,0.1839,-0.959,0.139,-0.9073,-0.8573,-0.365,-1.1984,-1.7097,0.5655,0.9415
3.312,0.7904,0.5508,0.7467,0.482,-0.9707,0.2788,0.6916,1.1783,0.2083,1.7666,1.086,1.1699,1.7501,1.4193,0.1105,-0.9622,0.9184,0.5276,-0.0487,0.4409,0.6093,-0.3555,0.411,0.3381,-0.906,-0.8301,-1.8255,-2.2224,-0.5129,0.3524,0.2405,-0.2505,-0.4041,-0.83,1.1572,-0.2368,0.3186,0.0729,0.0443,0.0024,2.5716,0.0968,-1.138,-0.9188,-0.3897,-0.7826,0.4672,0.7194,1.1306,1.0995,-0.6216,0.1155,0.7033,1.9813,-1.7811,-0.3549,0.1817,-0.182,-0.3979
-1.3227,-1.2114,-0.9523,-2.0885,1.7038,-0.289,-0.0452,0.3791,0.5449,0.2572,-0.2053,-1.1338,-1.1669,2.5197,-1.0852,-0.4086,0.2706,-0.9798,0.7166,0.1362,1.8043,-1.1695,-1.8541,0.8688,0.2275,-0.4035,-0.9469,-0.806,0.3442,1.1148,0.9692,0.5215,0.1886,-0.3044,1.2164,-0.1026,1.1641,0.188,2.1094,-0.9085,-0.7676,-0.6085,0.5448,0.1499,-0.4343,-0.5239,0.83,-0.7942,-0.7507,-0.1579,0.9464,-0.359,-2.8423,0.4365,1.5471,-0.1529,1.1224,-1.9185,-0.8339,-0.4698
-1.3767,-0.4597,-0.5432,0.314,0.5579,1.0993,-0.5024,0.5103,-0.4152,0.1021,-0.4153,-1.2991,-1.0018,1.9405,2.1737,-1.3389,-0.6236,-0.2236,-1.1657,-1.3226,-0.305,0.9917,0.1382,-1.2772,0.1177,-0.0083,0.8024,0.4951,-0.4682,0.6109,-0.5931,0.1438,0.3295,-0.7839,-0.3216,0.6025,1.2154,0.3462,0.175,-0.294,-0.7019,0.3308,0.2105,-0.522,1.7999,1.3563,-0.25,0.806,2.2251,-0.8296,-0.7141,0.088,1.1655,0.9375,0.2708,1.6235,-0.6081,-1.1649,-1.3816,-0.0936
