"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8"
0.2034,1.7683,1.0077,1.1221,1.6639,-0.2192,-1.8221,-0.3725,-0.6211,-0.078,-0.501,0.2413,0.6479,0.0249,0.243,0.6565,-2.333,0.9645,-0.8674,0.1225,-1.5659,-0.3801,0.1634,-0.6437,0.7251,-1.2142,-1.263,-0.3141,-2.0943,0.5006,0.6719,0.0802,1.0808,-0.1072,-0.2294,-0.3577,-1.3129,0.8652,1.0968,0.0387,-0.5128,0.1072,0.2082,-0.0999,0.769,-0.277,1.0089,0.5899,-1.8957,0.1845,-0.5998,0.9496
-0.4023,1.2455,-0.6756,1.322,-0.9466,1.2266,0.6298,-0.0996,-1.8808,0.9797,-1.4495,-0.6258,0.717,0.4907,0.6555,-0.9142,0.753,-0.7194,1.8492,-1.2247,-1.0178,-0.0871,0.4814,0.4615,-0.3008,-0.5446,0.2275,1.9333,1.5153,1.3063,0.5285,-0.0664,-1.3386,-0.815,0.7413,1.7902,0.9401,-0.431,0.9481,-0.2676,1.3229,0.9341,0.9627,0.2699,-0.4236,0.4575,0.1787,0.1696,-0.4688,0.8898,0.7155,-0.9826
-0.8163,-1.349,0.4686,-0.7047,1.155,0.2258,-2.4395,-0.7176,-1.1074,-1.7019,-0.3896,-1.2719,-0.0493,0.542,-0.4779,-0.0709,0.0356,0.2394,-0.0621,-0.9105,0.546,0.5843,-0.1484,-1.6114,-0.5886,-0.0802,-0.0676,2.0515,0.9235,1.1497,-0.2446,0.7667,2.2691,0.499,-0.6479,-0.221,-0.2084,0.0263,1.2755,-0.4706,-0.4942,-0.8692,-0.4285,0.3891,0.4322,0.8834,-0.4032,-0.4664,0.5306,-0.1577,-0.0619,-2.2828
-0.8778,1.2088,0.2406,0.9469,-1.0596,-1.0021,-0.3514,3.2087,-0.1414,2.1319,0.6509,2.4363,0.2911,-0.6877,-1.8799,-1.4929,-0.549,-0.1006,-1.1408,0.7639,0.4326,0.2369,0.7553,-1.3115,0.4781,-0.5165,-0.4719,-1.7549,-0.6891,0.1615,0.5754,-1.0516,-1.6978,0.3943,-0.2176,-1.6506,-0.9321,1.1725,1.2307,1.9628,0.775,0.8694,0.0353,-0.0414,1.4959,-1.4236,-0.3342,-0.6434,0.424,0.3068,0.8417,-1.2514
-0.9292,1.221,1.8637,-0.7132,-0.4227,-1.4445,0.6388,-0.5373,1.2324,-0.8786,0.1289,0.4203,0.1087,0.3841,0.0208,0.0976,-0.6515,0.8059,0.0931,1.3037,-1.5009,0.2582,-0.4833,-0.1679,0.7597,0.2694,0.8064,0.8643,-1.7996,-0.842,-0.4038,0.5753,-0.7604,-1.5341,-2.3266,2.1224,0.1566,-0.6375,-0.4362,0.1775,0.1683,-1.709,0.8227,-1.3818,0.1314,0.8694,-0.501,-0.4072,-0.4605,-1.8089,1.1671,-0.7436
-0.7641,0.3789,-0.9595,-0.286,-0.5157,-2.1794,-1.5924,-0.1137,-0.3459,-0.0221,-1.812,0.3482,1.0802,0.6573,-1.5565,0.2616,0.3293,-0.3057,0.528,-1.8888,-0.1484,-0.0807,1.0709,-1.9817,1.5892,-0.8774,-0.3335,-0.8699,0.644,0.5606,-0.8859,0.1519,0.752,-0.1755,-0.4222,0.167,1.1189,0.5455,-1.2043,0.3099,-0.5225,-1.3112,-0.3881,0.8364,1.3029,0.7599,0.9352,0.6039,-0.466,0.476,-0.4866,-2.1798
1.0021,-0.0801,0.2489,-0.5822,-0.5253,0.8169,-1.1188,0.8172,-0.5218,-1.3298,0.476,-1.1166,1.5346,-0.0443,2.996,0.4361,1.2662,0.5141,-0.2329,-1.3688,-2.2015,0.5335,-2.0238,0.1061,1.7069,0.9315,1.3608,-1.1007,-0.199,-1.7038,0.6662,-0.6447,-0.8807,0.3384,0.9264,-0.6932,0.0414,-0.5592,0.6375,-0.1316,-0.3704,-0.5934,1.6053,-0.484,-0.9761,1.3904,0.8855,-0.7145,1.0382,0.7595,1.2167,0.4169
-0.9744,-0.0227,-1.3141,-0.6301,-1.2132,-0.0889,-1.0454,-0.7871,1.5801,0.5836,1.2144,-0.5678,0.3149,1.0435,1.1114,2.9162,0.1134,-2.5452,0.5077,1.407,-0.2956,1.1552,-1.7793,-0.4965,1.3506,2.7179,-1.4727,-0.4953,2.5392,-1.0855,-0.4326,1.0904,-0.6851,-0.1286,0.5581,0.4038,-0.564,0.4753,0.2352,2.225,-0.2203,0.6253,0.9846,0.3975,-0.6031,-0.6535,1.2622,0.1585,0.0268,1.1463,0.1194,-0.9558
1.9696,-0.2682,-0.3613,-0.2891,1.871,-0.0554,0.0278,1.1064,0.1699,-0.4772,-1.0422,-0.9998,0.2019,-0.0785,-0.972,-0.2654,-0.6801,-0.0181,-1.1983,-0.4133,-0.0641,0.752,-0.8601,0.3913,0.7218,0.3733,0.4622,1.1099,0.0602,0.81,-0.1914,-0.2016,2.0459,0.5914,1.6066,1.4883,-0.1616,0.3186,-2.1508,-0.5099,0.56,2.0184,0.4287,-1.921,1.2193,0.5849,1.7572,-0.1607,1.7547,0.3152,1.6535,-0.0477
-0.6049,-0.9908,1.2542,-0.0191,-1.5907,-0.3493,0.6861,-0.9612,0.8803,0.5976,0.2875,-0.4158,-1.9228,-0.435,-0.6896,1.6361,2.6483,-0.0178,-0.6038,-0.7883,0.5292,0.9957,-0.4826,1.0791,-0.2376,-0.901,0.2501,0.5975,0.4719,-1.1818,1.3015,0.5491,0.0727,-0.338,0.1448,0.4408,0.6117,-0.1204,1.9306,-1.5931,-0.5726,0.8293,0.2347,-0.0799,-0.1616,-0.7144,2.0568,1.0485,-0.1994,-1.1094,0.9005,0.6403
-0.6862,2.125,0.9548,-1.4334,0.2546,-0.617,-0.3712,0.3299,0.6382,0.5015,0.0435,0.2233,-0.6777,0.4251,0.067,-0.3893,-1.0337,0.5619,0.3285,0.9322,0.0894,3.8562,0.8107,0.861,-0.6642,-1.1215,-0.1607,-0.7485,1.4915,-0.3725,-1.5017,-1.5878,0.9098,0.5841,-1.1813,0.0188,-0.5086,0.8568,-1.411,-0.9593,0.3614,-1.644,0.1969,-1.7936,0.6902,-0.7434,0.675,-0.0478,-1.0563,0.2015,1.2351,-1.2837
-0.893,-0.284,-0.9089,-0.7205,-0.5607,2.0575,-1.3887,0.4362,1.5402,-1.5045,0.6755,0.7689,-0.223,-1.708,-1.0298,0.0716,0.6431,0.5474,-0.0937,-0.2797,-0.9057,-1.2674,1.3656,-1.0478,-1.0757,-0.197,0.9312,1.3378,-1.2102,-0.732,1.0591,0.5318,1.1715,-1.3795,-2.1125,-0.5284,-0.5088,0.9511,1.1523,1.379,-0.7031,-0.5815,0.9592,-1.1725,-0.5622,-1.0088,-0.1152,2.8023,0.8286,0.318,-0.2785,-0.579
-0.9556,-0.7334,0.7214,0.2071,1.9018,-0.4686,0.1106,0.1468,1.0654,0.4466,-0.7963,0.0021,-1.3558,-0.1143,-0.4825,-0.3341,3.3645,1.3656,-0.7625,-0.4184,1.5527,0.2979,-1.0228,-0.1347,-0.0636,0.139,0.0101,0.022,-0.8098,-1.2778,0.0187,0.1828,-0.3197,1.3744,-1.3978,-0.5124,-0.0955,-1.2351,-0.2201,-0.7549,1.1506,1.6097,-1.0773,-0.4359,0.9805,-1.7162,0.9583,-0.184,-0.454,-1.074,-0.4349,1.8953
-0.8445,-0.9495,-0.5094,1.5064,0.5486,0.4761,-1.2029,-1.0836,1.1414,0.0102,0.7527,1.5225,-0.7259,0.5259,0.0389,-0.5242,-0.8352,0.2413,0.8355,-0.388,0.4085,0.1827,1.1085,1.3423,-0.3654,2.0518,0.8299,1.1054,-0.2948,-2.143,1.8122,-0.5246,0.1796,0.7183,-0.0904,-0.211,1.3932,0.669,-0.1112,0.058,-0.0265,1.1519,-0.0098,2.093,0.2297,0.7206,2.817,1.1415,0.1497,-2.2182,0.7682,-0.9762
-0.8591,-1.2874,-0.1275,-1.4267,0.5882,-0.3946,-0.4528,0.8558,0.2738,-1.3829,-0.9986,-0.7815,0.3318,0.7394,1.7903,-0.051,-0.505,-0.3778,0.5848,0.0491,-0.8204,-1.1375,-0.2912,0.8125,-0.8688,0.6472,1.043,-0.0204,-0.0275,1.7796,0.8749,0.4992,-0.417,-0.1542,0.8004,0.602,-0.5724,-0.1522,-0.389,-1.6377,-1.2885,0.1919,0.5612,0.5775,0.6405,0.2405,0.5871,0.7834,0.9711,0.714,-0.0461,1.0977
-0.8404,-0.5853,1.2759,-0.3057,-1.3256,1.2209,0.7475,0.601,0.0901,-1.0569,0.0436,0.5498,1.9594,-0.6771,0.2948,0.6343,0.9847,0.9724,0.2184,-0.7308,-0.7054,0.5538,-1.0601,0.3219,-1.7606,1.6254,2.4327,-1.6771,0.4549,-0.0696,1.4116,0.9848,-1.9088,0.4816,0.2596,0.2721,-1.84,0.9734,-0.3402,-0.5415,0.2561,-0.4977,-0.7815,0.4298,-0.2888,-0.3643,-0.0202,-1.1498,0.4021,0.2396,-0.3659,-0.0336
-0.7702,0.4561,0.4649,-1.6328,-0.9345,0.4476,0.2899,0.0045,0.8318,-0.1446,-0.4923,-1.1765,-0.9193,2.5943,0.816,-0.5178,0.7925,2.3494,0.1919,0.8982,-0.8343,0.0961,-0.1796,0.0974,0.224,-1.2739,1.146,-1.1493,0.3264,-0.2253,-0.0993,-0.603,2.0106,0.3998,0.2437,-0.8872,2.1927,1.6573,0.219,-1.0887,0.8408,1.884,0.0311,-3.1886,-0.1569,0.6018,1.1887,0.4849,-1.1058,-0.5944,2.5329,-1.1231
0.2426,0.1778,-2.0352,0.6179,0.1741,0.2108,0.5359,1.2261,-1.6294,3.1309,-0.0072,-1.0456,-1.2114,-0.7543,2.1921,-1.4966,-0.5698,0.7706,-0.9343,1.2154,-0.4044,0.5221,0.3605,2.8682,0.8173,0.4644,-1.9386,0.583,0.752,-1.2463,0.24,0.4604,0.1184,0.3698,-1.5935,2.1183,0.2853,0.4544,-0.5765,1.3513,-0.4881,-1.4039,-0.7031,-0.1008,-0.1955,-0.4592,-0.1404,-0.6314,1.4253,1.4812,0.3825,-0.3745
0.3231,-0.0827,-0.5097,0.5561,-0.7325,0.4731,-0.0568,1.5204,1.4434,-0.8854,-0.9952,-1.8239,-1.0005,0.1312,0.1997,-0.4906,-0.0458,-1.4786,-1.8261,0.4615,0.8522,0.3049,-1.268,0.1796,1.277,-0.1711,0.259,-1.3394,1.1003,0.0053,-1.1979,0.0711,-0.1511,-1.609,-0.9018,0.1095,-0.0711,0.002,-0.2215,0.6004,0.4973,1.0239,-0.1015,-0.955,0.9825,0.0293,0.9175,0.6508,0.1046,-1.308,0.5826,0.4477
-0.9532,-0.4028,-1.6899,0.036,0.3008,-0.2165,-0.9791,1.2249,2.2394,0.326,-1.576,-0.5124,0.235,1.9517,0.4728,-0.9438,-1.5273,-0.449,0.2963,-0.2333,1.0889,-1.4242,0.0207,-0.5134,0.6833,0.6609,-1.2906,0.4675,-0.1199,0.8784,1.3616,0.6588,-1.4413,0.1961,1.8287,0.1322,0.9433,1.2899,0.9805,-1.1556,0.0923,-0.592,1.6181,1.5261,0.2479,0.2399,-0.3734,-0.0829,-0.7856,-0.0386,-0.4191,-0.397
-0.595,-1.2083,1.7475,-0.2119,0.8205,-0.3793,0.6976,-0.9333,0.4717,1.4403,0.0317,-0.8241,1.0338,-0.641,-0.2,-0.3882,0.2385,-0.6938,0.7037,-0.4705,0.7463,0.7802,-0.0141,-1.3156,-0.3754,0.1517,1.0439,0.8135,0.6241,1.0337,0.5473,-0.3344,1.1809,0.6509,-0.4106,-2.1728,-0.0424,0.1528,0.1629,-0.0016,0.2874,0.9368,0.3668,1.6786,-1.4099,-1.2945,-0.6763,-0.8994,-0.6771,0.2537,1.7293,-0.6853
1.2099,0.2422,1.0441,-1.0513,0.6973,0.7698,1.6069,0.9792,-1.5218,-0.8171,1.2179,-1.8903,-0.3923,1.4135,-0.6303,1.2333,0.8572,-0.7341,0.1293,0.1621,-0.3035,0.4018,0.3944,-1.6367,-0.8072,-1.0415,0.85,0.2074,0.4048,0.0557,-0.4193,-1.5189,1.5872,1.8038,-1.1665,-0.7873,0.1532,0.531,0.6501,-0.0896,1.0826,0.1589,-0.2054,-0.3578,-0.1018,-0.7906,-1.5853,0.9653,1.2964,0.5783,-0.7942,-0.9863
-0.2288,-0.6806,0.3149,0.4186,0.9503,0.524,-1.6202,0.1126,-0.747,-0.3993,0.0585,-1.3476,-0.9028,0.9916,-0.6475,-0.2742,0.606,-2.5765,-0.3379,0.1053,-0.2885,0.5829,0.0978,1.3794,0.2477,0.685,0.5131,-0.8521,-1.206,-0.225,-0.3861,0.1191,-0.7723,-0.4788,0.6178,0.5068,-1.867,-0.3968,1.4324,-0.587,0.6607,-0.3374,-0.5276,0.6368,2.2628,-0.571,0.5056,-0.3173,1.495,-0.4968,-0.1189,-0.0254
-0.899,1.9008,1.6867,0.2943,-0.7146,-0.3066,-0.1876,0.4051,-0.6244,-1.0035,1.0265,0.6933,-0.4758,-1.0265,-0.6463,0.1349,0.5842,0.962,0.2732,-1.2425,-1.3585,-1.4496,-0.5389,0.1078,-0.3464,-1.0016,0.4686,-0.8547,-0.2547,2.4059,-0.1991,-1.3349,-0.8668,-2.1061,0.9644,-0.1296,0.6606,-1.0411,-1.4682,-0.1157,1.3731,0.9919,-0.2974,0.9463,1.1851,0.5869,0.7398,1.3638,-1.5121,-0.2139,1.3726,-0.005
-0.3787,-0.4068,0.1874,-0.4765,-0.0534,0.537,-0.0718,0.9821,-1.8123,-0.7404,1.8238,-0.6303,0.769,2.0981,0.6694,-0.7943,-0.6786,0.826,1.1867,-0.7592,-0.1371,0.466,1.3967,1.4374,-0.4587,1.3061,-2.5834,0.1592,0.5438,-1.6765,-1.8295,-0.8518,-0.5442,0.3065,1.6183,0.4012,-0.4296,-0.2432,0.2886,2.5689,0.0529,0.8517,-1.268,0.5367,-0.8529,0.1004,-0.1221,0.7519,-1.3966,-0.1003,-1.2113,-1.7799
0.5816,-0.2677,-1.8458,-0.5393,0.8496,1.6083,-0.3597,-0.3732,0.2117,1.1857,0.2576,-0.4076,1.4029,0.643,1.6383,-0.4404,0.5432,-0.916,2.2329,-1.9094,-0.5991,1.5621,-0.6434,1.3567,-0.3324,-0.2453,0.6733,-0.8664,1.9969,0.7631,-0.4753,-0.4187,-0.821,-0.2596,0.2786,0.1285,-0.7223,0.1776,-1.0678,-0.166,0.4133,0.8092,-0.6072,0.2051,-1.8124,-0.4447,-0.1923,1.1447,-0.9669,1.8219,1.4544,0.0938
-0.7162,0.0124,0.949,-0.8536,-1.2572,-0.674,-0.4304,0.0017,2.2207,-0.4443,-0.349,2.4022,-0.4299,-0.3295,0.5111,-1.1804,-0.449,-0.0325,-0.0495,-2.2247,-0.6102,-0.9241,1.5498,-0.557,0.0704,-1.4698,-2.8542,0.0731,0.187,-0.9415,0.6071,-1.1576,-0.6752,-0.4145,-2.2741,0.1355,0.4799,-0.1202,-1.4249,-1.2528,-1.4326,-0.4163,-0.3113,-0.0984,-0.1687,0.7358,-0.548,-0.5198,0.122,0.6159,0.2886,-0.7173
-0.8688,0.4563,0.8793,-0.8436,0.5408,0.2311,0.4583,2.0359,-0.4768,0.1417,0.4448,-1.3496,0.6491,-1.6676,-0.2878,0.6587,0.5798,1.1663,-0.4315,-0.7276,-2.8289,-0.4412,0.2542,1.1607,0.701,0.6475,-0.6441,-1.3109,-0.6821,-0.6075,0.2024,-0.6312,0.3775,1.2775,1.4384,0.4482,0.9944,0.1126,-0.8554,1.5052,1.4596,-0.5612,-0.5933,-1.3325,-0.6761,0.6038,-0.3045,-1.6866,-1.0644,-1.7752,-0.2745,-0.8193
-0.9067,-0.5316,0.2992,-1.8206,-0.0726,0.3788,-1.1147,-1.7053,0.2726,0.0091,2.0426,0.7097,0.0653,1.5318,-0.9891,1.0355,0.6614,-0.3739,0.8564,0.8443,1.6905,-0.4447,0.4872,0.1498,0.1702,-0.3432,-1.9179,-0.9017,0.2857,0.8841,1.2487,0.289,-0.0808,1.1595,1.0585,0.8332,1.6967,-1.1837,-0.706,-1.1131,-2.0254,2.6299,-0.2033,0.581,0.1601,-1.5653,-0.4691,-0.2628,0.9774,-0.0657,0.3728,-0.8983
0.9785,0.2099,0.7599,0.3725,-1.0703,-0.2186,-0.2687,-0.379,-1.324,1.1473,-0.3109,-0.0546,0.2268,1.0846,0.1995,0.8636,-1.2549,-0.3511,-0.4404,0.4868,0.2059,0.6537,-1.2127,-0.0548,-0.0084,0.6219,-0.6659,2.9075,0.4238,0.1457,-0.2753,-0.8661,0.5175,0.2732,-1.9946,0.7833,0.3132,-0.9374,0.0412,1.0353,0.5984,0.2608,0.7186,0.4646,-0.2351,0.2053,-0.1268,-0.8252,-1.1697,0.0548,-0.4254,-1.2234
1.1686,-1.1407,-0.3002,-0.2731,-0.7406,-0.4821,-0.2533,-0.5931,0.8062,0.0933,1.1523,-2.2676,1.6825,-0.1517,-2.1864,0.0287,0.6624,0.2667,-2.4824,-0.5464,0.1519,1.0531,1.1595,0.5837,1.4806,-0.3744,-0.6994,1.163,-0.1484,0.6033,-1.0022,-0.511,-0.2357,1.7158,-1.0829,0.4823,0.3148,1.2139,-0.9278,-0.5806,-0.2595,0.8467,-0.1922,-0.8195,0.2956,-1.2827,-0.4773,0.1563,-0.7835,1.7067,0.4819,0.7639
2.2425,1.4184,1.09,0.7524,-0.9613,1.9703,1.4153,-1.017,1.6436,1.9653,-0.5968,1.1253,-1.2385,-0.0131,1.086,-0.8463,-0.6918,0.0657,-0.3131,0.0713,-1.0253,0.8523,-0.5603,1.2921,0.6528,2.6399,1.2803,-1.0311,-0.44,0.5467,0.5382,-1.1187,0.1749,-0.5754,0.6224,1.0135,0.2063,-0.1336,-0.6168,2.0696,0.539,-0.0146,-0.4629,-1.2593,0.8628,-0.4392,-0.7556,0.6392,1.0757,-0.483,0.1179,-0.6397
0.5342,-0.4253,-0.9064,-0.9811,0.4751,-0.1483,0.6723,-0.5938,-1.1988,0.7834,0.4497,-0.3722,-0.8949,1.0967,-0.9384,0.0068,0.8051,-1.217,-1.0858,-0.8008,-0.8469,-0.4641,-0.6923,-0.4334,1.5503,-0.6121,0.4535,-0.0353,0.3,2.753,-0.4251,-0.7743,-0.6674,1.8451,-0.412,0.5944,-0.6936,0.1684,-0.2999,0.9665,-1.3938,0.8968,0.3182,2.514,-0.4703,-1.0889,-0.0561,0.2753,-1.6088,-0.6985,-0.232,0.1658
0.9141,0.4636,-0.5879,0.1602,-3.9682,-0.895,1.6107,0.8824,0.6303,-0.0185,0.1863,1.0044,-0.3459,1.184,0.8085,-0.1811,-0.7925,0.5301,0.6537,-1.7581,-1.9228,1.0346,0.2723,-0.1908,0.4804,0.7277,-1.2455,0.3457,-1.788,-0.472,-0.2361,0.0785,-0.7319,-0.3749,0.3205,0.1221,-0.0606,-0.6642,0.0413,1.0785,-0.9089,0.4927,-1.014,0.7227,0.1115,-0.2632,0.4188,-2.0479,0.2995,0.8753,1.887,0.0521
-0.9394,0.3896,0.801,-0.9714,1.1847,1.2141,0.1441,-0.5603,-0.4189,-1.0276,0.248,-0.4654,0.1164,-0.9283,1.1442,0.3321,0.3535,-0.0901,0.539,-0.8996,-1.0794,-1.2456,1.0773,-0.0133,0.6987,-0.6274,-1.7917,0.4322,1.4267,0.643,-0.7114,-0.5028,-1.6841,-0.7217,-0.2471,1.0722,1.0192,0.1034,1.5752,-1.0742,-0.2586,-1.934,1.7098,0.7801,0.5687,0.4816,0.492,0.4626,-2.8363,0.5305,-0.309,0.1087
-0.9147,-1.2629,-0.6785,-0.1119,-1.0902,0.6596,0.1942,0.6476,-0.0567,-0.3117,-0.3424,1.1257,0.529,0.3496,-0.5326,-0.6587,-2.1064,-0.4015,-0.8874,-0.2231,-0.4136,0.7492,0.1327,0.354,0.9594,0.9167,2.2785,-0.3166,0.1662,0.1121,0.9014,0.4082,1.6931,-1.9614,-0.5194,1.9456,1.1592,0.0226,0.6592,0.0596,-0.2393,-0.6163,-1.5832,-2.7326,0.5857,1.2732,-0.4025,-0.4876,-1.4307,0.0207,0.3617,-1.9693
0.5016,0.5381,0.6408,0.4549,1.0028,0.4502,-0.7259,1.8357,-2.2935,-0.7214,-1.0781,1.3562,-1.7747,1.4273,0.9076,-0.8268,-1.2612,0.0131,0.7458,0.0603,0.4555,-0.4689,-0.1062,-0.7241,0.6085,0.6837,-0.1195,-0.2943,0.2082,1.3494,0.3546,-1.0897,0.5528,-0.0051,0.419,1.0819,-1.3803,-0.1542,-0.6942,0.6759,0.2223,0.2382,-0.6265,-2.0331,0.3327,-0.8855,0.0699,-1.4139,0.0199,-0.363,-0.1755,-0.0088
-0.878,0.6778,1.1305,-2.0765,-1.7472,0.3435,0.2753,-0.8379,2.3528,1.2649,-0.4802,2.1061,-0.4355,0.1599,0.2066,1.8393,1.2062,0.2153,0.1447,0.1798,-1.8069,-0.506,-0.5953,0.2961,0.4394,-0.0141,-2.0066,-0.6143,0.6273,-0.5434,-0.7677,0.703,-2.6368,-0.8949,0.7443,-1.3538,-0.0965,-0.0377,0.1426,-0.171,1.3525,0.4311,0.4714,-0.9468,0.2211,1.2944,-2.8707,1.5563,-0.5371,0.6329,-1.9435,-0.6429
