"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29"
0.0613,0.9418,-0.7513,-0.2342,-0.1125,1.7513,0.6437,-0.0212,-0.0337,0.9899,1.4779,0.2648,0.2039,-1.9995,1.4003,-0.3176,0.9997,-1.6471,0.0899,-1.1617,0.2008,-0.1135,0.0233,0.2872,0.74,1.3971,0.5736,-1.6903,0.6978,0.3013,-0.1093,-0.4557,0.153,-0.7361,-1.9947,-0.8029,-2.5642,-0.1029,-1.8294,0.6629,0.966,-1.8812,-0.6095,0.9691,-0.2236,0.0207,0.5863,0.8696,1.111,-0.1391,-0.3118,0.6162,-0.2852,-0.4051,-0.0462
0.0479,-2.4376,0.8444,-1.122,-0.6556,0.3501,-1.366,-0.0496,0.0259,-0.1156,0.3313,-0.5092,0.3389,-0.4876,2.1596,-1.6384,1.1488,-0.1738,0.64,0.1288,0.3311,0.6569,1.8639,0.1576,-0.7598,0.9159,-1.1741,-0.9091,1.0124,-0.0233,1.1152,-0.4812,0.1216,-1.0839,2.0597,0.5514,1.6897,0.7288,-0.5322,1.1084,-0.6619,0.8362,-0.1699,-2.9796,-0.0511,4e-04,-1.5628,2.0719,1.1163,-0.7909,-2.414,0.3212,0.5562,-0.965,-0.8373
-0.3535,-0.7972,1.2598,-0.2702,0.2923,0.4344,-0.319,0.2694,0.4932,0.6128,-0.4336,-1.1938,0.0267,-0.2092,-0.5223,2.3558,-0.8705,0.2299,2.1501,0.2029,0.0705,-1.7938,0.3384,1.764,0.105,-0.6721,0.0702,-0.3553,-0.4593,0.0775,-0.9891,2.0992,-0.9645,-1.3519,0.3304,0.515,0.4248,0.6946,1.8232,0.9255,-1.0397,-1.9477,0.5644,0.1533,-1.0269,0.9152,-1.2777,-1.8082,0.3426,0.7073,-1.1188,0.3966,-0.1857,0.1003,-0.5968
0.4961,-2.4979,2.0744,-0.7421,-0.7002,0.0699,2.0066,0.2453,-0.8766,-0.0725,0.506,1.144,2.3566,-0.582,-1.5436,-1.3749,0.018,1.7678,-0.875,-0.4118,0.2349,1.0559,-0.3793,0.218,-0.8317,0.0843,1.8235,-0.5082,0.7487,-0.0376,-0.2353,0.6546,0.4917,1.7842,-0.5496,-0.0604,0.6135,0.5092,0.3219,0.7291,-0.8973,-0.1756,-0.4728,-0.7476,-0.1788,0.4623,-1.4952,-0.4737,-0.1801,1.1309,-0.2437,0.5273,-0.6105,-0.7183,1.3851
-0.6136,0.1764,-0.4042,-1.4495,-0.4056,0.982,-1.5943,-2.142,0.263,1.8344,0.0336,0.1623,0.2089,-0.9366,1.1882,-0.8386,-0.8473,-0.3439,-1.1773,1.1354,-1.2134,0.5141,-0.3254,0.7161,0.1855,0.8673,0.2575,0.6332,0.8192,-0.557,0.1159,-0.6988,-1.0877,-0.4341,-0.7028,-1.7386,-0.7004,0.8633,-1.1151,0.676,-0.6137,1.7484,1.1328,-0.6539,-0.6216,0.1082,0.4213,-0.0564,-0.8661,0.7691,1.5699,0.2191,-0.4907,0.6729,1.0889
-0.4284,-0.3039,1.6188,-0.6058,-0.47,0.9774,-2.1881,0.3721,-0.4065,1.1997,1.3534,0.1143,-2.0584,0.998,-0.6101,1.3027,-0.0238,1.2147,1.1845,1.1293,-0.6679,0.4115,-0.2755,-1.0512,0.5763,0.2965,0.6803,-0.6377,0.1103,0.8759,0.243,0.6338,0.0154,0.8384,0.4463,0.3136,0.6083,1.7592,0.7927,0.5276,-1.126,-0.9339,-0.3153,1.1112,-0.1934,1.3796,-1.9079,-0.7912,1.6741,0.1467,1.1011,-0.4209,0.6688,-0.3763,1.1282
0.4726,-0.6747,0.4143,0.336,-0.3772,2.7518,-0.3433,0.198,-0.1914,0.8522,2.0481,1.3099,-1.5492,-1.3941,-1.0968,1.048,0.4723,-0.9333,-0.1062,0.9683,-1.4304,-0.9324,0.9411,0.9192,1.0947,-1.3473,0.3282,0.7115,0.7486,0.188,-1.6254,-0.6923,-0.032,0.3214,1.1112,1.7376,-0.1252,-0.596,0.7056,0.2023,1.2021,-0.947,1.4437,0.2639,-0.2428,0.0203,-1.4115,-1.0049,1.5312,0.3842,1.4407,-0.5847,-1.1409,0.8648,-0.8779
0.2923,-1.222,2.0356,2.1514,-0.0148,0.5104,0.8401,0.1184,1.299,0.1109,0.147,0.3918,0.9881,-1.5369,0.9851,0.7687,-1.3961,0.4387,0.6956,1.23,-1.2168,0.0893,-1.353,0.1634,0.0536,0.3156,0.9266,0.5833,-1.2887,-1.1083,0.3395,0.084,-1.3232,-1.1872,0.1892,-0.0894,0.3321,-1.2852,1.2597,1.7284,-0.5,-1.2934,-1.1595,-1.1106,0.174,-0.5654,1.1324,-0.9204,-0.6051,-0.0229,0.3604,1.1413,0.6413,-1.3459,-1.2612
-0.6635,0.3128,0.6371,-0.4779,0.7167,0.2724,-1.423,-1.011,-0.0509,0.0243,1.245,-2.1817,-0.6214,0.044,-0.7383,1.319,0.2357,-0.6579,0.4563,1.3201,0.4629,-0.4401,1.4703,-0.3103,1.8614,-1.3075,-0.8629,0.1023,1.2501,0.7849,0.2761,-1.0596,0.1407,2.1087,0.5565,-0.3071,-1.0925,-1.1387,1.104,-1.8049,0.802,1.2794,-1.3676,0.1678,0.4939,-0.4294,-0.2525,-0.2408,-1.7066,0.1427,1.1023,-0.5616,-0.7854,0.5947,-0.8127
0.5785,-1.7868,0.4038,-0.8889,-0.4551,0.6751,0.7973,-1.479,-0.2335,-0.946,0.212,0.0055,-0.3417,2.2233,-0.7193,0.7724,-0.9802,-0.6598,-1.477,0.466,-0.5993,0.023,-1.5006,-0.2957,0.2434,-0.7807,-1.6752,2.0333,0.7219,-1.1375,-1.7055,-0.9827,-0.7741,0.008,1.0361,0.2453,-0.297,1.1485,0.3687,1.866,-1.0159,1.5874,1.1463,0.5264,1.5394,1.0955,-0.5639,0.1889,-0.635,0.7057,-0.699,-0.7696,-1.5115,-0.4916,-2.0016
0.3096,0.6612,1.6262,-0.3536,-0.8681,1.7918,-0.3615,0.2779,2.0576,1.2917,1.2827,1.352,0.287,-0.4045,-0.1109,-0.9512,0.8737,0.1094,-0.1327,-0.7196,-1.2809,0.6882,1.0834,0.915,-1.5547,-0.3196,0.3003,-0.512,0.4584,-0.1734,1.4459,-0.7337,0.6671,-1.9817,-1.0838,0.321,0.8001,-0.8267,-0.6354,-0.8576,-1.0023,0.2489,-0.5506,1.0233,0.4643,0.1747,-1.6919,-0.9485,0.6966,0.7986,1.107,0.209,-1.7816,-0.1879,0.7026
0.7132,0.9073,0.3788,1.3865,0.8001,-0.6533,1.1661,1.5754,1.3478,-0.6216,-1.3295,-1.1404,-0.7041,-0.2294,-0.1528,0.3736,0.5634,2.0344,-1.1093,0.5029,1.1385,0.4189,0.7467,0.3994,-0.2127,-1.3004,0.4387,-0.7854,-1.5403,0.1826,0.8119,0.4534,1.2538,-0.0892,-0.3276,-0.6022,-0.3169,0.7605,0.1978,1.7287,0.2561,-1.4791,-0.5048,-0.0942,1.4927,-2.1999,0.3105,-1.4141,-1.2378,0.8726,-2.2645,-1.0258,-0.7942,-0.3359,0.9796
-0.8241,-2.1017,2.3066,-0.4338,-1.6464,0.3615,0.7282,-0.4715,-0.4006,0.4576,0.3748,0.8528,-0.3725,-0.0314,-0.9701,1.243,-1.4792,-1.6403,-0.8383,0.2462,-0.2899,0.3963,0.6905,0.7498,-0.0671,2.4103,-0.8364,1.4396,1.5233,0.7218,-0.4438,-0.4104,-1.8359,-0.8284,-1.5462,1.5007,-0.1436,1.1279,-0.5991,-1.3804,0.5894,0.3194,-0.806,0.1697,1.1201,-0.2733,1.1312,0.2545,-1.2366,-0.1834,1.1952,1.2132,1.7556,0.8339,0.0043
0.8419,0.3743,-1.8364,-0.0559,-1.2389,0.7583,-0.7012,-1.0031,-1.3616,-0.1485,0.2862,0.6467,0.687,-0.5706,1.0645,-0.0749,1.1905,1.3489,-0.0086,-1.0124,-1.1684,1.1446,-0.0191,-0.9002,0.892,-1.2882,-1.6395,-0.0379,-0.3557,-2.0994,-0.4075,-0.497,-0.1512,-1.2916,-0.6932,0.2515,-0.7556,-1.3458,-0.589,-1.1444,-0.4202,-1.5895,0.4282,1.0031,-0.4125,-0.6413,0.8517,0.5819,-0.6634,-0.4185,0.7673,-0.1191,0.6346,-1.6782,0.9455
0.3639,-0.2873,0.1979,-1.2942,-0.1737,-0.1755,1.1063,-0.5576,0.8642,-0.7039,2.9675,-0.4793,-0.1959,0.2507,1.8823,-0.2008,-0.3572,2.4421,-0.5575,0.5774,1.0674,1.1534,-1.9146,1.5394,-2.6034,-0.5653,-1.2964,-1.7856,-0.2421,-0.8952,-0.1592,1.0205,-0.6636,0.7253,-0.5418,0.7566,1.474,-0.8314,0.3776,1.0563,0.1442,0.7371,0.4538,-1.2872,0.0592,0.6871,-0.2514,1.2155,-0.8019,-0.2775,1.0659,0.3893,-0.4649,0.5989,1.7056
-0.7654,0.1605,-0.1904,0.2476,-1.3956,-0.1912,0.3371,-0.8939,0.4144,-0.2661,0.804,0.4773,0.2427,-0.3103,0.5345,0.493,-0.6782,0.0542,-0.0064,-1.1309,0.4087,-2.1826,-0.9425,0.6031,7e-04,0.0371,1.5183,1.9611,-0.4717,-0.8516,-1.615,0.6325,-0.1021,-0.515,-1.9473,-1.2611,-0.2579,0.3972,0.9558,0.4339,0.4264,0.3595,1.4262,-0.4001,1.0163,0.3394,-0.8324,0.8508,-1.072,-0.2875,-1.7565,0.3131,0.1323,0.9451,0.6728
0.7522,0.5154,0.626,0.8966,1.4069,0.7811,-0.3118,0.6256,1.1892,-0.9015,0.0497,-0.5843,0.7905,-0.8792,0.3218,0.1153,-0.2343,-0.9219,1.0008,0.1433,0.4651,0.707,2.1653,-0.963,0.3084,-1.2559,-0.8561,0.5808,-0.0087,1.1459,-0.7252,-1.1619,0.2468,0.6694,0.0955,0.4107,-0.6517,-0.3382,0.4717,-0.1879,-1.6186,0.035,-1.2518,-0.2019,0.3832,-0.4256,-2.1674,-0.3912,0.5556,0.8121,-0.4193,1.7313,1.377,0.3483,-0.5843
0.4603,1.1851,0.2873,-0.4871,1.3425,0.0033,-0.9388,2.815,0.2349,-0.3704,0.6116,1.802,-1.318,0.7547,0.7165,0.568,1.0805,0.4948,-0.6133,0.5869,0.3698,-1.0063,-1.2291,-1.3345,-1.6113,-0.973,0.9643,-0.9889,-1.555,-1.8982,0.7169,-0.3298,-0.397,1.7327,0.7584,-0.0947,0.4629,1.2307,0.9957,0.6167,0.7537,0.2859,-0.5587,-0.2831,0.7931,-0.3556,-0.1711,0.9272,1.4443,0.2505,-0.173,-0.281,-0.0336,-0.4793,-0.4619
0.4067,-0.3211,0.8479,0.6045,1.4016,1.8073,0.0235,-1.2065,-1.3416,0.8255,-0.2151,0.2307,0.6926,1.127,-0.5271,-0.6535,0.154,0.3321,-1.225,0.8464,-1.0161,-1.5245,1.8285,-0.1985,1.5852,-0.316,0.6337,0.6746,-0.2717,0.2157,-0.1071,-0.7474,-0.198,-1.6075,0.748,0.3233,0.8869,1.1023,-0.7915,2.0232,-0.4568,-0.439,-0.5187,-1.459,-0.5035,0.8419,0.1801,-1.5016,1.6471,-1.9364,1.3455,-1.0472,1.4097,-1.2221,0.503
-0.9044,-0.0159,-0.1451,0.1598,-0.3354,-0.3207,-0.3505,-0.8295,1.4372,-1.2388,-0.7514,1.7857,0.2133,0.4534,-0.2294,0.7438,-1.4282,-0.6991,-1.1094,-0.2837,-0.821,-0.2397,0.4426,-0.9492,-1.038,1.1797,-1.1832,0.6148,-1.2782,-1.307,1.2034,1.0544,-1.1998,-0.6239,0.1709,-0.6792,1.0851,-0.0465,-1.5362,0.3994,-0.566,-0.8379,-0.8235,-0.0625,-0.9036,-0.3052,1.2008,-1.6431,-0.8277,1.3902,-0.2134,-0.0496,-0.4145,3.1501,-0.7684
-0.5701,-0.5763,-0.7771,0.276,0.3006,-1.5056,-0.8384,1.074,1.6953,-0.261,-0.2488,-1.5693,0.676,1.4051,1.4215,-0.2061,-1.4565,-1.2201,-0.637,0.9237,0.4127,-0.3163,-0.7167,-0.3402,0.3551,0.8932,0.5265,-0.7365,-1.5365,1.1277,0.7434,-0.5197,-1.0972,-1.0163,0.964,-0.7994,-0.008,1.8285,-1.5092,-1.1883,-0.3501,-0.4261,-0.5221,-0.6906,-0.844,-0.1491,-0.1615,-0.6377,-0.621,0.2863,0.2701,-0.4618,1.6302,-0.2036,0.3643
-0.7681,1.3225,0.9653,0.1043,-2.3054,-0.418,-0.2154,-2.6336,0.2659,1.1555,-1.2628,-0.5058,0.033,-0.8963,-0.597,-2.4342,0.0653,0.3742,-0.6061,-0.6827,0.6652,1.0297,0.0342,0.8232,0.0095,-1.4434,-0.1572,0.5716,0.1515,1.0158,0.9496,0.4987,1.7051,-0.9392,-0.8865,0.6118,-0.9129,0.1161,0.9328,-0.5202,-1.6834,-0.1495,-1.3796,2.0829,-0.1848,1.8598,0.4816,0.8479,-2.2734,0.2305,-0.7483,1.1002,0.4096,-0.5892,1.2717
-0.0075,0.9721,1.4486,0.3184,-0.4976,0.4689,-0.9301,-1.0971,-0.8831,0.1798,-0.7372,-0.1874,-0.2984,0.4706,0.9469,-0.0076,1.3276,1.4879,0.4521,-2.2989,-0.2536,0.961,1.3261,-0.1922,-1.0103,-0.4102,1.6996,-1.7967,1.1943,0.0027,-2.0065,1.115,-1.4297,0.9555,-0.5391,-0.5512,-0.7195,-0.9751,2.0914,-0.0668,0.2105,-0.5635,-0.1568,-0.8171,1.2287,0.2238,2.3352,0.8607,-0.199,-0.0742,-0.3326,-1.5597,0.2522,0.2444,-0.1761
-0.0109,2.0172,0.7504,-1.1953,0.4705,1.6082,-0.6769,-1.2162,-0.4689,0.7542,1.138,1.0678,0.3824,-0.0186,-0.3353,0.4694,-0.254,-1.1701,-2.1347,0.3355,-1.1334,-1.1769,-0.4776,-1.0063,-1.832,-1.0584,-1.3886,0.7142,0.5665,-0.3135,0.0232,-1.0889,-0.4226,0.8439,0.0707,0.52,-0.7475,0.8794,0.794,0.3363,-2.1693,-0.1559,-0.1084,-0.9543,-0.5415,0.8031,-0.514,-0.3712,0.8337,1.4615,0.4613,0.2284,0.5144,0.0307,1.9276
-0.8702,-0.4058,-0.1805,1.6847,0.4959,-1.664,1.5796,-0.4649,-1.8691,-0.2992,-0.0682,0.366,0.0766,-0.6633,-0.6888,-0.0203,-0.3632,-0.3314,-0.9818,-0.5942,-1.7436,1.8646,-0.4381,1.5965,0.626,-0.2831,0.6666,0.4143,0.8831,-0.4991,0.2555,-0.7344,0.4773,0.3373,-0.265,-0.7406,0.8411,1.1167,1.9511,0.5246,0.6399,0.5083,-1.9026,-1.3736,-0.8291,-0.6536,0.7043,-0.4581,-0.5216,-0.6912,-0.9804,-0.1661,0.4755,-1.0482,0.1514
-0.7926,0.8513,0.2983,-0.7818,-0.1038,0.1141,-1.3454,-1.2182,0.6749,1.2042,0.1952,1.0797,-0.5143,-0.5593,0.7209,-0.0775,0.2395,0.187,-0.4344,-1.2519,-0.6207,-0.6997,-1.5872,-0.7786,-0.3356,1.3376,0.4002,-0.6261,-0.3637,0.444,-1.9045,-0.9631,2.4692,-1.0569,0.2197,0.8549,-0.0403,0.5833,2.4875,0.7965,0.5689,-0.0077,0.3518,-1.7939,0.0752,-0.4591,-1.263,-1.5035,0.1294,2.2734,-1.9385,-0.722,-1.4723,0.4324,0.2649
-0.2401,0.6019,-0.4504,-1.1823,-1.2297,-0.7526,-0.8779,1.5046,1.2036,0.6806,-0.3186,-1.3383,0.4234,-0.5893,0.2131,0.3936,2.3825,-0.2516,-0.3295,-0.6669,1.322,0.0138,-0.6071,-0.7925,0.123,-1.1096,1.1817,0.9141,0.6238,0.2785,1.7654,-1.3829,-2.4478,-0.0532,-1.4347,-1.0728,0.0394,-0.579,1.0655,-1.6183,1.3925,-0.4283,-0.6542,-0.6898,1.6665,-0.5392,-1.6504,-0.8731,-1.1838,0.6946,0.7533,0.4477,-1.0528,-1.6017,-2.2651
0.1292,-1.4604,-0.0221,0.8688,0.2229,0.7981,0.9364,0.0713,-0.687,0.5716,0.0487,-0.8505,1.5693,-0.5628,-0.2061,-0.9215,0.0557,-0.5034,-0.0255,0.8782,1.0068,0.8029,-0.2739,-0.5316,2.0357,1.6339,-0.3903,0.3454,-1.3179,0.9512,-1.7381,0.0296,1.3653,-1.3887,-2.5423,0.0261,-0.1757,-0.0416,0.8058,0.1176,1.6425,-0.3704,-0.5216,-1.3936,-0.3369,1.2044,0.4614,0.7678,0.9511,0.4662,-0.3415,-0.3405,3.12,-0.8929,0.5847
-1.3334,0.6547,-0.8004,-0.6529,1.4387,-1.3767,-0.2721,-0.3313,-0.2666,-1.0281,1.9886,0.4387,0.0509,1.0357,-2.9286,-0.0252,-2.9399,-2.0022,-0.2281,1.4819,-0.4322,0.7671,2.2093,-1.703,-0.583,0.1141,1.5299,-0.0733,-0.4621,1.4419,0.1887,-1.3475,-1.1344,-0.07,1.2419,0.7568,0.213,-1.3381,-0.4828,0.1128,-0.7678,-1.1523,-0.4182,-1.2173,0.0989,1.6689,1.4276,0.0727,0.1966,-1.25,-0.9466,0.4833,0.2359,-0.2083,-0.0787
0.5061,-0.7558,-0.7745,0.3257,-0.5489,-0.2202,1.3024,-0.7602,-0.0254,0.8398,-0.7276,-1.1395,1.4684,-0.4601,-0.1637,1.8178,1.485,-0.3674,1.7893,0.2146,0.3195,0.1432,0.3117,0.0231,1.3152,1.0953,1.0818,0.6806,0.7167,-0.9881,0.1376,-1.775,0.3624,-0.4515,1.5262,0.2146,1.0102,-1.4577,-0.3809,0.3676,1.0648,0.9348,-0.2858,1.6834,-2.659,1.077,-0.572,1.2575,-0.9408,0.6168,-0.6645,1.0288,0.8465,-1.2714,-0.2989
-0.6685,-2.0855,-0.3436,0.2925,-0.5776,0.7042,0.7477,-1.486,0.4272,-1.7851,1.4331,-0.194,-1.5291,-1.033,-0.598,0.9587,-0.284,0.9094,1.214,0.5032,-0.7806,1.3055,-1.8486,0.5209,1.1392,1.1597,1.1682,1.8897,1.3049,-3.0005,-0.7313,0.3189,1.1761,1.6968,-0.4523,0.4516,-0.2899,-0.9752,1.3841,2.8328,-1.1102,0.4637,0.5668,-0.6445,-0.6964,-0.5307,0.0312,-1.5326,-0.7194,0.3786,-0.7795,-0.0031,0.9557,0.4795,-0.5325
-0.2341,0.644,1.6969,2.1791,0.1683,0.6991,0.9062,-0.3088,0.4826,-0.7808,-0.2419,0.0173,-0.1866,0.0715,-0.0225,-1.806,-0.7819,-0.0476,-0.7146,-1.1415,1.3675,-0.4414,0.8183,-0.2167,2.4237,-1.6941,0.8103,1.4961,-2.5579,0.7051,-0.0974,1.279,0.6003,1.7662,-0.7177,0.4075,0.7231,0.73,-0.5654,0.7172,0.8692,-0.5142,0.8149,-0.8232,-1.3798,-0.2807,-0.205,0.13,-0.7325,1.7327,2.0248,-1.5968,0.1549,0.1029,0.2569
-0.201,-0.6987,0.0875,0.3183,-0.0889,-0.0376,0.8596,-0.161,0.5596,0.6245,-0.4304,1.1498,-0.1344,0.9395,-1.5387,0.9724,0.871,0.2406,-0.9351,0.2607,-1.1467,0.8391,-1.6948,-0.2841,-0.5106,0.192,-0.2561,0.6651,-0.1457,-0.1141,-1.6917,-0.2241,0.6464,2.9264,0.9602,0.6838,-0.4413,-0.5025,-1.9744,-0.2769,-0.19,0.2005,-0.3373,-0.4741,0.2542,1.6572,0.2996,1.0108,-0.2307,0.3853,-1.9779,0.3493,-1.1029,-0.7731,0.0265
-0.4799,0.1205,2.1383,1.2496,1.1356,0.4876,-0.165,0.1355,1.4996,-3.4883,-0.0533,-0.4372,-0.2504,1.4473,-1.4104,-0.6365,0.4253,0.4515,0.1199,0.2083,0.6395,0.3493,-0.8276,0.3322,0.7633,0.0387,-0.6699,-0.6092,0.6497,-0.4881,-0.1521,1.0615,-0.3683,0.2572,-1.2511,-1.5358,0.9118,-0.1318,0.5195,0.2275,0.4016,0.4941,0.7168,0.074,-1.3146,-0.5377,0.3369,-0.1148,-1.5279,0.2802,-0.7328,0.1369,2.3901,0.3953,-0.3073
0.0512,0.2739,-0.0148,0.5365,-2.2917,-1.4574,-0.4134,0.4688,-2.0542,0.4217,-1.3962,0.8302,-0.8657,0.2646,0.679,0.0348,-0.0464,-0.5128,0.5986,-0.1711,-0.6713,1.3171,0.3977,-0.2957,-0.7785,-1.6004,-2.4141,-0.0519,0.2569,0.123,-1.3672,0.5999,-0.3782,-0.8633,-1.0412,0.2119,1.2569,-0.7444,-0.6959,-0.0022,0.2268,0.0506,-1.0657,0.0952,-0.9309,-1.9466,0.3917,-0.6485,0.1176,0.3561,0.6255,0.4349,0.242,0.3774,-1.7233
