"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10"
0.2296,-1.3529,0.497,0.3775,0.055,0.5529,-0.5907,0.2886,0.9008,-0.763,-2.0178,-0.5439,0.9942,-1.3559,0.2985,0.5619,-1.6481,0.0269,-0.6368,-0.0954,-0.7477,-0.6422,-0.9705,-0.003,-0.2822,0.0325,0.0313,-0.0714,1.5405,-0.4725,-0.5519,1.183,-0.0576,0.7505,0.2483,-0.9678,-0.5462,0.1998,-0.3415,-0.8455,0.9743,1.6121,-0.3378,0.5456,-0.0608,-0.0611,0.1569,0.1034,0.9556,0.1669,0.194,-0.2633,-0.0575
0.7624,0.3094,0.0731,-0.3394,0.2127,-1.0738,-0.3703,-1.6685,0.5912,0.8509,-1.4755,-0.8585,-1.5246,-0.1693,-0.1889,-0.1226,-0.929,-0.6528,0.0175,0.4488,-0.0195,-0.6642,-0.2386,2.9238,-1.2288,-1.0742,0.4889,0.6195,0.9804,-0.1567,1.3842,-0.6717,0.039,-1.1033,0.3514,0.4207,1.0363,-0.4051,1.0121,-0.9343,0.3795,0.903,-2.3795,0.0981,0.9757,1.7941,-0.1209,1.2623,0.3132,-0.4939,-0.0488,0.9356,0.758
-1.6846,0.4209,0.7218,-0.3356,0.0509,0.352,1.2055,0.8511,0.491,0.5022,1.0865,0.2298,-0.2453,-0.0697,-0.6805,0.0565,0.2721,0.0744,1.2996,-1.2692,0.3876,-1.973,0.1636,-0.1339,-0.3252,1.1988,0.7715,0.1277,-0.619,-1.4426,0.1165,0.9247,-0.1237,-1.4327,-0.7805,-0.1388,1.0908,0.4755,-1.8828,1.1808,-0.6738,-1.1834,0.2593,0.0176,0.2778,-0.1758,0.3788,-1.0243,-1.3159,0.0183,0.9595,0.7913,-0.1144
0.3751,-1.366,1.0942,0.7058,0.1829,-1.0418,0.0579,0.2158,-1.1584,1.4337,0.4588,-0.9426,-0.4022,0.7202,-1.2574,0.6519,1.0453,-0.991,-0.7935,0.6543,2.3231,0.6204,1.068,-1.5707,2.1343,-1.1624,0.2478,-0.6274,0.3249,0.1848,0.0453,-0.6449,0.1,-0.6312,0.3016,2.1695,1.5549,-1.2231,0.2215,0.143,-0.8007,1.4331,-1.103,-1.0343,1.9318,0.5788,-0.7684,-0.099,-0.0207,-0.1774,-0.6321,-0.8063,-0.574
-0.723,0.0479,-1.4233,-0.4276,-0.0247,0.5904,0.9442,-1.8147,0.8392,2.1657,-2.174,2.0435,-0.5227,-0.1678,-0.3118,-0.0262,0.1693,0.651,-0.1225,-0.5349,0.6152,1.0887,0.0385,-1.4248,-0.3869,1.3051,0.4478,0.8344,-0.1583,-0.7327,-0.2456,0.6168,-1.5112,0.2636,-0.7278,-2.843,-0.062,-0.6327,0.9259,1.5647,0.8046,-0.2021,0.9223,-0.6287,-0.3323,0.5326,0.227,-0.4826,-0.3367,-0.1359,-0.1231,-0.4763,1.8899
0.6006,-0.9139,1.0223,-0.9854,-1.0994,-1.2684,-0.2942,-0.1735,0.5421,-0.5754,0.6176,-1.8255,-2.7536,-0.2033,0.0525,-0.3395,-0.9944,-0.8952,0.0993,2.3375,1.7315,-0.2261,-0.1274,-0.8715,0.6102,-1.0685,-1.1626,-0.6984,-1.9851,1.1141,-1.5979,0.0341,-0.4809,-0.4137,0.2494,0.6453,-0.7561,0.1092,-0.3448,0.4009,1.451,-0.2427,-2.4515,-0.4049,1.4819,0.7847,-0.8337,1.4132,1.1164,-0.1225,2.2708,1.7371,-0.3292
-0.7533,0.4938,0.6878,-1.203,0.174,0.0205,1.6714,0.9538,0.4036,0.3906,-2.3048,0.5088,-0.5869,1.6781,0.5622,-0.594,-0.4153,1.293,0.7914,-0.5963,-0.7286,1.4802,1.1061,1.4784,-0.9398,-0.9821,-0.0618,1.3092,-0.2402,-0.281,-1.8806,-0.8504,-0.3416,-0.4651,0.1131,-0.8213,1.4725,-1.5626,0.6249,-1.5476,0.7988,0.2375,-0.131,-0.8024,-0.4557,0.4177,-0.8044,1.9277,-1.1517,-2.177,-1.2839,-1.4125,0.8809
8e-04,-1.5549,-0.3075,0.669,-0.4554,1.3413,0.487,0.7038,0.0572,1.5587,-0.447,-1.9963,1.2663,1.0909,-0.8758,0.291,1.0936,-2.0742,-0.2313,-2.8876,-1.7454,-0.4098,2.4151,1.7033,1.5384,0.8609,-0.6161,-0.9802,-0.3165,-1.091,-0.2178,0.9479,0.5698,0.9209,-0.284,-0.2862,-1.5519,-0.0402,-0.7065,0.4949,0.2169,0.0629,-1.0534,0.7638,-0.2313,-0.1913,0.1067,0.5007,-2.045,6e-04,0.3173,0.1794,0.7444
0.6213,0.8647,-0.0197,-2.3333,1.4358,-0.2225,0.5473,-0.6313,-1.271,0.199,0.2995,-0.4943,-0.4689,-1.7564,0.5868,-0.055,0.5187,-1.1125,0.6377,1.3721,0.8894,-1.0023,-0.0854,0.3976,0.4684,-0.0817,-1.3048,0.748,-0.0896,0.2392,0.3547,0.7226,0.2074,-0.5022,-0.9601,-1.0888,-0.1589,-0.0363,0.1712,-0.7479,-0.069,-0.4939,1.1272,1.7596,-0.3271,0.5634,0.4115,0.0663,0.4677,0.1284,0.4107,0.2777,-0.4397
0.8053,-0.0444,0.4884,-0.4169,-0.5296,-0.1064,0.8775,0.9076,0.1536,-0.6538,-1.4285,1.4843,-0.619,-0.3846,-1.1638,-0.3717,0.787,-0.3383,-1.4967,-0.5987,-1.6285,0.2291,1.178,0.3085,-0.7166,-1.8452,-1.169,1.2578,-0.532,-0.0532,-1.3189,-0.8686,-0.7586,0.9745,-0.4653,0.5784,0.6033,-0.2789,0.0098,6e-04,1.6284,0.6849,-0.7278,1.3152,0.2879,0.2535,-0.8691,1.3662,0.942,0.4123,-0.4489,-0.5017,1.6624
0.2824,-1.0359,0.6605,0.1815,0.1522,1.4042,-1.4822,-0.397,1.255,-0.9976,1.2675,1.1218,-0.6661,-0.9922,-0.5461,0.1766,0.9967,-0.7007,0.7184,0.593,-1.3422,0.6863,0.4862,-0.537,0.2304,1.5034,0.9376,1.2222,0.6518,0.0403,-1.8078,0.0377,0.849,-0.7729,0.4911,1.3554,-1.1623,-1.2931,-0.0286,-0.1017,-2.4917,-0.482,0.9353,0.4228,0.4665,0.2435,-1.551,-0.4616,0.4529,1.3672,-0.7097,-1.3725,-1.1558
-1.1805,-0.0829,-1.714,-1.375,-1.9733,2.0363,-0.0105,0.382,-0.6117,1.4004,1.2145,-1.3999,-0.8747,2.9716,0.4504,-0.7731,0.3775,1.3469,0.0964,0.2257,0.6108,-1.4935,-0.076,-0.6767,-0.3869,-2.4885,-1.3005,-0.1122,1.9186,0.2155,1.2755,2.5224,1.2266,-0.2565,-0.4942,0.4891,-1.5601,1.1668,-1.2758,-0.1441,0.9929,-0.5648,-0.4683,-0.1183,0.1452,0.7196,-1.0263,-0.0568,1.3528,0.0368,-1.4572,-0.3935,-0.9377
0.2767,-0.2657,1.4589,0.007,-0.6589,2.4831,0.2144,0.9285,-1.8008,2.5995,-0.6749,-1.4761,0.146,-0.4943,-0.6925,-0.8024,1.1094,-0.0604,-1.0956,1.0963,-0.0558,-1.6356,-1.9209,-0.7179,0.5087,-0.6925,-0.4043,0.6922,1.1557,-0.394,0.507,-0.7519,-1.2794,-0.8263,-0.3255,-0.9119,0.4892,-1.4854,-0.1626,-0.3314,-0.1677,-0.2543,0.1298,0.576,0.5993,0.7727,-2.0002,1.0502,0.902,0.2708,-1.4176,2.6885,1.1671
