"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NS47","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45","NNS46","NNS47"
-0.489,0.3228,0.6844,1.3442,0.3662,0.834,0.2854,-0.573,-0.0845,0.5394,1.5489,-0.6889,-0.6694,0.5182,0.6431,-0.5997,-1.3826,-0.4928,1.3771,-0.2824,-1.5654,-1.1202,-0.8097,0.5449,0.2046,0.2854,-1.4729,-1.195,-0.7164,-0.5554,-0.5146,1.4243,0.3198,-0.3709,0.2115,-0.9697,0.5705,0.4047,0.6253,0.0063,-0.7527,0.1372,-0.7642,-0.6218,-0.7484,1.112,0.3568,0.8226,0.682,0.8659,0.5119,0.5057,-0.342,0.786,0.6154,1.6642,-0.8474,1.3977,0.1809,-0.9635,-1.8753,0.8557,-0.4921,-1.2718,-0.2994,-0.0653,0.8134,-1.4228,-0.3614,-0.0182,-1.1826,0.5449,0.2076,-0.964,-1.1743,0.3264,-0.1419,-0.3246,-1.7128,-0.6299,-1.8283,1.5305,0.4844,-0.6501,1.0411,-0.427,-0.6409,-0.067,0.3156,1.606,-0.79,-0.3181,-1.1278,0.2321,0.537
-1.45,0.1904,2.0019,1.0169,0.4545,0.582,1.3991,0.8019,-0.9103,-1.2825,1.4301,-0.4675,-1.0956,0.9936,0.6628,-0.3613,1.5729,0.2535,0.4572,-0.7828,-0.5495,1.0469,-1.0274,0.9277,-0.0225,-1.0179,1.3684,1.1525,0.0834,-0.2768,0.288,0.2772,-1.6961,0.1668,0.8077,-0.1936,-0.9103,1.3178,-0.6498,0.3537,-0.899,-0.8089,0.7841,0.9455,0.2309,-0.6643,-0.7008,1.9677,0.7826,0.1557,0.5107,-1.7364,-1.0252,-1.0592,-0.8269,1.8978,-0.0726,-0.0926,1.5885,-1.8484,-0.0861,1.8989,0.0946,0.2358,-0.9395,-1.3683,-1.1676,0.3866,-0.6174,1.3195,-1.027,0.3331,-0.1837,1.369,-1.1747,2.1509,0.6428,0.0229,1.7504,0.6386,0.4505,-0.1173,-0.5628,-0.6545,-0.2221,-0.0611,1.3453,1.0205,1.2125,0.867,1.8022,1.5192,-1.6025,0.0266,-0.706
-0.3555,0.0219,0.8745,-0.2958,-0.0364,-0.3624,-0.0653,-1.0326,-0.9757,-0.0351,-0.9331,-0.492,-1.8109,0.0728,1.6505,-1.0493,-0.9712,-0.5673,0.9321,1.0441,-0.5809,-0.368,1.888,0.2364,0.8239,1.4456,-0.2332,-0.8182,-1.2184,0.9872,0.7432,-1.025,-0.5815,-0.2918,-0.4441,-0.2465,2.5303,-0.4256,-0.7263,0.6208,0.4962,-0.8538,1.287,0.3319,0.4897,-0.8912,1.2594,-0.2542,0.938,0.7296,-0.7959,-0.8076,0.6953,1.316,-1.7568,1.2118,0.6617,0.9842,-0.0431,-0.5635,1.7666,0.6619,1.2212,1.9849,1.3632,0.6746,-0.6182,1.4056,-1.1069,0.2938,1.963,-0.6119,0.7035,0.584,-1.0798,0.0318,0.0366,-0.5886,0.3159,-0.5807,-0.2767,1.5004,-0.0898,0.2423,0.0858,0.0177,-1.1949,0.5134,0.1025,-0.0173,0.0478,0.5445,-0.2297,1.3373,-0.1297
0.1844,1.5637,-0.7877,-0.1581,1.1498,-1.6892,0.6608,0.5973,0.6435,1.1079,-1.0558,-1.2146,-0.6145,-1.6075,0.0641,-0.7062,0.5978,0.7298,-0.859,-1.5819,0.8564,0.4336,0.8902,1.4911,-1.4839,0.2726,0.7852,-0.5864,-0.6972,-0.3974,0.1403,-0.263,-0.7861,1.5246,0.8072,-1.9366,-1.167,0.3247,-0.555,-0.0322,0.0444,1.6272,2.2759,-0.0224,-1.4327,-1.2954,0.0803,0.521,1.0796,-1.1863,0.0829,0.0731,-0.6279,0.227,0.3172,1.3392,0.1165,0.9303,0.8888,-2.167,0.9037,-0.5581,-1.5764,-0.3331,1.6397,-0.7261,-0.4914,0.4604,-1.4432,1.0842,-1.2777,-0.2667,0.1153,0.4645,0.8733,-0.4652,0.4651,0.0283,-0.0126,1.5949,-1.1226,-0.1034,1.6176,-0.9947,-1.3774,-0.0737,-0.7701,1.5746,-0.2022,1.1773,-0.78,-0.8285,1.2063,-0.2934,0.1608
0.5362,-0.3833,-0.8781,0.7161,-0.9864,1.0779,1.3625,1.2667,0.1797,0.0559,-1.6572,0.6785,-1.293,-0.2184,0.6627,-0.6199,-1.2705,0.1527,-0.175,-0.2735,-0.2648,0.0619,0.4528,-0.5182,1.3894,-0.5768,0.2175,-0.7117,1.3247,0.13,1.5025,-1.339,-1.5347,-0.6083,-2.1066,2.4051,-0.6933,-0.8262,-0.251,0.5926,-0.4775,1.8663,1.7213,0.512,0.2578,-0.0219,0.4107,0.4791,1.13,0.1005,0.195,0.4094,-0.3242,-0.3793,1.7838,-2.1847,1.3741,-1.2492,0.2548,0.2482,0.825,1.6962,-0.2831,-1.0181,-0.7264,-0.7232,1.0445,-0.9127,0.8729,0.7112,-0.582,-0.7399,0.4433,1.209,1.5119,1.9526,-0.8569,0.1531,-0.111,0.5764,1.301,0.8328,-1.1075,-0.2707,-0.0725,-0.1019,-0.5083,-0.5049,-1.6505,1.165,-0.9529,-0.579,-0.1151,0.2779,-0.102
-1.3488,0.675,-0.4285,1.3267,0.4191,0.3097,-0.481,0.5192,-0.865,-1.4852,-0.5871,-0.541,-0.3611,-0.2329,-0.0013,-0.561,8e-04,-0.6981,2.6017,-0.1081,0.9663,1.259,-0.1959,0.1769,0.461,1.4217,-0.3253,-1.6233,-0.891,-0.2883,-0.7638,-1.0092,2.3379,0.2445,0.7262,-0.1325,0.5366,-0.5787,-0.8794,-0.9296,-2.0847,0.0044,0.173,2.0423,1.0416,-0.2543,1.7657,-0.2479,1.192,0.4268,-0.3284,-0.3367,0.2314,0.1275,0.8977,-1.1573,0.2555,0.0038,-0.8378,-1.3202,0.3797,-0.2413,1.5493,-0.1223,-0.2652,0.6057,1.3065,0.9636,0.8895,0.3518,1.0659,1.5878,-0.0317,0.3546,-0.7756,1.5318,1.1997,1.6405,-0.1271,0.595,-0.0977,0.068,-0.6167,0.955,1.4657,-1.0366,1.0638,2.3657,-0.3258,0.9604,0.954,0.643,-0.8211,-0.0177,0.5456
-0.3783,0.405,1.7495,0.0575,1.1947,0.1655,-0.5003,-0.0638,0.0765,0.5975,0.0511,-0.4028,-0.7323,-1.0525,1.517,2.4967,0.253,-1.5491,-0.6504,-2.058,0.024,-0.6608,-0.3603,-0.9123,-0.9658,1.3383,0.791,0.6544,-0.169,-0.2807,0.5355,0.4796,0.904,0.6642,-0.1931,0.9371,-0.8463,0.7377,0.3276,1.9779,-0.3985,0.6621,0.3334,0.9697,-0.2242,-1.1414,-0.4524,-0.1867,-1.3892,-1.617,0.0434,-0.1053,-0.2633,0.3831,-1.2768,-0.3282,0.095,-0.5969,-0.9362,0.3186,0.468,0.2796,-0.8341,-0.6829,-0.3955,0.5048,1.1322,-0.1432,1.4378,-0.4102,0.2127,2.0333,-0.092,-0.1447,1.428,0.0254,-0.728,0.5137,0.5443,-1.2164,1.1997,0.6065,-0.6731,-0.2156,-1.7935,-1.0073,-0.0319,0.8266,-1.7343,-1.4616,1.6539,-0.0573,0.9749,0.5439,-0.254
-0.1425,-1.5188,-0.7389,2.0834,-0.3635,-0.7821,0.4873,-0.5082,-0.6372,-1.2721,-0.2619,1.4893,-1.2416,0.5418,-1.2581,0.1042,-1.3959,0.4556,1.0734,-1.7329,-0.7445,1.0953,-1.1511,1.1246,1.6087,-1.1972,1.7698,2.7322,1.3467,-1.3526,0.8463,1.0988,-1.5114,-1.1611,-0.2804,-1.7754,-0.1754,-1.225,0.5143,-0.1413,-0.0338,-0.7119,0.5771,2.2943,0.2221,-0.7541,0.1814,-0.399,0.5369,-0.0677,0.5618,0.2998,1.5612,0.2541,0.6021,-0.804,-0.679,-0.1726,0.5461,0.9722,0.6793,-0.8645,0.4049,-0.2266,0.9285,1.5112,-0.0348,-0.416,-0.2739,0.9093,-0.3596,-0.0357,0.5118,0.0215,1.3803,-0.3591,-0.4008,0.1456,0.1004,1.3214,1.2929,-1.0177,-2.416,-1.0033,0.1714,-2.034,-1.9048,0.4454,0.2516,-0.1566,-0.9313,-1.5239,-0.7952,1.5083,1.2516
-0.9122,-0.0677,0.0549,1.0071,0.8187,-0.5218,2.2368,1.5841,0.0118,-0.6022,0.2562,1.6538,-1.833,-0.4123,-1.143,-0.2561,-0.2875,-0.8183,1.1375,-1.5337,1.0152,-0.342,0.3019,0.3346,-0.2944,0.4448,-0.0688,1.4393,-0.2575,-0.8087,-0.6241,-0.6187,-0.0277,-0.1418,0.3904,2.3408,-0.1025,-0.967,-0.432,1.4452,1.1514,-0.1207,0.6065,0.1999,1.5308,1.0962,-0.0958,-0.3459,-1.8043,0.6672,-0.1311,1.2539,0.0031,1.0239,-0.5739,-1.3169,-0.3455,1.6352,-0.472,1.4529,-1.4731,-1.1424,0.073,0.7873,0.8334,0.5357,-0.1216,-0.5107,0.3628,-0.8941,1.3224,0.0579,-0.5141,-0.3449,0.535,0.7636,0.2982,-0.3114,-0.3801,0.771,-0.3347,-1.1157,-1.6279,0.3042,0.71,-0.643,-0.2384,0.7118,0.6491,0.6918,1.1345,-0.6205,0.223,-0.5252,0.0257
1.0363,0.7488,-0.3262,-1.5962,-0.499,-0.5282,-0.7288,-1.9788,0.1947,-0.1101,0.3693,0.9269,0.8748,2.6944,1.7473,0.9723,-0.2834,0.9769,-0.4049,0.2261,-0.4078,-0.1559,0.9107,-2.1433,0.2761,-1.3375,-1.3923,-1.4626,-0.6723,0.2571,0.0059,0.1626,-1.4752,-0.7854,-0.7975,0.3019,-0.4697,0.8683,1.7226,-0.4964,0.6342,0.2275,1.2995,-1.0243,0.7651,-0.452,-0.1251,1.3431,-1.4585,-0.6283,-0.657,-1.3061,0.4416,-1.1681,0.0018,1.6281,1.0277,1.037,0.1957,-1.4647,0.98,-0.4747,1.45,-1.4526,1.21,0.7726,1.2906,0.7513,-0.3531,0.7572,0.3269,0.6823,-1.0289,1.0012,-0.893,-1.5535,-0.0842,1.3424,0.2968,-0.5988,-0.2319,-0.9769,-0.6423,-1.2926,-1.8337,-0.2745,-0.748,1.5989,1.8135,0.3811,-1.3196,-0.8331,-0.2792,1.0988,0.4583
-2.0462,-0.1402,-0.7771,0.6932,-0.8182,1.1219,1.8711,0.6898,0.4507,-2.1285,-0.3961,1.2578,1.1648,0.6384,1.572,0.1186,1.2819,-0.3087,0.0438,-0.7708,1.2717,0.9375,2.2252,0.2274,0.4626,-0.1502,-1.4659,1.0203,2.3307,0.629,0.8642,0.3445,0.1778,-0.2829,1.623,1.7106,-1.2989,-0.3992,-0.992,0.5086,-0.0812,-0.732,1.3395,-0.115,-2.3964,0.4607,-0.4048,-0.9357,0.5341,0.2803,0.7411,1.3227,0.1753,2.1028,-1.2583,0.6487,-0.2876,0.6005,0.4761,-1.2999,0.1412,-1.536,-0.9693,2.0394,-0.316,1.0133,-0.8255,-1.4865,-0.7413,0.235,-0.6618,0.3293,-0.9921,-0.7206,0.1823,1.7184,-0.385,-0.0637,-0.4859,1.1804,-0.3435,0.4604,1.4575,0.6401,0.4891,-0.8619,-0.6906,-0.513,-0.9343,2.4397,-0.2877,0.7029,0.1116,-1.6614,-0.3556
0.6032,-0.9436,-0.0457,-0.2373,0.3253,-1.2716,0.9086,-1.1778,1.4666,-0.8008,-1.9202,1.6723,0.9958,-0.4612,-0.968,0.5009,-1.6481,-1.5043,2.6445,-0.6512,0.5061,-1.2252,0.9797,-0.5961,-0.4395,-0.184,0.4171,-0.9496,-0.2162,-1.0784,0.2697,0.2906,-2.0803,-0.763,1.0213,-1.2976,-2.2366,-0.4898,0.8663,0.6821,-0.2992,1.1199,-1.6824,-0.138,1.8411,-0.1386,0.3128,0.7526,-0.1996,-0.1311,1.1705,1.4714,-0.1802,-1.2886,1.0216,-0.7,-0.0275,-0.1981,-0.9412,0.2728,0.7455,0.7216,-1.8714,-0.9595,-0.5825,1.1186,-1.4676,-0.5057,0.5043,-0.4463,-0.8068,1.1518,0.5261,-0.3337,-1.2435,-1.391,0.4133,-0.7321,0.3101,1.0419,0.0329,0.2213,0.8775,-0.4743,-0.5374,0.0575,-1.3276,1.2133,0.1131,-0.1739,-0.0267,-0.6826,-0.053,-0.7526,-0.1078
-1.6717,1.0158,-1.566,-0.1022,-1.3624,2.6347,1.0719,1.5359,0.493,0.2572,2.1281,-0.3312,0.9097,-0.2985,1.11,-0.0463,1.6467,-1.0332,0.6639,-1.7407,-1.9399,-0.8064,-0.0383,-0.1252,0.1669,-0.652,-0.1791,-0.9034,-0.4159,-0.8022,-0.0178,1.597,0.7284,1.4298,2.9987,-0.96,0.788,-1.4632,0.3554,0.1315,0.1233,0.0473,1.5466,1.7169,-0.5885,-1.9592,-0.3667,0.1009,0.1932,-0.2591,1.4292,2.0578,1.4479,-1.486,1.4471,0.5443,0.3706,-1.0152,1.5706,-1.1287,1.5139,-0.1462,0.0417,0.5961,0.4766,-0.9064,-0.0115,0.5064,-0.1838,0.7723,0.53,1.152,1.6443,0.063,-1.7893,0.2863,2.0091,-1.4479,1.1084,-0.0771,0.0197,0.4276,1.0347,0.0111,-1.5821,-0.1435,1.0454,-0.1612,-0.4945,-0.6795,-0.2759,-0.0956,1.3251,0.4937,-0.4999
1.6849,0.8136,0.2073,-0.1359,-0.0433,2.0502,-0.4993,-0.7308,0.4255,0.0888,-1.189,-1.2715,0.6064,-1.146,-0.269,0.0109,0.2781,-1.1516,0.6622,0.7062,-0.164,-0.019,-1.123,0.5021,-0.5237,-0.1342,-0.9035,0.4863,-0.6677,-0.822,0.697,-1.1837,-0.2347,0.0203,-0.5576,1.7838,0.8709,1.9944,-0.2,-2.317,0.5018,0.3885,-1.7428,-0.9076,0.2924,2.1361,0.3559,0.6629,0.6898,1.1153,-0.2704,-0.3466,0.3021,0.1138,-0.0506,1.7374,1.0421,-0.4287,0.9455,0.6865,2.2594,1.4946,1.7524,-0.2464,-1.7362,0.2176,-0.2167,0.2679,-1.4417,-1.1657,-0.4,-0.121,1.2327,-0.3016,1.7135,-0.226,-0.3121,-0.1451,-0.0988,-0.8733,-1.5555,0.4768,-0.881,-1.0892,0.5958,0.7676,-0.7924,-0.0877,0.7211,-1.8013,-2.075,0.7078,-0.3656,-0.5692,0.662
-0.333,-1.6129,0.7258,-0.2511,-0.9869,0.6667,0.8624,-0.6852,0.026,0.4919,-2.4832,-1.6978,1.2081,-1.5068,1.0672,-1.0347,2.0784,0.6706,-2.0662,-0.4097,-0.1727,-0.1756,-0.5494,-2.1952,0.8464,-0.0477,0.7916,-0.969,2.1678,0.4673,-2.1624,1.4447,1.1433,-1.185,1.1448,-1.5459,3e-04,-1.2397,0.5605,-0.3458,-1.2744,-0.2736,0.3407,-1.089,-0.0426,0.6685,0.8903,0.1412,-0.798,0.5066,-0.4735,-0.1772,0.7272,-0.3658,-0.5858,-0.4868,0.3598,1.4859,-0.0462,0.528,0.3288,0.4975,-0.4659,-0.7635,-0.2587,-0.3912,0.0162,0.7856,1.0319,-0.6867,-1.551,-0.9284,0.7368,-0.2252,-1.0291,-1.7918,-0.0767,-0.4227,-0.2688,-0.2464,-0.143,0.5875,0.1632,0.7243,2.5348,1.4769,-0.2908,1.4264,-0.7677,0.5746,-1.2167,0.1819,2.4663,-0.6739,0.6578
