"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42"
-0.2175,-0.7669,-0.7099,-1.04,1.989,0.8682,0.1706,0.6935,-0.3898,1.7657,-0.0648,-1.1233,-0.6079,-0.3401,-0.5454,2.0669,0.5698,0.4131,0.0855,0.7476,0.816,1.5541,1.7308,-0.9908,-0.7966,-2.0024,-0.7421,0.0753,0.1414,0.6782,-1.2005,1.8614,-0.5423,0.9982,0.9845,0.0163,-0.1858,0.6898,0.0594,0.9693,1.2315,-1.4361,-0.247,0.5517,-0.8239,0.5204,-0.3944,-0.7034,0.8418,-0.112
-0.2183,-0.096,-0.4179,-0.6297,0.0276,0.8748,0.297,0.9803,-1.3096,1.6714,1.1763,-0.0023,-1.6247,0.2263,0.1458,-1.5978,-0.2238,-0.41,-0.2163,-1.3759,0.5487,-1.2954,0.4037,-1.3959,0.1395,-1.0973,0.4933,-0.066,-0.1652,0.3072,-0.2227,0.7434,-1.9996,1.3244,1.4646,-0.1419,-1.4454,2.0015,-2e-04,0.8043,0.7335,-0.5565,-1.5735,-0.7425,-0.9816,0.0806,-9e-04,-0.4098,-0.8326,0.3726
-0.5442,1.1797,-0.2584,-1.1759,0.575,0.9803,0.6625,-1.918,-0.3014,-2.1797,-0.2891,0.5226,-1.6927,0.4544,-0.7372,0.3239,0.297,-0.9511,1.0136,-0.2761,0.2659,-1.7613,0.7395,-0.1343,-0.1825,2.065,-1.0234,0.1299,-0.4149,0.6514,0.8098,0.1834,0.4128,1.667,-0.9066,0.6433,1.0466,1.2716,-0.222,-0.3302,1.3102,1.2736,1.1241,0.0269,0.894,0.5506,0.3018,-2.0987,0.0333,-0.3396
0.1748,-1.113,0.199,1.1041,-1.8473,-0.7999,-0.4006,1.2847,-1.6117,-1.1905,-0.3677,0.9358,-0.1854,-0.6352,-1.4219,-2.2672,-1.0069,-0.1107,-0.8702,1.5288,0.1883,-1.8486,0.2219,-0.2655,0.2531,0.6588,0.9292,-0.3517,1.3826,-0.2868,0.0479,0.3765,0.4946,-0.2444,-0.2997,1.5876,0.795,0.6228,0.1814,0.4064,-0.7931,-1.6137,-1.0473,2e-04,0.2693,1.4543,0.9227,0.1795,1.0793,-0.0558
-0.218,0.5051,0.796,1.4925,1.2095,0.9613,0.2094,0.2035,-2.3037,1.3602,0.1719,-1.0511,0.8169,-0.2338,0.8405,1.2685,-0.704,-1.3185,-1.7573,1.3216,-0.6264,0.0847,-0.1364,1.086,-1.412,-0.4169,0.6034,-0.8481,-0.9178,0.148,1.3815,0.0752,-0.806,-0.8413,0.4169,0.9304,0.6431,0.314,-0.1955,-1.2436,0.7453,-0.4215,0.094,1.2838,-0.9732,-0.1967,1.2224,2.3569,1.4822,-0.4462
-0.8884,-0.1606,0.4762,-0.5715,-0.2459,0.7273,0.1831,-1.2931,-2.2287,-1.5328,0.0957,0.2261,1.3705,-0.7657,-1.0436,0.5385,-0.9702,-0.8548,0.9106,-1.5964,-0.8584,0.593,-1.0718,-0.1511,0.5195,-0.3126,0.3241,0.7276,0.6889,0.3354,1.5658,-1.7289,-0.0222,0.8535,-0.5211,-0.0226,-1.1696,0.0732,-0.5701,0.4049,1.1189,1.0236,-1.1656,1.3256,-0.4675,-0.1739,1.3334,1.3908,-0.8338,-0.0873
0.5607,1.4942,-0.4722,-0.4901,0.6481,0.5938,0.0258,0.5122,-1.2993,0.856,-0.7803,1.5215,-0.5072,-0.1827,0.2565,-1.4975,0.3116,0.4972,0.7946,-1.0629,0.7888,0.8088,1.167,-0.4481,-0.091,0.7108,0.2296,0.0722,-0.2384,-0.3077,0.0656,0.5461,-1.1079,0.0321,-1.7883,0.1531,0.4396,0.3391,-1.3733,1.6005,-2.3146,-0.3034,-0.5065,-0.2095,-1.0239,1.0922,-0.4103,0.3547,-0.652,-0.8559
0.8851,-0.9177,0.9795,-0.0823,-1.1479,2.2209,0.1084,0.1742,1.0724,-0.2084,1.4618,-0.0355,1.3244,-0.0741,0.7973,0.1634,-1.4963,0.2777,0.9283,-1.7133,-1.1319,-2.0266,0.6475,0.7476,1.1655,-0.715,-1.2582,0.7135,0.3747,0.6616,-0.5993,0.0583,-1.4934,-1.3625,-2.0876,2.1352,-1.5341,-0.023,-0.3554,1.6581,-0.2279,0.4997,1.4574,-2.8887,-1.4435,0.1815,0.4209,-0.7874,0.8153,0.7641
-0.0258,0.5368,-0.0612,1.8091,0.868,-0.6293,0.3762,-0.5226,-0.6641,0.3121,0.012,0.9339,1.2873,0.6914,0.0137,0.4372,0.3261,-0.0988,-0.8706,0.0297,0.521,1.1149,0.6909,-0.0827,-0.9171,0.0277,-0.4107,-0.5835,1.8612,0.3065,1.0828,-0.1239,0.1742,0.6254,1.6771,-1.2344,-0.9062,-0.0945,-1.8118,0.628,-0.8596,-0.0883,0.3345,0.2348,0.0599,1.9634,0.1375,-1.0335,0.8159,-0.7127
-0.8925,-0.7609,-0.1832,0.2906,0.7019,-2.1178,0.342,0.7112,0.6324,1.5008,-0.3823,1.8024,1.1306,-0.6844,0.2736,-0.7388,-0.061,1.4852,0.2338,0.3409,-0.6422,-0.1111,-0.6168,-1.6023,-0.0138,-1.1227,-0.2395,0.7864,1.483,0.4981,-1.2476,1.2945,-0.3768,0.8828,0.4065,-0.0908,-0.1665,-0.8365,0.348,-0.4166,-0.0423,-0.0951,-1.8156,0.775,0.6125,1.498,-0.1077,-0.2952,0.6342,-0.9979
-1.0071,-0.5732,1.2896,-0.4541,-0.4562,-0.1007,1.19,-0.3848,0.01,-1.1477,-2.1459,0.2196,-0.4591,0.0448,2.4805,-0.2642,-1.2523,-1.031,-0.5094,1.3967,-0.7495,1.3297,-0.1736,0.8633,1.2747,-0.3773,-1.0211,-0.5364,0.4019,1.5938,0.7456,-0.5014,-0.4479,-0.2451,0.1746,-0.7338,-2.3013,0.8134,-0.7021,0.1132,0.3784,0.2435,-0.9211,0.2469,1.0574,1.9143,0.3995,-0.3166,0.1524,0.8032
-0.9768,-0.4203,-0.1191,-0.8588,-0.5007,-0.0185,-0.0379,-0.5062,0.7764,0.2476,-0.1834,-0.8888,-1.2448,0.8254,-0.2391,-0.5898,0.4999,0.6236,0.3005,0.7091,1.0229,-0.7982,-0.2846,-0.0303,-0.0676,-0.8989,1.2616,-0.3354,-0.5538,-0.5298,0.3216,-0.1644,0.7301,0.1051,-0.9296,0.3247,2.057,-1.0882,0.5664,-1.3523,0.0207,1.0452,1.2289,-0.2683,0.3286,-0.0998,-0.7029,-0.5816,-0.1788,0.2637
1.311,-0.3078,-0.4652,0.6414,1.7307,-0.2491,1.7466,-1.1624,-0.291,-1.0391,0.3721,-0.4234,-0.5013,0.4729,-0.695,-1.9154,0.4281,-0.3221,-0.4687,0.462,-1.6901,-1.3523,-0.1824,-0.3782,0.3153,1.2476,0.2142,-1.3608,-0.9396,-0.3131,-0.2866,0.0472,0.2205,-0.0309,-1.0022,1.4175,-0.0488,0.502,0.6294,-0.1513,-0.5481,-0.7868,-0.5085,0.9739,0.2108,-1.7538,0.3047,2.0325,-0.7775,-0.6033
-1.0326,-0.1569,0.5267,-1.4488,0.372,-1.0587,1.348,-1.5412,-0.7938,-0.1168,0.7362,-0.6424,-0.4442,-1.4178,-1.0107,-0.3162,1.2064,0.4971,-0.0529,1.0332,0.2859,0.7751,-0.4754,0.1638,0.5706,-0.1211,-0.0186,-0.0412,-0.2464,-1.3009,-0.184,-1.5222,0.1722,-0.5837,-0.5273,1.2786,-0.302,-1.5989,1.0088,0.5264,0.8867,-0.2373,-0.0761,-0.6104,1.1512,-1.245,0.4252,-0.9498,0.063,0.0502
0.1838,0.9811,0.5908,0.0867,-0.7045,1.09,-1.0563,0.0054,0.1734,-0.8097,-0.6036,-0.374,1.4363,0.5938,-1.0603,-0.9288,0.6162,-1.3223,-0.1787,1.5327,0.8896,1.3625,-0.1132,-0.5298,-0.0867,-0.4551,0.194,0.0773,-1.2429,-1.8618,0.5229,-1.0089,0.0907,0.9926,0.6966,1.7715,-0.3399,1.7574,1.2583,-0.3459,-0.3115,1.1689,0.504,-1.0687,0.6389,-0.1273,0.6739,0.2137,-2.3183,2.4785
0.4898,1.4239,-2.0242,-0.078,0.5374,2.1411,0.2951,0.2609,-0.6507,0.5371,-1.9428,1.5575,-0.7854,1.6756,0.1565,-0.4066,-0.0351,-1.3344,-1.1155,1.3527,-0.6505,-0.4749,1.1796,-0.9229,-0.9538,0.6824,1.4157,0.9115,2.4571,-0.7032,1.2918,0.9995,-0.5085,-0.038,-1.8858,-0.7979,0.401,0.44,0.7345,-0.2578,0.1896,0.6749,-1.5732,0.2191,-0.0153,0.3139,0.787,-0.6759,0.5858,0.2603
-0.8548,-2.4592,-0.6998,-0.3112,-1.2663,-0.6729,-0.2085,0.4579,-1.4418,-0.5322,0.0289,0.6827,0.6941,-0.8123,-0.2794,0.689,0.2862,0.506,-0.4703,-2.2525,-0.7777,0.0852,-0.6954,-0.2005,1.2007,0.3702,-1.0831,0.6087,-1.4812,-1.4236,-0.0965,-0.311,0.8169,-0.915,0.404,-0.4677,1.3548,-0.3537,-1.371,1.044,-0.01,-1.0612,0.2255,1.8879,-1.732,1.8789,-0.6751,0.3833,0.5745,-0.9155
-0.5503,-1.6352,-0.1509,1.3021,0.0319,1.0517,0.9417,-0.2317,-1.9317,-0.4804,-0.7972,-1.4697,-1.3155,-1.3738,-0.4917,1.0789,-1.8576,-1.4526,-1.1795,-1.3959,-0.1357,0.7495,1.3478,-1.2574,-0.4473,0.5505,0.0789,0.3646,0.7125,-0.158,0.6867,-1.0552,-2.6435,-1.1062,-0.8899,-0.3266,-1.2263,0.1834,0.9483,0.8333,-1.5278,0.5561,1.0652,0.5464,0.0831,-0.0761,0.7179,-0.6145,0.3678,-0.6093
-0.5112,0.3166,0.7888,1.62,-1.5909,0.6444,0.4806,0.2773,-1.4082,-1.0063,0.7281,-0.2051,-1.0166,-1.9981,-0.2365,0.6207,0.0423,0.8418,-0.6869,-0.7425,-0.144,-1.9203,0.6567,-0.433,0.3035,-0.0482,-0.7336,0.4882,-0.2639,-0.1413,0.3332,-1.7589,2.2772,1.8669,-1.3128,0.9988,1.3225,-0.0493,-0.5628,1.0523,0.6492,-0.7708,0.6175,-0.7839,1.5545,-0.8204,0.5034,-0.2377,-0.3947,0.4907
-0.8532,-0.5113,-0.3055,0.1542,-0.469,-0.0633,-0.3765,0.4476,-0.6434,-1.9614,-0.2362,-0.2968,-0.6314,-1.792,-0.588,0.1793,0.575,0.1591,-1.0964,-1.1235,0.4116,-0.2911,0.8556,0.2613,0.3681,-0.2592,-1.1715,0.8728,0.452,0.9208,-1.0677,-0.4108,-0.1436,2.4876,-0.3464,-0.231,-1.8119,0.1547,-0.9287,0.4094,0.0542,-0.2593,0.4143,-0.5952,1.0688,1.5671,-0.1639,0.5466,1.7784,0.7738
-0.3577,0.1284,1.8541,0.249,-1.6364,-0.0125,0.3454,0.6375,-0.3168,-0.1444,-1.1696,-0.5974,-1.1308,1.1289,0.7573,-0.9437,0.8703,1.1232,0.4775,-0.0031,-0.3599,0.1355,0.043,-0.0558,0.0566,-0.0118,1.3316,0.472,0.7402,0.347,-0.7569,-1.9906,-1.4754,0.977,1.2043,-0.8045,-1.1741,-0.6004,0.52,1.0401,-1.1232,1.4034,-0.7712,-0.6758,-0.228,0.8774,-1.0326,-1.1075,-0.1143,0.9364
-0.9699,-0.8897,2.048,-1.5207,-0.9026,-0.8544,1.8355,0.2267,0.0441,1.1327,0.308,1.9562,1.2171,0.1991,-0.2774,1.4708,-2.2531,0.7465,0.7318,0.7628,1.2847,0.3648,-0.8839,0.2421,-0.9419,0.5724,-0.4091,-0.1072,0.3916,-0.622,-0.4593,-1.1141,0.6868,2.0693,0.8712,-0.6469,0.1845,0.8972,-0.188,-0.4001,1.6491,-0.9717,1.5356,-0.8129,-1.1285,-0.1989,0.5612,0.6857,0.9777,0.9942
2.5219,0.1875,0.3709,0.3305,1.5774,-1.6719,2.1634,0.6568,-0.5437,-1.6356,-1.0485,1.7046,-0.8676,-0.3393,1.0831,0.3743,-1.6759,-0.6945,1.1427,1.3637,0.4504,-0.4719,-1.1972,0.1738,-2.2004,-0.4848,0.6361,-0.0042,0.3739,0.369,0.8713,0.684,-1.2731,0.4899,-0.285,-0.1623,1.0976,0.2119,-1.1463,0.1218,-0.4755,-1.6026,0.1404,-1.4133,-0.2233,0.7482,-0.6842,-0.241,-0.9837,2.0667
0.4643,0.5075,1.5494,-1.0392,1.9704,0.26,1.5022,1.076,-1.6871,-0.5211,-0.5358,0.101,-0.9113,0.8085,1.3677,-0.7959,0.4435,-1.1001,-1.0329,-1.6621,1.4199,0.3548,0.5241,0.7198,1.354,-0.0515,-0.3084,0.424,-0.2975,-1.9565,0.08,-0.1655,1.1048,0.3894,-0.1957,0.7669,-0.1414,-1.4506,0.3408,3.0811,2.0661,-0.5521,-0.6232,-0.5047,-0.3118,-0.0969,0.0895,0.5491,-0.367,0.6129
0.9409,0.2903,0.0747,-0.3447,-0.287,0.7121,1.8675,-0.1483,-0.1917,0.4298,-0.2134,1.4257,-0.0831,0.2089,-0.9364,-0.6698,1.0411,-2.6514,-2.3086,0.1834,0.2185,0.9012,-0.1831,1.8309,1.2839,0.5272,-2.3531,1.2871,-0.4075,1.3027,0.5291,-1.4124,-0.1733,0.219,-0.7254,-0.154,0.3235,1.6836,0.1338,0.2578,1.0373,-1.5502,0.1686,1.1633,-1.1151,0.6934,-0.7405,0.6325,-0.1388,-2.0014
1.7799,0.0319,0.3984,1.1594,0.6654,0.2679,-0.4855,-1.2686,0.5764,-0.6884,-0.588,0.0814,0.8356,0.6811,-0.9644,-0.7607,1.0071,-0.2282,0.8554,1.6747,0.8846,-0.3606,1.566,-0.6196,-0.6924,-1.2866,-2.0331,-0.6063,0.9475,-0.1767,0.787,-1.0284,0.8403,1.6369,-0.533,-0.1573,-0.7978,-0.8816,-0.516,-0.308,-0.6769,0.5122,-0.4707,0.1707,-0.9128,-0.4138,1.4067,1.7339,-0.1576,0.432
-0.5608,-0.1156,0.9692,-0.33,-0.8352,-0.4828,0.2376,-0.4558,-1.7895,-0.118,-0.9346,0.9652,-1.5638,-1.0451,-0.4199,-0.8679,1.3906,0.8108,-0.7362,0.2475,2.2297,0.6565,0.8776,0.7441,-1.4553,-1.5978,1.7359,0.9412,-0.4772,0.2334,1.8542,1.937,-0.8533,-0.6271,1.4778,1.2906,-1.2322,1.4203,0.2131,0.0385,1.6342,1.8525,1.1898,0.061,1.2527,-0.8258,0.6355,-1.0945,0.543,0.2083
3.1086,0.1188,1.3101,1.3382,0.1646,0.4894,1.0453,3.2627,1.7431,0.5407,1.9072,0.8594,-0.2882,0.0253,-0.5498,-0.0058,-1.7083,-0.8976,1.1603,-0.3185,1.4595,0.9343,1.5137,-0.3976,-0.1421,0.3446,-0.6218,-0.2901,0.9238,1.3863,-1.4465,0.6527,0.0709,0.2866,-0.3357,0.5589,0.4518,0.7734,1.1138,1.419,-0.9055,0.4124,0.7408,-1.3961,-0.6349,0.5664,1.9625,-0.5739,-1.0881,-0.1517
-1.3294,0.6369,1.0757,-2.0369,-1.1873,-1.3763,-1.105,0.3211,0.5822,-0.1505,-0.8181,0.8677,1.3818,1.4595,0.2238,-1.6525,0.8579,0.2311,-1.1521,-0.3082,-0.7686,0.0137,2.3581,0.3354,-1.2337,0.651,-0.2822,-1.4919,0.7742,0.6423,-0.3454,0.4838,0.712,-0.7913,-1.0723,0.6583,-0.4897,0.2332,-0.4747,0.6742,0.3175,0.1187,1.4138,0.4427,0.8908,-2.0249,0.3668,1.9753,-0.0655,1.4044
3.1077,-0.0617,0.49,0.2814,1.3953,1.0255,-0.3829,1.1633,0.1168,-0.388,0.7722,0.3498,-1.5061,1.378,1.4714,-0.3678,-0.9288,-0.0376,-0.0859,-0.9298,-0.5721,-0.4907,0.9512,-1.92,1.2823,-1.5658,0.7188,3.0747,1.55,0.7006,-0.6903,0.319,0.4214,0.8106,-1.0658,2.5575,-0.0065,-0.9538,-0.5097,0.9714,0.1444,0.8125,-1.3075,-0.3087,1.2852,-0.8904,0.6461,-1.0353,-1.3467,1.0366
-0.7383,-0.6212,1.3593,0.0725,-0.6504,0.5039,0.8782,-0.463,0.1455,-1.4969,-0.0171,-0.6286,0.2529,1.3742,-1.1206,-0.1364,0.7604,0.1423,-0.4473,0.0219,-1.0896,-0.3658,0.2201,-1.3181,-0.5498,-1.0791,-0.9382,-0.4778,0.2202,-1.1363,-0.289,0.1734,0.6284,-1.5008,-1.247,1.1332,0.5066,0.4045,-0.7972,1.3914,1.0599,-0.8394,0.2848,0.0837,0.5877,1.1097,0.0339,-0.2846,-0.5626,-0.0991
-0.3132,1.0791,1.5104,-1.0423,0.2571,0.0661,0.5778,-0.9836,-0.2351,-0.0678,1.2334,1.4539,0.0168,0.4112,0.3965,1.8619,-1.8233,-1.1624,-0.644,0.2108,-1.4968,-0.5208,1.6979,0.6058,0.4627,0.6385,-0.2524,-0.2471,-0.6341,-1.0052,1.3667,1.6441,-1.2669,0.8475,-2.196,0.0674,0.3498,0.8826,0.5043,-1.0063,0.4468,-0.4831,-0.6072,0.0166,1.1281,1.038,-0.831,1.1726,-0.6795,0.0109
0.7347,1.9324,-1.5557,0.3362,0.5288,0.6223,-0.0867,1.0376,-0.0143,-0.601,-0.229,0.2908,1.2233,-0.3864,0.5437,-1.077,0.1975,-1.3754,-0.976,0.0867,1.6631,-0.6529,-0.5705,-0.2786,0.0643,0.3154,0.8385,-0.7973,-0.5066,1.2783,1.3132,0.0852,-0.2194,-0.3684,-0.5788,-1.2064,-1.3755,0.2453,-0.6137,0.2764,-0.1003,0.3742,0.958,1.0181,0.7471,0.5826,-0.5765,-0.0165,2.0569,-1.5678
-1.832,-0.6253,-0.9222,-0.1892,-1.2416,-1.7713,1.4359,-0.4236,0.9075,-1.3465,2.4522,-0.3898,1.6978,0.6356,-1.2104,0.6821,1.2018,-0.8687,0.9726,-1.0735,0.1204,0.262,0.7063,-0.118,1.5552,-1.0326,-0.2807,0.6247,0.1925,-0.5203,-0.0668,-0.1161,-0.6725,-0.8665,-0.0217,0.4187,-0.7404,0.7352,0.1931,1.3388,1.0213,0.7588,0.2419,-0.2304,-0.6661,-0.1081,-0.485,-0.4949,0.8211,-2.339
-0.3546,-1.5098,-0.9643,1.0171,0.5785,-1.5865,1.223,-0.9605,-1.1939,-0.2998,-0.5846,-0.3074,0.7951,0.6473,1.3335,-1.0279,-0.2936,0.267,-0.2785,0.2518,-1.5466,-0.5566,-0.8475,-1.4661,0.3166,2.017,0.4299,-0.4267,-0.0295,-0.6912,0.1722,-1.0428,-2.13,1.9365,0.3508,1.5856,-1.4766,1.4102,1.0879,-0.9088,-0.4853,-1.207,-1.6108,-0.191,-0.0436,0.2815,-0.6002,-0.1822,-2.0873,0.4005
0.3443,-0.7444,0.903,0.2401,1.0131,0.7862,1.5604,1.5703,1.1534,2.0827,0.7607,-0.3378,-1.6244,0.1982,-1.8001,-0.6273,1.1077,-1.6695,1.1975,0.0111,-0.3208,-0.125,-0.0146,-0.7088,-0.8659,-1.036,-0.7859,0.3586,-0.5575,-0.1795,1.7545,1.3949,-0.7709,0.1549,-0.4386,0.7727,-0.7575,1.6065,-0.4669,-0.1063,0.4368,-1.1423,-1.024,2.5264,1.9879,0.8791,-0.4336,-0.1782,0.914,-0.073
0.7742,-0.6123,-1.9149,0.3313,-1.6835,0.491,-1.303,-0.7577,-0.7907,0.579,-1.2221,-0.3868,0.2367,0.6035,1.7556,1.8421,0.129,-0.1887,-0.4058,0.1381,0.0241,0.5518,1.6832,0.747,0.1811,0.553,0.1562,-0.016,-0.1112,-1.3333,-0.195,0.0482,-0.3537,-0.1288,1.7584,1.6252,1.6909,0.8271,-0.2304,-0.105,-0.0894,0.8066,0.173,-1.6013,-0.7392,-2.7581,1.0076,0.3946,0.4376,-0.3017
-0.3407,-1.4017,-1.3364,-0.3175,2.2023,-0.237,-0.9657,-2.1723,1.3736,-1.122,-0.2716,1.5831,1.3024,-1.3437,-1.3135,-1.3049,-0.3534,0.6229,-0.549,0.391,0.796,0.4037,-0.3718,1.1854,0.1709,0.2767,-1.3939,1.2158,0.3438,0.9158,-1.7213,0.9722,-0.1636,-0.8563,-0.6159,0.0661,0.0942,-0.5336,0.2558,1.0268,1.5657,1.3338,1.0295,0.3501,-0.7152,0.6051,2.2276,-0.3057,-0.3189,0.1239
0.2588,0.5528,-1.2549,-1.2669,-0.7317,0.3692,0.3637,1.2954,0.2881,0.9372,-0.9674,0.6673,-0.003,-0.5303,0.7216,-0.207,1.2886,0.9421,0.2018,0.502,0.496,0.8816,-0.5337,1.558,0.261,-1.4099,0.2219,0.9299,-0.0418,2.9527,-1.7186,0.0081,-0.6189,-0.641,-0.8275,-1.4679,0.8716,-0.0403,1.2915,0.4397,0.9674,0.6325,0.3423,1.6997,-1.3399,-0.0849,-0.1915,-0.0392,-0.0468,0.3277
