"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9"
1.6143,0.8743,-1.5951,0.3244,-0.4051,-0.8567,-0.2927,0.0511,0.2593,1.3545,-1.866,-0.5803,1.8682,-0.237,-0.2167,-0.5021,-1.5197,1.9371,0.2694,0.3504,0.7666,-0.9347,-0.8175,-0.4206
-0.3533,0.36,2.843,-1.4146,-0.3729,-2.1531,1.4381,-1.5874,-0.5206,0.5581,-0.2911,-0.7392,-0.3175,-1.4752,0.4164,-0.054,0.004,-1.0805,-0.8548,-0.4584,2.4055,1.4905,0.7688,-2.5139
0.0995,-0.858,-1.0618,0.8503,1.031,-1.0694,-0.8975,-0.1491,-1.1497,-0.2528,1.1053,0.4578,-0.2415,0.0717,1.2643,-0.1552,-0.1575,0.3455,0.6074,0.8567,0.4601,0.2276,-0.7096,0.0728
-0.611,-0.3351,-0.7115,-0.9409,-1.4038,-0.1179,0.5216,1.5934,-0.3363,0.6393,-0.4083,0.888,0.3332,-1.9474,-0.2551,0.0343,0.4477,-0.5763,-1.625,1.9773,0.0101,-0.5484,1.3117,-0.3733
0.0682,-0.5537,1.6377,-0.5188,0.1276,-0.942,-2.0133,-0.5831,1.5791,-0.5764,0.6696,0.02,0.2148,-0.8206,1.1184,1.468,-0.4492,-0.4698,1.0226,-0.209,1.5621,-1.6732,-0.0201,0.8569
-0.198,-0.4441,0.3366,0.5247,1.1401,0.2809,0.0757,-1.0757,-1.4599,-0.0094,2.0653,-0.3713,-1.4323,-0.2404,0.7178,-0.1339,0.544,-0.4089,0.3893,-0.3231,0.4128,-0.4671,-1.0482,1.51
-1.838,-0.2064,-1.3313,-0.4228,0.7021,0.313,-0.0445,-1.8923,-1.0059,-0.8166,1.0266,-2.2609,-0.1961,-1.1556,-0.7636,0.1847,-0.0161,-1.265,-0.5886,-0.3064,-1.1889,-1.0673,-0.4397,-1.6225
-0.5748,0.7301,0.4934,-0.1739,-1.8218,-1.6105,-0.515,0.3233,0.3135,0.481,0.6383,-0.2404,0.579,0.292,-1.6881,-0.6799,-0.43,-0.0234,-0.3972,0.7106,0.7145,-1.6033,0.2773,0.1402
-1.2762,-1.0229,-0.6357,-0.8486,-0.5136,-0.2582,-1.5704,0.7175,-3.1008,-0.264,0.78,0.6777,-1.2385,-1.0656,1.0707,1.0391,1.7514,0.4905,-0.9334,-0.2625,0.5851,0.6552,0.026,-0.9743
-0.0544,-0.4547,-0.2454,-0.8329,-0.9782,0.9036,-1.9459,0.8924,1.3853,-0.2302,-1.3653,-0.9601,1.1873,-0.0957,2.7192,-0.7527,-1.6392,0.5188,0.4431,0.2952,-1.252,0.7455,-1.6757,1.1013
-0.069,1.4198,0.9073,0.6045,-0.9255,0.3863,-0.1414,0.6004,-0.2633,1.4037,-0.9196,0.2591,-1.056,0.2717,1.508,-0.0275,-0.0247,-0.9009,-0.9023,-1.0088,-1.8796,0.5225,1.3037,0.0055
-0.4451,0.8127,-1.0088,0.9754,-0.8673,0.106,-1.7924,1.0052,-0.2348,1.4791,2.0385,0.221,-1.8817,-0.8434,0.1532,-0.6863,-0.9517,0.741,-1.3617,0.5092,0.0121,0.2351,-0.0995,0.4888
