"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34"
0.2468,1.4269,0.1663,-0.4023,0.2105,-2.4558,0.418,-1,-0.4158,-0.2088,0.1583,0.4726,0.3324,-0.1578,-0.5031,1.8142,-0.1457,0.1558,-0.9939,0.7516,-0.4885,-2.1972,0.0872,0.8923,0.6512,-0.5569,-0.422,-0.2623,0.2775,1.7278,1.6598,1.2196,0.627,1.3112,1.9398,-0.2023,0.3998,-0.105,0.697,-0.4449,-1.1398,1.8806,1.1367,1.6722,-1.2602,0.5657,-1.7142,-1.5604,-0.2322,0.5745,-0.6456,-0.1541,-0.4515,-0.5906,-0.0433,-0.1266,-0.8995,-1.2959,-0.4564,0.3134,0.306,-1.2299,-0.2969,0.1647,0.6825,-1.8118,-1.6725,-2.9821,-0.2778,-0.9006,0.5489,-0.1552,0.8176,0.7854,0.9044,-0.8664
-1.7185,0.1362,0.5806,-1.5467,-1.4485,-0.0403,0.2749,0.5832,-1.4243,-0.6973,-0.3579,1.8922,-0.4862,-0.9858,2.9869,0.3726,-0.5663,-0.2768,1.9015,-0.4057,1.5748,0.4854,-0.9121,-1.7145,0.2639,-0.2941,-0.9884,1.0406,-0.2593,1.29,-0.3851,0.4469,1.046,1.555,1.0757,1.1382,1.1494,0.6805,0.2154,-0.3151,-0.3036,0.6179,-0.6422,-1.0557,0.1085,-0.1055,1.0979,-1.1418,-0.8356,0.516,0.2061,-0.1034,0.0067,0.7609,0.0661,0.2079,-1.352,-0.0106,-2.0991,0.491,1.0373,-1.3359,-1.0592,-0.2595,0.7961,-0.0587,1.5957,-0.1535,-0.0647,-0.0533,0.4993,-1.5094,0.4774,-0.2883,0.5397,1.1044
-0.2746,-0.4239,-0.7691,1.7779,-1.198,-0.747,-0.1068,-0.1833,-0.2179,-1.1104,3.0229,-0.8368,-0.615,0.7216,1.8823,0.9239,0.2279,-1.6874,0.9052,-1.333,-0.9546,-1.8267,0.7767,-1.2114,0.9003,-1.1032,0.3653,-0.4346,0.3928,0.1791,0.6174,0.156,-0.5794,-0.6305,-1.0275,0.0464,1.3463,0.0598,0.2835,-0.573,0.9319,0.0796,0.2887,-0.5006,1.6057,0.61,0.7111,1.1173,0.1744,-1.2204,-0.9405,-0.832,-0.5959,0.1206,0.2795,1.2709,0.6633,-0.0508,-1.0603,-0.5023,1.1618,1.238,-0.9855,-2.0163,-0.0478,-0.3792,-1.311,1.6866,0.7211,-0.7588,0.1647,-1.2923,-0.7982,0.3843,0.4627,0.6362
1.1563,-0.141,1.1183,-0.2578,-0.7466,-2.1517,-0.0604,-0.2491,0.101,-1.6337,1.2798,-0.8414,-1.4535,-0.3782,-0.1341,0.4975,-1.7369,0.3427,-1.0864,-0.5879,-0.2733,-0.7699,-0.3664,0.9589,-0.3667,-1.2954,-0.6704,-0.857,1.0609,1.5311,0.1535,-1.2746,-0.5481,-0.7529,0.0743,-0.1462,-0.203,1.2202,-0.9572,-1.3588,-0.2893,1.066,-0.5227,0.4868,1.8715,0.1944,0.4137,-0.7005,-1.0789,0.6041,-0.4362,-1.1557,-0.6188,-1.3361,0.6595,-1.0893,0.5859,-2.271,0.5099,-0.8427,-0.9228,-0.5386,1.4157,-0.0543,-0.1345,-0.7922,-0.108,-0.79,-0.8895,-0.6849,-0.1835,-0.4365,0.904,0.2564,0.1834,-2.2534
-0.4616,-0.622,-1.7646,1.2434,-2.0788,-0.172,-0.2452,-1.1603,0.2225,-0.1074,0.2716,-1.4669,-1.2263,-0.9478,-0.6045,1.0374,-1.0371,0.3867,-0.7519,-1.9801,0.9886,1.0562,1.1348,-1.247,0.0926,1.6762,-0.2292,-2.0617,2.6181,1.1971,-0.6265,2.0622,-0.0883,-0.2996,0.2789,1.5281,0.9653,-0.7453,-0.847,0.586,-0.8507,1.2883,0.3909,0.4182,0.1842,0.3237,-0.059,-0.0917,-1.2586,0.7337,-0.5141,0.5399,0.5414,-0.5608,1.5924,-0.368,1.6023,0.6312,-1.4222,0.1321,0.7013,-0.3767,0.6979,0.261,0.0702,0.2784,-1.3082,-0.744,1.1494,-0.4097,0.3819,-0.1986,2.439,0.0849,0.0635,-1.6114
-2.2088,1.2337,-0.1855,2.0605,0.804,-1.6184,0.7104,1.5342,1.3701,0.7573,0.9957,0.6023,0.1033,1.749,2.273,-0.6706,-0.3209,0.3303,-0.3203,-0.7908,0.6471,-0.2609,1.767,-0.1149,-0.142,-0.7646,-0.9467,1.2811,0.6376,-0.3807,0.522,1.4814,1.6244,-0.3633,-1.9516,-1.1635,-0.2513,-0.5766,-1.7272,-0.4603,1.4345,0.2278,-0.678,0.0683,-0.2094,1.5095,0.2268,-1.6097,0.0346,-0.2655,-0.6564,1.7104,0.0762,-0.31,1.0103,0.8251,-0.1945,-0.5925,0.3231,-0.8697,0.2276,0.2913,1.6334,0.142,0.3718,0.1825,0.4819,0.595,0.829,-0.1253,-0.7009,-0.498,0.4582,-0.1531,1.3008,1.4263
0.5448,-0.4144,0.4454,0.1484,-0.9534,-0.4493,0.0933,0.7795,0.1507,0.2832,1.1865,-0.7872,-0.435,0.46,-0.1713,-0.8698,0.0945,0.5931,0.5007,-0.8959,0.9799,1.304,-1.0653,-1.0842,-0.3049,1.9855,-0.8789,-0.9467,-1.3513,-1.5945,-0.6125,1.0662,1.0253,-0.5894,0.0246,0.1159,-0.4956,-0.6783,0.3541,0.6427,-1.0395,-0.5489,-2.2665,-2.1804,-0.9913,0.4849,-1.6472,-0.0336,0.6843,-2.1007,-0.9252,0.1445,-0.3664,0.1005,0.7404,-1.5552,0.6747,0.7205,1.7636,2.3339,-1.0678,-0.0866,0.973,-0.3245,-0.1249,-0.746,0.7301,0.4763,-0.9392,1.0376,0.3601,1.1227,-0.2837,-0.4254,0.4934,0.5667
0.6808,0.13,-2.2839,0.6792,0.7037,-1.1429,1.0301,0.5406,-1.5786,-1.073,-0.0549,-0.7102,0.8787,0.6209,0.0387,-0.4057,0.4142,-1.5623,0.7817,1.3187,-1.0083,-0.1525,-1.6308,0.2163,-0.3441,-0.1167,-0.3324,-1.1998,-2.121,0.7129,-0.6368,0.2869,0.6741,-0.1508,-1.4275,0.3232,0.1409,2.071,0.5451,0.8684,-0.3471,0.4766,0.0101,0.6967,-0.3248,-0.1341,-0.0036,0.3677,-1.3452,0.2963,-0.4884,-1.8903,0.7548,0.0691,0.6855,1.2951,-0.9434,0.0832,-2.0596,0.7888,0.6186,-1.1436,-1.6823,0.6151,0.1908,0.8154,-0.0352,1.1634,-0.1739,-1.0226,-0.1051,0.6307,0.1068,1.0519,1.9474,0.2899
-1.233,-1.4869,0.2976,-0.1817,-0.1968,0.2587,-0.5356,1.2036,-0.1715,0.443,0.0021,0.7849,-0.3763,-0.4014,0.3452,1.1316,-0.1709,0.9988,-0.8824,0.2551,0.9524,-0.6497,0.5247,-0.3885,-0.0156,1.5685,-1.1955,-0.0833,1.239,1.4532,-0.2161,-0.8295,-0.7344,0.4801,-3.4161,-1.1789,-0.1532,1.4168,0.5593,-0.5112,1.158,0.3367,1.2362,-0.7751,0.9407,0.2002,-1.2963,2.238,0.7886,-0.0424,0.3953,-0.328,0.3261,-1.0949,-0.4079,0.4979,-1.697,-0.6372,-1.358,-0.9662,1.0481,1.279,1.1044,0.9758,-0.1043,-0.2771,-0.079,0.0643,-0.5223,0.0787,0.4862,0.6585,0.9745,-0.6612,-0.4142,2.3635
1.0322,-0.2994,1.3922,0.382,1.335,0.3533,0.359,-0.1087,0.5817,0.0227,0.6046,-1.0209,0.0623,-0.5092,-0.0029,0.4656,-1.2535,0.9198,-1.0145,-1.6523,-1.3804,-0.4015,-0.3963,0.1486,-0.767,0.1692,-0.5592,-0.5344,-0.5778,-1.6732,-0.2935,0.0713,-0.235,-1.4242,0.8988,-1.1928,-1.5669,-0.2448,-0.1973,1.3757,0.8158,-0.3422,2.2491,0.5155,0.0249,-0.2253,0.3256,0.8674,0.1746,0.8978,-0.3135,-0.1826,-0.3386,-1.3855,0.9604,1.658,1.3178,-0.0078,0.3776,0.0879,-1.0672,0.203,-0.9943,0.3583,0.1821,0.4189,-0.261,0.7,-0.1588,-0.6327,-0.1599,0.4858,-1.8245,-0.9499,-0.7143,0.5773
1.3326,1.3688,-0.5672,-0.1232,0.9574,-0.3003,-1.775,-0.019,0.0415,0.1291,-0.2376,-1.6696,0.3544,-0.1708,-1.0649,0.1727,-0.3159,0.0175,1.0328,1.4447,0.8217,1.6652,-0.304,0.5303,0.8749,-0.963,-1.4747,-0.6798,-0.9232,-1.6827,0.2396,0.4106,-0.5052,0.3213,-0.6227,-0.905,-0.2311,-1.5229,1.1774,-0.9456,-0.9842,1.744,0.4958,0.9524,-0.9147,-0.6943,0.296,-0.3412,0.1479,0.1142,-0.8626,-0.8882,-0.9431,-0.9588,0.8216,-0.2466,-2.086,0.3806,-1.0083,0.8999,-0.5187,-0.5474,-1.7563,-1.1792,-0.4722,-0.5356,-0.318,-1.6427,-0.5384,-0.2713,0.2849,0.1099,-1.0541,-1.4813,-0.6667,-0.6207
-1.8289,-0.4003,0.2583,-0.4415,-0.7092,0.3908,-1.1381,1.0965,-0.3373,0.5755,-0.3826,1.2125,0.4618,1.4076,0.7998,-0.7485,-0.8411,2.1971,-1.0097,0.1328,1.6445,-0.0858,-0.5837,-0.7752,0.6143,0.121,-0.1588,0.5887,0.662,-0.4862,0.7959,0.5462,0.6713,-0.4376,1.2179,0.4194,0.1748,0.6916,-0.6585,0.8417,-0.0203,1.1516,0.7559,-0.2079,0.8635,0.1389,1.4488,-1.9572,1.0325,1.9566,0.7158,-0.8132,1.1254,0.2196,-2.0571,-1.1782,-0.092,0.0156,-2.0619,0.3052,0.0197,-2.8492,-0.2539,0.3184,0.2366,0.4736,1.171,-0.2552,0.4916,2.0809,0.9993,-1.1258,0.3948,-0.5149,0.5641,1.2076
0.9371,1.3177,0.0951,-1.0977,-0.484,-0.7135,-0.5376,0.2679,0.2303,1.4186,-1.4555,-1.8076,1.9879,-0.0081,1.431,1.5066,0.2193,-0.5052,0.3759,-0.3038,0.8621,0.0583,0.0203,-1.6597,-0.7776,-0.0277,-0.9142,-0.1307,-0.9377,-0.9159,0.4658,1.0314,0.3906,0.7485,0.484,-0.17,-2.7959,-0.3584,-0.2947,1.0987,0.6621,-0.3095,-1.0411,-0.9997,0.4031,0.3869,-0.7254,0.1731,-1.1052,1.1005,0.403,0.5554,0.0294,2.1256,-0.8164,0.6202,0.9337,1.3336,3.4708,0.9446,0.3913,0.3155,-0.8453,0.547,-0.9076,0.772,0.8077,-1.4237,0.5606,0.7387,-0.351,-0.531,-1.0064,0.0752,-0.9727,1.7481
-0.2882,1.8717,0.4202,-1.4314,0.625,-2.0055,0.2744,1.5082,1.6965,0.5183,-0.9336,0.4287,1.8118,-0.6007,1.0083,1.5685,-0.2587,1.9322,1.2732,0.4836,-0.9448,-0.8804,-0.1768,-0.9798,0.7747,-0.8866,-1.4746,0.7404,-0.9479,0.396,0.1655,0.4004,0.2362,-0.4668,0.1401,1.0682,-1.4891,-1.1514,-0.0068,-1.3903,0.7087,2.6258,-0.0686,0.5277,0.1807,1.2426,0.5959,1.6045,1.5159,-0.2763,0.7844,0.5824,0.8833,1.447,-0.3342,-0.1708,-2.0305,0.1039,-0.2199,-1.112,0.9332,-1.4759,0.6062,1.5991,-0.1103,-0.3735,1.3903,0.9868,1.1888,-0.03,0.6905,-1.2433,-0.9531,0.6801,0.2539,-0.0464
-0.0185,-2.474,2.6057,-0.8973,1.2398,0.0916,-0.6459,-0.6301,-0.7983,0.9946,-0.2893,-0.2157,2.1814,0.7234,0.5633,0.5837,0.8244,0.4865,1.6091,-1.1735,-1.2063,-1.2002,0.6521,-0.4811,0.5026,-0.3692,0.9981,0.0218,-0.0636,-0.9067,-0.58,-0.0799,-0.684,-1.326,-0.5985,1.2481,1.0053,-0.0353,-0.1669,-0.6433,0.0567,-2.0759,-0.3895,-0.8933,0.1621,-0.1879,1.4734,-0.5551,-1.1637,-0.2477,1.5074,0.5955,0.3138,1.1292,-0.0261,-0.7989,-0.5594,-0.1561,-0.7514,0.068,0.3744,1.2972,0.949,0.5268,0.9262,0.4917,-0.5567,0.5341,-0.3548,1.7143,-1.4602,1.5062,-0.0604,0.5754,-0.2814,-1.3102
-1.4212,0.2173,1.4696,0.9401,0.4759,0.8942,-0.4159,1.339,0.5596,-0.6357,-1.0768,-0.1021,0.6198,-0.1749,-1.6496,-0.7121,-0.1489,0.1877,1.4646,0.9802,0.7035,1.8114,-0.2587,-0.3487,0.1986,-0.8932,0.3848,-0.9753,-0.923,-0.3774,1.288,-0.7281,-1.2875,-0.9997,-0.3195,0.7743,-0.7522,-1.396,1.1623,0.6928,0.7861,-0.5978,-1.3379,1.2682,0.0037,-1.4953,-0.0324,0.2805,-0.03,-0.1478,-0.1321,-1.3069,-1.6477,0.0696,-1.0132,0.3737,0.2977,-0.0654,-0.6853,-0.2062,-1.2307,-0.5923,-0.3324,-0.3519,1.1505,1.6755,1.6829,-0.4467,-0.0493,0.002,-0.3306,-1.0096,0.9337,-0.8453,1.0828,-2.1346
0.9725,-0.782,-0.5607,0.1256,0.4767,1.0491,-0.3247,1.1061,-1.2173,-0.3837,-1.3145,1.4522,-0.4577,-0.2935,-0.6516,-0.3577,-0.6477,0.6837,0.2167,-1.8984,-0.6202,-0.7698,-0.4293,-0.6469,-0.1639,0.0781,1.2751,-0.8661,-0.6046,-0.7728,0.9317,-1.109,0.8967,-1.7567,-2.0867,1.5807,-1.6025,2.3224,0.0287,-0.1349,-1.1224,-0.0355,1.4426,1.572,-0.6895,1.0895,-0.586,0.2138,-0.7085,0.7295,0.0196,-0.8399,0.4009,-0.9598,-0.4847,0.6885,0.918,-0.613,0.5516,-2.0963,1.5276,1.0193,0.6515,0.985,-1.885,-1.8584,0.6627,0.9471,0.9802,1.2467,1.352,1.9514,-0.8147,-1.3175,1.0365,0.6365
-0.8289,0.2862,1.9509,0.2271,-1.2142,-0.4088,0.0546,-0.8232,0.8872,1.5804,1.5351,1.104,0.8812,-0.0849,-0.0312,-1.4482,0.1603,-1.2371,0.4156,-0.5783,-0.7178,0.3533,0.7352,-1.3878,0.4256,-0.1266,0.3444,-0.346,-0.7297,0.572,0.8582,-0.753,-0.6185,-0.1593,-0.7277,1.6546,0.377,-0.4372,-0.3386,-0.8398,1.2857,-0.023,1.084,-1.1391,-0.9486,-0.3159,-1.4138,-0.7316,0.7839,-0.8708,-1.7345,0.7101,-0.6988,-0.0102,0.715,-1.0915,-0.8583,0.8266,-0.6748,-0.2982,-0.1134,0.0352,-0.8171,1.1751,-1.1067,-0.5665,-0.0398,0.122,-1.4167,-0.2339,0.5327,0.2391,0.9516,0.2088,1.0056,0.7656
1.5323,0.4336,-1.3145,-1.8073,0.5709,-1.8808,0.2127,-0.0482,-0.8613,1.253,0.1252,0.7588,0.1004,-1.5836,0.9153,-1.6558,-1.1647,-0.1811,-1.3632,0.4075,-1.2288,0.2845,0.7823,-1.3835,-0.4164,-0.4696,-1.2716,1.0612,0.4433,-0.0668,-0.2285,-0.0442,-1.0856,-0.808,-0.235,-0.1845,0.1281,0.4192,2.6676,1.2121,1.405,-0.0367,-0.1263,-0.704,1.022,-0.2041,1.889,-2.469,0.203,-0.5853,-0.3035,-1.4045,-1.2939,-0.537,0.0454,0.4696,-0.3301,-0.8917,1.7167,0.1594,-0.0802,0.1043,-1.4815,-0.4939,-1.8395,-0.448,0.0652,0.8228,-0.9348,2.0836,0.6717,0.1754,0.8012,0.7211,-0.1363,0.4911
-0.3129,-0.4215,-0.0822,0.933,-1.4638,-0.4709,-0.8389,-0.1548,-0.1173,0.1016,-0.9494,0.2092,0.6165,0.7076,1.3475,-0.7684,1.8453,-0.5012,0.3143,-0.6799,-2.1666,-0.0457,-1.617,-0.7909,0.8221,1.763,0.1793,1.0762,-0.4746,0.3603,-0.1035,-0.7556,0.6442,-1.8081,1.5645,-0.6809,-0.2881,-0.8165,1.4189,-0.8583,0.1263,0.7326,-0.0332,-0.374,0.7291,-0.3523,-0.3252,0.9293,2.0454,2.2616,-0.7542,0.1154,1.1589,-0.0737,-0.1659,-0.2549,0.6015,1.2558,-0.6611,1.168,1.7576,-1.5083,-0.5761,0.5019,-0.5426,-2.2367,-1.8604,-0.0055,-0.3639,0.3642,0.0415,1.3704,0.3402,-1.0744,-0.5167,0.3781
-0.2796,1.3169,-0.5485,1.0453,-1.0294,-1.5555,-0.5414,0.7503,0.0994,1.001,-0.1602,1.4474,-0.0594,0.9619,0.4017,-0.8425,-0.6278,-1.8937,0.3357,-0.0459,0.5118,-1.5929,-0.1625,-0.87,-0.3582,-0.2376,-0.8721,0.7451,0.2533,-1.0697,1.5422,-0.3414,0.6525,-1.1629,-0.2992,0.3698,-0.2329,1.3445,-0.6079,-0.0099,1.5566,-0.9262,0.2179,0.2526,-0.6008,-1.1291,0.3472,-0.2438,1.4395,-0.1119,-0.246,0.1095,0.6641,-0.8221,-0.4034,-0.1079,0.8564,0.2191,-0.1589,0.8555,0.3266,-1.4432,-0.6439,-0.842,-0.0346,-0.2822,-0.0908,-1.0849,0.3225,-1.5871,-0.2248,0.549,2.0366,0.0798,-0.4527,-0.4631
1.2231,0.3517,-0.0171,0.5674,-1.0245,-0.6431,0.9714,-0.3036,0.2671,-0.6482,0.9231,-1.1936,1.2667,0.5255,-0.0276,-2.0303,-0.7004,-0.3841,-0.6682,-1.4396,-0.4451,-2.004,0.274,-0.792,-0.7903,0.2469,0.2797,0.4819,-0.8035,-1.906,0.1335,1.2984,0.3201,-1.0944,-0.4751,0.0538,-0.6707,0.572,-0.4515,-1.1261,1.619,0.1184,-0.8668,-0.5535,0.4989,0.9691,-1.0224,-0.6886,-1.2614,0.2581,0.9797,1.0035,0.4691,1.3899,1.2811,0.4725,-0.826,0.2402,-0.7471,-1.1516,1.4995,-0.9665,0.5795,1.0103,-0.117,0.2473,-0.2249,-0.3599,-0.0436,-1.7276,-0.2514,-1.2021,1.3511,-1.1927,0.8192,-0.708
