"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39"
-0.0796,1.686,0.1864,-0.1712,0.2312,-0.0913,-0.5099,-1.1074,-0.1803,-0.5718,-1.6112,0.5829,0.0097,1.0088,-0.3654,-0.8997,1.3847,0.0992,-1.2586,1.379,0.4719,0.8836,1.1658,-0.094,0.0872,-0.7928,2.8295,2.6873,1.423,-1.306,-0.7795,-0.8406,-0.5472,0.6526,0.2718,-0.6947,1.1702,1.0252,1.0169,-0.6632,0.2884,0.2941,0.6532,-2.5593,0.4087,0.0732,1.4663,1.6579,0.2732,0.0055,-0.7551,1.7596,0.6736,0.4518,0.4054,-0.0204
-1.031,-0.3666,0.4259,-1.5989,0.5153,1.5241,0.1835,-0.7368,0.082,0.6637,-0.618,1.227,-0.9898,-0.537,0.6461,1.5316,1.5288,0.0685,-0.7516,-0.8708,0.7743,0.6162,0.7202,-0.5681,-1.4122,-0.2435,-0.574,0.4955,0.1013,0.4408,0.8691,1.6027,2.1446,-1.8094,-0.289,-0.863,-0.9042,3.045,0.1687,2.7129,-1.0941,1.0081,-1.4293,0.2452,0.7776,-1.9863,-0.3678,-1.65,0.8963,-0.8707,-0.6161,0.7451,-0.9927,-0.585,-1.3338,1.201
-1.1299,0.2317,-0.051,0.682,1.4537,-0.2912,-0.4029,0.6407,0.7613,0.7038,0.4923,0.5652,0.1946,0.3838,-1.5457,-1.0372,-0.3136,0.5866,-1.0756,1.5084,-0.0678,-0.0578,-1.0374,1.6095,-0.1821,-0.1727,-1.3285,0.4635,0.1203,0.6123,0.2584,0.0877,-0.2969,-1.1225,0.8607,-1.0043,-0.0487,-0.4829,0.8965,-1.238,-0.1066,0.0892,0.557,-1.0058,-0.628,0.0913,0.826,-0.1463,-1.1208,-0.102,0.2714,-0.1009,0.0573,0.7741,0.0235,-0.104
1.4746,-0.9731,0.2192,0.2798,-1.3279,0.2827,0.6041,-1.5712,0.4789,-1.1528,-0.0406,-1.3553,0.2484,0.8378,-0.7098,0.0968,-0.3631,-1.3573,-0.0298,0.3936,-1.2651,1.0261,1.5349,-0.5437,0.145,-3.4033,-1.1418,1.2005,-1.4257,2.6281,-0.1976,0.7251,0.7056,-0.412,-0.7567,-0.5851,0.2989,-1.0099,1.7216,1.0066,-0.7509,0.9434,0.8376,-0.2711,-0.4193,4.2061,-1.6233,1.3594,2.0432,-0.3242,0.6728,-1.3845,1.5251,0.6538,0.3277,-2.8556
-0.7974,1.4352,-0.8039,-0.2588,1.0654,-0.8309,0.8538,0.5328,-0.6586,1.0574,0.697,-0.2775,-0.4971,0.0224,1.3077,-0.3717,0.2922,-0.0258,0.5113,-1.054,1.0679,-0.3309,0.3682,-1.0032,-0.1997,-0.1572,0.5481,0.9927,0.7088,-0.1145,-0.0422,1.4858,0.6135,-0.6755,1.2068,0.1833,0.0252,-0.7067,-1.3036,0.7151,-0.2439,-0.4082,-1.818,2.018,-0.1741,1.6115,-0.792,4e-04,-1.1274,-1.2902,0.0722,0.5191,0.4303,-0.273,-1.1925,-1.1061
-0.243,-0.1797,0.582,1.1363,-0.0395,1.6637,0.2521,-1.2045,0.6138,-0.5174,1.8585,-0.6711,-0.9365,-0.2499,-0.2705,-1.1083,0.5212,-0.7134,1.6247,1.7206,0.6232,1.6371,-0.8677,-1.0283,-1.3946,0.1434,1.6059,0.2282,-1.2042,-1.0872,-0.89,-0.238,-0.3575,-1.3485,1.0215,-0.8909,1.6219,1.6746,-1.3571,-1.4946,1.7447,0.5034,0.6363,0.0761,-0.9062,0.0891,-1.1951,1.1005,-0.151,-1.3749,-1.1291,-0.721,-0.2679,-1.3379,2.2901,-1.4965
0.7826,-0.2243,0.2991,-0.2245,-0.5565,-1.4525,-0.2715,-0.9705,1.7316,1.5122,1.0807,0.1226,0.2567,0.199,0.8747,-0.9048,-0.4817,0.9292,0.9808,0.3779,0.8927,0.7046,-3.0199,-1.85,0.944,1.8392,-0.4576,0.5314,-0.1999,1.5141,-0.9468,0.3277,-1.232,-0.5418,-0.4866,-0.6555,-0.3041,-0.3786,-1.666,0.6099,0.0679,0.9868,-0.4547,2.5002,-1.522,-1.4779,0.0441,0.2995,-2.0257,0.6123,0.1766,1.287,0.9093,1.6863,-0.0761,0.8399
1.2639,-0.4047,0.6746,-1.4108,-0.8669,-0.74,0.8608,0.2122,-0.066,-1.3931,0.7491,0.0735,-1.4678,0.4583,1.1208,-1.0401,-0.9197,2.084,-0.3803,-1.4009,-0.9126,0.1252,0.2746,0.4931,-0.4394,-0.0405,-0.7742,0.8324,0.0624,-0.1267,0.3588,-1.5191,0.6653,-1.5203,-0.8135,0.0393,1.0634,-0.6156,-0.3301,0.556,-0.1553,-0.1435,-0.9654,-0.2696,0.431,-0.1507,-0.3949,-0.3211,0.1963,-1.238,-1.693,-0.8258,-0.3312,-0.7196,-0.3627,0.447
0.5015,-1.2264,-0.8104,0.7555,-0.2869,-0.0244,-0.6151,-1.3089,1.4033,-0.3684,0.7815,0.1938,-1.1316,-0.5528,-1.2518,1.922,0.7091,0.0889,0.6818,-0.4178,-0.3478,1.2413,0.1418,0.3905,-2.2385,0.1923,-0.0822,0.1913,0.9586,-0.093,0.9296,0.8615,1.7251,-0.3812,0.2436,0.1081,0.2234,-1.1656,-0.7801,0.6154,1.5444,-0.5895,-1.5739,-0.3001,0.148,-0.7186,0.6893,0.0172,-0.2329,0.8692,1.1289,-1.1015,-1.2234,-0.0786,0.4769,0.8114
-0.6237,-0.3976,0.5575,-0.2272,1.0455,-1.3676,0.6495,-0.91,-0.2209,1.3727,0.7955,-1.2028,0.9088,2.3029,-0.5743,0.1195,-0.002,-1.2072,-0.0635,0.5925,0.0911,0.1192,-0.6865,-0.1509,0.0372,-0.3667,0.1894,-0.1641,0.4397,-0.7552,2.4072,-0.9808,2.2008,-0.3217,-0.5565,0.6942,-1.599,-0.8646,1.376,1.0294,0.7954,1.2322,0.2816,-0.0993,1.022,-0.8825,-1.389,0.0276,-1.2555,-1.0274,-0.2331,0.1731,-0.7358,-0.3602,0.2276,1.6572
0.7174,0.9737,-1.2831,-9e-04,0.7441,1.1734,-1.7498,-0.478,-0.8297,-0.9774,0.6362,-0.8064,0.6636,-0.2244,0.1121,1.6571,-1.9321,-0.465,0.6632,-0.3852,-1.6066,1.2188,-2.1992,0.0058,0.3043,-0.8,0.1798,-1.43,-0.2903,-1.0847,-0.3969,-0.4309,-0.4632,-0.3707,-1.3689,1.3442,0.7194,-0.5408,0.5213,0.7358,0.7859,-2.125,-0.1922,-0.8034,-0.1222,-2.4146,1.2224,0.9107,-0.8745,-0.0869,-1.1051,0.5714,0.0626,-0.2278,-0.9542,1.3164
2.2665,-1.9823,1.0657,0.248,-0.3722,-0.8964,1.5962,-1.327,-1.0783,0.5688,-1.0453,-0.7406,-0.2092,-1.0693,-0.4292,-2.3159,1.4042,-0.7907,0.0417,0.0223,1.8696,-0.3073,1.8022,-0.3597,0.6406,0.7233,-1.5933,1.7415,-0.324,0.7931,-0.5983,0.0134,-0.3134,1.7574,0.7075,-0.5836,-0.2662,-0.8638,0.6475,0.3953,0.5553,1.0216,0.9272,1.0853,-1.7725,-0.4419,0.2289,-0.6645,-0.8209,-0.1369,-1.2249,0.5315,0.1335,0.3733,0.0206,-0.9723
-1.2417,2.2962,-1.1957,-1.1728,1.2015,-0.0136,-0.3783,1.2644,1.054,-0.8607,0.8252,-0.2977,-0.8904,-0.3089,0.5186,0.9209,0.0635,0.3369,-0.5558,-0.6447,-0.7664,-0.2285,0.7988,-1.3088,-0.227,-2.1247,-1.2641,-0.9795,-1.135,-1.2066,-0.0864,1.4611,1.2358,-2.0797,0.2206,0.2143,-0.6991,0.0391,-1.6587,-0.0017,1.4874,0.5478,0.8898,0.8092,1.3106,-0.2382,-0.0664,1.5098,-1.0344,0.4659,-0.2317,-0.8805,-0.5835,0.3924,0.4097,0.3005
0.8755,-0.7808,-0.3916,0.6244,1.4832,-0.8208,-0.3391,-0.267,-0.9669,-1.7349,0.8435,-0.9536,0.7801,-0.7856,1.6921,-0.3249,-0.5984,0.0275,-0.2464,0.3928,0.6272,1.0426,0.8028,0.3664,0.7833,-0.3494,0.193,0.9518,-1.4673,-0.1958,-0.5518,-0.4906,-1.4906,-0.2853,-1.5121,0.736,-1.1662,-1.5617,-0.6946,1.1131,0.4051,-0.0955,-0.3242,-1.0279,0.8756,1.5166,0.6715,0.5789,1.5959,-0.5792,1.1423,1.4797,0.3522,-0.4687,-0.7003,-1.2005
-0.9899,0.5482,-0.4358,1.2381,-0.6508,-0.9144,0.5956,1.6022,-0.3321,2.3074,-0.7985,-0.7102,0.1223,1.3748,-0.3681,0.5659,0.032,-0.8891,-0.3076,0.8899,-0.4441,1.518,0.3757,-1.0876,0.701,0.3747,1.2152,-1.5083,-1.1519,-0.1641,0.7001,0.2592,0.2215,-0.4865,-0.2207,0.9071,-1.0732,0.2745,-0.1957,-1.7587,0.229,-1.195,-1.5175,-1.3543,0.2931,0.5653,-0.2065,-0.3119,0.6892,1.2132,-0.7052,-0.4166,1.1442,-1.6169,1.5373,1.6619
0.9371,0.17,-0.2966,-2.053,-0.2369,0.9111,-0.2,-0.6438,-2.442,-1.7347,1.4599,0.3617,-0.6564,0.3753,0.1008,0.2417,-0.9643,-0.4672,-1.576,0.2534,0.8266,-0.3003,-0.8463,0.0614,0.1529,-0.1403,-0.0281,-1.7979,-0.5912,0.5115,-0.0588,-0.177,-0.2553,-0.0869,1.5785,0.4802,0.8407,-0.5314,0.5804,1.8737,0.305,-0.5655,-1.0952,0.2928,-0.6316,0.3965,-1.5409,-0.1955,2.1175,0.0362,0.1243,-0.1625,-1.2491,-0.1058,-1.4041,1.2231
-0.1894,0.8779,0.231,0.7414,-1.5502,0.7062,1.5205,-0.0529,1.5231,1.224,-0.6572,-1.9471,-0.2511,0.1963,-1.183,0.1465,1.7221,0.0237,-0.4205,1.2087,1.8296,0.7753,0.838,1.0473,-0.9059,1.0088,-1.1527,-1.7618,-0.1073,0.4385,0.0258,1.8002,0.5284,0.0244,-0.9389,-2.0901,-0.0945,1.9742,-1.5912,-0.3248,0.0342,-1.4811,-0.6446,0.5272,0.5418,0.3692,2.2223,0.4073,-0.6411,0.8303,-0.3353,-0.5083,-0.9709,-0.6496,-0.2469,0.1336
-0.4485,0.5256,-0.3793,0.1072,-2.0655,-0.5316,0.0513,0.2417,0.2775,0.9591,-0.2321,0.3405,0.3789,1.1462,-0.1368,0.0954,0.797,0.695,0.5731,-0.7966,1.2057,0.2533,1.128,1.7541,0.8884,1.5921,0.929,-0.9295,0.2169,-1.4916,-0.2267,-0.1421,-0.5938,-1.1972,-0.1169,-1.0668,1.3531,0.6039,0.6689,0.1526,1.2519,0.3153,0.699,1.9691,-1.0395,0.2107,-1.0411,0.6236,-0.3592,1.2328,-1.2352,0.0718,-0.2038,0.0486,2.0704,-0.1457
-1.1495,-1.0596,0.2064,0.797,-0.1492,0.0414,0.9575,0.8347,-0.3195,-1.0838,-0.6266,0.8312,1.4301,0.8779,-1.0021,-0.913,1.4748,0.3387,-0.3267,0.7259,-0.1326,0.2097,0.2967,-0.6065,0.297,0.1124,0.5817,1.3425,-0.0705,0.2301,-0.3382,-0.2243,-0.9158,-0.5915,-1.1478,-0.2719,-0.158,0.4229,-1.7627,0.0524,0.7428,1.5374,-0.6344,1.1921,-2.1942,-0.5702,1.7348,-1.1478,1.5828,-2.2141,0.7904,3.4149,0.7566,0.9935,-0.2565,-0.0441
0.3859,-1.1228,0.6156,-1.0575,0.7172,1.4089,-1.2558,-1.4239,-0.5648,-1.3461,-1.2404,0.7211,0.3679,1.2423,0.0027,-0.3594,0.2899,1.6845,0.0114,-0.1331,0.1183,1.4819,0.3257,0.0608,0.6663,-0.3119,-0.2859,-0.3547,-1.0239,2.6922,-1.8744,-1.1747,0.2327,-0.3194,1.8883,-2.0435,-1.3335,-1.3356,0.5554,-1.2477,0.3318,0.5897,1.5049,0.7354,-1.8356,0.1422,0.534,-1.1493,-0.3406,-0.0908,-0.6785,0.3351,-0.0649,0.1646,-0.0915,-0.3877
0.9035,-1.1633,0.9183,-0.1928,-0.1949,-2.5282,-1.0089,1.6279,0.5666,1.3581,-0.1786,0.2936,-0.3074,-2.3077,-1.4201,0.6337,1.6437,0.6556,0.6505,-1.9234,2.0706,0.1867,0.3875,-1.1854,-0.8234,-0.2166,0.1182,-0.0562,-0.0544,-0.7374,1.7632,-0.9115,-0.5785,0.5535,-0.1735,-0.5152,0.5081,-1.1502,-1.3787,-0.0804,-1.5595,0.9226,-0.5129,-0.3199,-1.2667,-1.4588,-0.8932,-0.9642,1.2915,0.0353,-0.202,-1.3183,0.3206,-0.9064,-0.1524,0.0385
0.1049,0.3266,1.4761,-0.1485,-0.7187,-0.0139,0.2372,0.5659,0.2045,0.5027,0.5325,0.1343,0.1895,0.617,-0.6695,-0.1592,0.0255,-0.9782,0.8078,-0.6453,1.02,0.1174,-1.6824,0.3907,0.1655,-0.9982,-0.5943,0.5612,1.4965,1.7741,-0.5949,2.4029,-0.229,-0.9325,0.0985,-1.2871,-1.0121,0.7984,-0.1229,0.5977,-0.7491,-1.1507,-0.9306,1.0526,-0.913,-1.3884,-1.4397,-0.4344,-0.2073,-0.3372,1.4909,-0.0533,-0.5962,0.1406,-2.4272,-0.8645
0.7467,0.2305,-0.5304,-1.4341,0.6488,0.6273,0.5759,-1.1733,2.0159,0.4439,0.9019,-0.2293,-0.9043,1.2254,0.5285,-0.655,0.3299,1.3077,-0.3153,0.2997,-0.7389,0.5887,-1.5423,-2.6123,1.9326,-0.0303,-0.3632,0.9241,2.1618,-0.5065,0.9649,-0.6329,0.5281,-0.0228,-1.5078,-0.1708,-1.0966,0.2901,-0.5742,0.5071,0.3322,-0.3007,-0.6192,-0.685,-3.9103,0.767,0.6224,-0.0538,-0.6527,-0.3284,-2.0971,-0.9181,1.1229,-0.4146,0.4321,0.7297
-1.2734,2.7715,0.5821,0.0037,-0.5978,-0.682,-0.2041,1.8127,-0.3546,0.4106,-0.2462,0.1502,-1.6752,-0.2449,-1.4684,0.9958,1.3375,-0.1762,0.6917,-0.5478,0.294,0.7763,0.6287,-0.765,2.0324,-1.2567,0.6608,0.3339,1.0312,1.5526,0.5794,0.0619,0.025,-0.1213,2.5636,0.9394,1.2984,-0.0081,-0.644,1.5145,-1.2048,-0.1926,-0.5852,-0.7198,-0.2381,0.9512,1.9413,-0.7229,0.9853,-0.169,0.0148,0.1353,1.2839,-1.5033,1.9346,1.2101
0.3166,-1.1057,-0.7744,0.7505,-0.3108,0.8867,0.2339,-0.7442,1.0172,-1.5377,0.4966,-0.5495,-0.0258,1.0926,0.5996,-0.9382,-0.2261,-0.3579,-0.1502,0.843,-0.1578,0.0846,1.1584,0.7601,-0.6199,-0.3088,0.3844,0.8497,-0.4639,-0.4806,0.4401,0.5511,-0.1551,1.2697,0.8968,-0.7097,-0.0812,-0.7465,-0.4797,-1.0697,0.0096,-0.9448,1.5039,-0.5039,-1.296,-0.4091,-0.4615,-0.2318,1.0893,0.9605,0.8643,1.6509,1.4056,0.9442,2.0769,0.6844
0.5768,-0.9126,-0.5409,-1.2593,0.0051,-1.8066,-0.7409,0.6396,-1.5396,-0.7589,-0.1265,1.4673,0.6881,-0.2404,0.0823,0.2822,0.2813,0.7136,1.084,0.2197,-0.2738,-1.1299,0.0671,0.2033,0.362,0.2424,-0.4728,0.5677,-1.0368,-0.0864,-0.4533,-0.3796,-1.2566,0.0088,0.648,0.5298,0.1259,1.6288,1.2664,0.0103,2.0988,-0.5023,-0.2614,1.8865,-1.5414,-1.4228,0.244,0.8745,-0.7985,0.8969,0.4599,2.5427,2.0748,0.208,-0.4825,2.7961
-0.6146,-0.5551,-0.3512,-1.8173,0.9656,-0.3209,0.8924,1.8551,-1.7039,0.6342,0.1796,0.9149,-0.5469,-0.8476,-0.076,-0.5342,1.1818,-0.3858,0.5931,0.3142,-0.9892,1.2362,-0.5138,-0.9112,-1.6662,-0.6487,-1.8102,-0.4086,0.3456,-0.988,-1.4775,-0.017,0.3576,0.1007,-0.2388,0.1448,-0.8227,0.2676,0.0567,-1.1233,0.1992,1.7574,0.7203,-0.6529,-0.4624,-0.6257,0.1886,-1.1354,-1.0639,-2.1826,-0.6126,1.06,0.3802,-0.1658,0.0752,-1.7133
0.152,-0.8803,-0.33,0.1459,-1.2015,-0.9673,2.1675,-0.8585,0.2172,0.2552,0.4702,-0.6448,1.0229,0.9703,-0.0703,-0.3462,0.265,0.7927,-2.7709,1.0687,0.6726,-0.5244,-0.917,0.6259,-0.1863,-0.6581,-1.1946,0.2433,-0.3305,-0.7995,-0.9343,-0.6206,0.719,-0.3027,-0.7647,-0.392,1.4099,0.1295,1.5822,1.7946,-0.3934,1.8625,1.3449,-0.3005,1.2471,-1.0939,-1.2264,1.3866,0.5236,-1.1884,1.6848,-1.7965,-0.8358,1.3819,-0.523,0.1353
0.2621,-1.0185,-0.3649,-0.012,0.8545,1.2062,1.1313,-0.1344,0.3213,1.5927,-0.2449,-0.7104,0.011,-2.3077,-0.2189,0.0784,1.8307,0.3251,-1.154,0.8426,0.1709,-1.202,-0.8335,1.7019,2.4587,0.2539,0.9553,1.1311,-0.7236,-1.845,-0.4172,0.4944,2.2276,0.1315,-0.4516,-0.8762,0.4873,1.3382,0.4624,2.289,-0.3875,1.2127,-1.1378,-0.4976,0.0206,-0.2799,-1.3297,1.6466,-1.3484,-0.34,-0.8484,-0.7713,-1.1988,1.0114,-0.5295,1.0606
1.1532,0.5892,-0.8796,0.3632,-0.9446,0.7758,0.1948,-0.8425,1.0586,-0.3191,1.0997,-0.9476,0.2691,-0.7478,-0.7741,-0.3203,-0.0594,-2.1832,-0.881,-0.7045,-0.2804,0.3952,-0.5497,-1.8509,0.3536,-0.115,-1.4004,1.0575,-0.0901,0.6186,0.7692,-0.9092,0.8974,-1.7475,1.0862,0.2072,-0.8709,1.6328,-0.919,1.4688,-1.3767,0.3466,-1.4827,-1.0113,-1.4808,0.8065,-1.6682,0.6612,0.7168,-0.3302,0.0965,-0.8897,-0.8354,-0.1177,-0.0393,0.499
-1.1831,-0.3223,2.0069,-1.5323,2.9012,-0.6661,0.9042,-0.8759,0.5531,0.1149,0.3116,1.5643,-0.9985,-0.7119,0.7055,0.7571,-0.0532,3.5707,0.3202,3.4996,-0.2541,0.1884,0.3297,1.3154,0.4185,0.7879,0.0879,-2.9424,0.4645,-0.2084,0.998,0.6861,-0.8111,0.9828,-0.9956,-1.3957,0.2365,1.4534,0.6123,1.3737,-0.5137,-1.6847,0.0086,-0.1591,-0.805,-0.3795,0.8218,0.3471,-0.204,-0.4311,-0.0901,0.4153,1.1098,1.2722,0.3658,0.3776
-0.5868,-0.7362,0.017,0.3621,1.0822,1.692,1.1904,0.5205,0.4167,-0.1841,-2.2015,-0.3614,-0.194,-1.3647,0.6434,1.5302,0.4379,-1.7344,0.396,0.1751,1.0642,0.0933,0.055,-0.6564,0.9719,-0.8242,-1.2186,-0.4656,0.9462,-1.5739,0.5983,-1.5428,0.4866,-0.7797,1.2354,1.5183,1.3291,-1.2637,-0.8112,0.3737,1.4348,0.892,-1.0246,-1.1794,-2.4911,-0.229,-0.1475,-1.1749,0.6523,-1.0425,-1.4379,0.1415,-0.3094,-0.7718,-1.5363,0.8162
0.6553,-0.5963,1.5858,2.1325,-0.5826,0.3142,1.6558,-0.7469,-1.6781,-0.3134,0.1829,-0.1223,-0.5705,-0.8066,1.5975,-1.7363,1.3374,-0.7029,0.4646,0.3093,-1.4888,0.1649,0.1921,0.4731,0.938,-1.2639,0.2201,-0.4681,-0.1721,-0.9451,-1.2042,-1.6207,-0.4377,-0.3872,-0.0165,-0.6377,-1.2046,0.4573,-0.3243,-1.1908,0.3324,-0.2242,-1.4234,-0.5021,0.6391,0.2361,0.3099,-0.0983,-1.3734,1.9602,-0.0616,0.874,1.2301,-0.2847,0.0821,-2.2273
-0.3351,-0.799,-0.0934,-0.313,1.5721,-0.9535,0.4442,2.0906,-0.9439,0.9647,-0.5938,-0.4458,0.7954,-0.5956,-0.2048,-0.2247,0.0767,0.9121,-0.5953,0.4125,0.525,0.7422,-1.4611,0.1044,-1.465,1.6996,1.6307,-1.5551,0.347,1.3764,0.2368,-1.8269,0.5271,-0.7728,-1.2726,-0.0151,1.2078,0.7759,1.9874,-0.2264,0.1893,0.1821,-1.5921,0.3643,-1.1165,0.2908,0.6647,1.7147,0.5123,1.1992,-0.4895,2.6959,0.0191,1.2097,-1.1781,0.624
