"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23"
-0.6419,-1.5742,0.2254,-1.7986,1.594,0.4174,0.3987,-1.8454,1.0243,2.0804,-0.827,0.3482,0.5751,-0.2311,0.9524,-1.4744,-0.4271,-0.356,0.4105,1.6938,1.9269,-0.3832,-0.9953,0.8466,0.4993,-1.8176,0.6996,-0.3915,-0.8584,0.9917,0.8345
0.5138,-0.0545,-1.1169,-1.2953,-0.0269,-1.0489,0.0295,-3.0556,0.3791,0.6606,-2.3397,0.3053,-1.0002,0.5429,-1.9169,1.6984,0.2121,-0.7114,0.7995,0.6129,0.4024,-1.1015,-0.4224,-0.9967,-0.1749,1.0229,0.0797,-0.1528,-1.419,-1.411,0.9766
-0.4716,-1.354,-0.8975,0.9657,0.2224,0.548,-0.8199,-0.5664,0.4404,-0.5453,0.1368,0.6043,1.6006,-0.1308,-0.2565,0.5835,2.0255,-0.4983,-0.8321,0.2811,-0.3094,-0.1048,-0.243,-0.8773,0.8934,-0.8607,0.3138,-0.7919,-1.9615,1.608,-1.1847
-0.9988,1.3926,-0.3764,1.0938,2.3651,0.3752,-0.1041,1.1453,-1.1885,-0.7215,-0.8856,0.6761,2.0527,-0.9456,0.9132,0.1592,-0.1015,-0.1204,0.8958,-0.5589,-0.3008,0.7701,-0.1661,-0.3211,0.9594,0.6842,1.2036,-0.5206,0.3416,0.3742,-1.1628
-0.198,-0.5308,0.1432,-0.1184,0.5697,0.385,-0.9656,0.1164,-1.3507,-0.2322,0.1356,-0.5003,-0.3866,0.7295,-0.0416,-0.686,0.7334,-1.6649,-0.659,-1.8388,-1.4249,-0.7973,-0.8692,-0.9109,-0.7749,-0.0637,-0.5162,1.0186,0.6693,0.7889,0.0552
0.4852,-1.8408,-0.7534,1.2871,-0.4626,1.2599,-1.4302,-1.7091,0.5401,-1.2232,-0.1532,0.0388,-2.2118,-0.7614,-0.3975,-0.6926,-0.2392,-0.2859,1.5708,1.0181,0.7133,-0.4902,0.1986,1.9864,0.4843,1.4822,0.3566,-0.6421,-0.6554,-0.0816,0.4956
-1.097,-0.3004,-2.0894,-0.6695,-1.3503,1.6385,-0.7994,-0.306,-1.7873,0.8836,1.2341,-1.4833,-1.0377,-0.6797,0.5751,0.7882,-0.8968,0.3138,-0.0855,0.4172,-0.3579,0.7328,1.3425,-0.7212,0.192,0.1714,-1.0117,0.8131,0.216,0.1804,-1.2839
-0.9014,0.1742,0.5335,1.1096,1.1849,0.0488,0.2914,-0.5536,-1.7949,-0.747,-0.3826,-1.5874,-0.378,-0.4904,-0.8026,-0.9595,0.3699,-0.0044,0.1908,-0.6674,0.3982,-1.4754,-1.3112,-0.1822,1.0188,-0.2473,0.0016,0.2662,-1.2984,0.2073,0.2928
2.2631,-1.5488,0.1812,-0.8284,-0.6151,1.7432,1.0009,1.2687,0.9302,0.7423,-0.6359,-0.0883,0.0536,0.2266,-1.9339,-1.5094,1.1854,0.9973,1.3088,1.3,-1.2082,0.5486,-1.8985,-0.6835,0.4751,-1.1587,0.4998,-0.4217,1.1563,-0.7125,-0.2416
0.1491,0.6891,-0.8219,0.2216,-0.2148,1.0227,-0.6523,-0.3496,-0.0661,0.2283,0.1043,0.7579,1.8349,0.1617,-2.6714,0.0241,0.3745,1.4303,0.5268,-0.2457,-0.7199,0.1319,1.4055,-0.942,1.4443,1.6814,0.4937,-0.0429,1.9574,0.0924,0.0085
-0.0846,0.1422,2.1956,0.5047,-0.3364,-0.8436,-0.4728,0.0239,-0.5957,-1.1277,-0.7658,-0.6874,-0.6035,0.9405,-0.3829,1.6472,-1.1316,-0.0583,0.8565,-2.0524,-0.4585,0.6633,-1.6732,0.8915,0.2376,-0.4701,0.03,0.0328,-0.831,2.8911,-1.2787
