"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44","NNS45"
2.7666,1.3106,-1.4787,1.4032,0.4319,0.5865,1.5007,-0.607,-0.7102,-0.1874,0.1295,-0.0314,-0.0499,1.5575,-0.348,-0.9463,0.2949,-0.4039,-0.105,-1.3127,-0.3127,0.0019,-0.5317,-1.0787,0.8558,0.861,0.9416,-0.3108,1.0188,0.5984,-0.2407,-0.5899,0.5188,-0.3138,0.1827,1.0632,-2.2774,0.9665,0.197,0.1273,0.906,-2.5301,0.1904,-1.2124,-0.0364,-1.7908,-0.9036,0.1139,-0.9111,-1.4808,-0.0527,0.0033,1.114,0.3363,1.3062,1.0411,1.3266,-1.3193,-0.5994,0.2736,-0.2293,0.0823,0.2996,1.6752,-1.3668,1.3058,-0.7974,2.0214,-0.0804,0.3123,-0.1204,-0.6324,-0.4448,-0.968,0.6114,1.3756,0.0629,-0.9753,-1.7127,0.562,1.1658,-2.3239,0.451,0.6091,-1.7611,0.7416,-1.5135,0.5785,-0.8942,-0.844
-0.2103,-1.756,0.3955,0.186,-0.1622,0.0521,0.2397,2.0357,0.8771,0.0731,-0.6977,-1.5851,-0.6946,0.2785,-0.6282,0.3532,2.3626,0.3989,-0.3155,-1.6077,0.7862,-0.9115,-0.3164,0.9023,0.0784,0.3778,-0.4612,1.2918,0.0202,0.5406,-0.8017,0.5833,0.5564,-0.0118,-0.5344,0.2683,-0.3146,-1.6049,0.2077,-0.5177,0.7594,-0.0513,-0.0496,2.1447,-0.4677,-0.4815,-0.2606,-1.2899,0.8163,1.3854,-0.3541,-0.5086,1.1042,-0.1954,-1.366,0.7914,2.586,1.3761,-0.111,-1.9884,-0.0413,2.664,0.2726,-1.1536,-0.3573,-1.3222,-0.2553,0.1497,1.977,2.1077,0.4162,-0.6133,-0.5425,1.1422,-0.6253,0.5111,0.1101,-1.272,-1.0118,0.1769,0.3808,0.987,-0.219,0.3268,-0.3565,0.3878,0.8399,0.9469,0.9716,0.3422
-0.9401,-0.0269,-0.7299,0.8595,0.2296,-1.1019,-1.2675,0.5953,0.5342,-0.8722,1.5246,0.8661,0.4772,0.2822,0.5757,1.5314,0.5077,-1.3042,-0.4628,-2.5737,-1.6606,-1.4792,-0.4004,0.4326,-0.8409,1.5968,0.3672,-0.5107,-1.6255,-0.5301,-0.1881,-1.269,2.4306,-0.3364,-1.2172,-0.1718,0.8665,-1.1441,1.3986,-2.1799,0.5638,-0.3617,0.2555,0.302,0.7822,-2.2819,-1.2113,-0.6814,-0.2013,-0.5095,0.3892,2.1992,-0.4377,0.8027,-0.2871,0.7922,-1.1178,-0.4844,0.0013,1.2208,0.9008,-1.3171,0.3758,0.3305,-0.6136,-0.3086,-0.6037,-0.7325,1.8559,-0.4761,-1.5619,0.1217,0.5634,-0.2407,0.1032,-1.7875,0.9028,0.3061,2.1565,0.5021,-0.3973,-0.2518,1.0762,0.0535,-0.9063,-0.8164,0.1747,-0.935,-0.4054,0.052
0.314,0.4962,0.1923,1.5738,-0.4707,1.1646,-0.4605,0.506,-1.9236,1.2005,1.8662,-0.9473,-0.2121,-0.0185,-1.4249,-0.8021,-0.3829,0.7682,-0.3646,-0.376,-0.6017,0.8594,-0.0873,0.1621,1.8765,-0.0567,-0.0024,0.3553,1.3482,-1.2583,0.3053,0.3106,-0.02,-0.5862,0.5528,-2.4392,-0.6347,-0.0739,1.1002,-0.8082,-0.9913,0.5086,1.9063,-1.3195,-0.2884,0.0711,-0.9372,1.7404,0.4096,-3.3834,0.653,-0.0556,0.9028,-0.5981,-0.381,-1.0714,-0.713,-0.5464,0.3586,1.0765,0.2099,-0.2863,0.9038,1.1867,-0.7028,0.9914,1.5678,-1.6755,1.8831,-1.0428,1.5337,-0.4019,-1.2445,-0.2671,-1.7772,1.4972,-1.2617,-0.0685,-0.2686,0.0871,-1.1723,1.2776,0.5995,0.2931,-0.658,-1.2548,-0.6802,0.6501,0.2654,0.0933
-1.1589,-0.4312,-0.5877,2.3852,-0.004,-0.0926,-0.6275,-1.9239,-0.6117,1.1319,0.0787,1.0075,0.5342,-0.8117,0.065,2.0704,-1.9926,-0.7946,-1.0591,2.5016,0.6797,-1.6972,1.8851,-2.0082,0.3986,1.3683,-2.1783,-2.0272,-0.6203,1.3597,0.9071,-1.4815,1.5507,0.0082,-0.7742,0.3956,-1.6073,0.1093,0.3135,-0.1184,-1.0628,-0.807,1.2414,0.5829,-0.6311,0.2097,1.2154,0.8101,-0.5169,0.3603,-1.7365,-1.4643,-0.382,0.4613,0.0917,0.3399,0.9625,-0.3522,2.0563,-0.0073,-0.3396,-1.2717,-1.378,-0.7496,-0.2364,1.3488,0.6982,-0.0604,-0.677,1.6473,-1.2891,-0.2195,-1.1295,-0.5332,0.487,1.0329,-0.4429,0.6579,-0.4063,0.7835,0.4151,-0.0805,0.4048,1.0118,0.6935,0.6237,-1.2853,0.0777,-1.2143,1.5105
-0.2958,-0.4274,-1.0766,0.2269,0.2464,0.1559,-0.3142,0.2184,1.0937,0.5329,0.0632,0.7291,1.2513,-0.9259,-1.2293,0.1407,0.2501,1.2525,1.1072,-0.3685,-1.0558,-1.9731,0.78,-0.1973,-0.5334,-0.3625,2.0784,1.0492,-0.951,-1.1635,0.181,-0.2517,1.2603,2.1038,1.2885,-3.0586,-0.6405,0.1816,1.5491,0.8163,-1.4388,-0.5658,1.0837,1.4122,1.1955,0.0392,-0.9943,1.4886,-0.5439,0.2074,0.348,-0.2336,-0.696,-1.085,-0.5505,1.5153,0.3452,0.4763,-2.3565,0.7768,1.1399,-0.3572,-0.7276,1.8036,0.3679,-0.2865,-1.6784,1.2915,1.4817,-0.7014,-0.9664,-0.4261,0.3814,0.3622,0.0489,-0.1815,-2.1023,-0.6704,-0.4202,-1.2445,-1.2063,-1.702,2.1346,0.528,0.5982,-0.3525,1.5242,0.8746,0.4131,0.6714
0.014,2.5887,0.2995,2.4822,-0.3485,0.0236,1.8658,1.9418,0.9152,-0.9501,-1.9422,-0.1581,0.6064,-0.1225,1.6497,1.669,1.3091,0.5911,-0.2519,0.834,0.2367,0.1845,0.4228,-0.438,0.2698,-0.8683,0.0383,0.3453,-1.5499,0.6927,-1.616,-0.6002,-0.6911,-2.1752,-0.1466,-0.4129,-1.5263,-0.6514,-0.0296,-0.8824,-1.4569,0.4769,-1.5267,0.0652,-0.4939,0.6592,-0.1783,-2.0445,0.8381,1.3039,-0.5337,0.7932,-0.7128,1.0536,-0.2596,-0.6359,-0.1114,0.254,-1.09,-0.3229,0.5404,-1.1906,0.2171,-1.0456,-0.1891,0.1113,0.9727,0.1403,0.5228,0.7684,-0.0271,-0.2884,1.5244,0.7628,0.0612,1.0554,-0.6393,0.3969,0.1094,-0.5688,-1.4154,1.2618,-0.0925,0.9206,0.0571,1.3301,2.4867,-1.4272,-1.7352,-0.1197
-0.6143,0.139,-2.0687,1.598,-0.6654,-1.6717,-1.3648,0.6871,-0.9728,-0.2194,-1.4191,-0.8032,0.1503,0.4478,0.7027,0.604,1.4933,-0.2632,0.145,-0.3458,-0.0494,1.0028,1.0952,1.1026,-1.8062,1.8599,-0.1784,1.6894,0.6895,-0.5276,-0.0718,0.754,1.4593,-0.9232,-0.6646,-0.0944,-0.6459,0.8676,0.3967,0.2095,-0.1988,0.6265,-0.6555,-0.1782,-0.292,-0.0863,-1.3132,0.9688,0.3419,-0.2691,1.7517,0.3723,-0.2246,0.8414,0.2202,-0.3703,-0.1241,0.4152,-2.1283,0.7522,1.1247,-0.2967,0.4518,0.2611,-0.4022,0.9199,0.492,1.9066,0.8604,-0.5323,-2.2353,-1.0593,-1.2822,1.0413,0.0954,0.5397,3.3909,-0.3256,0.1621,0.9037,0.1432,0.2571,0.0515,1.6851,-1.5689,-0.8058,-0.6588,0.4375,0.1766,0.0019
-0.0141,-0.2824,-1.4661,1.1908,0.4638,1.332,0.0761,-1.3739,-1.0394,0.386,0.1739,-0.1338,0.3505,-0.4516,1.0018,1.5962,0.3609,-2.1068,-1.7948,1.264,0.7128,0.9315,-0.0547,0.0524,-0.3778,1.3703,0.5746,-0.348,-1.1502,-0.4904,-1.4826,1.4648,0.8959,0.2147,-0.0346,-2.0923,1.3301,0.2102,0.3635,-1.4812,0.7006,-0.8726,-1.5396,0.2105,-0.2422,-1.1866,1.0163,0.6071,0.7202,0.3232,-0.4389,-0.2092,-0.4716,-0.6663,0.4171,-0.7977,0.5761,-0.6397,0.0712,-0.3207,-0.7427,-0.0837,0.4841,0.422,-2.2083,-0.6208,-0.1695,0.2614,-0.3961,-0.6158,-2.03,1.2481,0.6489,-0.8284,-1.0898,1.236,0.2185,-0.5091,-0.3752,-1.847,-0.5109,1.4601,-0.7162,1.7328,-1.4334,-1.4156,-0.1773,2.2778,0.2709,-0.5319
-1.163,1.7998,-1.3184,-1.0966,0.9453,-1.0373,0.3098,1.1963,-0.9557,-0.9118,-0.7219,-1.3705,-0.1464,0.0137,0.7515,-0.5665,-1.3153,-1.8499,0.7922,-0.1283,1.825,1.609,-0.1048,-0.3305,-1.8166,0.124,-0.8212,-0.5308,-0.6538,0.2357,0.5738,-0.1665,-0.7858,-0.728,-0.4797,-1.9826,0.17,-0.2148,-0.0309,1.391,-0.8986,-0.896,1.4281,-0.1121,-0.9739,-0.3053,-0.6614,-0.2512,0.5881,1.5944,-0.0687,1.8242,-0.6854,1.2466,0.7184,-0.0256,0.6926,-0.1677,1.0841,1.4299,-0.2773,0.4972,0.7536,-1.2751,0.1517,1.2816,-0.7368,-1.8617,-3.1366,0.3816,1.772,-0.2547,-0.6675,-1.4447,-0.3167,-0.5626,-1.1135,-0.4412,0.2988,-1.06,1.1147,-1.5798,0.0093,2.0205,-1.5636,1.7634,1.1424,0.2225,0.0219,-0.185
-0.5859,1.2589,0.993,-0.377,0.7932,-0.8526,-0.8708,-0.2985,0.3503,-0.4531,0.2261,-0.2894,-0.0352,-0.8419,-0.9599,0.6185,-1.3024,0.7299,-1.0484,2.1365,-3.0994,0.2944,-2.4454,0.1588,0.2824,-0.5638,0.5835,0.6917,-0.5219,1.4959,-0.9945,-1.7461,0.4748,-1.0413,0.1332,0.0759,0.4953,1.519,1.1868,1.2989,0.3772,-0.3286,1.6816,0.7717,-0.745,-0.856,-1.2022,0.2654,-1.4573,-1.6532,1.5235,-0.0282,-0.7491,-1.8842,1.4146,1.3655,0.5732,5e-04,-0.3561,0.4951,0.9415,-0.3336,0.2998,0.2866,0.2138,0.8495,-0.3746,-0.5268,0.1456,-0.0936,-1.0486,-0.9791,-1.461,0.6799,-0.7948,-0.1765,-1.0233,0.7857,0.1749,-0.1132,1.9297,-0.5517,0.5399,-0.0934,1.9201,0.7147,-0.1535,1.2295,0.4635,-0.2738
0.2125,-0.4731,0.2743,0.7451,-1.3098,1.6462,0.4229,-0.9431,-1.5348,-0.4723,-0.926,0.4139,-1.1158,0.3424,0.5303,-0.5849,-0.7405,-0.2162,-0.6691,-2.2211,-1.3736,0.059,-0.9942,1.6854,0.2826,-1.3268,-0.1356,-0.9575,1.2046,-0.2848,-0.4746,1.1272,0.8195,-1.6561,-0.5282,-0.1609,0.8171,-0.8281,0.7422,-1.1659,1.1793,-1.1378,-0.7065,-0.6862,0.1149,-0.239,-0.6543,0.0987,-2.8905,0.2213,0.6314,0.359,1.4069,-0.5673,-0.0727,0.1672,1.1481,1.2505,0.8553,0.5518,-0.4082,0.2605,0.6996,-1.0196,-0.1171,-0.2224,-0.3664,-0.6256,0.2657,0.0965,1.0813,0.1181,-0.876,-1.2542,-1.6426,0.7108,0.8673,-0.0218,0.5796,1.8126,0.0573,0.349,1.0912,-6e-04,1.2098,1.7419,1.3131,-1.2652,0.2144,-0.7426
-0.0382,0.6255,-0.0899,0.9649,1.7937,-1.1018,-0.3093,0.3642,0.2614,0.43,-1.7652,-0.5537,-1.258,1.0585,0.4362,-1.3501,0.378,-0.5586,0.248,1.0139,0.2066,-0.5221,0.9226,-0.3377,-2.0205,-0.5074,-0.7831,-0.2333,-0.0043,1.1438,-1.4528,-1.0152,1.1504,0.2581,-0.5227,0.3201,1.2151,0.7303,0.7248,-1.84,0.2502,0.03,1.169,-0.7003,1.0689,-0.2197,0.3343,0.6591,0.5881,0.0826,0.1955,0.2866,0.3945,1.3108,-0.7235,-0.3671,1.1358,2.5649,-1.5528,0.7913,-0.1555,-0.259,1.0892,-1.0501,0.1062,-1.3069,1.609,0.5723,1.0959,0.4645,-0.013,0.1845,0.8629,-0.0709,0.3867,-1.0933,-1.4299,-1.6248,0.8323,-0.1046,-0.3245,-0.1544,-0.5324,0.236,-0.6033,-1.9443,-0.4062,1.0212,-0.0266,0.6338
0.0742,-0.02,-1.007,0.3815,0.0605,-2.2044,-0.622,0.4337,0.179,1.8483,0.9952,-1.4472,1.571,-1.864,-1.7769,2.4642,-0.5193,-1.3822,-0.6463,-1.6883,0.8544,-1.7726,0.8262,-0.8306,1.3073,-1.0666,0.4955,-1.3889,-0.4249,-0.1962,-0.7122,-0.978,0.7546,-1.1541,1.3748,0.7946,-0.3799,-0.0292,1.2965,0.3992,0.9804,-1.1615,0.7968,-1.8607,-0.1211,1.5133,-0.7992,1.5523,0.3516,0.8282,-2.2933,-0.3205,-1.8696,-0.879,-1.4114,-0.4691,0.6551,1.4494,0.363,0.295,1.3492,0.4585,-0.7307,-0.9337,1.4582,-0.4645,-0.2118,0.2118,0.251,-1.2988,0.2687,1.2048,-0.8983,0.4489,-0.9787,0.0213,-1.429,-0.859,0.2931,-0.6623,0.1199,-0.4049,0.4234,-0.672,0.1707,0.887,0.6249,1.6624,1.2495,0.0052
-0.7347,-0.2012,-0.8955,1.135,-1.0459,-0.7221,-0.2956,0.2159,-1.077,1.9373,1.0924,0.1172,-0.084,-0.7913,-1.9297,0.2416,-1.2639,0.0516,0.5456,0.8375,-1.0705,-0.1167,-0.8091,-0.8541,-0.3272,1.0143,-0.9857,-0.0441,-0.8075,-1.665,-0.137,0.2106,0.3493,-2.5931,-0.7808,0.6943,0.5167,-0.0725,-0.3372,1.8505,0.5883,1.2661,0.6878,1.5578,-0.0502,1.3058,-0.3091,0.3298,0.0307,1.1767,1.0919,1.7257,0.0433,1.7693,2.0505,0.4469,1.2519,0.0072,0.4349,-0.4283,0.7332,-1.2392,-1.5565,-0.2185,1.5315,0.6457,0.5274,0.3749,0.004,-0.9821,-0.5621,-1.1262,2.4203,-1.2475,0.172,0.0599,-0.7487,1.4508,-0.2603,0.5141,-0.8609,0.5534,-1.3666,1.0074,0.1894,-1.2508,-0.3032,1.2307,-0.8803,0.4142
4.9046,-1.3666,-0.3841,-1.6532,1.9439,-0.6877,0.8903,0.8165,-0.5334,0.3388,-1.6655,0.2656,2.0104,0.8677,0.0184,0.0452,-0.7318,-0.6446,0.0861,0.4684,-0.677,-0.133,0.2144,-2.394,1.7698,1.2982,1.2083,-0.066,0.1114,-0.6367,-0.0351,0.1098,-2.0169,0.1512,2.8229,-1.9025,0.0618,-1.6457,0.4564,1.0085,-1.4787,0.3843,-0.7683,-0.1985,2.0563,-1.1155,-1.0919,-0.4426,2.0086,1.0501,-0.3141,1.5527,-1.4506,1.472,-1.024,-0.3592,0.4997,-2.0057,0.2111,0.6362,0.0574,0.7294,1.1508,0.0897,0.0927,-1.7672,0.0691,0.1118,1.1859,2.3187,-1.2555,-0.8173,2.2447,-0.8137,-0.731,1.2778,-0.4085,-0.2909,-1.1916,0.21,-0.1383,-0.4718,0.2654,1.364,0.0113,-0.0862,1.4391,-2e-04,1.3299,-0.8655
-0.8148,-0.555,0.7986,-1.8844,-0.5745,-0.1761,-0.6038,0.45,0.9521,0.3411,-0.7454,-0.0702,-0.7072,-1.1438,0.5838,-0.4236,-0.8735,-0.8088,0.3556,-0.2469,-0.7343,-0.4447,0.5169,1.1393,0.0296,0.9445,1.1155,0.1482,0.2444,2.8524,-0.2463,0.0063,-0.65,-0.963,-0.486,-1.3739,-2.2099,-0.4679,0.7188,1.1568,-1.617,0.6646,-0.1443,0.4415,1.0935,-0.3065,0.4158,0.4666,0.5104,0.2091,-1.2754,0.265,0.9765,1.147,1.5848,0.4819,1.1655,0.9434,0.4496,1.1002,1.3337,-1.5074,-0.5969,0.3092,1.0383,1.3894,0.3317,0.9886,0.5298,-1.7168,0.6885,-1.3055,1.8291,-0.6914,0.8783,-1.1119,-0.0836,0.7076,-1.046,-0.161,-1.9409,1.0149,-0.1486,0.5436,-1.312,0.6631,-0.2185,-0.3193,-1.094,-1.1454
