"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7"
0.309,-0.3969,0.2188,0.0417,-0.53,-1.1696,-0.7224,-0.2339,-0.4555,1.728,0.6432,-0.5219,1.4698,-0.4269,0.2183,0.0763,1.1352,0.9198,-2.1881,0.7031,-1.0024,-0.4008,1.14,0.8187,-0.9704,0.8194,-0.5047,2.1612,-1.0614,-0.8546,2.6045,0.2821,0.1938,-0.3871,-0.6421,-0.2375,-0.0536,1.1395
-0.9735,0.5395,0.8719,-0.5476,-0.4164,0.0257,-1.2153,1.3589,-1.5841,-0.8398,-1.175,0.022,-0.4635,-0.5368,-1.2576,0.4998,0.5053,0.6801,-0.2349,-0.3048,-0.5093,-1.6013,-0.7981,1.0348,-0.5184,-2.5371,0.6933,-0.803,-1.7294,-2.6308,-0.6117,1.3562,-0.7703,0.035,0.9138,0.7153,0.9557,1.6481
-1.2971,0.9899,-1.9602,-0.4338,-1.0893,1.0016,-0.0781,1.5969,0.3042,-0.2806,-0.7071,-1.6156,-0.1088,1.3239,0.8253,-0.3901,-1.1511,-0.076,-0.0136,0.3995,0.8644,0.0196,-1.0192,-1.4081,-2.0539,0.4468,-0.25,0.272,-0.0296,-0.6964,0.2205,-1.9404,0.0534,-0.5848,0.4094,1.8247,-0.5583,0.2021
1.2205,0.1305,1.5459,0.2866,0.093,1.4175,-1.4526,0.4579,0.2448,-0.8373,2.1089,0.6211,-0.4733,-1.0914,-0.7472,-0.6732,-0.3094,0.0136,1.3542,-0.0826,0.3876,-0.5862,-0.3103,0.5458,0.2753,-1.4215,-0.6562,0.8126,-2.2026,-0.4554,1.2589,-0.6688,1.0233,0.6194,-0.487,1.5528,0.1254,-0.0977
0.3084,-0.2399,-0.9029,0.655,-0.2034,-1.1077,-0.621,-1.0427,-1.555,-0.2748,-0.4624,-0.0634,0.1755,0.3094,-0.1641,1.0272,-0.3664,1.8673,0.5298,-0.9182,0.0735,-0.4429,-0.11,-0.3788,-0.1287,-0.1577,1.5008,-0.1508,-0.5398,-0.5669,1.1646,-2.0617,-1.3761,0.6932,1.1534,-0.4678,1.8151,0.1368
-0.3596,-1.7942,0.335,-0.4097,-0.9295,0.1042,-0.1022,0.33,0.5975,0.4723,-0.7872,-1.0748,-0.3333,0.4922,1.3634,0.1109,1.5313,-1.3345,0.8702,0.3227,0.8075,-0.2181,0.5737,0.6119,-1.1293,-0.0379,-1.4496,-0.3846,-0.0967,0.8459,1.0422,0.5673,-0.7258,0.3774,0.3547,-0.0452,0.163,0.0983
-0.6893,-0.2463,0.984,0.4634,1.8531,0.1302,-0.5245,1.2194,-2.0337,-2.2257,-0.4589,1.2756,1.6667,0.739,-1.6439,0.6755,-0.2116,0.1825,-1.1411,-0.831,1.0787,1.1277,0.3977,-2.1535,-0.462,1.2545,0.3216,0.3491,2.4879,-1.5401,-0.8501,0.7992,1.3731,-0.7619,0.2066,0.7985,-0.7235,-1.3942
-1.2321,-0.8744,-0.8682,-1.8207,0.0612,-0.1105,1.6846,-1.1008,-0.7661,-0.1836,2.3922,-0.1399,-0.3466,-0.1179,0.7453,-0.6418,-0.6509,0.6513,0.5078,2.3698,-1.5704,-0.6694,1.7803,2.5643,-1.4302,-0.472,-0.2634,0.8238,-2.5542,-0.3191,-1.3468,-0.8093,1.7792,-0.9623,-0.069,-0.7962,0.581,-0.7959
-1.4691,-1.3239,-0.9533,-0.7392,-2.4022,-1.24,0.2336,1.115,1.6486,-0.2941,0.3558,-1.7208,-0.4421,0.1586,0.293,-2.7678,1.9761,0.2597,-0.8145,-0.3005,-0.1215,-0.6385,-0.2876,-0.0416,0.8883,-0.5438,-0.1072,-1.1856,0.987,0.3124,1.411,0.9661,0.4685,0.0141,-1.6486,-0.9795,-0.8097,1.2186
-1.1805,-1.0939,0.2174,0.2804,-0.3229,0.6253,0.1229,-1.5376,0.7819,-1.144,-0.2893,1.5494,-0.1158,-0.975,0.2702,-0.4683,1.5694,-0.4446,0.2754,-0.0267,-0.2108,0.0794,1.9068,-0.2086,-0.7663,0.842,-0.1017,-0.1678,-0.7127,0.1243,-0.0559,1.1823,-2.6128,-0.6549,2.76,0.3208,-0.1651,-0.0839
-0.4654,-0.4191,-1.1975,-0.3756,-2.5629,-1.913,1.672,-0.2033,0.107,-0.1628,1.089,-0.5782,-0.1876,0.9405,0.2622,0.1435,-0.1138,0.4581,1.6725,-1.1937,1.2962,0.3355,1.4038,0.2717,0.5303,-0.3975,-0.8167,-0.264,-1.9615,-0.6142,0.2547,1.2031,0.5941,-0.5399,-0.6612,1.3953,0.8362,-0.2986
-1.202,-0.3604,-0.408,0.6329,-0.2425,0.6885,1.5105,1.3415,-2.839,0.2678,-1.3951,0.1933,0.6853,-0.5896,-0.3023,2.0095,0.5107,-0.191,-1.3137,-1.2986,-0.3942,-1.8282,0.8371,-0.8929,-0.2648,0.4909,-0.6353,0.051,-1.2549,1.215,0.4576,-0.8195,-0.0729,1.1056,-0.1602,-0.3015,-0.8339,0.6687
1.5255,1.1538,-0.9555,-1.151,0.3768,-1.5794,-0.3169,0.0352,0.084,0.2568,-0.1178,1.6217,0.5346,-1.0248,0.1525,-0.031,-1.1407,-0.6107,-0.0173,0.6653,0.1407,-1.3686,0.3091,0.0276,0.4373,1.0299,-0.5113,1.575,0.5805,2.6722,-1.7495,-0.284,0.81,0.5868,-0.6708,0.1633,1.4163,1.246
0.1806,2.2113,0.271,0.789,-0.5539,-0.3379,0.012,0.6813,-1.0685,-0.5036,0.7013,0.6503,-1.5793,-0.3671,-0.3376,-2.2792,0.5851,-0.0096,-0.0761,0.5205,1.1389,0.0441,0.2077,0.4336,-0.6428,-0.7423,0.9439,-0.8349,-0.2035,0.0281,-0.1232,1.2311,-0.2414,1.8622,0.7005,-1.6698,1.0674,-0.8213
0.4902,0.4822,0.7129,0.7822,-0.0336,-0.1471,-0.9614,-0.1166,0.0415,2.3137,-1.1208,0.061,-0.6599,-0.7575,0.248,-0.4813,-0.5633,0.1815,0.6175,1.2943,1.437,0.874,-1.8537,-0.3345,0.8919,0.7485,0.9699,-0.1335,0.0508,0.1456,0.8943,0.0402,-1.1769,0.6249,0.5086,1.0513,-0.1231,0.0629
-0.5724,-0.113,1.0618,0.1791,0.3332,-0.6736,-0.687,-0.7863,0.1272,-0.3285,-0.4854,0.264,-0.4317,1.0793,-0.6171,-0.9888,-0.1443,0.027,2.0357,-0.8384,0.7776,0.209,-1.5123,0.9197,-0.089,-0.3692,0.7713,-1.5394,-0.4001,1.3597,0.5351,1.6477,-0.4648,-0.0335,-0.3756,-0.5741,0.7442,-0.5992
0.3847,1.7688,-0.3162,-0.0682,-0.3847,-0.5686,-1.4462,1.3178,0.4554,-1.6007,0.4226,-0.5182,0.9437,-0.6449,0.3143,0.5033,-0.8374,1.1822,-2.2026,-0.519,-0.0513,-0.613,-0.7906,-0.4676,0.4617,0.4752,0.9217,-0.6348,-0.1336,0.7479,1.2529,1.2289,-0.2147,-1.2826,-0.2974,0.4419,1.328,0.2746
0.9285,0.5755,-0.088,0.8909,1.3783,0.4709,0.6538,0.3506,-0.3039,-0.5509,-1.3903,0.8949,-0.0206,2.3707,1.4744,-0.2553,-2.1284,0.9258,1.1666,2.3371,0.3474,-0.2094,0.0838,0.5811,0.4717,-0.4249,2.2009,-0.1567,-1.4898,0.5507,-0.4389,1.0731,-0.7728,0.8546,-1.7713,-0.9717,-1.3899,1.5068
-0.5789,0.2432,-0.0797,-0.2228,1.8793,1.3013,-0.2277,-0.4886,-0.1526,0.9598,-2.0231,0.2092,0.4996,-0.1668,-0.943,0.6423,-1.399,0.841,-0.7086,0.8238,-2.0926,0.9699,1.2594,-0.2671,0.7466,1.64,2.7642,-0.4133,0.8833,-1.2472,-0.0761,-1.0385,0.8503,-0.8331,1.3552,-0.6347,0.6264,1.2327
-0.2158,1.2159,-0.0502,0.2897,0.8132,0.0367,0.5628,-1.2587,-0.4874,-0.7525,-0.2908,-0.6261,-0.0784,0.927,-0.4744,0.9017,0.8423,-0.6626,0.0864,0.0323,-1.3813,0.7629,-0.9566,-1.7847,0.0703,1.0058,-0.4473,-0.5952,1.1958,-0.422,0.0389,0.7989,-0.0209,1.3087,-0.607,2.2121,-1.3715,0.2579
-0.9805,-1.5812,-0.209,-1.1275,0.966,-0.5949,-0.2115,0.313,0.1257,-0.0677,2.0358,-0.5354,-0.4394,-0.5682,-0.5633,-0.9269,-1.3495,0.8967,1.0845,-0.4417,-1.6584,-1.1529,0.3071,0.3123,0.4281,-0.1943,-1.7282,0.3535,0.6906,-1.2995,-0.2577,0.0922,0.084,2.0622,-0.3401,1.9498,-0.4327,-0.1189
0.5302,0.3983,-0.762,-0.6885,2.337,-0.6653,-1.4627,-0.3947,-0.6515,-0.3981,-0.7962,0.5327,0.6646,0.2251,1.1689,1.0568,-0.5982,0.0529,1.5295,-0.5075,1.0573,0.9863,-2.1677,0.1169,-0.5572,-2.6339,0.5452,-0.0625,-1.2423,-0.9698,-0.4645,1.3869,-0.7324,-0.932,0.6182,-0.7786,1.4999,-0.5572
-0.9415,-0.0023,0.1896,0.3861,-0.1329,0.7162,-1.0608,0.7227,0.605,-0.6854,-1.3823,-0.9472,2.3333,1.132,-0.3331,-0.7218,-0.9558,0.8458,1.4684,-0.7347,0.7943,-0.663,2.4528,0.7486,-2.1734,1.2902,-0.7312,-0.6988,-0.3204,-1.0415,-0.9601,-0.9327,0.6529,-0.8895,-0.5682,0.7559,0.6956,-1.9651
2.534,0.9202,-0.6001,-0.595,0.1742,-0.4637,0.7461,0.9999,-0.9557,1.3192,-0.1226,0.7147,0.007,1.3805,0.9853,-0.183,-0.1449,0.3551,1.7675,0.8467,1.1064,0.5767,-0.1945,1.6145,0.9362,-0.1817,0.3705,-1.1365,0.5964,0.8963,-0.2522,0.069,-0.1106,0.8519,-0.4954,-0.784,1.7801,-1.0368
-2.5299,-0.822,-0.0342,-0.3222,-1.5544,-1.5474,-0.7649,1.8522,-1.3099,-1.8535,1.2328,0.8376,-3.402,-0.2328,-0.0548,-0.3593,0.5935,-0.4436,-2.0823,-0.1856,0.7398,-0.1378,-1.8925,0.036,0.0704,-1.3349,-1.1425,0.697,0.5159,-1.5783,-1.3257,0.3706,0.9961,-0.1158,-1.8779,-0.4063,0.6152,0.1947
-0.8525,-0.5625,-0.0879,1.084,-0.0631,0.0439,-1.4236,0.0065,-0.0864,-0.0208,-0.9412,-0.9733,-0.9579,-1.6006,-0.6421,-2.103,-0.3393,0.1969,-0.5522,-0.229,-0.1926,-0.1682,1.0429,1.2307,-0.8091,0.1184,0.5022,-1.1171,-2.2457,0.2678,-1.474,0.4912,-0.4137,0.9521,-0.3212,0.8785,0.9493,-1.4439
-1.1984,1.0502,-1.2709,0.1706,-0.5378,0.9102,-1.6196,0.1602,-0.457,-0.171,0.6171,1.203,-0.2265,-0.2984,0.8334,-0.3575,-0.9595,-0.5499,-0.3149,-1.1148,0.5037,0.5762,1.2318,0.0385,-0.9161,0.0214,-1.2181,0.8402,-1.5141,-0.3994,-0.5382,-0.3453,-0.3769,0.8036,-1.3615,-0.1382,-2.5196,0.4561
-0.6124,0.3498,1.158,0.505,-0.1409,0.4614,-0.5942,-0.3957,0.4496,1.4336,-0.2823,-0.3513,-1.5566,-0.2756,-0.6461,-2.0726,0.5939,-0.3203,0.5743,1.8413,0.6486,2.4836,0.7731,-0.5121,-0.0612,-0.4595,1.9413,-0.097,-0.7564,0.2769,-1.3166,1.9587,-0.1282,-0.0188,0.8005,1.529,-1.3871,0.4911
0.9385,-0.7788,0.1908,1.0141,0.1259,1.7097,0.345,-0.7095,-1.5286,-0.0593,-1.9673,1.4592,0.3169,-0.0303,-0.4769,-1.4972,0.1143,1.6994,-0.9223,0.4121,1.2613,-0.0322,0.936,-0.4771,-1.8819,1.0292,-0.9189,0.4075,-1.8634,-1.2337,2.2902,0.4715,-1.1339,-0.8305,-0.1062,1.1041,0.2777,-0.7891
0.3965,-0.8431,-0.3589,-0.2581,-0.1332,2.4684,-0.3468,-2.3634,0.2613,1.0345,-0.0602,0.4291,-0.5841,1.0893,-0.4742,0.2004,1.434,1.4101,-0.4559,-0.6949,-0.7702,-0.8095,-0.2149,0.9714,1.269,-0.8401,1.1243,-1.5736,0.8459,0.7536,0.3471,-1.1295,1.4148,1.2566,0.0484,-1.4891,-2.2293,0.2402
-0.7251,-0.7688,0.5119,-0.3164,-0.2846,0.625,-0.5309,-1.2044,0.979,0.2364,0.3421,-1.4786,0.697,-1.0054,0.956,0.3349,-0.0876,-0.4183,-0.0274,-0.1496,0.3517,1.0381,1.3217,0.0383,-0.2309,0.1825,-0.9314,-0.0313,-0.3901,0.2893,0.9038,-2.425,1.7017,-0.6741,1.6665,-0.7817,-0.3413,0.6166
-0.5926,0.3217,-1.0591,1.0415,-2.4814,-0.1789,-0.0667,0.6372,-0.8936,-0.8362,-0.2201,0.7164,0.9445,-1.6325,2.1121,0.6827,1.0079,-0.488,-1.8247,-0.8183,-1.3057,-0.3081,-0.234,0.7669,0.085,-1.2551,0.3983,0.1947,0.945,0.6751,-0.5152,0.1,-0.5583,0.956,-2.6428,-0.92,-0.624,-1.1526
-0.9405,0.7603,1.8814,-1.6968,1.2177,1.2699,0.0795,1.6467,0.7765,0.38,0.1267,-0.8073,-1.8146,0.7735,-1.3471,-0.6628,-0.3816,1.209,0.3841,-0.4194,-1.8429,-0.0438,-1.8982,0.112,0.4296,0.3758,-0.4515,1.8059,-0.1638,-0.7751,-1.5019,0.7955,0.3534,0.7828,-0.2737,0.7925,0.4584,-1.9417
-1.4022,-1.2808,0.5035,0.3761,0.6305,0.7466,0.941,-1.3877,0.8271,-1.1046,-0.8675,-0.4547,0.5636,-0.0282,-0.8629,0.4973,0.9351,-0.012,-0.0522,-0.8194,-1.516,-0.9354,1.8997,-0.9424,-1.6578,0.3173,0.6794,1.0185,1.3125,-1.0099,-0.478,0.6961,0.225,-2.062,-0.196,-0.6929,0.028,0.6825
0.2841,0.6206,-0.2884,0.1053,-1.8006,2.1201,0.0647,0.7467,0.59,-1.1872,-0.6956,0.3804,0.9728,0.3563,-1.0367,1.1474,0.1042,0.3361,0.9915,0.8661,-1.9249,0.4355,1.1919,0.1208,1.6322,-1.4811,1.3404,-0.4121,-2.7837,-1.6366,1.1796,0.0261,-0.1521,-1.9187,0.7831,-0.9773,0.9449,1.2047
-0.4462,0.3981,1.132,1.5835,0.0326,0.3466,-0.1305,-0.4319,-1.0984,1.2138,-0.1365,1.0446,-0.6805,-1.327,-1.2782,-0.4591,-0.5349,-0.0626,-1.048,0.7991,-0.8755,-1.434,0.7344,-0.9126,1.7239,-0.3684,1.737,2.1586,-0.7338,-0.5973,1.0763,-0.3769,0.3384,-0.8291,-0.9744,-0.2761,-0.6597,2.0278
-1.3706,0.2305,0.1677,-0.1783,1.4341,-0.1645,-0.3699,0.7912,-0.3133,0.2114,1.3221,-0.4777,-0.9265,-0.7045,0.1833,0.5654,0.0708,1.1796,-0.0776,0.8877,-1.2675,-1.1844,-1.2711,-2.0201,-1.5745,0.691,0.2326,-1.3145,0.9112,-0.8253,-0.8307,-0.3228,0.3184,1.6269,-0.4258,-0.8357,0.0884,0.4545
-0.3794,0.2028,-0.5877,0.2023,1.7803,0.842,-1.0071,1.7435,0.3243,-1.5846,-1.3497,0.1263,-1.936,-0.2202,0.148,-1.6687,0.2402,0.2913,1.1284,-0.2521,1.8208,0.467,0.9246,-0.8943,-1.2668,1.2003,-1.1048,0.3994,0.309,0.1065,-1.9643,0.7981,-0.4936,-0.5242,-0.6156,-0.7648,-1.2547,-1.524
0.0147,-0.6325,-1.4021,-1.2759,2.465,0.2212,-0.1257,-0.9595,-1.4389,-0.6121,-0.7862,-1.5553,0.9635,2.0933,-0.3732,-0.3831,1.6896,-0.2378,-1.8406,-0.5608,0.7704,1.3725,-0.1358,-1.4744,0.3093,0.5472,-0.7443,0.3343,-0.2614,-0.2174,-0.3538,-0.3403,-0.1566,-0.2527,0.3112,1.2035,0.637,-1.0955
1.7776,-2.066,-0.0408,-0.3453,-0.555,0.405,-1.3535,-2.0808,-0.8464,0.6084,-0.0435,-2.1169,2.0837,1.7305,-0.5077,-0.0085,1.0241,0.864,0.7524,-3.2644,-0.2453,0.8914,1.1696,-1.2015,0.7336,-0.3502,1.9757,1.0568,1.4964,0.4925,-0.2961,1.5858,0.5659,-0.4606,-0.0252,-1.0293,-1.2105,-0.4651
0.495,-0.6634,0.6208,-1.1024,0.9522,1.3454,1.4655,-0.2976,0.484,0.2785,-1.2353,-1.8796,-0.1164,0.0358,0.6298,0.5102,-0.4197,0.9443,-0.0832,0.6805,-0.3985,0.7558,1.9637,-0.7262,-2.6382,2.2002,0.1287,0.5186,-0.3805,0.6057,0.8327,-0.5301,0.4774,-2.642,0.461,-1.6945,0.726,0.8163
-0.714,-1.4443,0.3265,0.5954,1.4152,-1.2703,0.2038,0.6909,1.0737,-0.4445,-1.3386,-0.8058,1.1067,1.0649,-2.0407,-0.932,-0.037,0.5018,-1.3076,-0.9286,1.4719,-1.5596,-0.5046,0.7931,2.552,-0.4681,-0.4328,-0.0659,2.618,0.0075,-0.6229,1.9448,-0.9602,1.3249,-0.5486,1.1926,2.6669,0.3217
0.3654,0.0661,-1.3969,0.0821,-0.7682,-0.5972,-1.92,0.9501,0.3271,-0.9467,-0.2885,1.0239,1.2277,-0.5678,1.3079,-0.2574,0.765,1.5169,-0.7365,1.7179,0.2584,0.4554,0.5295,-0.4162,-0.9512,-1.1571,0.5131,-0.441,-0.0297,0.7314,-1.5649,0.3659,1.4914,0.8592,-0.2945,1.5378,-0.04,-0.1844
-1.1432,-1.7526,0.4193,-0.3359,0.5832,-0.7179,-1.274,0.4879,-0.4969,-0.2678,-0.4976,-0.9376,0.1013,-0.3774,0.1088,0.1178,-1.5008,-0.4082,-0.8968,-0.2338,-0.7736,-0.722,1.3661,-0.4675,-0.2485,-0.6685,-1.4183,-1.3278,-0.8252,1.317,0.6794,0.0718,0.1095,0.242,-0.154,1.3113,0.5791,-0.9346
0.6656,0.2361,-0.5544,0.2607,0.3046,-0.9145,0.702,-0.133,-0.6348,0.9068,0.5544,-0.9715,0.0402,-0.0892,0.8537,0.904,0.214,-0.1949,0.2244,0.1225,-0.1261,0.064,1.1043,-1.1186,-0.0407,1.3465,-0.4194,1.1827,-0.1592,0.6166,-0.7495,-1.399,1.0064,-1.2784,-0.2381,-0.4987,1.1961,0.7252
1.7616,2.3387,0.0092,1.3624,1.2805,0.0574,-2.2854,3.0675,1.9253,-0.5668,-0.3892,-0.2914,2.0521,-1.4173,-0.0808,0.7953,0.2447,-0.4395,1.5809,0.9528,0.0426,1.3378,0.0508,-0.1491,-0.3985,-0.4019,-0.8245,-0.0215,0.7052,0.9944,0.3169,1.1155,-0.6376,1.3454,-1.2267,1.1831,0.4949,0.8827
1.4911,1.1772,1.2472,-0.6621,0.2562,-0.4754,0.6857,0.9593,-0.3401,0.9608,-1.4746,-1.0949,-0.4472,-0.0073,0.0267,-0.1647,1.1769,0.9111,0.2391,-0.6651,-0.1098,-1.5403,-0.5691,0.9564,-0.6307,0.5256,-2.5293,-0.6087,1.2842,1.4753,-0.1871,-0.1182,-0.4393,0.6425,1.7446,-0.2821,1.3008,0.9791
0.7369,0.995,0.3345,0.5243,-0.2464,0.6839,0.302,-0.3837,0.692,0.6533,2.4569,0.5911,-1.1816,0.2329,-0.2864,0.2919,0.6333,-0.0351,-0.539,0.4429,2.2248,0.8853,0.6293,0.7786,0.0562,1.6416,0.4744,0.9241,0.9742,0.3395,-0.4445,-0.7184,0.1624,0.6244,1.3024,0.313,-0.9543,-1.3488
1.913,-0.2093,0.5284,0.0321,0.486,1.2881,-0.7169,0.1757,-1.1292,-0.26,-0.4875,0.2012,1.2387,-1.1189,-0.5602,0.2884,0.7739,-0.2392,-0.3125,1.1825,0.9744,-1.8232,0.682,0.755,1.4223,-0.3397,-0.5376,0.8044,-0.8883,-0.0442,0.3075,-1.1045,0.3469,0.805,-0.1378,-1.0613,-1.8362,0.8833
0.4846,-0.6672,-0.8309,-1.0607,-1.0656,-0.6822,-0.5792,0.8057,-1.0058,-1.8208,2.3907,0.6923,-0.5982,-1.4702,1.0077,-0.7828,0.4047,-2.9827,0.4675,0.2212,0.5902,-1.3791,-0.8283,0.454,1.3371,-0.6532,0.2251,0.2793,-1.9361,0.5276,0.4988,-0.0079,0.4974,0.1143,0.05,0.7551,0.5486,-1.2694
-0.1134,-1.4251,0.2236,-1.6066,0.6634,0.413,-1.3002,0.4565,-0.4005,-0.8254,-0.935,-0.9331,-1.4757,3.0352,0.0857,2.3819,0.884,0.1307,0.0838,1.825,-0.5163,0.2239,-1.57,-1.1906,-1.3572,-0.4899,0.8588,-1.6627,0.5604,0.47,-0.9333,-0.4621,0.5396,0.6587,-0.7189,-1.4673,-0.136,0.4207
-0.1473,0.6146,-1.4541,1.2585,-0.3635,0.3156,-1.1835,-0.025,0.358,0.6529,0.5392,-0.0917,-0.3362,-0.4765,-1.2182,0.2092,2.5152,-0.1571,0.5957,-0.4118,1.5477,1.6338,0.5591,0.2643,-0.4893,2.8022,-0.0438,0.4775,0.1157,0.127,-0.2943,0.9777,-0.8555,0.0934,0.3123,-1.1745,-0.4394,1.174
