"target","NS1","NS2","NS3","NS4","NS5","NS6","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20"
1.3931,1.2241,0.2387,-0.7413,1.0808,0.8658,1.7795,-0.1271,-0.8536,0.5398,-0.4584,0.6652,0.2497,-0.4527,0.3852,0.4336,-0.1126,0.5085,1.0891,-0.8234,0.5698,0.8737,-1.3837,-0.9985,-1.0971,-0.8005,0.4532
0.4967,0.3598,-0.6279,-1.096,0.6308,-0.1019,0.2864,-1.9415,-0.6933,0.6165,0.0642,1.3178,2.4162,-1.7484,1.3416,0.3861,-1.8637,-0.1164,-0.1631,0.8519,-1.6533,-0.9146,1.6901,1.4208,0.9255,-0.6357,-0.0032
0.6589,0.4008,1.3607,0.0378,-0.1136,0.6242,0.1263,1.1812,0.3823,0.6166,0.6498,-0.0955,0.6852,1.7699,-0.9572,1.2913,0.8376,0.9255,-0.821,-1.4262,-0.6667,-1.2449,-0.158,2.448,0.2468,0.2357,-2.2565
0.1291,0.1107,-0.6003,0.3105,-1.5329,0.959,1.2723,1.8599,0.9821,-1.6921,-0.026,0.1963,-0.447,-2.3774,0.1668,-1.0023,-1.4435,0.6482,-0.3073,0.4403,-0.4482,-0.36,1.1212,-1.0398,-0.7368,-1.6348,-1.2247
0.7378,-0.5558,2.1873,0.4365,-0.5211,1.6711,-0.7185,1.074,-0.7274,0.3687,-0.6436,2.488,2.7974,0.5728,-0.1,-1.1052,-0.2086,-0.1502,-0.9021,-0.7926,1.0439,1.3288,0.0723,1.031,-1.28,0.8712,-0.319
0.8688,1.7869,1.5326,-0.4584,-0.4899,0.056,-0.4503,-0.0273,-0.9968,0.9679,1.0453,0.4311,2.8322,1.0172,0.7685,0.5919,-0.4386,1.0404,0.6271,0.2823,1.0282,0.2927,-0.3324,-0.0941,0.0766,-2.1689,0.7123
-0.3882,0.4979,-0.2357,-1.0633,0.0472,-0.052,2.3975,-0.0333,-1.0417,1.2766,1.6155,0.1888,-1.2187,-0.631,-0.5759,-0.1197,-0.2186,0.2926,1.1204,-0.7407,0.4351,-0.7015,-1.8349,0.1418,0.2552,-0.5033,-0.3225
-1.4486,-1.9666,-1.0264,1.2632,1.3002,-1.7532,0.0111,-1.5161,-0.4146,-0.225,-0.0297,-1.3422,0.469,0.4443,-0.0101,0.074,1.46,0.6688,2.1272,-0.5233,1.6042,0.8822,-1.1002,1.2222,0.2774,-0.7872,0.5436
1.2761,0.7014,-0.7104,-0.3497,2.2931,0.0993,1.6336,0.7904,-0.239,-0.3219,0.5623,0.0029,-0.2112,0.4391,-1.7787,0.7413,-0.5821,-0.5942,0.3661,1.7694,-0.5154,-0.1334,-0.0413,0.2137,0.5369,-1.2486,-1.0638
-0.0037,-0.4728,0.2569,-0.8655,1.5476,-0.5719,-1.4385,-0.2107,0.4836,1.4878,-0.0974,-0.2213,0.1871,1.0406,-0.7776,0.7533,-0.7831,1.5804,-0.8748,0.6683,1.0125,-1.1207,0.8279,-0.8514,-0.4605,-1.0779,-0.2741
-0.8473,-1.0678,-0.2467,-0.2363,-0.1332,-0.974,-0.1905,-0.6567,-0.3213,-1.6679,1.0165,-0.011,0.2275,0.4841,0.125,-0.2627,-1.5197,-0.004,1.0245,-2.1449,-0.0359,0.4612,-1.8817,-0.4704,-0.5116,0.2501,0.217
-0.8785,-0.218,-0.3475,-0.1972,-1.7565,-0.1799,0.3784,-1.412,-2.0785,-0.4368,-1.1562,-0.5754,-1.2619,-0.2449,-0.7063,-0.3125,-0.8057,0.8478,0.9048,0.1264,-0.6673,1.5241,1.3754,0.6861,0.2369,-0.1198,-0.3594
0.245,-1.026,-0.9516,1.1099,-0.3888,1.0149,0.3,-0.2998,-0.0914,0.4575,2.3209,-0.6868,0.2856,0.916,-0.0436,0.0736,-1.1662,-0.1001,-0.2382,-0.4518,0.9234,0.4345,1.399,-2.3359,-0.5416,-0.3009,0.1128
-0.8994,-0.7289,-0.045,0.0847,0.0892,-1.9927,-1.0056,-0.8491,1.1872,-1.6178,-0.6035,-0.7208,1.7492,0.8006,-0.4679,1.063,0.4079,-0.2796,-1.5579,-1.1366,1.3811,0.192,-1.1433,1.0952,1.2192,-2.3208,-0.6707
-1.51,-0.625,-0.7849,0.7541,0.845,-0.4273,0.0193,-0.397,1.1916,0.2796,-1.4588,-0.2145,-0.1641,-0.9366,0.6069,0.426,-0.863,0.7844,0.7613,0.2098,0.8783,-0.6562,0.4723,-1.5672,0.1741,-1.3243,0.3743
-1.6061,-1.6867,-1.6679,-0.4993,0.9625,0.1166,-1.0774,-1.2176,-0.789,1.8779,-0.3509,1.3681,-0.1629,-1.4008,1.1685,1.433,0.304,-1.5846,1.1291,0.13,-0.5094,0.5684,-1.0336,0.0219,-0.6153,-0.1313,-0.0811
0.8869,0.8378,-0.3802,0.2144,0.6843,-0.8932,0.7127,1.6876,-1.5478,-0.0041,0.1467,1.0491,1.3986,0.1603,-0.8225,-0.0076,-0.1464,0.4784,-0.2951,-0.3285,-0.4698,-1.0706,-0.1252,-0.1904,-1.8069,-0.878,-0.047
0.6612,0.1534,0.919,-0.3247,-1.3953,0.3339,1.0848,-0.016,2.4581,-0.2785,1.6236,-0.36,0.8984,-0.274,-0.307,1.1257,-1.4336,0.3936,0.5362,1.9727,1.3777,-1.6531,0.9287,1.2931,-0.6437,-0.7968,-1.9488
-1.7419,-1.1381,-0.5753,0.0946,0.8496,0.4114,-2.225,1.0749,-0.1624,0.4749,0.9112,-1.6859,-1.6485,-0.9855,1.4398,0.883,-0.7906,-2.6953,-0.2759,-2.2487,0.3528,-0.0434,0.8683,0.1888,2.046,1.0495,-0.6737
-0.5646,1.2538,0.608,-0.8954,-0.4466,-0.033,1.2357,-2.6017,-0.0975,-0.2791,0.1425,-0.8446,0.2286,0.0839,-2.1989,0.6121,0.8851,0.3684,0.6823,0.8382,0.8296,-0.0346,-0.8492,0.1019,-0.5608,0.1756,-1.4896
-1.6728,0.4265,-1.6179,-1.3108,0.1748,-2.4659,-1.241,-0.4532,0.4206,0.8134,-1.3895,-0.4578,1.6535,-1.32,-0.3198,0.4147,0.9031,-2.1684,-0.1173,-0.289,-0.3387,2.3651,-0.3866,0.6981,-0.836,-1.0438,-1.6057
0.3587,-0.2951,-0.0556,1.9972,0.0746,2.5715,0.4548,-0.6755,-1.614,0.9044,-0.866,0.1036,1.4153,0.1612,2.0647,-0.2799,2.0056,0.6598,-0.3447,0.6565,1.261,-1.2163,-0.9762,-0.827,0.6529,-0.4687,-0.4939
1.3138,0.8951,0.5194,0.6007,0.4282,-0.2053,0.6599,-1.2229,-0.7282,0.0027,-0.1633,-0.6626,0.42,-0.6249,2.1936,-0.109,-0.0036,-0.4539,0.1116,-0.454,-0.8088,0.1709,0.3395,-0.1959,0.4413,-0.2849,-0.1608
-0.3026,0.8781,0.3012,-1.2513,0.0247,0.6512,-0.1999,1.5466,-1.5404,-1.1767,2.553,2.0067,0.7212,0.9572,0.1566,0.2294,-1.4958,-0.6949,-0.2834,-0.5939,0.6254,0.8051,-1.5591,1.1776,0.7516,-0.6803,0.2836
0.2184,0.8216,0.1057,-0.6112,-1.6675,0.2738,-0.6451,-1.4153,-0.6931,-1.3182,-1.8602,-0.2723,-1.1969,2.4245,-0.8636,0.0489,-0.7684,-0.0068,-0.591,-1.7104,-0.8172,1.0506,-2.6293,0.6835,-0.278,-0.9641,1.0913
1.123,0.6886,-0.6407,-1.1855,0.7365,1.0247,0.1653,0.3184,0.1188,-0.593,1.1311,-1.2139,0.3001,-0.916,0.1655,0.9432,0.4085,1.3731,-0.3159,-0.2094,-2.4626,-0.0107,1.4698,-1.2755,1.1227,-0.0518,0.4444
0.4523,0.5539,-0.8497,2.1988,0.386,0.8177,0.4388,0.8464,-1.3647,0.7974,-0.5272,-0.1413,-0.9544,1.0577,-0.6528,-0.1093,1.9001,-0.6353,-0.0082,2.4787,-1.343,-0.7433,2.2735,0.638,-1.1726,0.7412,1.0121
-0.9581,-0.0619,-1.0241,1.3124,-0.2657,-0.2098,0.8833,0.1782,0.59,-1.9582,1.666,-1.0054,-0.458,0.8251,1.4528,-0.0704,0.11,0.5581,0.2075,0.9897,0.1363,-0.0658,-0.455,-1.3776,-0.0489,0.2269,-0.5263
-1.0349,-0.306,0.1176,-0.2651,0.1181,0.3782,-2.0523,-0.8753,0.2893,-1.8863,-1.1392,0.1562,0.9356,-0.0702,-0.8065,-0.4843,1.1404,0.3412,1.5324,1.6756,0.8829,1.9398,0.7611,-0.5983,-0.7041,-0.2001,-0.3078
-0.6672,-0.3805,-0.9475,0.5432,0.134,-0.9454,-1.6364,0.9412,-0.9042,-0.6538,0.1436,0.2336,-1.1369,-0.4536,0.3729,-0.1383,0.7681,-1.1795,-1.358,0.915,-1.7513,0.4827,-0.0075,1.2109,0.6808,0.3878,1.0852
0.1238,-0.6947,-0.4906,-0.4143,0.221,0.8569,1.4304,0.1706,0.2263,0.3944,-1.0996,0.3556,0.2669,1.5753,0.6199,-0.0688,-1.1681,-1.741,-0.1996,1.1443,-1.2514,-2.0445,1.4743,-2.251,0.13,0.7939,0.0012
0.377,-0.2079,-0.2561,-0.4762,1.6408,-0.461,1.0466,-1.0635,0.7481,-0.9136,0.9035,-1.6219,0.4283,-2.0055,-0.7575,-2.3137,-0.1711,-1.9926,0.6315,0.9029,1.7645,1.4235,0.5541,-1.779,1.1097,-0.1405,-1.6802
0.8846,-1.2654,1.8439,-0.7886,-0.2191,2.4168,0.4353,-1.388,1.0611,0.8867,1.4838,0.2207,0.0549,-0.6432,0.8515,-1.3648,1.3053,0.5513,1.762,0.4754,-0.4339,0.5405,0.2037,1.3014,2.0585,0.4558,-0.8466
-0.259,2.169,-0.6519,-0.5946,0.1681,-1.651,0.7152,2.0867,-0.2128,0.3334,1.9507,0.3105,1.8222,-1.4368,-0.7479,-0.0725,0.8761,-0.0347,0.426,-0.5825,0.5057,-0.0336,-1.7991,-0.8148,0.1407,-1.1456,1.0076
2.0843,1.208,0.2354,1.6509,1.1684,-0.464,0.9172,-0.6785,-0.0936,-0.1706,0.7976,-1.4211,-1.0223,1.3953,0.6302,-0.2653,0.4638,1.8506,-0.0138,-0.5329,-0.5269,-0.0179,1.083,1.2437,-0.5346,-0.2497,-0.6107
-1.8772,-1.1231,0.078,-0.054,1.0542,0.8254,-2.6609,-1.8556,-0.0867,0.8188,1.8433,0.9554,0.6061,-0.1907,1.0967,-1.2009,0.4771,0.5737,-0.3076,-1.6008,-0.2986,-0.1498,-0.3509,-0.1683,-0.8235,-0.4203,0.3334
-0.9177,-0.4029,-0.9619,0.1192,1.1453,0.5101,1.1103,0.5333,1.4415,0.3884,1.2464,0.7842,-0.0889,-0.5247,-0.9884,-1.9915,-0.4914,0.8497,0.4143,-0.0058,0.0872,0.2566,-1.4035,0.4278,-0.263,0.1957,0.0142
0.229,-0.4667,-0.0713,0.2437,-0.5775,-0.5895,-0.485,0.3102,1.1251,-0.4459,-0.1319,2.2996,-0.2608,3.184,1.108,-0.3544,-1.3194,1.3344,0.9891,0.8994,0.011,-0.5039,-0.2018,0.8133,-0.0696,0.3573,-0.4964
0.6584,0.78,1.4446,1.2325,2.0025,-0.9968,0.2306,-1.3538,0.8344,0.2311,0.477,0.1567,0.4641,-0.05,-0.4895,0.6535,1.2954,-0.5007,-0.1839,1.0319,-0.1926,0.277,-0.1268,-0.6512,1.9918,-0.1236,-0.3508
0.383,-0.0834,0.4515,-0.5161,0.0667,0.1445,-0.2952,-1.943,-0.2873,0.6475,-0.972,0.0467,-1.0204,-0.4437,0.2944,1.7732,-1.4202,0.5101,0.1638,0.0951,-0.4698,-0.9314,1.0592,-0.3046,-1.1291,-0.7662,0.3917
-0.4261,0.2533,0.0412,-0.9925,1.8669,-0.0143,0.872,-0.1163,0.3732,0.3563,-0.1852,0.0966,-1.3135,0.2999,0.2018,-0.0385,-0.9389,0.8688,0.2169,-0.5476,-3.0479,0.2001,-1.1674,-0.4151,-1.0932,-0.9297,0.2096
-0.0488,-0.0285,-0.4225,1.6757,-1.3509,-1.7903,-0.3485,1.1394,0.4033,-0.658,1.221,0.0698,-0.4945,-1.5684,-0.4272,1.4932,0.629,1.3694,0.7293,3.2905,1.8687,1.1068,-0.5576,2.8161,-0.408,0.2785,1.2347
-2.0691,-0.0429,-2.0532,-0.4412,0.021,0.0346,0.5185,0.6361,-1.0417,0.8552,0.5413,-1.8485,1.7518,0.4903,0.2681,0.083,-1.2622,0.7627,1.1114,0.7367,1.7904,0.5092,1.4881,0.1261,0.5876,1.3568,-0.1998
0.7933,1.3686,1.1313,-0.7231,1.2499,0.1902,-0.3907,-0.4929,-1.7283,1.1529,0.4574,-1.6711,0.0558,-0.0962,-1.2304,0.1155,-0.5519,0.4211,0.2792,1.4206,-1.1011,1.0337,1.3587,0.4728,0.8211,-0.7871,-0.9232
-0.3865,-0.2258,-1.4606,-1.2363,-0.7152,0.1747,-1.0928,-0.8342,0.6418,0.2763,-1.0381,-0.0775,0.3314,0.4685,-0.1361,0.3248,-1.1828,-0.8682,-0.0762,-0.3377,-0.1681,-1.0909,1.1632,-0.3408,-0.9079,-0.3848,0.1659
0.7371,1.5165,0.7399,-1.2847,-0.7527,-1.055,1.21,0.2711,-1.5293,0.1441,-0.6045,-0.5811,-0.1898,-0.9824,0.8258,-0.8706,0.6207,0.7296,1.3947,-0.038,1.3753,0.0548,1.6615,-0.2418,0.127,0.3307,0.7053
0.4459,-1.5488,1.9091,-0.574,-0.9385,0.4761,0.7409,0.1574,0.0017,-0.0756,-0.7646,0.0547,0.4705,-1.023,-2.1741,-0.0517,0.4463,0.5003,0.1645,0.4486,0.9983,0.6173,0.204,1.3788,-0.0429,-0.5546,2.282
0.4525,0.5846,-1.4439,0.618,-1.0525,1.3786,1.7243,0.6297,0.2502,2.1614,0.3953,-2.1112,-0.9517,-0.6934,-1.4879,0.9084,0.4219,0.6343,1.5779,1.6765,1.2766,-1.068,-0.5819,-0.3389,1.1952,0.1216,-0.4637
0.981,0.1239,0.7018,1.1098,-0.4372,0.4562,0.0652,-0.3958,0.5639,0.2763,-0.9905,-1.4987,1.1579,-0.768,-1.1619,-0.7497,0.4425,0.4236,-0.0619,-0.3115,-1.0717,1.5658,0.5552,0.0201,1.0892,-0.0476,-0.3264
0.8335,0.2159,-0.2622,0.7076,0.3312,-1.1356,1.125,0.8994,0.1894,-0.1583,0.562,-1.1015,0.5847,1.299,-1.5891,-0.3216,0.5572,-0.2018,0.6139,0.8536,2.5773,-1.0348,1.0587,0.377,-0.3123,-0.7763,0.8825
-1.0566,0.3796,-1.5721,-0.3637,-2.0142,-0.4356,1.9754,-0.8308,-0.7329,-2.5079,-1.1164,0.9861,-0.8065,1.5791,0.4196,-1.1478,0.6394,-0.0769,-1.5461,-2.0948,-1.1335,0.1645,2.4136,-0.4317,0.046,0.8314,1.2813
-0.0815,-0.5023,-1.5147,0.0597,0.212,0.3461,-0.2815,-0.3305,0.9864,-1.5653,1.8285,-1.0985,0.0546,-0.1569,-0.9929,0.3544,-1.9687,0.6874,-0.1124,-0.5073,0.7539,0.1518,-1.965,1.9591,0.6527,0.8463,-0.6587
-0.4167,-0.3332,-1.6015,-0.7046,1.2367,-0.647,-1.323,0.7408,1.7386,-0.0777,0.4606,-0.7995,0.7163,-0.3589,-2.1645,0.4248,-0.1488,0.1716,-0.0218,-1.292,0.1413,0.1217,0.2732,-1.4285,-1.6535,1.0241,0.6646
-1.0812,-1.0186,-0.5309,-0.7172,2.0376,-2.1576,-0.2394,0.99,0.8812,0.2063,-0.701,0.0799,0.5577,-0.329,-0.6376,0.6483,0.1125,-0.8301,-0.7583,1.1134,-0.4037,-0.2104,0.6548,2.0113,-0.3103,1.268,-0.5652
-1.1738,-1.0718,-1.4618,0.8847,1.3012,0.8843,-0.214,-1.9385,-1.9437,0.2769,0.241,-0.3227,1.4819,0.0692,-0.3906,-1.2198,0.7247,-0.2902,-1.0359,-0.1645,-0.3794,0.4499,-0.0546,-0.3516,0.5749,-0.5064,-0.9622
-0.4021,0.3035,0.6879,-1.0156,0.7568,-0.8295,0.1517,0.1072,1.3996,0.8215,-0.3525,0.1464,-0.613,0.0969,0.8568,0.1072,-1.1875,-1.3191,0.9482,-0.3904,-0.9914,-1.0312,-1.5578,1.3571,-0.5232,-0.4645,0.6234
1.625,0.4482,2.1001,1.9553,-1.7267,-0.5736,1.7123,0.6088,-0.0561,-0.1942,0.3711,2.3051,1.1161,0.29,-1.1038,-0.9441,-0.4996,-0.967,0.9142,1.3691,1.6227,-1.2894,0.7415,-1.9992,-0.0599,0.2612,0.1065
-0.5604,0.053,-1.287,-0.0903,-0.6015,1.5039,-0.3261,-1.4508,0.5249,1.2146,0.2435,-1.1246,1.0365,-0.7467,1.1613,-4e-04,-1.0736,-0.1446,-1.2987,1.1163,0.0895,-0.6546,-0.7791,0.9561,-0.021,0.6301,0.3893
-0.4455,0.9223,0.7877,0.2145,-0.352,-0.7741,0.373,0.4806,0.622,-0.9215,-1.0141,-0.3055,-0.1625,-0.8469,0.3984,1.3426,1.0572,-1.7981,0.4244,-0.898,0.2592,-0.0573,0.5059,0.8764,-0.7237,-0.3396,-0.5805
1.8614,2.0501,0.769,-0.7385,0.7035,0.8457,-0.2277,-0.8282,-0.0967,-1.2084,-0.7913,-0.5168,-0.9759,1.1971,0.3624,-0.5035,1.2791,-1.6885,-1.1125,0.4279,0.2096,1.2567,0.9076,-1.2712,-0.9945,-0.4233,1.795
-0.8199,-0.491,0.3322,-0.5744,-0.1057,-1.2607,0.0205,1.0203,-0.0753,-1.229,0.2996,1.5124,-1.0891,-0.5486,-0.8525,0.7167,0.7877,1.1026,-1.0511,-1.2284,-0.3752,1.5875,1.284,-0.7683,-0.1999,-0.6183,0.6653
-1.5931,-2.3092,-1.0084,-1.317,-1.2586,-0.3545,0.3141,0.5385,1.0192,0.7423,1.6391,-0.7695,0.4578,0.303,1.9537,-0.7497,-1.2224,-0.5766,0.5254,-0.4756,-1.134,0.3195,-1.5579,0.1935,-0.347,1.4822,-0.3744
0.2808,1.0057,-0.1195,-0.1829,1.6844,-0.0736,1.3282,0.7691,0.7116,-0.0829,1.0846,-0.0821,-0.0711,-0.057,-0.1643,-0.4785,0.452,-1.8517,-0.686,1.6166,0.2537,0.3816,1.0817,1.1438,0.8341,-2.5082,0.7027
-0.5269,-0.7092,-0.2804,0.419,0.9114,-1.1687,0.1213,0.1207,0.9903,0.7898,-0.6246,0.7871,1.7791,-0.9578,-1.8249,0.4387,1.1504,-0.1129,0.9935,1.4501,-2.0936,-0.2436,-0.757,-0.766,1.5299,-0.1676,-1.2145
1.0295,-0.688,0.563,0.3243,0.2374,-0.6347,0.7128,0.8636,2.3829,-0.2677,0.8259,-1.0586,0.5351,0.5911,-0.2039,-0.6791,0.1679,1.3211,0.0385,1.109,-1.4186,0.0481,-1.289,-0.2241,-0.0119,0.0382,-0.1378
0.5162,1.0256,-0.3724,-0.7815,1.2181,-0.0288,0.7789,1.3805,0.6644,-0.5919,-0.0486,1.6552,-0.3719,0.1731,-1.9344,-1.703,-0.5661,0.6623,0.5361,-0.5709,-1.0764,-1.4045,1.3143,1.5713,0.3987,-1.0596,1.4034
0.4646,-0.2848,0.977,-0.7886,-1.3388,0.6707,0.9148,1.9662,0.2074,-0.3684,0.3013,0.6758,-1.0255,1.3998,-0.3105,1.2652,-1.0861,0.4414,-0.5236,-1.8814,-1.0787,0.2899,1.1463,-1.1273,-0.0704,0.3854,-0.1888
-1.1353,-1.2207,-0.3746,-0.5022,0.6608,-1.6505,-0.5744,-0.0284,-2.2106,-1.8526,0.2604,-1.0742,-0.5824,0.1175,-0.4222,0.3604,-0.6653,1.1837,-1.1512,-1.1757,0.1072,-0.5356,-0.2426,0.9478,0.6014,-1.9671,0.9105
1.8299,0.1813,1.0527,1.4961,-0.5229,-0.3498,1.6269,-2.2491,2.6917,-1.1696,2.5754,0.4546,0.3429,-0.3315,0.6818,-0.5836,0.7148,-0.7715,0.9148,0.9526,1.5985,0.3347,0.7595,0.4488,0.2185,0.955,-0.2219
-1.0799,-0.1389,-1.0492,-1.1373,0.6837,0.7564,-0.381,0.0315,-0.4827,-1.442,-1.1853,-0.2133,-0.4509,0.2783,1.0095,-1.9941,-0.4317,0.7297,0.2381,-0.2906,-1.5153,-0.346,-0.8603,-1.1058,0.2366,-1.6634,-2.298
0.0112,0.0058,-1.2602,-0.1791,-0.0608,-0.5388,-0.1058,0.2056,2.3747,1.0543,0.1009,0.3132,0.5142,-1.1856,-0.7261,1.9022,0.2276,-0.5871,-0.2391,-2.1626,0.4337,-0.6616,-0.151,-0.6679,1.1129,-2.2027,-0.8802
2.4725,0.3853,3.241,1.9024,0.633,0.2273,1.4041,-0.1553,0.3746,-0.5973,-1.78,-0.09,-0.3343,-0.8359,0.8061,3.3904,1.2949,8e-04,0.0692,-0.1802,0.8995,-0.2191,-0.0937,0.7833,-0.9874,-0.7636,0.2227
