"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37"
0.3848,-0.0078,0.3903,-0.4117,0.765,-1.1844,-0.4595,0.4831,0.4615,1.3513,-0.6421,-0.3304,0.9557,-0.3211,0.4457,0.7204,-0.8635,0.9097,0.5066,1.7394,0.1447,2.7642,-1.5454,0.4775,1.266,0.4197,-0.9802,-1.0425,-1.4888,-1.5907,-1.091,1.2061,-2.5347,-0.7327,0.1303,-0.524,-0.0488,0.653,0.2793,0.3799,-0.5807,-1.2095,-1.3732,0.4853,1.9418,2.3635,-0.2902,1.5721,1.4484,0.5919,-1.5891,-0.5911,-0.6974,-0.1776,-0.0067,0.0015,0.315,-0.052,-0.6674,-2.0775,-1.3735,1.3611,-0.6417,0.5818,0.6966,-0.1838,0.3746
0.7118,-0.6467,0.1287,-0.2745,-0.575,-1.118,-1.0549,-0.6782,0.3083,-0.8815,-1.0552,0.6319,-1.4577,-1.3429,0.2544,0.5272,0.867,1.4349,-1.2373,-1.8539,1.7544,-1.0274,0.4298,-0.7194,-0.9002,-0.7366,0.7955,0.5003,-0.061,0.3937,0.6837,0.6024,-0.219,0.9816,-0.1638,-0.8934,-0.8363,0.2921,0.4407,1.0937,0.189,0.5296,0.1999,1.0433,-0.1011,1.3051,-1.0072,0.4086,0.0095,-0.7006,-0.6174,0.0653,-0.8743,-0.5152,0.7602,1.2763,-0.0636,0.9768,0.3581,1.4467,0.5975,-0.9544,1.151,-0.639,-1.1819,1.281,0.4774
-0.746,-0.8314,-1.0232,-1.5387,0.3281,-0.1714,0.9718,-0.8265,0.9193,0.5971,-0.065,0.8557,-0.5431,-0.6576,-0.2904,-0.1705,-1.4544,-0.7523,2.0166,0.8182,0.0441,-0.0169,-1.0309,-0.0153,0.377,0.0487,-0.8151,0.5085,-0.7436,1.3218,-0.2704,0.462,-0.9092,-0.8522,0.4387,-1.295,-0.289,0.3856,1.6384,0.5687,-0.6624,0.2365,-0.251,-0.954,-0.5211,-0.7845,0.6697,2.3198,0.3007,0.042,-0.4605,0.1758,-2.6138,-0.9203,0.2452,0.9205,-0.3836,-0.3593,-0.2938,-0.5604,1.5065,-1.0991,-0.2242,-1.372,0.4081,1.3414,-0.8545
-0.3499,-0.3034,-1.0247,0.1759,-0.0439,-0.2008,-0.354,-0.1182,1.1436,1.4197,0.0383,0.6258,-0.7182,0.1036,0.8471,-1.5775,-0.706,0.5367,1.3521,-0.3927,0.2919,1.3746,0.1911,-0.7456,-1.075,0.5436,0.9812,0.3793,0.9982,-1.7461,-1.261,0.4735,1.0384,0.1465,1.2434,2.2094,0.0753,-0.2366,-0.2378,1.7854,0.4876,0.8608,-1.4264,0.4249,-0.1137,0.2942,-0.2862,-0.1711,-1.5369,-1.848,-0.1174,1.1943,1.7775,0.3104,-0.4232,-0.0538,1.1628,1.3711,0.8883,-0.1896,0.778,-1.39,-0.2453,0.1449,-0.2532,0.7381,-1.2224
-1.0396,-0.5475,0.7194,0.1866,-0.9888,-0.8197,0.5533,-0.9897,0.2099,0.4568,-1.2169,-0.5195,-2.1555,0.9609,0.127,-0.9839,-0.6331,-1.7468,0.6372,-0.861,-0.1159,-1.3203,-1.1409,1.7049,-0.6971,0.652,0.5246,-0.8721,0.4794,0.5698,1.3581,0.3112,-0.4364,1.9481,0.5987,1.845,2.4822,0.3605,0.0855,-0.2041,-1.2601,-0.2687,0.4046,1.1334,-0.004,-1.3403,0.1935,0.6703,0.3011,0.5133,0.7321,0.7204,2.1054,-1.5955,-0.2151,-0.2044,-0.4733,0.961,0.8404,0.8026,0.0702,1.1015,1.7817,0.4733,1.8378,1.0293,0.4944
-0.8773,-0.8555,0.1612,-0.04,-0.4229,1.9308,1.5218,1.085,-0.5346,1.9225,-0.2931,-0.7195,0.0101,-0.4481,-0.8197,-1.0187,0.3929,-0.4441,-0.2541,0.2769,-0.3657,1.1908,0.7151,0.0614,1.2305,0.0131,-0.2478,-1.5255,-0.5501,-1.0529,0.377,-0.3256,0.3511,0.0629,-0.9409,-2.0339,0.1389,0.8472,-1.0152,0.4597,0.5001,0.7524,-2.0506,-0.5765,0.055,0.0507,0.2901,0.2125,0.2235,0.2562,0.6367,-0.6447,0.5969,0.0044,0.224,-0.2574,-2.3955,2.5474,0.0197,0.4672,0.3572,0.1205,0.0622,-0.2717,0.3065,2.5055,-0.0702
0.3101,1.4702,0.6917,-0.1852,-0.6998,1.3578,1.4607,0.2259,1.1764,0.7469,-1.917,0.0155,-0.6607,0.1507,0.7021,1.965,-0.0498,-1.15,0.0521,0.5056,0.3552,1.869,-0.7025,0.8804,0.4128,1.6103,-1.6289,0.3337,-0.4826,-0.6053,0.6924,1.3067,-0.8595,-0.5191,0.6199,0.3983,0.7177,-0.7024,-1.6702,-1.994,-0.5749,-1.0468,-1.4971,-0.6345,0.1062,-1.3433,2.3177,0.2044,0.4377,-0.7742,0.2006,-0.7098,1.356,-0.5273,0.8276,0.4566,1.1135,0.411,-0.5043,-1.0954,-0.9536,1.0106,1.0735,0.1375,0.8311,1.2708,0.2076
-0.7352,-1.2437,0.3528,-1.9667,-1.3931,-1.1812,0.6964,0.5032,-0.7621,0.6664,0.5078,-2.0907,0.4953,-0.4812,-0.7325,-0.1937,-0.3036,0.1111,-0.2378,-1.0101,-1.4995,1.2275,-0.4661,0.9673,-1.7676,0.3402,2.18,0.1965,1.2246,-0.2312,-0.7027,-1.0181,-0.3069,1.7374,-1.2442,-0.1801,-0.7321,0.4524,0.8308,0.5741,-0.4611,1.5007,0.3924,1.3927,0.9535,-0.6111,-1.2436,0.1919,-0.1245,-0.1948,0.5079,1.5651,1.2428,0.4333,0.2927,0.148,-1.4452,-0.9662,-0.6715,0.3066,-0.9893,1.0196,1.1016,-0.3543,0.5076,-0.9653,0.0806
0.1265,-1.8585,-0.2586,0.03,-0.5436,0.0457,1.5621,0.878,-1.8746,-0.6246,-0.3566,0.778,-0.3179,-0.9293,-1.0347,0.4201,-0.167,0.7122,-0.8801,-1.6124,0.2366,-0.4261,-1.4101,-1.0915,-0.7293,-1.3996,2.0252,-1.3596,0.4588,-0.7725,-0.5918,0.1481,-1.7505,-0.3959,-1.2357,0.8347,0.6058,1.7987,0.977,-0.1979,-0.1636,2.5816,-1.0271,1.9543,1.3352,0.3766,-1.4222,-0.7102,0.1681,-0.4687,-0.4681,1.5471,0.3365,1.7478,1.1134,-0.3356,1.1017,-0.5019,-0.6862,0.2649,0.6511,-0.0357,1.2791,0.7361,2.2218,0.7984,-0.2876
-1.596,-1.0042,-2.0002,1.226,0.1089,-1.0203,-0.0854,-1.8216,-0.6935,-1.6069,0.4208,0.3693,0.4921,0.5782,1.069,0.8387,-0.4083,-1.3494,1.3743,0.4238,0.8478,0.3634,0.9144,0.8074,0.6066,2.2877,0.4428,-0.0847,-1.6224,-0.1582,0.2287,-0.1447,1.5021,-1.2831,0.4335,-1.0287,-0.607,-0.3032,-0.5063,-0.6061,-0.6336,0.3529,-0.6542,-0.7176,-1.234,-0.7804,-0.5715,-0.086,-0.7966,0.1328,-1.2415,-0.6977,0.1488,-0.111,0.2951,-0.1671,-0.006,-0.216,0.4464,0.745,-2.0262,0.9586,0.4273,-0.4955,1.0815,0.133,0.7743
0.1758,-1.0307,-0.4958,-1.0862,0.1937,-0.0439,0.1707,0.0625,2.5093,-0.3529,-1.2817,-1.4044,1.2265,1.5747,0.8643,1.1574,-0.2137,0.9621,2.4179,-0.3682,-0.0311,-1.2521,1.4048,2.0402,0.6129,1.0618,1.2604,-0.0606,1.7064,0.3004,-1.118,0.6447,2.09,0.0524,0.1571,-0.5632,1.7919,0.8555,0.534,0.5095,-0.4322,-0.5388,1.3157,0.3892,-0.8438,-1.0487,-1.3447,-0.4455,0.2302,-0.2371,-0.0957,0.5624,0.3558,-0.5916,0.1863,0.5889,-0.1205,-0.449,0.9347,-2.3829,0.067,1.2062,-0.798,-1.314,0.1743,1.0239,0.4711
0.2935,0.1874,-1.1857,-0.5362,-0.7556,-1.1951,0.2285,0.1458,-1.649,-0.9759,0.2205,-0.7875,0.0703,0.0039,-0.1546,1.0916,0.9922,1.4805,-0.9146,1.2997,0.6212,-0.733,-0.9253,0.3621,-1.1221,0.3321,-0.5476,-0.128,-0.5538,0.6764,-0.2735,1.6934,0.2324,0.5465,0.449,-0.3718,-1.1591,-1.2405,-0.4445,-1.9932,-1.3095,-0.2841,1.2296,0.0068,-1.2637,0.6718,-0.5086,-1.7184,0.6506,1.4429,-1.0023,-1.0052,0.4155,-0.6603,-0.2097,-0.0561,1.9067,0.1829,-1.1924,-0.9669,0.9255,0.9569,0.2858,1.5542,-0.651,-0.9012,-1.2366
1.6886,0.1083,-0.8595,-0.6159,-0.3612,1.2853,-0.9854,1.0851,1.8513,1.2928,0.1335,-0.0308,-0.4143,-0.2063,-0.4797,0.4126,2.258,0.8991,-1.0145,0.4502,-0.7707,0.2702,0.2241,0.6146,1.3042,0.0555,1.1238,0.3977,0.2063,0.4299,1.1835,-0.1951,0.4624,-0.3562,2.4356,1.1003,-0.3308,0.1101,1.6162,-1.621,-0.0625,1.7524,1.0205,1.5551,1.0332,-1.3855,-0.1507,0.0451,-0.106,-0.3776,0.9451,-0.4422,0.6568,-1.1052,-0.8584,-0.1554,-0.3925,0.5323,-0.2978,0.8953,0.0428,0.6252,1.819,-0.6379,0.0196,1.2328,-0.3637
0.4859,-0.1518,-0.4955,-0.453,-1.0177,0.7082,-0.3312,-0.9543,1.6591,-0.4665,-0.2678,0.5193,0.296,0.4787,0.5719,0.3257,0.874,1.0257,1.3121,0.5829,0.0159,1.6656,-0.5884,-0.5561,-0.6933,0.0753,0.0651,-0.4606,0.2606,-0.3184,0.3454,-1.9179,0.6658,-0.2023,0.8674,0.8175,0.0377,-0.8782,-1.3897,-0.9948,-0.1547,0.1816,-1.4882,-1.2051,-1.2056,0.0078,-1.266,-0.0164,-1.4022,-1.6929,1.0579,0.8202,-0.1239,0.6669,-0.2945,-2.1149,-1.4053,-0.8056,1.095,0.8806,-1.4078,-1.506,1.3773,-0.5449,-1.3401,-1.0501,1.8783
-0.0199,-0.0635,0.5323,-0.9983,0.9789,-1.04,-0.2021,-0.3536,-0.6842,0.8801,-0.2073,1.3801,-1.5478,0.5394,0.2641,-0.6996,-0.3333,-1.1147,0.1538,-2.515,0.6654,-0.3691,-0.631,-1.1853,0.7284,0.9599,0.762,0.4962,0.647,-1.7275,0.3792,-0.7865,-0.5988,1.3446,0.3317,-0.7345,-0.8393,0.0992,-1.8694,-0.2404,-0.46,-0.9731,0.8767,1.1074,-0.1891,1.291,1.0152,1.0264,-0.2581,-0.9654,-0.7693,-0.6747,0.3655,2.3321,-1.315,1.8947,0.5801,-0.4666,-0.9379,-2.2313,-1.1818,1.8065,-0.2666,-0.3674,-1.5843,0.9863,0.7099
-0.1053,0.8763,0.3886,-1.0359,0.3186,0.3002,-0.6172,-2.0351,0.0833,-0.1044,0.6337,-0.3389,1.9429,0.3627,-1.145,-1.2673,0.05,-0.6076,-0.1156,-0.1409,1.1813,0.0538,-0.7785,1.1274,0.3932,-1.4345,0.7331,1.4063,-1.1449,0.3937,0.0294,1.1224,0.3878,-0.407,0.7792,0.7917,0.3008,-1.4433,0.9327,0.5124,1.4645,1.1731,1.7183,-0.3167,-1.9763,-0.7536,-0.5291,1.0763,-1.5342,0.7205,0.1264,2.1538,0.5015,-1.3542,0.0436,-1.4213,0.1603,1.8353,1.2579,1.6539,0.5261,-0.6767,0.3207,-1.0794,0.8744,-0.5866,-0.0557
-1.6062,-1.1012,0.3788,-1.2269,-0.1341,-0.4702,-0.3159,0.15,0.6835,-3.3172,0.6317,0.6043,-1.8968,-0.8617,-0.0163,0.716,-0.835,-0.7987,1.0738,0.9722,-0.0446,0.1442,0.7739,1.6545,-1.2426,0.321,-0.0962,0.7427,0.5663,-1.7598,1.3459,-0.1325,2.3377,-0.8751,0.7129,1.1263,0.1508,0.8028,-1.599,0.0725,1.7475,0.7742,-1.1379,0.361,2.0009,-0.6829,0.3877,0.2421,-0.2685,0.4566,-2.3981,0.6746,0.4607,-0.397,-0.9291,-0.0486,0.4596,-0.1865,-1.0279,0.9637,-0.7019,-0.488,-0.2885,0.877,1.2966,-1.2047,-0.8021
0.2006,-1.3694,-1.6589,0.4471,0.6848,-1.4452,-0.9905,0.1873,-0.1032,0.6176,-0.6408,1.7073,-0.2491,0.4042,0.8433,0.5686,0.5836,1.2932,1.6167,1.6168,-0.4208,1.2927,-0.5219,2.289,1.1128,-1.0651,-0.7666,-0.6721,-1.4864,-1.3842,2.0405,0.5574,-2.1746,-1.4398,0.2914,0.3097,1.4826,-1.2926,-2.0649,1.0086,0.6756,1.7422,-0.4018,-1.7316,-0.6287,-0.8823,-0.9254,-0.9322,0.9046,0.9297,-0.8483,-0.6714,0.2912,0.9207,1.9782,-0.6223,-1.5816,-0.7378,0.8106,1.139,0.0742,0.2142,-0.4806,0.232,-0.5694,-1.2149,0.5213
-0.8369,-0.4643,-0.4755,-0.665,1.4213,-1.5714,0.1516,-0.7367,0.5309,-0.7708,0.4615,0.5473,-0.4211,2.1835,1.0392,0.1799,-1.8521,-1.7423,0.3712,-0.823,-0.1874,-0.2027,1.29,-0.1532,0.0404,0.4959,-0.2489,0.6732,0.6626,1.0844,0.2302,0.8065,-0.3774,0.2864,0.15,1.0597,1.1573,-0.0792,-0.1495,1.8068,-0.0875,0.0367,0.7474,1.6296,-0.6929,-0.8142,-1.5349,-0.8781,-0.5648,1.2845,-0.8169,1.6898,0.7691,0.346,0.4714,-1.1805,1.7655,1.3427,-0.4673,-0.4085,-1.201,-0.393,-0.5805,-0.5158,-0.7582,-0.8431,-0.9062
-0.5544,-2.288,0.6691,0.1616,0.2867,0.577,0.519,1.3862,-0.5192,-0.0617,0.542,0.6845,-0.3929,0.2913,-0.5156,0.0873,0.1683,0.1009,0.1322,-0.2531,0.505,-1.3988,0.2826,-1.0005,-1.2605,-0.4824,-1.2343,0.0845,-0.2833,-0.4868,0.8394,0.1527,-0.6271,3.2406,-0.3156,-0.5235,-1.2449,-0.5355,0.3097,0.1323,1.1997,0.5399,-0.9174,0.8924,0.7334,-1.0133,2.0735,0.1731,-0.5394,0.3731,-0.9491,0.6991,-1.8793,1.4405,0.8963,0.7636,-0.4273,-1.592,-0.5433,-0.8669,-0.6709,0.2347,-1.7639,-0.397,-0.3093,-0.4787,0.1836
-0.6843,0.5797,0.8968,-0.1423,1.5902,0.427,1.1011,2.5923,0.9414,-1.6082,-1.4282,0.4565,-0.2811,0.4616,-1.5137,-0.0872,0.3046,0.3941,1.0133,0.2149,-0.1033,0.4783,-0.52,0.1231,0.5957,0.5104,1.2878,0.4495,-1.3783,-0.2624,0.0715,0.289,0.3428,0.0783,-1.7741,-0.2171,-0.518,2.1755,0.5381,-0.6299,0.2098,-0.8256,-0.9874,0.1007,0.4723,1.2448,-0.6506,0.2691,1.4218,2.1442,-0.6393,-0.2307,-0.3249,-2.2981,-0.7972,1.0788,-0.9609,-0.3567,-0.0092,0.9047,-1.0265,1.7751,0.0178,-3e-04,-0.0615,-0.5491,-0.7729
0.3658,-1.2567,-0.7973,-0.641,-1.0107,-0.7808,1.2337,0.2735,1.3739,0.1109,-0.7814,-0.5067,-1.2396,1.4661,1.369,0.25,0.2482,0.3257,-0.7799,0.6046,1.2791,1.0724,-0.8748,-0.9572,-1.1183,-0.6429,0.0092,-0.2126,-1.2646,0.5411,-1.4368,-1.9083,0.0611,0.4339,0.3072,-0.4694,-0.4289,-0.1503,0.1401,-0.6014,-1.911,1.6892,1.3922,1.7836,1.3433,0.5219,0.9733,1.9715,-0.9482,-0.0324,-0.8345,0.1067,0.0686,-0.8541,-1.4846,0.1913,0.0853,0.7507,1.9721,-1.4739,-0.7538,0.225,-0.0855,-1.1316,0.6123,-0.059,0.2253
-2.3031,1.6937,-0.3083,-1.088,-1.665,-0.5435,0.557,0.1001,-0.968,-1.0033,1.1922,0.1929,-1.0842,-1.2751,-0.8102,1.5347,0.0888,1.2249,0.0076,0.0874,-1.0556,1.6927,-0.4151,1.0497,0.0257,0.8114,-1.8966,1.2411,0.8313,-0.9265,-0.3351,-0.0098,-2.2932,0.0595,-0.4696,-0.497,-1.0537,-0.7687,0.9216,1.4353,-0.3409,-0.2547,1.8732,-0.9679,-0.125,0.7711,0.9185,-0.2578,0.6368,0.1761,0.5575,-0.047,-0.2006,1.2905,0.4538,1.5009,0.2913,-0.9393,1.7999,1.371,0.9547,0.0934,0.0263,0.4898,2.3918,-0.0573,0.7249
0.7843,-0.0554,-0.3604,0.4513,1.6513,0.4252,1.3263,-1.0462,2.1254,-0.7139,-1.1081,-2.3286,-0.7599,-0.131,-0.2107,1.5392,-1.0883,2.1641,0.2698,-0.1791,0.3378,0.7858,-0.8176,0.3477,1.7029,0.2495,0.5666,0.7665,0.5058,0.7833,-0.0191,1.5238,-1.5654,-0.3347,-0.6512,-0.6809,1.628,0.437,-0.001,-0.2905,-0.7611,0.6507,0.8993,-0.7625,1.5164,0.078,1.8026,0.0802,0.5934,0.6849,-1.3462,0.6482,-0.7437,2.1136,0.6146,0.4558,-0.1225,1.7964,1.3137,-0.3326,-1.7497,0.4625,0.8955,-0.3359,0.673,-1.2911,-0.5961
-1.7724,2.4957,-0.5423,0.3168,0.3585,1.6013,1.3968,1.2341,0.3501,-1.6962,-1.5669,-0.1558,-0.155,-0.4779,0.7717,-1.3222,-0.4552,-0.288,-0.9302,-0.51,-0.0263,0.3643,-0.3333,-0.4801,0.9917,0.7266,0.3356,0.1657,0.1849,-0.3737,0.5625,-0.2829,0.3906,-0.5801,1.0966,-0.9201,-0.4155,-0.5619,0.0083,-1.8635,-0.4659,-0.517,-0.0185,-0.0464,0.346,0.2884,-0.5871,0.8671,-0.0979,1.4181,1.1121,-0.9406,-0.6512,2.4491,1.4536,-1.3564,-0.5367,1.5074,0.5765,-0.6061,-0.3696,-1.229,0.4003,-0.6702,-0.8283,0.9855,0.1573
1.2114,-1.0214,-1.0057,1.1104,-2.0028,-1.7042,0.3757,0.9658,2.6055,-0.1851,0.0355,0.1604,-0.5585,0.7562,-0.3399,2.6469,0.1381,0.0476,-2.3525,0.0477,-1.5601,-0.4478,-0.0632,-0.8917,0.1979,0.5059,0.0853,0.7905,-0.2596,-0.6207,-1.264,1.2328,0.8751,-0.2805,0.8027,0.4042,-0.7906,-0.9032,0.9838,0.85,0.7808,-5e-04,-0.056,1.1253,-0.9703,0.4207,0.2083,-0.3589,-0.7599,0.8511,1.7056,2.4312,-0.4078,-0.1811,-1.1632,-1.623,-1.6517,-0.77,2.1739,0.5359,1.4455,-0.4066,-0.5823,-1.0767,0.353,0.9042,0.2087
-0.2574,-1.2183,0.04,1.4248,0.3576,-0.3609,0.8735,-0.1836,-0.3647,-0.5824,1.0973,1.0322,0.2213,1.2478,0.7827,-1.1918,0.6049,-0.6502,0.5769,0.4975,-0.0327,-0.1258,-0.9607,0.3401,-1.5086,0.6827,0.9214,-0.7993,0.7667,0.076,-0.3319,0.9211,2.0289,-1.2712,1.399,-0.5398,1.4497,-0.3382,-1.5332,-0.7104,0.6823,1.9021,-0.269,-0.8259,-0.6024,1.4938,0.361,1.0564,-1.0849,-1.342,1.0328,-1.0024,-0.8294,-1.22,0.3314,-0.8316,-0.0579,-0.017,0.6223,-0.8352,-0.0266,-1.3474,0.6731,-2.0447,-0.0405,1.6065,-0.6002
