"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13"
1.19,0.2096,-0.0394,-0.7762,-0.0332,-0.4785,-0.4117,0.6639,-0.3245,-0.7045,0.4749,-0.3522,-0.9205,1.11,1.23,-2.0061,0.0736,0.3356,-0.3174,-1.2028,-0.4459,1.4539,-1.7038,-1.4325,-0.4292,-0.7614,-0.5932,-0.5821,-0.2934,0.4009,0.0147,-0.7474,0.7603,0.9156,-1.0776,-0.1403,1.2848,-1.8673,0.056,1.8956,1.9932,-1.898,-2.6095,0.2541
0.943,-1.0491,1.0321,1.1397,-0.178,-0.7104,0.7092,-0.251,-1.3282,-0.534,0.1367,0.5273,-1.2022,1.6518,0.0602,-0.2058,0.7363,0.811,0.317,-0.2276,-0.0766,-0.8646,-1.2008,-0.9863,1.189,-1.3288,2.2356,-0.7686,-1.007,-0.9064,0.9514,-0.9764,-1.2282,0.7099,0.1538,-0.1361,-0.358,-0.8036,-2.3187,1.5822,-1.1831,-1.1065,0.6477,-0.0644
1.0842,-0.8311,-0.8935,2.2008,0.1835,-0.2112,0.2564,-1.1662,-0.2803,0.7744,-0.4887,0.3786,0.8827,1.1143,-1.9401,-1.6491,0.6617,0.4165,-1.1017,-0.2759,0.0764,-1.5963,-0.2408,-1.2791,0.8343,-0.602,-2.918,1.2215,0.4252,-0.1988,-0.0108,-1.149,-1.2711,0.7939,-0.3991,-1.4306,-0.5797,-1.1984,0.6833,0.9603,-0.7805,-0.7495,-0.363,-0.3251
0.7459,0.0501,1.144,1.4772,-0.5244,1.6418,-1.8564,-1.0387,1.1697,-0.4756,0.9002,0.8439,-1.5165,-0.4249,0.0048,-0.0153,1.6035,1.5941,-1.431,-0.7298,1.6369,-1.946,-0.3021,0.9608,-0.1503,-1.5505,1.4882,1.6692,-1.2248,-0.9992,-0.5613,1.9892,0.1274,1.107,-0.0059,0.0889,1.0416,0.6295,0.7212,-1.9031,1.7477,-1.3129,0.1102,-0.677
-0.0654,0.2056,-0.4132,-0.4544,-0.5359,0.3018,-1.8606,-0.785,-0.1215,-0.0244,1.0775,-0.621,1.9216,0.3185,-1.1992,-0.8949,0.85,-0.3861,1.892,1.8342,-1.1107,1.1041,-1.754,-0.2456,-0.3278,0.703,1.008,1.0935,-0.5905,-1.1838,-0.0606,1.7511,0.7604,0.5493,0.9174,0.4792,1.1149,-0.8661,0.6292,0.9473,1.8372,1.1033,-0.2701,-1.0059
1.2987,-0.3214,-0.7132,-1.8229,-1.4557,0.4873,-0.0228,1.2149,-1.6373,1.019,-2.3737,0.1777,0.5721,0.0985,-0.9761,0.0463,-0.2062,-2.1533,0.3979,0.2571,2.459,0.3049,0.5094,-0.13,-1.4482,0.5745,0.7351,-1.4912,-0.9136,-0.3314,-0.8423,2.5644,-0.4077,-0.153,0.2762,0.6834,0.6807,0.4678,-0.4111,0.7534,0.1946,1.2645,0.6921,-0.9829
1.7269,-0.9965,-0.2057,0.0542,0.8463,0.8387,0.1499,-0.189,0.4914,-1.2056,1.1246,-0.5802,-1.7149,-1.259,-1.0256,0.461,-0.2149,0.0257,-0.397,2.3936,-0.7733,-0.1304,-1.0215,1.7833,-0.6973,-1.5953,0.1468,1.2767,-0.8709,0.168,0.1019,0.7765,-0.5774,-1.0895,0.1552,1.3157,0.2205,-0.6458,0.0993,-0.6978,-1.6202,0.5009,0.9283,1.4688
-0.0844,-2.0909,0.39,0.8803,0.0469,2.0717,-2.3075,-0.7572,0.2818,1.5953,-1.7795,0.9086,0.3549,0.2574,-0.7992,-0.5037,-0.4681,0.6498,-0.28,0.8236,0.1746,-0.2936,-0.1581,-0.579,2.5985,-0.6241,-0.7108,-1.2285,-0.3686,-0.913,-0.8979,-0.1612,-2.8394,-0.488,-0.1201,-1.4726,1.5949,-0.1525,-1.4349,-0.5649,-0.5426,-0.4394,0.5931,0.2506
1.3998,0.4252,-0.2072,0.7781,-0.0836,0.7756,-0.8164,0.7921,-0.4006,2.042,-0.3446,-0.6367,0.1052,-0.8243,1.1371,-1.0224,-0.3637,-0.4012,0.7851,-1.2653,-2.0581,1.5863,-0.1966,2.0228,-0.0374,1.0472,1.1056,-0.072,-0.4853,-0.1751,1.3939,-1.0433,0.3743,-0.87,0.397,0.6177,-1.0106,0.8562,0.3598,-1.3692,1.1674,-0.4237,-0.1063,-0.4301
1.9297,-0.2953,-0.9005,-1.2297,-0.7409,-1.4271,0.0276,1.3452,0.1734,0.6145,-1.1092,1.7322,-2.4684,-1.0606,-0.8315,-0.6117,-0.2367,1.4009,-0.2103,-0.7535,-0.6545,1.2011,0.6966,-1.4094,0.9135,-0.1681,-0.8857,0.7345,-0.7,-1.8304,-2.4865,-1.1008,-0.9029,-0.2985,-1.1786,0.7171,1.1378,0.137,-0.8171,-0.0125,2.1537,-0.5681,-0.4241,-1.5792
-0.3959,0.5492,-0.2816,-1.1131,-0.2478,-1.0335,1.4618,-0.6945,1.3694,0.4219,-0.6301,0.7904,-0.0419,0.7255,-0.4391,-0.6674,1.2229,1.0948,0.1921,0.273,0.7318,-1.0037,-0.066,1.3178,-0.1845,0.0095,0.6948,-0.2139,-0.2534,-0.4467,0.4013,-0.4969,0.4026,-0.5253,-0.4215,-0.21,1.7144,-1.9407,1.3169,0.0906,-0.0159,-0.5247,-0.1403,0.1929
0.0258,-1.5459,-2.5419,0.1337,-1.0868,-1.5895,-2.0129,-0.4449,1.2992,-0.4964,1.3169,-0.0137,-0.5873,-0.7079,0.1842,-1.4933,-2.3284,0.5375,-0.2647,-0.5779,0.5052,-1.391,-0.1343,0.3231,0.6098,0.4172,0.4026,-0.1504,-1.5849,1.1707,-0.488,1.2805,1.4272,-0.1967,1.6166,0.6025,0.0546,-0.5359,-0.9258,-1.7536,-0.6314,0.4828,-0.2273,-0.4973
-1.1371,-1.2533,-0.5085,0.6261,-1.0493,-2.8485,-1.2554,0.3453,-0.4563,0.491,0.5345,1.2062,-0.8873,-0.144,0.8904,-0.7806,-0.7018,0.0698,-0.5014,0.3543,0.4106,1.0853,1.6547,-0.3886,-0.0527,0.6268,1.0762,0.1254,0.111,-1.1514,1.9871,0.6665,-0.4959,-1.0239,0.6161,-1.4145,0.5857,0.7136,-2.0591,-1.5813,0.3053,0.9093,0.2051,-0.0859
0.5989,-0.1113,0.456,0.8729,-1.919,1.2907,-1.0803,-0.0048,0.0107,-0.502,0.4939,-0.0846,0.2387,-0.9737,-0.6667,-0.1934,-0.1329,-0.5515,0.6022,0.7326,-0.4668,0.5606,0.3719,-0.1728,1.3639,1.2062,-0.5965,0.4279,0.6318,-1.1929,-0.2345,0.8895,0.6967,-0.6223,-0.9618,0.2144,0.6097,1.8601,0.1727,0.1745,0.1449,-0.4566,-0.8246,-0.2071
0.4455,-1.4128,-0.1693,0.8164,0.9817,-0.4937,0.1754,0.4064,-1.4541,0.2882,-2.078,0.5633,0.8509,0.0559,-0.8262,-0.2208,-1.2833,-0.1769,0.1415,0.4211,-1.8436,-0.511,0.6235,1.339,-0.5036,0.7726,-0.581,0.4114,-1.2831,-0.2199,0.4818,-0.1871,-0.1525,0.3556,-1.2286,-3.1291,1.1936,-1.1148,-1.6306,-1.0269,-0.9093,0.319,0.5846,0.7761
0.1417,-1.983,0.6883,-0.968,0.126,0.395,0.3308,1.7142,-0.7278,-0.6866,0.1963,0.5282,1.727,0.4923,-0.5186,0.3295,1.6191,0.4692,1.3018,-0.1346,-1.0728,0.3965,0.4749,1.7038,-1.7091,-1.3776,0.3021,-1.7264,-1.4131,0.5347,0.3869,-1.5536,0.3686,0.2136,-0.9593,0.3121,-0.8588,-0.2286,-0.9278,-0.2992,0.5919,-2.3858,-0.9983,-0.0686
-0.8391,0.7836,0.486,-1.3126,-1.1168,1.1816,-0.3207,-0.0604,2.0082,0.7884,0.6288,0.423,-2.6325,0.5025,-1.1717,1.2919,-0.2339,0.9678,-1.1254,-0.6435,-0.2298,-2.0232,0.5716,-1.6785,0.8985,-0.3624,0.3057,-0.1756,2.232,1.2361,0.2477,0.3264,-1.1558,-0.4041,0.5802,1.6016,0.8957,-0.0816,0.804,1.0077,1.3904,0.0758,-1.4843,-0.178
-0.3535,0.9009,0.6456,-2.0125,1.1638,-0.5118,-1.6123,-0.2807,1.498,0.6914,0.8609,-0.5968,0.7436,-1.0753,0.92,0.3337,-1.1169,-0.2961,-0.1353,-1.2893,0.6216,-0.6651,1.3357,3.4211,-0.2377,0.3023,1.374,0.2868,0.2395,2.6537,0.5181,-0.2146,0.4178,1.0128,0.4332,1.542,-1.7089,-0.7326,1.8723,-0.4259,0.0131,-0.8784,0.2578,2.3728
-1.188,-1.03,0.656,0.5049,0.6246,-0.135,-0.6306,0.4854,-0.2293,1.243,-0.9732,-1.2508,-0.9524,1.258,-2.182,1.4758,-0.8916,-0.7283,-0.209,0.3409,0.8374,0.435,-0.0571,2.5779,1.4634,-0.1091,0.4854,0.5907,0.0532,0.8009,1.9974,-0.304,1.305,-1.6411,-0.5686,-2.6597,2.0769,-1.3826,-0.2627,0.1271,0.6258,1.0985,0.4153,1.0872
-0.5223,-0.2721,-1.7386,0.8281,0.7424,0.3503,-0.5605,-0.0493,-0.6925,1.9822,0.9375,-1.6816,1.1563,1.493,-0.5277,-0.6479,0.8724,2.4756,-1.0749,0.9223,-0.3029,-0.0729,0.2428,-0.5253,0.1244,-2.1792,0.1448,-0.3174,-0.1985,0.6715,0.9275,2.1842,1.7967,0.4828,-0.3687,0.535,-0.5713,1.8388,0.9717,0.6158,0.2521,1.1858,1.0254,0.13
-1.7273,-1.134,0.0042,0.3359,-0.2258,0.2259,-0.2026,0.6278,-1.3666,-0.6464,-1.3952,-0.4563,0.3459,0.3729,-1.4411,1.3507,1.869,0.5186,0.9979,-0.0797,-0.1516,-1.2819,1.9696,-0.0644,1.4537,-0.7581,0.8426,-0.7027,0.4926,2.0279,0.1964,0.8697,-1.1874,1.5698,0.9782,-0.3497,-0.3162,1.4783,-1.3774,-1.1247,0.4616,-2.1965,0.7261,-0.7312
