"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32"
-0.8001,0.6283,0.9233,-1.3512,0.0677,1.3618,-1.1812,-1.6111,-1.756,0.7213,0.3698,-1.9772,-0.5643,-0.9043,-1.7067,-0.0348,0.4892,0.4095,0.2639,0.2234,-0.6935,-0.758,-1.5314,-0.6327,0.4626,0.784,3.3979,-0.7524,-0.0122,-0.4376,0.3264,-0.7542,1.2184,0.9428,-0.3309,-0.5065,0.946,-1.3023,0.813,-0.9762,0.6736,0.7302,-2.0007,-1.7193,-0.7885,0.6153,-0.1861,-0.2342,0.8175,0.5876,0.7017,-0.1293,2.111,0.2996,0.5103,0.7901,0.2036,1.2029,-0.5426,0.1441,2.7542,0.3322,-0.2565,-0.5087,-0.3541,0.9336,-0.215,-1.047,-1.0106,0.3741,-0.5736
0.0332,-1.1049,0.3307,-0.4558,-1.3507,1.7131,2.8455,-0.1658,-1.5619,1.7835,1.4879,-0.0459,-0.0786,1.7382,-1.2195,1.1298,0.1476,0.9713,-0.9831,0.511,1.5083,1.8081,-0.6792,0.3133,-1.1103,-2.1356,-0.0261,0.3782,-1.0356,-0.8128,-2.6013,0.3998,-0.8908,-0.8022,-1.994,1.2512,0.8465,1.0172,-0.9724,0.1441,-0.6137,1.1665,0.0318,0.4328,-0.1079,1.4902,-0.3489,-1.1762,2.0453,-0.7805,1.765,1.2087,-0.409,-0.6198,0.1721,1.1182,1.3569,-1.0182,0.0179,2.0272,-0.0314,-0.8185,0.3013,-0.1113,-0.1492,0.6219,-0.4825,0.0731,-0.8215,-0.262,-1.519
-0.5839,1.4777,0.4567,-0.2508,0.9195,-2.1796,-1.6586,-1.2049,0.6853,0.4227,1.0913,0.8905,0.4422,-0.3229,0.1124,-1.4889,0.7938,-0.3515,0.6309,1.808,-0.0391,0.5448,-0.8734,-0.2398,-1.9745,1.0731,-0.1498,-0.5251,0.8597,1.963,0.3538,0.0087,-0.1093,0.6091,0.4926,-1.5126,-0.0193,-0.1661,-0.536,0.4566,-2.0032,0.5927,-0.0496,0.1108,0.7945,0.8163,0.3467,-0.0133,0.8986,0.0461,0.4527,0.2933,-0.5545,-0.0893,0.3526,-0.3154,-0.8445,-0.0875,-0.1168,1.045,0.7107,0.3078,-0.9386,-0.7474,0.1581,0.3566,1.6961,2.0361,-0.4379,0.229,-1.9611
-0.26,1.008,0.3169,0.5053,0.2725,0.8098,-0.7647,-0.2542,-2.2864,-0.3179,0.4592,-0.2577,-0.7706,-0.5977,1.4171,1.1421,-1.3936,-1.0912,-1.7368,-1.7026,0.5779,-2.7367,-1.521,2.6465,0.2452,0.3859,-0.4683,-0.1906,0.19,1.9285,0.5855,-1.6563,-0.4735,0.4421,-0.0777,0.3719,-0.1321,0.2854,-0.1803,0.0377,1.2123,-0.0429,-1.0172,-0.0295,0.3655,0.3451,-0.9798,0.3096,1.9304,-2.4086,-0.188,-0.9827,0.5115,-0.9613,-0.1513,-1.3352,1.657,0.2605,-1.9636,-1.5475,0.4614,1.1337,0.9428,0.8796,-1.264,1.0241,-0.3885,1.7603,-0.9795,1.2566,-2.4194
1.3393,1.7495,0.4091,0.654,-0.0946,0.9466,1.1259,0.5062,0.7417,0.3083,-0.465,2.0668,0.9211,1.1249,0.6798,1.8232,-0.5432,0.4121,-1.3555,0.2874,0.1479,-1.0225,0.3925,1.3334,-0.7189,-0.699,1.1258,-0.9021,-1.7259,1.5342,1.1025,1.7336,0.1995,1.1751,-1.7169,0.3866,-1.0798,2.1222,1.2026,-0.371,-0.5162,1.521,-0.3692,0.1571,0.3303,0.3926,0.3315,-0.3786,0.0321,0.7963,1.6896,0.4064,-0.138,0.4072,0.4706,-0.6075,-0.4046,-0.6826,-1.2797,0.1083,-1.2594,0.9328,-1.1722,0.2498,0.1614,0.3278,2.4567,-0.3565,1.1425,-0.1137,0.756
-0.6924,-1.2096,0.1893,-0.2154,0.1783,0.6929,-1.5539,0.627,0.0201,-0.3358,-0.1175,-0.0111,0.3054,-1.7313,0.1652,-0.7379,-1.2092,0.3734,0.364,-0.2691,-0.8425,-1.2458,0.6699,-1.9949,1.3728,-0.0057,-0.212,-0.0241,-0.3877,0.3199,1.5644,2.0913,0.6274,0.4174,-0.2379,0.8845,0.4164,0.976,0.1826,0.5651,0.7268,-0.4374,1.716,-0.4138,-2.2868,1.2859,-0.5187,0.9471,-1.1581,-0.9162,0.0202,-0.0367,0.4809,0.5706,-0.828,1.6635,-0.562,-0.767,0.1469,0.4581,0.1638,0.2241,0.8519,1.5888,0.5147,-0.8232,0.2477,-0.7368,-0.8779,-0.1998,-0.0106
-0.0866,1.0417,-1.3194,0.2267,-0.0539,1.1279,0.4402,-0.8894,1.9141,-0.1906,-1.1911,-1.0343,2.2557,1.0551,-1.0116,-0.1353,-0.079,0.9895,-0.9199,-0.3795,-0.1608,-1.0166,1.3184,0.3194,-0.8206,0.6359,0.47,0.8724,-0.3188,0.7358,0.8771,1.0639,1.692,0.8486,-0.0451,0.9029,0.7136,-1.1872,-0.4529,0.1216,-1.7253,-0.0852,2.5353,1.77,-0.4111,1.115,-0.2268,0.2304,1.0742,1.2037,-0.4208,-0.516,0.7734,-1.2522,-0.2218,-1.5698,-1.1094,0.0117,0.468,-0.6315,-1.3164,-0.4178,-0.6829,-0.108,1.5975,-0.3421,0.042,1.8489,-0.116,-0.3459,0.6968
-1.6558,0.0982,-2.0012,-1.1573,0.6703,-0.1474,-1.5666,-1.2039,-0.0107,-0.9694,-0.1996,-0.4397,-0.3168,-0.7113,-0.7527,-3.8453,-0.8233,-1.0033,0.3724,-0.6944,-0.5298,-1.648,0.512,-0.4113,0.6505,0.3526,0.1089,-0.3125,-0.3243,0.9269,1.0146,-0.4134,1.6634,-0.7122,0.8365,0.112,-0.421,1.1247,-1.045,0.8329,-3.4675,-0.3303,1.0897,0.3574,-0.1885,0.2519,-0.4937,-0.9535,-0.306,0.066,-0.58,-0.2067,2.7962,0.7651,-0.0394,1.7691,0.5686,0.2698,1.4494,-0.3858,0.0995,-1.6503,-0.9099,0.8911,-1.1472,-0.6814,0.5744,1.4903,1.3539,-0.2041,0.8863
-0.2245,-1.9126,-1.3182,2.0328,0.1821,-0.288,0.4532,1.7772,-2.1436,0.1426,1.1633,-0.226,-1.9713,0.1911,0.068,-1.9829,-0.3014,0.3514,-1.2966,-0.1935,-1.0208,0.5211,0.4314,0.7755,0.9363,0.7957,-1.5614,0.7207,0.0301,1.1272,-0.4221,-0.589,1.853,-0.0915,-0.0547,-1.6551,0.8531,-1.669,-0.7373,-1.0238,-0.1134,0.7456,-0.4445,-0.0207,1.0605,2.0516,0.0587,-0.3651,0.4823,0.2123,-0.5456,0.0095,1.2297,0.9349,1.3223,-0.4905,-1.1065,-1.5973,0.587,0.0276,0.3092,-0.9794,1.1552,0.3434,0.5646,-0.7535,0.7317,-1.6473,-0.4312,-1.9715,-0.6192
1.6308,-0.8454,1.2465,-0.2586,1.5386,1.0193,2.1767,-1.9185,0.8244,-0.4199,0.1679,0.1064,1.1719,-1.3379,0.068,1.3019,1.1163,-0.4486,0.0266,0.9369,-0.142,0.3769,1.3042,-1.0162,0.7961,1.537,-0.8113,-0.1028,0.3923,-0.6655,-0.5467,1.0898,0.6226,1.0579,-0.7129,0.3301,0.0624,2.8693,0.3142,1.9472,-1.4472,-0.3751,0.9925,-1.0597,0.3187,-1.0532,0.4402,-0.6317,1.7435,0.2973,0.4491,0.6278,0.9428,0.6519,-2.0594,-1.5673,-1.4129,1.7721,-0.0243,-1.9279,-0.9701,-1.1078,-0.0127,-1.4144,-0.3157,1.205,-1.5941,-1.1748,-0.7256,-0.1537,1.6324
-1.7573,0.7387,-1.1198,-0.0982,-0.4166,-0.6766,0.1983,-1.1099,1.0944,-1.0163,0.1615,0.1614,0.0098,0.6204,-0.1554,-2.9106,1.8447,0.655,-1.6916,-0.8221,-0.8872,0.4253,-0.3891,-0.52,-1.6881,0.3901,0.0011,0.559,1.1956,-0.7909,-0.865,0.9404,1.8034,-0.8407,-0.6412,0.3784,0.5243,1.4751,0.3583,-1.0442,-0.3692,0.6518,0.7008,-0.9819,0.7579,-1.3034,-0.8627,-1.2675,0.7992,-0.1063,0.3948,0.0712,0.3068,0.8781,2.2732,-1.1373,-0.2533,1.3469,0.6059,-2.1398,-1.375,0.6109,0.2145,-1.3999,-1.701,1.0043,-0.1268,0.7281,0.2165,2.2976,2.0655
-0.1576,0.7672,0.6001,-0.3532,0.8743,0.8928,0.4812,-0.3248,-0.4102,0.0116,-0.4342,1.4888,1.6054,0.9679,-1.846,0.0979,-1.9313,1.1398,0.4741,-0.3102,-0.0188,1.1234,0.1276,0.0706,-1.473,-1.4806,1.2031,-1.5542,-0.1136,1.0877,1.6339,1.0967,-1.1059,-1.0201,1.3519,-1.8477,-0.7421,-1.5596,-0.285,-0.4913,0.3396,-1.4347,1.7576,-0.7496,0.8546,2.459,-0.571,-1.1328,-1.4984,0.6506,0.0644,0.2088,-0.3979,-0.9426,-0.7004,0.3498,-1.7428,-0.3307,-1.0984,-0.7188,0.0606,-0.4278,1.4141,0.08,1.9671,0.356,0.1942,-0.1618,0.0294,-0.1339,0.1577
-0.2834,-1.4746,0.7982,-0.9931,0.141,-0.8017,0.7265,-0.0727,-0.295,0.4813,1.3248,-0.686,-0.9664,0.3475,0.2517,-1.078,-1.3575,0.8462,-1.7592,0.4212,0.1837,-0.0354,0.2893,0.4096,-0.4928,0.0616,0.3117,0.7099,-0.6301,-1.1733,-2.0457,-0.2675,0.1482,-0.1612,-0.3032,1.124,1.0715,-0.8407,-0.6724,0.7507,-0.5362,-0.7792,-0.6497,0.4699,-1.4495,-0.7934,-0.129,-0.3512,1.5097,1.9138,-1.8255,-1.2747,0.0503,-0.8929,1.0793,-0.2867,-0.8872,-1.6924,-2.2852,0.4363,0.1002,0.4931,0.7722,-1.773,-1.0119,0.0058,-1.2874,-2.57,0.2003,0.6561,-0.237
