"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NS43","NS44","NS45","NS46","NS47","NS48","NS49","NS50","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35"
1.8247,-0.2483,-0.3234,-0.9869,-0.9759,3e-04,0.7256,-0.963,1.3139,-0.875,-3.1097,-1.7341,-0.1358,-0.1559,-0.2836,-0.2495,0.4854,0.6151,0.1106,1.8136,0.5885,-0.064,-1.7045,-0.9357,-0.2837,-0.0479,-1.9855,-0.7001,0.0309,-0.5623,0.5061,0.4482,-2.6192,-0.0952,0.6657,0.8808,-0.3678,2.0957,-0.7114,-0.6161,0.6895,-0.3106,1.0588,-2.5338,-0.2337,1.176,0.7936,-1.5976,1.3288,1.1881,-0.3374,-0.4944,0.1979,0.4707,2.0363,2.1355,0.8195,0.4881,-2.2844,-0.2858,-0.7543,-2.2196,-2.1511,0.8192,-0.2349,0.0921,1.8374,1.2835,-0.2638,-0.194,-0.2088,-2.1246,1.0648,-0.5326,-0.5566,0.7759,-0.0922,0.5602,1.6392,2.0021,0.905,-0.9279,0.1592,-1.1925,0.6714,-0.3524
0.1557,0.4513,-1.3149,0.3952,1.0487,-1.7421,-0.727,1.4382,0.7706,0.8201,1.0015,-0.0321,-0.8748,-0.5168,0.4214,0.1332,-0.679,-0.4191,-0.2839,-0.824,-0.8778,-0.3385,-1.223,0.7146,-1.2591,-0.0667,0.6763,1.0817,-0.4844,-0.0097,-0.2277,1.577,-0.3514,-0.1653,-0.7603,-0.1386,-0.0814,2.4847,-0.4871,-0.4188,1.9696,-0.8054,-0.0021,0.4432,0.4989,-0.5405,1.7759,0.9684,-0.5048,1.0553,-0.2983,-0.1925,-1.7205,-0.542,-1.0982,0.9817,-0.6953,0.8676,0.4164,0.499,0.4233,-0.1809,-0.8132,0.3133,0.7369,-1.3505,0.1224,0.7275,-0.5563,-0.149,-0.0347,0.128,0.3668,1.1509,-0.0796,1.1969,-1.0576,-0.503,-0.1007,0.0776,-1.1355,-0.985,1.904,1.14,2.5093,0.1593
1.4322,-0.3176,0.9804,0.0599,0.8876,1.5679,1.1098,0.2123,1.1924,1.4144,-1.0305,0.5053,0.9408,-0.0931,-0.3689,-0.0045,0.8315,-0.1928,-0.417,-0.627,0.2573,2.1486,0.3185,0.7182,0.3934,-1.0566,1.026,-0.9448,0.9456,1.3413,0.1136,1.1288,-0.7754,-0.736,1.081,0.1734,-0.0926,1.3926,0.2919,0.3128,0.3831,-2.1928,-1.3723,0.1147,0.0758,-2.3047,-0.5139,0.6474,-0.9325,0.5754,-1.2725,-0.7429,0.277,-0.0564,0.5906,0.7417,-1.0551,1.2352,0.1279,0.1801,0.5773,0.4749,-0.3775,1.2489,-1.2091,0.978,-0.6704,1.1643,0.3212,-0.824,-0.3309,-2.2113,-0.2675,-0.2357,0.0675,-2.9204,0.3308,2.4888,-0.4864,-0.0989,2.1192,0.3723,1.1426,0.1306,-1.2278,-0.4854
-0.8874,-0.693,1.9617,0.0895,0.1025,1.4682,-0.2825,1.6639,-2.3819,0.7246,-0.0155,-0.2852,-1.7246,-0.1807,0.7213,0.8772,1.6804,-0.8708,-0.3298,0.0237,-1.1815,0.3155,0.1394,1.0897,-0.3943,-2.6276,-1.2571,0.1249,-0.6835,0.4838,-0.1096,0.1525,-0.2629,0.1477,-1.2998,-0.5964,-0.1091,-1.3481,-0.9245,0.9173,-0.5246,0.2122,-1.5632,1.4384,-0.8983,-1.1061,0.5809,-0.8722,-0.9695,0.4821,-2.1571,0.3439,0.3698,-1.564,1.5345,-1.1735,-0.2458,0.8779,0.5137,-0.0539,-0.1977,0.4576,-0.026,-0.3347,0.4214,1.1935,0.3156,0.5584,0.4567,0.341,0.3164,1.0901,-0.6898,0.5241,0.5002,-0.984,0.9152,-1.5935,0.5732,-0.2813,1.1795,0.833,0.966,0.1811,-1.1939,0.3868
0.7822,-0.2796,-1.3993,-0.104,-2.3742,0.0725,-0.2302,-0.604,0.1748,1.4211,0.4466,-0.0577,-0.459,-1.7481,-0.228,-1.2048,-0.3664,1.5033,0.3019,-0.8731,-1.7996,1.2983,-1.177,-0.4915,1.0141,0.6797,0.5601,0.7288,-0.9569,1.6594,-0.2148,-0.0911,-0.322,1.0478,1.5228,0.2397,1.6445,0.6601,-2.0922,2.1234,1.1762,2.092,1.6125,0.0796,-1.6187,1.532,0.5282,-1.8557,0.1765,-0.6221,0.9135,0.2864,-0.5877,0.3238,0.249,0.2649,-1.1024,-0.5563,2.4027,-0.0087,1.965,-1.8463,0.5874,1.2308,0.5035,1.0348,1.4626,0.9035,0.5992,0.6288,0.9055,-0.0813,-0.6942,-0.1819,-0.0711,-0.887,-0.1718,-0.544,-1.7022,1.0998,-0.8933,-0.7295,0.1565,0.5737,0.0787,-1.4542
-1.7317,-1.2409,-0.6507,-0.5736,0.5937,2.0072,0.2309,0.4796,-0.9448,-0.4455,0.6449,-0.4065,0.7045,1.6079,-0.8184,-0.3293,-0.1921,0.1987,-0.0094,0.6463,-1.3444,1.9082,-0.4936,-1.5086,0.8886,-1.2756,-0.9992,0.4131,-0.1372,-0.7303,-1.0014,-0.6108,-2.2685,-1.5577,-0.5952,1.427,-1.2658,-0.2272,-0.5761,2.1808,0.2164,-1.0279,0.6268,-0.4787,0.6369,0.3017,0.6749,0.6382,-1.6103,-0.4899,-0.3608,-1.0017,0.0589,-0.6108,-0.0478,-0.2474,-0.8798,0.0401,0.255,0.5407,0.277,0.1739,-1.3826,-0.7299,0.754,-0.6233,-0.7219,-0.8903,0.3032,1.6535,0.2979,-0.6909,-1.3447,0.9512,-0.2732,-0.15,0.3002,0.7959,0.1246,-0.4261,1.1226,-0.5741,0.5325,0.1456,-0.4135,-0.1351
-1.395,1.1488,1.3546,-1.2893,-0.0458,0.6698,-1.4338,-2.3695,0.9058,0.5184,0.3961,-1.5326,-0.713,0.6529,-0.5129,-0.7883,-1.2525,-1.1646,-0.1215,1.1644,-0.1847,-1.5943,-0.4061,0.5103,-0.22,-0.8809,1.2925,0.4347,-0.4615,0.1082,-0.7625,-1.1311,0.2621,0.3055,0.1351,1.1329,-0.0059,0.3456,0.4394,0.4111,0.3781,-0.7382,0.1728,-1.2119,-0.8719,-0.1006,-1.5562,0.4515,-0.5969,-0.828,-0.2866,-0.7191,-1.142,-0.0409,-1.2568,-0.3707,0.4126,-0.7488,-1.4076,-2.2915,-0.9357,0.1516,-0.4263,-1.3596,0.715,-0.7938,-0.7093,0.8626,0.4639,1.4722,-1.2873,0.6785,0.1249,1.3018,-1.1716,1.873,1.5569,-1.579,-0.585,-0.1718,1.3459,-1.4223,1.724,0.3187,2.075,0.0088
-0.3897,0.9036,-0.5632,0.0483,-0.4338,-1.7431,-0.0771,-1.2669,1.0842,0.5722,-0.6826,2.0766,0.414,-1.6065,-0.4501,0.9514,-0.5565,0.417,-0.3876,0.24,0.2051,0.4715,1.1869,-0.0953,-1.2576,-0.6513,-0.5832,-1.092,-0.2355,0.0223,-0.002,0.2166,-0.0618,2.7433,1.0641,1.3581,-0.3968,-0.2641,-0.9417,-0.8405,-0.16,-0.5723,-0.2999,-0.8342,0.8439,-0.9706,0.1426,1.9268,-0.2937,0.8492,-0.0265,0.2628,0.3825,0.064,0.6953,0.1781,0.5468,-1.9564,-1.6076,0.4613,-0.0993,-1.5513,0.8231,-0.4123,0.3477,-0.6188,-0.5946,0.4395,0.0717,-0.2049,1.1174,0.3729,0.7612,-1.1974,1.5202,-0.1362,1.362,-2.4634,-1.8057,-1.0335,-0.1926,0.831,-1.1173,-0.4938,-1.2076,-0.8047
1.6164,0.8165,0.3376,0.6244,0.3183,-0.6037,-1.572,0.4936,0.0831,1.2398,-0.9183,-1.1543,-0.4641,-0.4923,-0.3007,1.2693,0.6089,-0.1405,-0.2629,-0.4148,2.3501,1.1856,-1.0522,-2.677,-0.4784,-0.9778,-0.1641,1.2104,1.4153,0.7313,0.1234,1.2061,0.614,-0.2473,-1.5064,-0.8993,2.0942,0.052,0.6347,1,0.2096,1.9039,0.3427,1.1468,0.8888,-1.4915,1.3071,-0.7981,1.8552,-1.0937,1.7252,2.1057,1.1879,0.92,-0.6519,-1.0007,0.64,1.8313,0.4315,0.8713,-0.1435,0.1638,1.4266,-1.1594,0.0735,-0.7294,0.0778,-5e-04,-0.0558,0.2736,0.21,-0.0312,-0.0487,0.869,0.9751,0.4611,-0.0761,0.0874,-2.1895,-0.8761,-0.3216,-0.2461,-0.8432,1.2646,1.2941,0.945
-0.9312,0.0896,-0.4136,-0.2789,-1.6196,-1.4842,-0.0253,2.1989,1.5597,-0.6612,-2.0729,-1.578,1.9026,1.1149,-0.515,-0.4849,-1.2456,-0.7889,-0.9815,-1.1209,0.7127,1.003,-1.3977,-0.0459,0.3511,-2.5455,-0.5547,-1.2137,-1.057,-0.0622,0.982,-0.7185,-0.9724,1.7966,1.5981,0.9541,1.5157,0.2061,-0.0449,-1.3823,0.2273,-0.3795,0.1445,0.4439,1.1286,-1.1968,0.7863,-1.3184,0.2956,0.1411,1.8247,-0.8196,-0.0603,0.3085,0.5445,-0.3117,-1.0374,0.4753,-0.8015,1.1671,-0.6726,0.2638,0.7399,-0.4837,0.4178,1.0792,-0.5565,0.5853,0.1572,-1.479,-1.5851,-0.3341,-0.2633,-0.958,7e-04,-1.7796,0.948,1.2094,2.7263,0.2287,1.0647,-0.0827,0.1816,-0.5301,-0.6205,1.057
0.9579,-0.6031,0.6476,2.4484,-0.5038,-0.0717,1.1642,1.3563,0.8561,0.0945,1.1263,1.3855,-0.1973,-1.1379,0.3355,0.145,0.664,-1.2721,0.7293,0.9373,0.5439,-0.8398,-1.1266,-0.8687,-0.7987,1.3823,-0.6401,2.5912,-0.5629,0.6055,-0.6127,0.4666,-0.4512,-0.1933,-1.2782,-0.8879,0.3919,0.0398,-0.8725,0.3104,-0.3835,2.0703,0.3482,-0.6987,-0.2696,0.265,-2.296,1.3248,0.0088,1.6766,0.8293,-0.2971,1.2365,0.5069,2.0809,-1.6021,-0.231,-0.6208,0.4516,0.1672,1.025,-0.405,-2.6725,0.766,-0.1427,-0.3437,0.8445,0.9691,0.7533,-0.1897,-2.706,-0.2214,-0.2902,0.7421,-0.2304,-0.0716,-1.5793,0.4431,-1.0738,0.0731,1.9604,-1.2873,0.2407,-1.7301,0.0537,-0.2916
-1.1602,0.1905,-1.1685,0.833,1.2459,0.0814,-0.2927,0.6082,0.1076,-0.4528,-0.0771,0.204,-1.959,-0.0686,-0.0055,1.2897,-0.5488,-0.583,-0.4122,-1.2395,0.0273,-0.0838,-0.1398,-0.9319,-0.4212,1.4503,0.347,-0.1231,1.5405,0.5448,-0.4651,-1.4601,0.5307,-0.4632,-1.3588,-0.1834,1.3549,-3.042,1.0392,2.014,-1.4764,0.2513,-2.8599,0.5277,-1.4094,-0.1265,-0.7165,-0.398,1.0296,0.2953,-1.2641,0.9642,-0.5554,-0.2552,1.2329,0.1348,-0.5923,-0.0116,-1.74,1.483,0.4181,1.2287,0.7585,1.6077,1.6437,0.4008,-0.4408,1.2023,1.6474,-0.2767,0.2958,-1.2046,-0.9804,-0.6145,-0.3789,-1.2332,2.5991,-0.6271,-1.6977,-0.3814,-0.4639,1.9272,0.0339,-0.2766,-0.1605,-0.1039
