"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24"
0.4448,0.3052,0.2062,2.0258,0.1356,0.9235,-1.0133,-1.092,1.6841,-0.2682,0.667,-0.4771,-0.8698,2.1518,1.47,1.4712,-0.9406,-0.964,2.38,1.4769,0.4339,-0.654,0.7541,0.9721,0.5515,-0.8819,-0.7753,-0.3611,0.2209,-0.1074,-0.2785,1.0868,-0.7719,0.4218,2.7075,-0.1739
1.8368,-0.9111,1.2706,0.7379,1.2971,0.0124,0.2067,1.2884,0.6328,-0.4996,-1.3078,-0.3254,0.6526,0.2184,-0.9148,0.84,1.2392,-0.3395,0.7265,1.05,-0.4862,0.3671,0.3499,0.093,-0.2681,1.3362,-1.3637,-0.3229,-0.663,1.166,0.2584,-0.0719,1.2492,-1.5935,0.6684,0.5623
-0.7677,1.2166,-0.2422,-0.4001,-0.4392,0.1603,1.0435,0.5182,-0.0423,1.3483,1.0849,0.793,0.8431,-0.3651,-0.1695,1.0178,-0.3381,0.3921,-1.2098,-0.1723,1.0079,-0.408,1.2583,0.5193,-0.4934,0.62,2.357,-0.7056,0.4377,-0.632,-0.9982,-1.5201,-2.1246,-0.3267,0.7012,-0.6222
0.016,0.0122,1.8477,0.9024,-0.0121,-1.3711,0.692,1.1843,-0.6898,1.4716,-0.6494,-0.9487,-0.965,-1.0373,1.7538,-0.4951,0.1737,1.4592,-0.0031,0.5296,-0.7783,-1.3744,-1.4372,-1.4641,0.9027,-1.0856,-0.4951,-0.1035,-0.2258,-1.3431,-0.0303,-0.8527,-0.7339,0.6967,-0.4978,0.1426
-0.4166,-0.0734,-0.5749,-2.3144,1.1309,-0.7155,1.2966,-0.6335,-0.6024,0.3728,1.0072,0.3678,0.5446,0.1379,1.7667,1.6071,1.0802,-2.7151,-0.2484,0.633,-0.8323,-0.7862,0.0917,-0.7934,0.6468,-0.0478,-0.9205,1.2738,0.3074,-0.6493,0.9229,0.7059,0.2661,1.6233,-0.1632,1.7325
-1.1622,0.1563,-0.3016,0.3685,0.8411,-0.1428,-1.0258,-1.1933,-0.2738,0.1309,0.7002,0.7511,2.1009,-1.3208,0.7184,-0.9419,1.7947,0.1406,-0.7705,0.2155,-0.9215,1.0028,0.2821,1.451,2.0597,-0.693,-0.4526,-0.8483,-1.9966,-0.4398,-1.2041,0.1581,-1.275,0.4231,-0.5454,-0.717
-1.3988,-1.002,0.8149,0.9473,-0.4033,0.6202,2.4034,0.9283,1.7942,-0.0013,-0.4676,0.6617,-0.395,-0.2433,2.0172,-0.1356,1.6318,0.2453,1.0367,0.2414,1.1495,-0.2944,-2.2268,0.7556,1.0194,-0.3339,0.7155,-1.4973,0.5127,-0.3385,1.2918,0.8396,0.2072,-0.4289,1.0655,1.2698
-0.6661,-2.1948,1.1832,1.6862,-0.8449,0.8107,1.1392,0.288,-0.8674,1.6663,0.0611,0.5473,-0.2919,-1.6903,-1.2851,1.3907,-0.5767,-1.3268,1.1803,-0.9601,-0.2754,-1.0339,-1.6755,0.499,-0.5178,1.5499,0.1206,0.5289,-0.648,-0.4955,2.2831,0.8152,-0.5521,-0.8162,-0.3578,0.4548
-0.3048,1.502,-1.3767,-1.4372,-0.0107,-0.7803,0.6246,-0.0422,0.7967,0.8969,-0.8134,0.6419,0.9237,-0.4904,0.3865,-1.4878,-0.3188,1.3863,-0.6584,1.6123,-0.6628,0.4552,0.5134,1.2507,-1.0897,-0.0638,-0.5088,1.2167,0.8133,0.6934,-0.1435,-0.1021,-1.0326,0.3684,0.2511,1.1968
0.1114,0.3248,0.5119,-0.4721,0.3641,0.1811,-0.5298,2.5521,-0.7151,0.4603,0.8271,-0.8939,-0.343,-0.8002,-0.5007,-1.0645,2.3203,-1.4913,0.1683,1.2433,-0.5818,-0.7133,0.6772,-0.2888,1.3005,0.2103,0.4792,0.2748,-2.0903,-1.4749,-0.3388,0.6153,0.1788,-0.2176,0.5839,-1.7609
0.6237,0.9083,-1.2359,-1.8608,0.7817,1.13,-0.0556,-0.885,0.7053,0.3495,0.7711,0.2697,1.2966,0.0842,-0.6947,-0.8809,1.9786,1.5278,-0.5316,1.6748,-2.1911,0.5313,0.263,-0.1356,-1.2551,-0.8412,1.1587,-0.349,-2.1887,0.7743,0.5633,-1.5112,-0.8132,-1.5289,-0.7052,-0.0996
0.5966,-1.1647,-1.6385,-0.2353,-1.0517,0.2702,-1.892,0.531,0.0982,-0.1731,-1.2528,-1.2518,0.4332,2.1778,0.6915,0.8516,-1.5234,0.174,0.1559,-0.8925,-0.9928,0.6966,-0.008,0.9048,1.0139,-0.5585,0.2842,-0.4169,1.4255,-1.3469,-0.5652,-0.218,0.0217,-0.2043,0.4427,1.1651
-0.4131,1.4945,0.3664,-0.1697,0.1333,-0.6676,-1.6571,0.7661,0.6739,1.7159,0.0889,-0.3621,0.0585,-0.7705,-0.5051,0.4088,-0.0528,0.5737,0.381,-1.8047,-0.8519,0.5234,0.8827,-0.7033,-1.278,-0.3526,0.1567,-0.6659,1.3469,0.3087,-0.3001,-2.1005,0.6964,0.5144,0.0311,0.8607
0.161,0.4279,0.592,-1.3326,-1.3389,0.2898,-1.7001,0.1433,-1.8767,0.0125,0.4624,0.6,0.203,0.1279,-0.0604,2.1338,1.0967,-0.4779,1.7527,-0.8455,-0.7647,-1.0002,-2.0404,-0.1041,2.0304,0.4809,0.345,0.4958,0.9074,-0.931,0.6161,0.4884,1.4636,0.6671,1.8972,0.419
1.2203,-0.0138,1.0785,1.1848,0.9842,0.9415,1.3284,-0.6418,-0.43,-0.086,0.188,-2.4894,2.5869,0.3245,-0.8405,-0.8814,-0.0716,-0.6685,0.4313,0.279,-0.84,-0.5625,0.5403,1.3584,0.4961,-0.1723,-1.5279,0.9446,-0.2716,-0.5345,1.5441,-2.5854,-0.4376,-0.0325,-1.2573,-0.3452
-0.9745,-0.2863,0.6142,-0.3702,-1.3691,-0.2936,0.0597,-0.2988,0.0927,-1.1343,0.6254,1.3708,-0.5868,1.4636,-0.7149,-0.3145,0.2122,-0.5883,0.0656,0.6479,-0.7614,-1.6845,-0.9649,-0.4096,-0.1863,1.6218,0.8781,0.0439,-0.331,-2.4266,-1.0328,-1.4942,-0.6715,2.4023,1.0398,0.9477
1.7197,0.6765,0.6355,-0.6754,1.2878,-1.6546,-0.656,-1.6084,-0.4696,-2.5808,0.5475,0.3776,-0.7117,-0.0054,-2.1119,-2.0327,0.474,1.1529,1.7158,0.5702,-0.203,-0.0261,0.5159,0.2365,0.8909,0.1485,0.475,-0.8553,-0.2381,-0.7851,-0.5095,0.2575,2.2828,-0.5933,0.5353,-0.1746
1.2818,0.4615,0.0865,0.464,1.108,-1.804,-0.693,2.2361,-2.5693,-1.355,-0.7566,-0.2069,-0.954,0.0194,-0.7173,1.4339,1.3315,0.1194,1.7382,0.141,1.7169,-0.3027,-0.3534,0.5948,-0.0824,-0.1764,-0.6332,-1.3329,-1.0191,-0.209,0.286,0.1697,-0.0992,-0.662,-1.0301,1.5186
-1.2466,0.3634,1.4129,-0.2438,0.0377,0.2013,-0.5915,0.0953,0.364,-0.9261,0.8094,1.1612,-1.4886,-1.1713,0.0627,-0.0957,-0.5866,0.0675,-0.0905,0.1742,0.2193,-0.5817,1.8021,0.5756,-0.0044,2.3335,-1.2309,1.2811,-0.217,-0.1316,0.2396,0.4585,-1.3128,-1.4313,1.0488,0.2755
2.0006,-0.9507,0.1216,0.4083,0.0891,-0.9752,-0.1715,0.1521,-0.2315,-0.7957,0.8171,-0.5931,-0.0358,1.0012,1.4571,-0.0727,-0.5966,-0.2737,1.7432,-0.3179,-1.1827,-1.3968,1.6916,0.2736,0.3554,-0.4741,0.6785,0.3287,0.4588,-0.3018,-1.4715,0.8408,-0.289,0.0115,0.1688,-1.1698
-0.3163,-0.4641,0.9061,-0.0385,0.5442,-0.5162,0.8074,-2.0088,-0.5245,2.2977,0.0859,2.0015,-0.8892,-1.1513,-1.2459,1.0473,0.8193,0.0061,-0.0545,-2.5084,1.398,-0.429,-0.062,1.9096,-0.5163,0.1973,-1.5982,-0.652,0.8683,0.4474,-0.3475,-0.2897,0.9318,-0.4603,-0.8518,1.3484
