"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23"
0.7475,-1.2319,-0.2782,-1.7138,0.1712,-1.4016,-0.9344,-1.0539,0.7234,-0.3503,-0.1766,-0.0403,0.9987,-0.5402,-1.3647,-0.3671,-0.3799,2.0755,-0.1661,0.4163,1.0676,-0.4795,1.5191,-0.5937,-0.1453,-0.5833,1.9781,-1.4118,-2.9213,-1.9783,1.3848,-1.0102,1.1928,0.8164,0.9215,0.3954,1.059,-0.5482,0.0823,-1.6262,1.0605,-0.1868,-0.5882,0.7547
0.637,-1.0747,2.3592,0.6001,-1.5306,0.0957,0.7167,1.0755,0.3526,1.1605,-0.0271,0.5143,-0.9719,0.128,0.0318,-0.2759,-0.331,-0.8986,-1.274,2.0077,-1.3071,1.1103,0.7649,-0.3606,-0.3072,0.3603,1.0997,-0.7593,-0.4101,0.4472,-0.1656,0.0074,-0.4189,0.5431,-0.1313,-0.1138,0.4703,1.2724,1.6128,0.159,-1.6395,-1.2111,-0.3657,0.8816
-0.3832,-0.0148,-0.4476,-0.5171,-0.7778,0.7983,1.2569,-1.4483,0.2267,-1.3501,0.305,-0.0763,0.9992,0.6775,0.4749,1.0906,0.3555,0.838,-0.306,1.2083,-1.9907,1.4012,0.7054,0.5116,-0.075,-1.1963,0.5083,-0.2396,-0.6906,-1.2878,-0.2328,-0.4968,-0.1266,-1.4197,-1.6404,0.5529,-1.218,0.7011,-0.8654,-0.428,0.9331,1.5286,1.5196,1.3297
-0.551,-0.0211,-1.3354,-0.0596,-0.873,-0.8824,-0.4374,0.6147,1.5132,0.6135,-2.1262,1.2324,-0.6497,1.6599,1.1328,-0.7814,0.1699,-0.0109,0.2543,0.4607,0.9606,-1.2641,0.0735,0.1031,-0.4592,0.3147,-0.5585,-0.1479,0.3555,-0.6122,0.6202,-0.7873,-0.7102,0.8594,-0.2479,-2.0296,0.8702,2.1897,-0.9952,0.6573,-0.3029,0.1396,-1.9974,-0.0664
-1.134,2.3276,-1.5648,2.245,-1.0902,0.052,0.4568,-0.6836,-0.0529,1.6579,-1.0042,-1.2399,0.4302,0.1344,-0.8094,1.6433,0.2392,0.7271,0.5625,-0.7861,-0.2507,0.8656,-0.955,1.6831,1.5481,1.0124,2.0169,1.0148,1.1132,-0.2395,0.6073,0.0896,0.1299,-1.0217,-1.3001,-0.0687,-0.2674,1.269,-0.1434,0.7729,-0.176,-0.0427,-0.3469,1.5786
0.1587,0.5376,-0.1995,0.2523,1.4127,-1.541,-2.2056,-1.0479,-1.0557,2.0574,0.7969,0.5549,-1.3884,-0.7034,0.2342,-0.1708,1.314,-1.3252,0.3851,0.9016,2.3952,-0.108,-1.2501,-0.7349,-1.0598,-0.1644,-0.2787,1.2808,0.1477,-2.1221,1.4411,-1.0928,1.7435,0.7129,-0.2653,-1.4977,0.5684,0.7615,-0.6683,-0.8398,-0.5372,0.4368,-0.9649,-0.7884
-1.7769,-0.1509,-0.5397,0.8108,0.5,0.9349,0.3238,1.4609,-0.5035,0.291,0.2471,0.9167,0.1711,0.7649,0.6663,-0.6536,0.2293,2.2382,1.2362,0.7687,0.3186,0.2458,0.3027,-0.5378,1.2126,-0.3883,-0.0369,-1.0415,-0.8022,-0.1836,0.47,0.9685,0.8762,-1.2056,-1.4008,-0.4055,0.4571,0.5828,0.8332,-0.17,-0.0727,2.8561,0.2696,-2.6794
-0.3661,-0.5279,1.0496,-0.9897,0.2645,-0.3572,0.3144,0.107,-0.1843,0.7645,-1.3027,0.5103,1.3107,0.8198,3.7157,-0.7079,-2.0643,0.3024,0.2309,-0.5132,-0.0275,1.7552,-0.1443,0.2633,-0.0104,-0.3491,-1.9302,0.2251,-0.0768,0.8871,1.0078,-0.5979,0.6456,-0.0316,-2.0427,-1.4003,-0.97,0.534,-0.4221,-0.216,0.1918,-0.6565,0.0182,0.2288
-0.0528,-0.5351,-0.1872,0.4302,-0.0113,1.5305,0.4256,0.3333,-0.5747,-1.0786,1.289,-0.129,-0.0782,0.9038,1.5899,0.1881,0.4163,-0.4967,0.5168,-0.2192,-1.7309,0.9805,1.065,0.5636,-2.0206,0.4859,1.0946,-1.688,-1.0102,-0.6228,0.684,-0.1741,0.4666,0.5303,0.8518,1.2675,-0.1148,0.8635,-0.2087,-1.0522,-1.7333,0.4478,1.0556,-0.0355
0.4303,-0.6199,0.0792,-0.1236,0.9859,0.0418,1.2163,0.1945,-1.8646,-1.5338,0.4898,-0.5054,-1.5828,1.1438,-2.3706,1.748,-0.3227,-1.1862,1.0256,-0.2751,-0.8094,-0.4825,-0.0163,2.9289,-0.5449,-1.2729,-0.0548,0.8915,-1.0085,-1.4865,-0.48,-0.9036,-0.2116,-0.3261,0.2597,-0.6887,-0.0234,0.7633,-1.3489,0.1178,-0.8016,0.0971,0.991,-1.304
0.3913,-1.0941,-1.6177,-0.2319,0.8846,1.8599,-0.9536,0.6526,0.5955,-0.0123,-0.6024,-1.4096,1.6314,0.2888,0.0172,-0.2243,0.8429,-1.5253,-0.1663,-1.6438,-1.3787,-1.5008,-0.3711,-1.3,1.156,-0.8424,-1.0155,-0.8743,-2.5034,-0.3019,1.2673,0.5476,-1.666,-0.1447,-1.1642,-0.4887,-0.4341,1.2004,0.3539,-0.3647,0.4518,0.171,0.7127,0.1379
-0.0091,0.1748,-0.2399,0.5579,-0.9049,0.3349,1.3994,1.4749,0.7915,0.2929,0.0113,-1.5437,-0.8219,-0.9433,0.1911,-0.0957,-0.8749,-1.8163,-0.7916,0.6783,2.8487,0.3631,1.5114,1.1167,-1.2929,-1.4932,-0.0077,0.4448,-0.261,-0.5735,-0.9682,0.3748,0.749,0.573,-1.4121,1.2353,-1.9943,-0.1404,0.6742,-0.6497,-0.1219,1.115,1.7956,-1.2361
2.5758,-3.1892,-0.2719,-1.5043,-2.0038,-0.1897,-0.9607,0.062,-0.7362,-0.1325,0.0668,0.6986,-0.9805,0.1332,0.8182,0.2051,-0.2506,-1.7175,-0.2822,-1.4886,-1.2796,0.5276,-0.2653,0.8896,0.1325,-0.2669,1.0773,-0.995,0.5878,0.3109,1.0214,-0.4449,0.1449,0.7202,-1.2283,0.8133,-0.5077,1.7701,-1.2837,-1.0176,0.1043,0.2029,-1.0817,-0.8354
1.5485,-1.1694,-1.403,1.3905,-1.1785,1.0121,-1.635,1.2209,0.4362,-0.8024,-0.2979,-0.3181,-0.6155,-1.7621,-0.6992,0.0634,-1.5379,0.0397,-1.3334,0.3455,0.6214,1.2136,-0.6745,1.1027,-1.228,-0.0378,0.0817,0.0169,0.2714,-0.6216,-0.8952,-1.9693,-0.5188,1.5179,-0.5369,-0.3426,0.4903,-0.0257,1.4496,0.0582,-0.2989,-0.0788,-0.4925,1.3993
-0.187,0.9916,-0.913,2.2826,-0.4949,0.5299,2.2059,-2.3474,-0.3157,-1.2222,-0.1828,-1.5143,-0.9956,1.1508,0.9965,-0.7417,-1.4835,1.1216,0.0497,-1.5465,1.3415,1.4294,0.6716,-1.269,0.081,0.0861,0.3034,-0.0074,-1.0486,-0.7013,0.9789,0.16,1.3113,2.8247,1.2014,-2.0198,0.9661,-1.3058,-0.9287,0.0788,1.2182,0.3156,0.9646,-3.0581
-1.2321,0.1492,-0.8732,-0.4412,-0.0032,-0.5555,0.8164,0.6301,-0.2954,0.9412,-0.1483,0.5154,0.1972,0.5057,-0.6927,0.9883,-1.7447,0.3539,0.5038,0.9564,-0.3238,0.2155,1.5032,0.3639,1.0237,-0.1679,1.0598,-1.0728,-0.4684,0.3577,-0.112,0.4258,0.8456,-0.1127,0.3795,0.837,1.1452,1.2752,0.4558,-0.6441,0.002,-0.7137,-0.5831,0.3198
-1.4657,0.5546,0.8272,0.5188,1.5034,0.7023,0.7635,0.4228,0.6041,1.006,0.6601,0.7896,0.3332,0.7027,-0.1035,-1.2305,0.0242,-1.9321,-1.0471,0.8224,0.1444,0.1676,-0.9769,-0.4958,-0.2052,-1.8293,-0.9169,0.3796,1.1307,0.4958,0.0351,0.491,1.21,1.3295,-0.9574,-0.3733,0.7138,-1.4225,0.1737,1.5999,-0.0793,1.875,-1.2492,-0.4569
-0.3253,-0.5897,0.558,2.0539,0.6348,0.6309,0.6312,0.1809,0.4181,-0.1591,0.9997,-2.151,-0.3611,0.1611,0.6039,-0.9801,-2.7416,0.0858,-0.8695,1.8725,-1.0819,0.4407,-0.2732,-1.7531,0.957,-1.277,-0.2493,3.2759,0.7393,1.145,1.9314,1.0495,0.7474,0.6927,0.9778,-0.7059,-0.2017,0.0383,-0.8744,-1.161,0.6901,1.8598,0.35,-0.6222
0.3124,1.4096,0.6944,-0.8821,0.6854,0.3729,-0.2087,0.1271,-0.5836,1.6811,0.5521,1.8382,0.8223,-2.3912,-0.608,-0.4154,1.2545,1.5001,-1.1084,-1.1858,-0.006,1.0834,-0.3453,-0.9022,0.729,-0.2959,0.6903,0.0204,0.5395,1.0654,-0.7602,-0.8198,-0.7621,0.0699,-1.3913,-0.5392,-0.3458,-0.8484,-0.5522,-0.1893,2.2962,-0.7965,0.8144,0.1306
-0.1738,-0.2974,1.4058,0.0471,0.8105,-0.3565,1.0087,-0.4576,-0.7319,0.0153,1.7459,1.2351,0.4458,-0.6097,0.0849,-0.2784,-0.6506,1.0147,-0.0404,0.9549,-0.361,0.1674,0.0328,-1.044,1.2094,0.2758,-1.3951,-0.4162,-0.3212,-0.6556,1.0475,-0.7384,-0.255,-0.0528,1.6774,-1.1195,-0.5808,1.3076,0.949,-0.7273,0.5447,-1.8883,-0.5167,-0.4827
-1.3395,0.5874,-0.3214,2.3086,-0.1304,-0.0502,1.436,-0.6231,0.5433,0.9771,0.6205,-1.2663,-1.2791,0.9443,1.578,1.0541,0.0147,1.8439,1.4166,-0.2154,-0.7533,-0.3891,0.3312,1.6377,1.3327,0.188,1.1973,-0.5152,-0.0527,0.9056,-0.6792,-1.2792,-1.9104,-0.9966,-0.2505,-1.4189,0.9388,0.6652,-0.0659,0.856,1.1596,1.9517,-2.6923,-0.5339
0.2218,0.0137,1.1831,-0.9253,-1.0741,0.8789,-1.5617,1.0956,-0.9991,-0.6714,0.3226,-0.8042,0.6596,-0.2737,-0.4637,-0.6231,1.1981,0.4196,-0.6327,0.216,0.597,-1.0542,0.7301,-0.7077,1.0004,-1.0487,-1.0779,-0.3605,-1.1142,-1.3247,0.0249,0.8575,-0.2012,0.991,1.4324,-1.0123,-0.6035,-0.6827,-0.1625,1.1158,-0.8257,0.4923,-1.097,-1.3874
1.5585,0.4791,-0.2657,0.9555,-0.8975,1.1247,-1.143,-0.1867,-0.7043,0.6058,0.8404,0.2083,-1.299,0.837,-1.1585,-0.1782,0.3012,-3.2894,-0.6286,-0.4142,-0.8327,0.0136,1.0471,0.898,0.3905,1.0217,0.2687,0.1688,0.0389,0.16,-0.1234,-0.4596,-1.778,1.037,-1.0168,1.0831,0.2035,1.0661,0.9286,-2.4612,0.0737,-1.4066,-1.2555,1.5992
0.1748,-0.4415,1.1562,0.4735,-1.3572,0.2979,-0.7226,1.1815,1.3831,0.6602,-0.1357,0.3644,-0.0838,-0.9376,0.7237,-0.3324,0.4217,0.6424,-0.0253,0.415,-1.545,-0.0153,-0.7296,0.6059,0.0623,0.0454,0.1773,-0.8718,0.4046,-1.9873,1.9414,-0.7977,0.1122,-0.502,-0.0304,-1.0453,0.9282,0.2179,0.3807,-0.5802,-0.4932,-0.8109,-0.6372,0.9054
0.1995,1.244,-1.253,-0.3631,-1.2927,-0.8069,0.5258,-0.3869,0.1603,0.2897,0.7323,-1.1905,-0.2735,0.2581,-0.7845,1.6039,-0.6366,0.2131,-0.9755,-1.1113,0.823,4e-04,-0.014,-0.7947,0.1376,-0.3492,-0.5943,1.5216,0.0548,0.4047,1.2722,-0.0462,0.1544,-1.2013,-0.5104,-0.3239,0.3591,0.6978,-0.2362,-1.9034,0.8947,-1.0295,-0.3909,-1.2686
0.7374,-0.5176,-0.6042,0.3619,-1.5172,0.7538,-2.3441,-1.0135,-0.4438,1.091,2.0052,-0.6371,-0.7989,-0.548,-0.2684,1.4488,-1.2943,-1.7183,1.015,-0.9021,0.202,-0.3942,0.7876,0.5382,0.3633,0.2687,0.2164,0.6024,0.2147,-1.0734,0.0754,-0.191,-0.6183,0.0303,0.3409,0.5244,0.1868,0.9116,0.1906,1.8367,0.1442,0.1314,0.9944,-0.3136
-0.839,2.8599,0.9134,-0.3322,0.8592,0.1499,-0.1574,1.4466,-1.1779,-0.1334,-0.2081,3.0837,1.1262,-0.6492,0.5078,-1.0584,0.6416,-0.1315,-0.3019,0.8206,-1.6228,-0.591,-0.5945,0.5564,-0.9005,0.8528,-0.1922,0.9234,-2.4046,-0.0738,0.1343,-0.6353,-0.0232,1.1171,-0.9703,0.4457,-0.4198,-0.5071,-1.3319,0.1393,0.642,-0.2753,-1.423,0.6594
0.2811,-0.1617,1.6575,0.7604,-1.2146,1.1374,-1.4509,-0.0985,0.7173,-2.0061,1.0345,0.9375,0.0258,-0.1858,0.4613,0.4365,-0.203,-0.6719,1.1311,-2.8861,-0.7038,0.926,0.4563,-1.1525,-0.5943,0.6021,0.8939,1.3837,0.2865,0.274,0.0817,1.9664,-1.618,1.7407,-1.2248,-1.949,-1.166,0.2674,0.2609,0.4388,2.6818,1.3748,-0.611,-0.5634
-0.6789,0.1261,-0.0389,-0.5096,0.6191,-1.6014,-0.3452,1.2173,-0.5538,-0.3367,0.0248,1.3905,0.5186,1.7148,1.1794,-1.2972,0,-0.4435,0.6395,-0.2728,0.8512,-0.1435,1.7442,0.7251,-0.498,-0.396,-1.3452,-1.0893,-0.3273,-1.4999,-1.3783,-0.7405,0.3792,-0.5565,-0.9497,1.4617,-0.2767,-2.5269,2.1907,0.0167,-0.6579,1.8616,-0.7388,0.0449
2.0936,-0.6201,-0.3313,-1.7572,2.3454,-0.7442,-1.607,-1.232,0.0969,0.7593,-0.7479,-0.7934,-0.0452,0.1722,-0.6794,-0.8291,-0.8246,0.4713,0.795,-0.444,-0.9975,1.5585,-1.3425,-0.0054,-0.5242,-1.1811,1.2977,-0.9369,-1.2615,0.8978,-1.6841,1.1414,1.9023,-0.1202,1.7659,0.1779,-0.8563,-0.3512,-0.2236,-1.5569,0.5533,0.9096,1.4291,0.1171
0.3082,0.733,0.6261,0.8132,-0.198,0.5327,1.1705,0.3579,1.1901,-1.8741,1.1337,-0.3076,-0.8843,0.2224,-0.3186,-0.5816,-0.5567,-0.5919,-1.4791,0.7465,0.7749,-0.7829,0.7242,-0.2394,-0.2815,0.8629,-0.2528,0.3285,-0.3014,1.0965,-0.1871,0.6,0.6019,1.7132,0.2402,0.9997,0.1394,0.8463,-0.5582,-1.5846,-1.0289,-0.0212,-1.4916,1.6306
1.5427,0.1889,-0.1206,1.1323,-0.184,-1.3529,-0.276,-0.3157,-0.2195,-1.7151,0.4592,-1.3514,0.5812,1.5918,-0.658,-0.8473,-2.2914,-0.6519,-1.6807,0.4306,-0.3275,-1.8439,-0.0722,-0.8853,-0.0555,-1.0451,-0.7418,-0.4799,0.19,0.2774,-0.2053,1.8164,1.7323,-0.403,1.0286,-0.9373,0.0315,1.0188,1.3749,0.8814,-0.7308,1.1177,-1.5457,-0.785
0.7607,0.6353,0.0136,0.1115,0.8387,2.7487,-0.1947,1.9541,1.0311,0.0228,-0.3168,0.3624,-0.7969,-0.2877,-0.1626,0.2286,-1.6524,-1.4568,0.059,-1.3543,-1.418,-0.16,-1.0012,-0.1741,-0.7948,-0.6864,-1.0629,0.5112,-0.9554,-1.2352,-0.7265,0.1099,-0.1469,-1.0103,-0.7623,-0.4482,-0.3365,0.5945,0.8345,0.362,1.1069,-0.7476,1.0396,0.767
-1.3721,0.7132,0.2522,-0.8301,-0.0145,-0.8518,1.4921,1.3077,-1.1461,0.1206,1.7616,-0.0502,0.8496,0.5177,1.9893,-0.3132,-1.5713,0.1723,-0.3583,1.4829,0.4708,0.9119,0.2633,-1.0849,-2.2343,1.1454,1.0799,-0.0698,0.0213,-1.4847,-0.8923,0.009,-0.2729,0.3488,-0.1114,-0.2689,0.5799,0.2469,1.4183,-0.7299,-0.0832,-0.6497,0.0341,-0.5934
0.4778,-0.7689,1.0895,-0.4826,-0.7638,0.4472,-0.8648,0.5603,-1.7629,1.2191,-1.8566,2.3118,2.4171,-0.7231,-0.0611,0.3062,-0.1803,0.551,-0.3392,1.0557,-2.4889,-0.1535,-0.0495,-0.024,2.0175,-0.5272,-1.5386,0.7059,-1.1788,-1.5035,-0.0527,-0.6162,1.1475,2.3777,-0.0921,0.6521,1.4546,0.7486,0.5924,-1.4287,0.353,0.0244,-0.5825,-0.2765
0.6544,0.8259,-1.0656,-1.3172,-1.4195,-1.728,-1.5466,-0.5069,0.3272,-0.0615,-0.0629,-0.3182,0.3432,0.8484,-0.0278,1.2296,-1.0664,0.5717,-0.1022,1.4377,-0.6468,-1.5789,-1.0238,-0.1328,-0.8165,-0.2558,0.138,-1.6071,-1.0817,-0.4463,1.7838,-1.2018,0.5054,-0.7522,-0.2757,-1.2211,0.0555,-0.9279,0.4097,0.6924,-0.7163,-0.1855,-0.7214,-0.0498
-0.263,-1.1899,-0.4413,-1.3874,0.0933,2.2051,-0.6194,0.9835,1.1904,0.508,-0.2084,0.0107,0.6747,-1.347,0.5115,1.1711,0.3891,1.1892,1.6006,-0.9729,-0.086,-0.5827,0.0199,-0.2453,1.0221,0.4731,-0.5962,0.7028,1.8141,-0.1067,-0.351,-0.3016,0.801,-0.4731,-0.1387,-0.4792,0.541,-0.6744,0.6889,-0.9058,-0.1301,-0.7753,-2.5849,0.3122
0.9498,0.1534,0.6003,1.1324,-0.4272,0.7258,-0.6527,0.7217,-0.5263,0.2733,-0.1308,-0.9412,0.4372,-0.0558,-1.2168,-2.0713,0.0352,-2.3653,-0.4618,1.9046,0.2509,-0.039,0.5844,1.1137,-0.6176,1.3352,-0.7685,-1.8455,0.7741,0.3531,1.1273,-0.5931,-0.1353,-0.1039,0.2958,0.6252,-1.0261,-0.9125,-0.8559,-0.2989,-0.9878,0.3712,0.2712,0.107
-0.8058,0.9126,-2.1438,-2.0585,0.3924,-0.5139,0.3504,-1.4467,-0.2551,0.7445,0.1212,0.2303,1.251,1.1277,0.9536,-0.2544,-0.4985,0.0332,-0.6176,1.2056,0.257,1.3043,-0.1975,-0.6191,0.4997,-0.9841,-0.1607,-0.0183,-1.5793,0.7957,-0.2464,-0.516,-0.0476,0.0591,-0.7924,1.0942,-0.1,0.3519,0.2691,0.7883,0.5934,-0.6249,-0.142,-0.4814
-1.1577,-1.5915,1.2954,0.5587,0.282,0.2611,-0.3158,1.188,0.9261,0.9162,1.8617,-0.7839,-1.2492,1.3384,-0.0584,0.4764,-1.6054,-1.3343,1.6273,1.1568,0.1146,1.1233,1.7975,-0.1323,-0.1368,0.7432,0.0588,0.4705,-0.2376,-0.5185,0.3095,0.3728,0.2501,-0.3888,0.7703,-0.9053,0.031,0.0628,0.4403,-0.8836,-0.9153,1.1342,1.1039,-0.0127
1.1518,-0.4414,-0.6486,-0.3842,1.298,-0.7105,-1.4112,0.857,-0.4546,-1.3337,-2.0755,-1.0384,-0.9566,-0.0865,-0.7049,1.1648,-0.6709,0.6088,0.2237,-1.2102,1.385,0.8111,1.5628,0.8638,0.6014,-0.0286,-0.369,-0.7949,0.1312,1.1011,2.1739,-0.4472,0.0436,0.4784,1.7952,1.4121,0.4584,0.3939,1.8666,-1.3242,-0.3193,-0.3513,-0.4761,0.2531
