"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NS40","NS41","NS42","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18"
-0.1868,1.0957,1.3744,-1.6716,0.3343,0.0574,-1.0142,-0.3274,-0.7208,0.4157,1.3605,1.2734,-1.6511,0.9197,0.0735,1.0233,0.2383,-0.9705,-2.0917,0.1835,0.7979,0.6065,-0.1329,-0.0878,1.0741,-0.2728,1.1805,-0.4871,-1.74,0.7104,0.1062,1.1779,-1.2094,0.3195,-1.1491,0.9116,-1.284,0.5604,0.3626,-0.509,1.8622,-0.2545,-1.0678,-2.0081,-0.0749,0.6206,-0.8769,0.3141,0.4957,-0.2372,-0.0187,0.6589,-2.4439,-1.167,-1.091,-1.4782,1.2909,-0.1162,1.9314,0.585,-0.3633
1.2203,-0.0906,0.8736,-1.6691,-1.7584,-0.1481,-0.3519,1.2593,-2.0317,-0.1259,-0.8689,0.7472,-1.3387,-0.5275,0.9293,-0.354,0.6091,0.7401,-1.269,-0.4887,-0.198,1.235,0.0346,-0.3164,-0.2464,-0.0764,-1.2714,-0.3624,-0.0168,-0.4988,-1.0438,0.1595,-1.8691,-0.1754,-1.4522,0.9538,1.0725,-1.1453,1.1929,0.0141,1.0415,-0.2975,0.6087,-0.6318,0.9407,0.8656,-0.0182,-2.0175,-0.9795,0.2187,0.7441,0.7679,-0.4029,0.2287,0.5707,-0.3501,0.4173,-0.5121,-0.6961,-0.0439,0.9436
-0.658,0.1234,0.0741,0.3103,0.7249,-0.3551,-3.1748,0.9961,2.8008,1.3943,1.4689,-0.1977,0.5892,-0.291,1.2475,-0.807,0.2173,1.2261,-1.7613,0.2259,-0.7768,0.3182,-0.9233,0.655,-1.7403,0.5282,-2.246,0.7518,0.7233,-0.511,0.4494,-0.4272,1.2093,-0.2677,0.3083,-0.2321,-0.5957,0.1536,2.0018,0.7492,0.0722,1.0257,1.4178,-0.5854,-0.7673,-0.3294,1.8899,0.564,-0.2604,0.547,-0.2416,-1.0436,1.2001,1.7518,1.391,0.2933,0.6391,0.0233,0.5622,1.2409,-0.2268
-0.912,-0.318,0.1118,-0.2518,-0.6125,-0.7356,-0.9203,0.8372,0.5877,0.8878,1.8036,-1.3157,1.5169,-1.0955,-0.2624,-1.9139,-0.0131,0.3425,1.5528,-0.8266,1.2464,0.0497,1.1256,0.7256,0.1315,1.0947,-0.0208,-0.8717,-1.9159,0.184,0.0445,1.8125,-0.3768,-1.4513,-0.5983,0.3232,-0.5061,-1.2274,0.7211,0.309,1.2269,0.2479,1.0384,0.7397,-0.5841,1.1915,-0.8352,-0.1697,0.1629,0.8526,1.2367,0.1023,3.2996,1.6066,-1.4388,0.2029,-0.6258,-0.0496,1.2742,-1.5827,-1.6566
-0.065,0.9758,0.7037,-0.495,0.0248,0.6036,-0.0085,-0.2337,1.6905,0.8536,-1.5985,-0.3496,-0.1911,-0.3154,-0.9566,1.0751,1.9382,-0.31,-1.7089,-0.1605,0.4861,-1.6201,-2.4081,1.2118,-0.3048,-0.6238,1.7634,-0.1192,0.0063,-1.0033,0.2025,0.8825,0.2442,1.0746,-0.6874,-0.0365,-0.75,0.8716,0.7425,0.5514,-0.646,-1.0739,-0.9091,1.1313,1.243,-0.1022,-0.5395,-0.2304,-0.8695,-0.3438,1.6129,-0.0681,0.7004,1.1936,-0.6177,-0.8649,-1.3543,0.6204,-0.0261,-0.0349,1.2619
-0.8716,-0.1852,-0.6521,-0.9864,-0.8908,0.5199,-1.041,-0.0019,1.1163,0.5646,-1.3461,-0.427,0.5371,1.5682,-1.4649,1.1871,0.6705,0.0375,-0.7398,0.9116,-0.7477,1.3519,-1.2751,0.5118,0.3835,-0.7647,-2.2637,-1.8878,-0.8196,1.5776,0.6688,-0.7447,-1.0702,0.4948,0.6558,0.5115,2.2138,-0.7708,-1.6715,1.3306,0.223,-0.0921,0.3328,-0.8922,-1.655,0.7373,0.9168,-0.7251,-0.3286,-0.2006,0.1076,0.2669,-0.021,-0.9909,-1.608,2.4383,-0.4522,0.9984,1.1235,-1.0285,-0.5558
2.4047,1.2415,-0.907,-0.0104,-0.837,1.3117,-0.2915,1.0963,-0.4549,1.9429,0.0512,-1.6204,-0.396,0.1392,0.2725,1.3811,-0.1319,-0.3826,-0.1152,-0.2323,-0.1237,-2.2252,0.049,-0.7951,-0.0574,-0.0277,0.4659,-0.5599,0.711,-0.1616,-0.834,0.1764,-0.3365,-0.3245,0.5128,0.9294,-0.512,-0.5465,-0.5179,0.4769,1.4652,-1.8725,1.2482,0.3155,-0.7521,0.3182,0.3639,0.8585,2.2934,-1.2145,-0.066,0.2466,0.0154,0.5644,-0.4055,0.581,-2.2224,1.0271,-0.4109,-0.0838,-0.8712
-0.7454,-0.9495,-2.1771,-0.1242,-0.3452,-0.2003,1.3055,-1.6383,0.8825,-0.1006,0.2821,-1.8232,-1.092,0.7882,-0.4353,0.0645,1.4268,-0.0642,0.3537,-0.4471,1.0758,0.207,-0.6124,0.8971,-0.8785,-1.2626,0.7115,0.6723,0.8025,0.7747,0.0667,-0.9031,-0.633,0.7043,0.6282,-1.3589,-0.6077,-0.9793,1.5532,0.4262,1.4135,0.406,0.4775,-0.8809,0.839,2.8232,1.0692,-1.154,1.764,1.0742,-0.1229,1.0631,0.5714,-0.4847,1.2389,-0.6939,1.6383,0.1344,-1.5165,-1.8719,0.3342
-1.3383,0.3794,-1.0714,-1.7343,0.7469,-0.6024,1.2379,-2.2143,1.7709,0.3277,-0.4151,0.541,1.0085,1.9164,0.2416,0.0398,-1.5306,1.6197,0.135,0.8205,0.8385,0.8374,-0.9752,0.3698,-0.4514,0.5203,1.3892,0.5825,-0.3644,1.4692,-0.1881,0.7151,-0.001,-0.0553,1.2389,-0.8262,-0.1871,-0.1754,1.0759,-0.3447,0.6569,0.8858,-0.0334,-0.5359,1.1399,-0.3518,0.7917,-2.6847,2.1754,-0.8156,-0.9643,1.6682,-1.7984,-1.9678,0.6171,0.4552,-0.581,-0.5539,-0.2403,0.8912,-0.3934
0.6865,0.9127,-0.8169,1.2432,-0.8252,0.9482,-0.3747,-2.5161,0.6199,-2.4582,1.8468,0.3286,-0.1771,0.1675,0.5512,-1.0701,0.8372,-0.4708,-0.0696,1.2079,-0.215,0.6232,0.0269,-0.4465,-0.1543,0.298,2.0935,0.6806,1.6527,-1.2858,0.1172,1.4419,-0.9392,-0.3315,1.3649,2.126,-0.5656,2.4547,0.614,-0.2738,0.1297,-0.439,0.4166,-1.1041,-0.9412,1.7991,-0.3422,-2.0424,-0.5436,-0.0568,-0.2072,0.1918,-0.1746,-1.0435,-0.3213,0.0528,0.7582,0.9416,0.6906,1.3,-1.7003
0.3906,0.497,-0.6304,-1.7127,-0.2658,1.0769,-0.2788,0.6425,-0.7013,0.825,-2.0852,2.4935,-0.2449,-2.5167,-0.6359,-1.179,1.5759,-0.4383,-0.1451,-0.935,1.0563,0.558,1.3984,0.4133,0.8657,-0.1042,-0.5097,0.0747,0.2435,0.7119,-0.3437,0.0877,-2.1611,-2.0327,0.7851,-1.8565,1.4484,-1.3562,-0.796,1.662,0.5538,-1.4107,-0.4414,-1.2455,3.0929,-0.8851,-0.3608,-0.773,0.2324,0.3531,0.8558,-0.7795,-0.4166,-0.2437,0.8364,0.3082,-1.5493,-2.1503,2.2551,0.7491,0.3984
