"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NS25","NS26","NS27","NS28","NS29","NS30","NS31","NS32","NS33","NS34","NS35","NS36","NS37","NS38","NS39","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40"
1.3655,-1.2806,1.194,-1.2239,-0.6536,1.4034,0.2069,-1.5555,0.4661,1.733,0.7546,-1.4711,1.0045,-0.4414,-1.6447,2.1828,0.4769,-0.051,-0.1351,-0.149,0.7509,-0.0978,0.4934,1.6411,-0.569,-1.6307,-1.4055,-2.3709,-0.5311,-0.7229,-0.0798,-0.0726,-2.161,-1.1474,-0.6358,-0.534,0.5249,0.0294,1.1329,2.1559,1.1562,-0.4595,0.2088,-1.3966,-0.8718,0.6257,0.4348,0.1526,-1.4188,-0.9588,0.8425,0.193,-0.1858,0.4739,-0.6977,1.4285,-2.8451,1.3603,-2.2965,0.5437,-0.0594,1.1089,0.8789,0.0096,1.1845,-0.6808,-2.5648,0.2523,-0.1743,-0.0423,0.0839,0.9563,-1.1735,-1.076,-0.7648,-1.6037,0.9821,-0.226,-1.254,1.5122
0.6678,-0.8496,-1.2866,-0.256,-0.2748,2.4205,-1.7947,-0.2807,0.9953,0.5004,-0.9549,-1.4559,0.3167,-0.2757,-0.5005,-0.1573,-0.5341,1.8986,-1.1398,-0.7267,2.0565,0.7062,0.1034,0.1794,-1.0412,1.7948,0.2044,0.1337,0.9789,0.6655,0.7712,-0.5917,0.1641,1.6473,-0.4876,1.4356,-1.4797,0.662,-0.3971,-0.6065,-0.5062,0.1379,0.3388,1.4304,-0.3031,0.166,-0.1153,0.145,-0.1858,-1.6726,2.4307,2.4528,0.5302,0.147,-0.3074,-1.8918,0.0385,-0.8337,-1.8304,-0.2981,0.8063,-0.468,-0.8654,0.3234,1.0896,1.9268,-0.5449,-0.4296,-0.5107,0.255,-0.489,1.844,0.1744,-0.5913,0.4663,-0.578,-0.8998,-1.9311,-0.411,-0.5989
0.8162,-1.0471,1.7119,-0.5849,0.2026,1.5948,1.8885,-1.3495,0.5119,-0.8036,1.0688,0.1067,0.65,-1.4383,-2.3193,-0.5369,1.4922,-1.5696,0.7206,-1.7046,-0.0205,-0.5526,-2.5517,-0.2073,1.3556,1.9607,1.2864,-0.755,-0.6058,0.4499,-0.0026,-0.7348,0.2341,-0.1978,1.8181,-0.9663,-1.0602,1.674,0.1892,0.0234,-1.3151,-0.8949,0.2703,-0.2316,-0.9876,0.6568,1.4348,-0.2196,1.7093,-1.8602,0.1605,-0.6533,1.8011,0.573,0.9345,0.6744,-0.5961,0.3923,1.5476,-1.4804,0.6126,0.6249,0.2856,-0.3831,0.6777,1.2973,1.2205,-0.7457,-0.3036,-0.052,0.6744,-1.9926,0.2369,0.7934,-1.1933,0.3786,-0.734,-0.9778,-1.7433,-1.8015
-1.2299,2.1005,1.2601,0.4782,0.2869,1.5216,-0.4418,-1.1346,0.4022,-0.0101,-1.1772,-0.4311,0.021,-1.5812,-0.9246,-1.4678,-0.2097,-2.3702,-0.1141,-0.4415,-1.0277,0.7589,-0.0522,0.2984,-1.4728,0.7751,0.4535,-0.0025,1.6368,-0.1759,-1.9693,0.0028,0.64,0.8374,-0.5845,-0.398,-0.8958,0.1095,-1.8703,-0.485,0.4529,0.7599,-1.4018,1.2383,-2.0185,0.091,1.4461,-0.0058,-0.4413,0.7947,0.0547,0.2525,0.0772,-0.1152,-1.3863,-0.333,0.0793,1.3468,-1.5705,0.2097,0.8797,0.6451,-0.122,-1.9821,0.0044,-0.2488,0.2855,-0.885,-0.6417,-0.7039,-0.3427,-0.8184,0.7848,1.5807,0.3782,0.6836,0.6918,-0.2893,0.8214,-0.2438
-0.8822,0.2852,1.1568,-0.4766,0.7608,-0.9419,1.2191,-0.7717,0.2657,-1.5384,-1.8853,0.683,-0.0241,-0.6458,0.3704,-0.1677,-0.1527,-0.3607,0.2499,-0.0639,-0.5175,0.5259,-0.4681,-0.2273,1.049,-0.9255,-0.2469,-0.8011,-0.4645,1.081,-1.6156,0.3833,-0.9885,-1.5336,0.0147,0.1987,0.9484,1.5366,-0.329,0.8236,-0.1132,-0.0338,1.2285,-0.1716,0.6072,1.1979,-0.6865,1.394,-0.9915,-0.5075,0.5147,-1.7457,-0.612,-1.2623,0.7062,1.352,0.5591,0.0053,0.8118,0.6714,-0.7215,-1.9637,-1.6744,0.2679,-1.1687,-0.9788,0.269,-0.5341,-1.6059,-0.0294,0.7005,-0.3147,-0.6242,0.78,1.3804,-1.0785,0.7735,0.3352,-1.1415,0.287
-0.17,0.7912,1.134,0.2887,-1.2896,-0.1939,0.2607,0.0251,-1.1914,-0.7364,-0.2319,0.3523,0.782,-0.5372,0.7426,-1.7032,0.9234,-0.0568,-1.3343,-0.5278,0.9721,-1.9073,-0.0849,-0.0222,1.313,-0.6646,0.7419,0.3062,-0.6278,0.9434,-0.9829,-0.2323,-2.4608,0.69,0.5721,-0.0515,2.7326,0.5879,0.859,-0.0225,0.3243,0.1003,1.1253,-0.7869,1.3088,-0.5821,-0.3254,-0.6854,0.4984,-1.7441,0.8168,-0.7193,-1.2885,0.9444,0.1317,0.1479,1.1927,-0.7237,-0.3776,-0.2331,0.175,0.5769,-0.4816,0.2775,-0.2931,2.9152,1.5823,0.327,-0.3196,-1.3811,-1.4193,0.9402,-0.6566,-0.1044,-0.4704,-0.4507,0.6866,0.4561,0.1104,0.6714
1.572,0.9057,3.1024,-0.3758,0.9461,-2.1059,-0.596,1.3943,-0.4807,-2.1602,-0.3613,0.4612,-1.1637,-1.0244,-0.003,0.7212,2.0529,0.7739,0.2759,-0.5446,0.4601,0.3912,0.211,-0.241,0.4102,1.142,-0.1098,1.3305,0.7,-1.0992,-0.0185,-1.3765,-0.3454,0.3916,-0.3167,-0.5734,0.7545,-0.5674,1.3232,1.2972,0.731,-0.7328,-1.2078,0.9817,-0.0274,0.4699,-0.6393,0.1577,-0.4812,-0.5526,-0.665,-0.1821,0.288,-0.4373,-1.3685,0.3643,-1.0322,0.9811,-1.3726,-0.8092,0.1613,-0.4372,-0.6967,-1.6051,-1.4057,-1.2131,0.4285,0.0284,-0.3949,1.21,-0.5849,0.5965,1.9692,-0.1511,-1.6305,0.2808,0.4237,-1.158,0.8204,1.5479
-0.3097,-0.2705,-0.7139,-0.2734,-0.282,0.728,-0.3119,0.3834,0.1052,-1.941,-0.0975,-1.4361,1.3355,0.3219,-0.0866,0.1175,0.4052,-1.6527,-0.1105,-1.5107,-0.1924,-0.6045,-1.0533,-0.7536,0.3979,-1.135,-0.0206,0.8622,-1.7984,0.6532,0.0563,0.7786,-1.4543,0.463,1.3055,-0.7796,0.7881,0.254,0.0069,2.9174,1.8093,2.1638,1.1297,-0.9125,0.3722,-1.2773,-0.5665,0.9559,-1.1013,1.2098,0.6234,-0.1188,0.2885,1.3947,1.3113,-0.3609,-0.3163,-0.9479,-0.9145,0.1588,1.8914,0.3957,-1.2211,0.715,0.9917,0.9234,-2.0075,0.7154,-1.0792,-0.604,-0.1177,1.5315,-0.9162,2.6873,-1.5976,1.3844,2.0136,-0.2208,0.227,-0.331
-0.0671,-0.4672,1.6238,0.9079,-0.1239,-1.1287,1.7659,-0.8398,-0.5585,0.9734,-0.1914,1.7011,-0.5112,-1.336,-0.091,2.863,2.081,-1.3326,0.0505,1.2586,-0.0986,-0.8546,-0.9754,0.708,-0.9094,0.3008,0.5428,-1.3004,-0.0329,-2.6327,-0.3662,0.4109,-0.286,1.7933,-1.3114,-1.0695,-2.0864,-1.0861,-1.8105,-1.1143,0.1306,0.4209,-0.5196,0.141,1.1327,-1.3184,-0.6945,-1.0088,-0.6078,-0.3602,0.9775,0.2325,-0.1901,-1.8722,1.1586,-1.7471,0.4154,-0.0339,1.6606,0.0429,-1.1656,-1.7598,1.8006,2.3046,2.006,0.1025,0.181,0.6333,0.206,-0.9428,-2.6998,-0.6924,0.896,0.7473,0.0777,-0.6178,-0.9396,0.0499,0.9443,-1.3575
-1.3283,0.4381,0.1734,0.9051,-0.2121,-0.0045,0.1221,-0.5177,0.9263,-1.6055,-1.6153,-2.0181,-0.5498,-1.0431,0.5335,0.2974,-0.4068,0.0032,-0.8156,0.1186,-0.3371,0.7632,0.5705,-0.917,-0.4535,0.1468,-1.1199,0.1045,-0.4433,-0.9233,-0.3836,-0.6945,0.942,0.5194,1.2042,-0.2589,-1.1512,0.1921,-0.0752,0.045,2.8281,1.383,-1.329,-0.5,-1.2358,-0.2416,0.1504,-0.7016,-0.1688,1.7169,2.5652,-1.1013,0.7017,-0.496,-0.2819,0.4961,-0.5295,-1.2573,0.4581,0.845,0.8192,-2.2015,2.1628,-0.6212,1.568,1.3894,0.7446,0.436,-0.9514,0.9403,-0.5564,1.3803,-0.833,0.9537,-0.074,-1.2506,-1.1102,-0.1909,-1.4082,1.5392
-1.0204,1.2782,-0.8655,1.2918,-0.4484,0.0778,1.1079,1.3304,0.7641,-0.5116,1.8803,0.735,0.0944,-0.5396,-1.5349,0.8096,0.4924,0.5604,-0.1373,0.4015,1.0995,0.501,-0.4723,-0.8393,0.7663,1.3452,0.2101,0.2885,1.0474,-1.1096,0.2105,0.6715,0.6481,0.7223,0.8205,0.9809,-0.534,0.2721,0.2553,-0.4915,-1.1266,-0.9332,-1.637,0.6067,-0.8058,-0.5962,1.0961,1.4547,-0.9095,1.7795,1.1742,-0.8303,1.1689,-0.8446,-0.4113,0.6741,0.3383,-0.0115,-2.1615,-0.719,0.342,1.2785,-0.4966,0.8273,0.0696,-1.1923,2.4503,0.241,1.1794,-0.3624,0.6597,1.5007,0.2883,0.1884,0.4946,-1.1649,-0.9826,-0.1397,-0.529,-1.0597
-0.0652,-2.5032,-0.5627,-0.8562,0.496,1.0891,0.7913,-1.3985,1.1696,0.8168,-0.5813,-1.1464,-0.5874,1.7059,-0.3309,2.5733,-0.0268,0.9103,-0.3586,1.638,0.7443,1.1508,-0.781,-0.359,-0.1508,-0.8119,-1.5022,0.1154,-1.0728,0.905,-1.2906,0.221,1.0576,0.0833,2.2868,1.6604,0.0243,0.064,-0.6709,-0.104,-0.2859,0.6438,1.1905,-0.3327,1.3008,-0.6651,1.056,-0.2158,0.691,-0.11,0.5662,-0.1005,-2.3723,-0.5913,-0.7551,-1.3771,1.0139,2.2635,-0.9577,-1.0961,-0.9085,0.6091,0.7709,-1.0034,0.4337,0.8527,0.9436,0.4712,0.5001,-0.6088,-1.0423,0.3313,-0.5113,-0.7236,1.1575,-0.8517,0.5688,1.1285,1.4095,-1.4604
1.3187,1.2295,-1.6526,-0.3419,-0.2007,1.9734,-1.0752,-0.1815,1.0936,0.2651,0.8854,-1.2512,-0.5881,0.0502,0.8506,-0.8247,2.2218,-1.5709,-0.0505,-1.506,-0.099,1.7062,0.1498,0.3963,1.6787,-0.4947,2.5888,1.3367,-0.5133,1.1434,-0.5567,-0.3596,0.413,0.1213,-0.13,1.0559,-0.4891,1.5354,-0.7463,-0.2062,-0.8024,-1.0281,0.1702,-1.7899,0.5455,1.2237,-0.7284,0.4237,0.127,-0.1102,0.6933,-0.5879,0.413,0.271,1.1914,-0.5947,0.4716,0.0569,0.3895,1.7351,-1.7844,1.2618,-0.1045,-1.2554,-0.4685,-1.2391,1.7754,-2.5093,-0.7085,-0.8659,-0.5575,-0.0582,0.4042,-1.1053,-0.4153,-0.218,-0.8627,1.5882,0.5556,0.7342
0.638,-0.4745,1.0774,0.2215,0.9757,0.8328,-0.5675,-2.2649,-0.8505,0.6708,0.7799,0.3613,-0.6605,1.0196,-0.5592,-0.4877,-0.2791,-0.0841,0.411,-1.6949,-0.9117,0.5496,-0.1921,0.2439,2.0006,0.8539,0.1284,-0.7195,0.3632,-0.0308,-1.1995,0.3364,0.084,0.374,0.2772,-0.7153,0.8736,-0.7959,-0.7223,1.7031,-1.2979,-0.5952,-1.1686,-0.4844,0.5553,-0.4125,-0.5443,-1.1515,-1.2564,0.0752,0.8718,-0.3917,1.2097,-0.6535,-1.9195,-1.1151,0.6675,0.0761,-0.2274,0.3822,-1.2395,-1.1603,0.328,-0.771,-0.3383,0.9052,-1.7052,-2.1584,-0.8914,1.6257,1.0744,0.2779,0.0178,0.8874,-0.2709,-1.8237,-0.0269,-0.5218,-0.9269,0.3729
1.199,-0.5556,1.2502,-0.2284,-0.4734,0.1708,-0.2253,-0.1269,-0.9892,-0.2141,-1.0084,-0.1855,0.3302,-1.0011,-1.1034,-1.1448,2.7055,0.3854,1.7828,0.6756,1.2525,-1.0897,-0.3557,-0.0154,0.3228,-0.9613,-1.3932,-0.3855,0.0427,-0.8958,1.3854,-0.3867,1.6523,0.5366,1.4963,1.1254,0.1613,2.029,1.9384,1.872,-0.5376,-0.6977,-0.3638,-0.7907,0.5495,1.3652,0.1579,-0.8803,-0.1411,1.5149,-1.3784,-1.0386,-0.6679,-0.8307,-1.1139,0.6278,-1.6247,-0.9883,-0.9413,-0.5476,0.7545,1.034,-1.5751,-0.2171,-0.2222,1.8695,-0.2008,-0.7478,1.4575,0.3892,0.8162,-0.0637,1.8423,0.7975,0.5506,-0.6522,0.5225,-0.9207,-0.0765,-0.1243
1.8531,0.477,1.1327,-0.3235,0.1318,-0.5458,-1.0994,0.7638,-1.4633,-0.0326,-0.1456,-0.7369,1.4518,0.2047,0.1661,-0.7703,0.4442,-0.9031,0.8859,1.5681,0.1217,0.6999,-0.616,-0.3193,-0.4457,-0.1709,-1.1859,-0.4048,-0.6267,0.8285,-2.0622,-1.2792,0.2947,-0.898,-1.4597,0.2571,-1.9857,0.7427,1.5341,0.7143,-0.0802,0.595,-2.2314,-1.0602,-1.5086,-1.7205,0.0194,-0.1378,-1.6257,0.4485,1.1725,0.889,0.6716,-0.3885,0.6483,0.3528,2.3445,0.5726,1.1462,0.5478,-0.3241,-0.3677,0.3052,-0.495,-0.531,1.4623,0.0375,-0.1505,0.7463,2.0498,0.4018,0.9061,1.2522,-1.2194,-0.2819,-0.7435,0.329,0.7957,-1.0924,0.428
-1.0632,0.6907,1.9696,0.4107,0.0147,-0.0227,-0.7934,-0.3727,0.4035,-1.3795,0.6739,-1.2253,-0.5633,-1.8154,0.447,-0.0749,0.0466,-1.2043,-0.1153,0.0692,-0.1099,0.0091,0.2489,-0.4997,0.2547,0.2022,0.7375,0.1907,-1.3839,-0.0328,-2.0002,-0.0702,0.5503,0.3317,-0.1178,-0.2024,-0.2421,0.1083,-0.3238,0.3626,-1.0184,-1.7698,0.0772,-0.1516,0.9097,1.8782,0.4515,-0.1045,0.0219,-0.8793,-0.7396,0.6643,-0.494,1.4191,2.2521,0.1583,-2.3698,-0.4125,2.5246,-1.3195,-0.6411,-0.5656,0.3108,-0.5332,-2.9692,-0.5643,2.0809,0.1815,1.4634,-1.9069,0.664,-0.3416,0.5641,-0.1023,-1.0881,0.9965,-0.5063,-0.4825,-2.5254,0.5033
-1.1009,1.2698,-0.1141,1.2098,0.3529,2.2999,1.7414,-0.0945,-1.2511,-0.0709,0.2695,0.3181,-1.7809,1.8429,0.2918,-0.9416,-0.462,1.0262,-1.3292,1.0793,0.2246,-0.9358,0.7398,0.8219,0.7271,-0.9659,-1.9436,-0.7234,-0.5135,-1.5006,-1.6633,2.2726,0.8588,-0.4822,-0.0208,-1.2239,-1.0711,-0.9869,-2.0757,-0.7814,-0.4198,0.6517,1.2163,1.2688,-0.7364,-0.3584,-1.1709,1.0556,0.5088,0.3909,0.3794,-1.8227,2.3217,0.0828,-0.4937,0.118,0.1864,0.0917,1.1308,0.393,-1.9089,-0.4823,0.631,-2.3454,0.4016,0.9344,0.2801,-0.5926,2.0408,-0.1436,0.2981,-0.4437,-0.5958,0.8903,0.2672,0.0405,-0.1878,-0.3986,1.2276,-0.1924
-0.3639,0.568,0.8478,1.4108,0.2627,-0.6727,0.3735,-0.2287,-1.7845,0.7967,-1.0636,0.7654,-0.3992,0.6128,0.6233,-0.0813,-0.7104,-0.7391,-1.6873,0.747,0.2563,-0.0876,0.5076,-0.5785,1.4933,-1.1833,-0.9167,-0.4167,0.8374,0.9814,-0.0848,0.1711,-0.3761,-1.3329,-0.3711,-0.1049,-0.1288,-1.8816,-0.8426,0.5681,0.5551,-0.7125,0.7108,-1.8086,-0.4692,1.0008,-1.9646,0.83,-2.1736,-0.1581,-0.9664,-0.6193,-1.935,-0.6557,1.226,1.2134,-0.4105,-0.298,0.6097,-0.5693,-2.8425,0.0956,0.2299,-0.1401,-0.0593,-0.9783,-0.0829,0.0069,2.1576,0.5695,-1.673,-0.6166,-0.5136,0.791,-1.125,-0.5712,-0.1922,0.0375,-0.5406,-0.1996
-0.7516,1.2541,0.0214,-1.1896,0.649,0.0493,0.2625,0.3939,1.9506,0.001,-1.2976,0.1507,0.4343,-1.8821,-1.0348,0.5143,-0.0228,1.6146,0.3704,-0.037,0.76,-0.62,-0.6343,-0.7506,-0.4566,1.341,-0.617,2.0147,2.065,0.9302,-0.0285,-0.475,-0.5317,-0.0755,0.866,-0.2794,1.3137,-1.2254,-0.6352,-0.2355,-0.6791,0.8174,0.1062,0.3659,-0.5134,-2.6355,0.121,-0.9788,-1.4324,-0.0741,1.7068,-1.7769,-0.9785,1.3691,-0.116,-0.5726,0.0077,0.4893,-1.4178,-0.8237,1.1309,-0.0162,0.67,1.5834,1.6809,-1.3959,0.3766,0.3918,1.1375,-0.5913,1.4748,-0.5749,-0.0986,-0.0606,-0.3583,0.5052,0.9883,-0.6523,0.0316,-0.8992
