"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32","NNS33","NNS34","NNS35","NNS36","NNS37","NNS38","NNS39","NNS40","NNS41","NNS42","NNS43","NNS44"
0.8099,1.4075,1.3014,-0.4704,0.5429,-0.3369,1.9667,0.7342,-2.5415,0.3007,0.9331,0.6633,-0.3937,-0.3514,-2.0702,-0.4773,0.6193,-0.6748,-1.2363,0.5123,-0.4848,0.2619,1.1074,-1.3119,-1.0729,1.5326,0.9475,-0.9966,-1.7324,-0.7486,1.5845,0.8227,-0.3745,-0.9931,-0.3218,-0.5723,1.319,-1.259,-0.1709,1.5452,1.9701,1.9511,-0.6665,0.9805,-2.4531,0.814,0.5495,0.1154,0.6078,-0.2976,0.2174,0.7396,0.4601,-1.2478,-0.3832,0.5711,-1.1915,0.0498,1.8682,0.4186,-0.2092,-1.0131,-1.2908,0.2694,1.1143,-1.2125,-0.3451,-0.9956
-0.3841,-0.0646,0.0785,-0.7201,-0.1921,0.4457,-0.5672,1.2268,-0.8366,-0.086,-1.0375,-1.2969,1.0402,0.4428,0.3532,0.176,-1.8809,0.8569,-1.0882,-1.7166,0.298,0.319,1.4034,0.988,0.1551,-0.3037,-0.5334,-1.7383,2.0663,1.8499,0.0112,-1.0264,0.3044,-0.148,-1.6309,-0.2511,-1.0644,0.4063,-0.3762,-0.1059,1.6333,-1.6268,0.7229,-0.5328,-0.6668,0.7488,0.2539,-0.98,-0.0393,0.0326,0.8329,-0.3984,1.2248,-1.0491,-0.9687,-0.2008,0.0194,0.779,-0.4742,2.3576,0.1378,0.7179,-0.2969,0.327,-0.6454,0.9326,0.1905,-0.0068
0.6647,2.4238,0.6125,-0.3257,-1.1429,1.2968,0.2884,-0.2265,2.3153,-1.2566,-0.4597,-0.1746,-1.0142,-1.6453,-1.4071,-1.3208,-1.2728,0.8769,-0.1466,0.7353,-0.1606,1.9285,-0.0031,-0.3885,-1.7067,0.9379,-0.3189,0.8088,-1.0775,2.5179,0.6195,0.2919,-1.0065,-0.6254,1.8847,-1.0583,0.2633,0.2614,0.3574,0.519,1.0847,-1.1131,0.1291,-0.4724,-0.9845,-0.4848,1.3467,1.2247,-0.9859,-1.2709,0.5752,-1.0014,-1.9015,0.9497,-0.5435,-0.4585,-0.6841,0.4976,-0.7627,0.3744,-0.1427,0.4887,0.2443,-0.6697,0.5994,-1.0892,-1.8707,0.9067
-0.8685,-1.0319,-0.475,0.8942,-0.2082,-1.0135,1.6617,-0.2476,1.7152,-0.1116,-0.9546,-1.0133,-0.0798,-0.3084,0.3739,0.2727,-0.298,-1.0347,-1.2917,-1.9853,0.9474,0.1652,0.7059,0.378,0.4564,-0.5525,-0.3161,0.6858,0.1204,0.0026,0.7663,-0.2149,-0.4273,1.0341,0.098,1.8223,1.5168,0.6587,-2.0769,-0.0421,0.6689,-0.1864,0.5931,-0.8565,-0.8061,-0.3233,0.947,-0.0822,1.0763,0.2278,1.7312,-0.4317,-0.3911,0.8651,0.2277,0.4732,-0.8093,0.388,-0.0096,1.1131,1.1884,0.7921,-0.0143,-0.6567,0.2018,-1.0557,0.1398,1.0178
-0.7713,-0.0725,-0.1621,-1.2261,0.8127,0.7466,0.0494,0.0444,-0.5405,0.5597,-0.9777,-0.7588,0.7143,0.6408,0.3597,-1.6454,-0.2283,-0.0537,-0.5936,1.013,0.7489,-0.9437,0.9583,0.1332,0.8539,-1.6085,-1.0306,-1.6808,-0.4189,0.1642,0.6275,0.0917,0.6797,-0.3101,-1.458,0.4014,-1.5145,-0.4481,-0.0455,0.3082,-0.6578,0.9209,0.1181,-0.7138,-0.0856,1.4099,-1.7902,-1.1794,-0.1586,-0.734,0.3931,0.4289,0.1056,-0.0511,0.5239,-0.7039,0.8091,-0.3658,-0.574,-0.1511,-0.4369,-0.367,-0.2271,-0.2086,-1.1293,-0.8953,-0.2583,-0.829
-1.7009,0.9085,0.3674,-2.4053,-1.3882,0.9288,-0.6235,-0.1723,-1.0509,-1.3553,0.0271,-0.0048,0.6424,-1.1245,-0.5895,0.2825,-0.2698,0.6353,-2.7791,-1.9695,0.1847,-1.1942,-2.6888,0.2412,-0.3304,0.3986,1.0482,0.0013,-0.3179,-0.3105,-1.0449,0.37,-0.0213,-1.4701,0.3397,-0.0362,-1.4248,-0.6787,1.0113,-2.4955,0.3967,-0.0229,-1.7628,-0.8909,0.5075,-0.345,0.0996,-0.8118,-0.1502,0.336,-0.1163,2.0185,0.3187,-0.5087,-0.6944,-0.307,0.3915,1.4104,-1.2746,0.7268,-0.0175,0.8336,0.8117,0.7174,-0.2133,-0.7971,0.125,0.0625
0.2082,-1.2715,-1.0262,0.8415,-0.1146,1.0878,0.5639,-0.5276,0.0809,1.4337,-0.1298,0.6801,-1.8132,0.2254,0.9162,0.456,-0.342,-1.2571,-0.0936,-0.7704,-0.2479,-0.9134,0.5621,0.0771,-0.8871,-1.5153,0.6957,-1.7816,-1.1713,-0.0721,-0.6041,0.2138,-0.2633,-0.3896,0.648,1.8615,0.8704,0.3814,-2.3185,1.7513,-0.2809,0.0758,0.5028,-0.4581,-0.6724,-0.2332,-2.0396,0.2487,-0.8673,1.8219,0.4087,-0.7997,-0.2699,0.5061,-1.9644,0.7047,1.1176,0.0093,0.1181,0.734,0.9099,0.1247,-0.7844,0.0103,-0.4032,0.3019,-0.6317,-0.0995
0.1929,0.2064,1.3548,-0.3113,0.8471,1.1196,0.988,0.4095,1.0382,0.7313,-1.9418,1.1161,0.2086,-0.7721,0.6898,0.9346,2.841,-2.2142,1.0505,0.6008,-0.0093,0.5035,-1.8421,-0.9693,-0.998,0.95,-0.6283,0.8454,-0.8185,-0.3895,-0.5922,-2.3755,0.0464,-0.2124,-0.3404,-0.0012,1.0107,0.6933,0.9699,-1.8365,-0.0626,-0.2653,-0.939,0.5399,0.158,0.8848,-0.8457,1.557,-0.2199,0.0284,0.4437,-1.0631,-1.0606,1.7353,-1.3693,-0.3804,0.6719,-1.2139,-0.3049,0.022,-0.6976,0.9914,0.3187,-0.1262,-0.9197,1.5744,0.6887,-0.8925
-0.6458,2.7791,0.1627,-0.5557,-1.2096,-0.8656,-1.0044,0.7683,1.2277,-0.0253,-1.219,1.3746,-0.4873,0.5587,-0.8216,-1.4181,-0.8703,1.738,1.2895,-2.2991,-0.0432,-0.6344,-0.8706,1.4187,0.2717,0.2614,-0.381,-0.8621,1.4229,-1.086,1.031,2.5785,0.0128,0.5651,1.1877,-0.6493,-0.2827,-1.0178,0.0927,-1.712,-2.3991,-0.5788,1.0413,-0.2693,-0.2621,1.7915,0.4804,-0.6822,-1.6578,0.4997,-1.0809,1.4803,0.427,-0.7151,-1.4506,-0.9042,-1.0474,-1.4007,-0.9951,-0.8801,0.6959,0.8192,0.0721,-0.1818,-1.0221,0.1294,-0.8511,0.3988
0.6595,-0.4693,-0.2033,1.3659,-1.0383,0.3714,0.2072,1.3593,0.3346,-0.2935,1.5095,0.5389,-0.5578,1.5385,1.0436,-0.9315,3.0935,-0.2319,1.4846,-0.153,0.3707,1.094,2.0148,-0.0335,1.3605,-0.0743,0.583,0.7932,-0.0111,0.7352,0.6725,-0.4771,1.7344,2.0517,-1.3211,-0.2427,-0.029,0.0554,-0.7933,-1.005,0.5593,1.6639,-0.073,0.397,-1.126,0.5471,0.1497,-2.0724,0.3388,-0.8536,-0.113,-0.8163,0.0413,-0.3271,-1.1234,-1.0948,-0.5349,-0.4935,-0.4699,1.2462,-0.0769,1.0188,-2.1501,-0.1,-0.9175,-1.6061,0.2981,0.3474
-1.0093,-0.4089,-0.1928,0.0311,-0.3745,-1.6483,-0.5716,-2.5151,-0.0928,-0.5499,0.1847,1.0626,0.8651,1.1271,1.5566,0.1521,-1.2218,0.6496,0.383,1.1514,-0.8093,-0.7812,-0.2391,1.567,0.5434,-0.5009,-1.0677,-2.0189,-0.3419,-0.1606,0.9002,-0.2902,0.0401,1.5602,0.1762,-0.5132,-0.228,-1.6157,0.7283,-1.4723,0.1228,-0.2892,0.866,1.0954,1.5805,0.0182,-0.2578,0.1594,-0.2615,-1.6828,0.7253,0.6252,0.7134,-1.0736,1.0197,0.8478,0.1526,0.599,0.0256,1.5172,1.5603,0.1965,-0.2852,1.4494,-1.4119,0.6163,0.9851,-0.7815
0.3369,0.6427,-0.2335,-0.1337,0.2828,-2.0394,0.1601,0.375,0.764,1.2344,0.0839,0.0419,2.4521,-0.6753,-0.0807,-0.3998,-0.3753,-0.4395,0.5074,-0.6251,0.4998,1.7205,-0.7647,-0.1529,1.7516,0.2339,1.2897,0.5513,1.4298,1.3892,-0.0429,-0.5694,-1.1882,-0.7767,-0.5262,0.7991,-0.0275,-1.1051,-1.4631,0.0239,-0.1838,2.0583,-0.512,0.7842,1.0784,1.7529,0.126,-1.2789,0.9009,0.3682,-1.2111,0.6149,-0.3932,-1.8376,-0.5626,-0.3399,0.4638,-1.066,0.2892,-0.7015,1.1574,2.0685,1.3658,0.8722,0.7088,0.5879,-0.0585,0.1508
-0.998,-0.3924,-1.8014,-0.3457,0.7839,0.2033,-0.5438,-1.1967,0.2093,0.2197,-0.3202,-1.0153,0.1824,-0.6663,1.3224,1.0197,0.1319,-1.5989,0.5697,-0.3549,2.1241,-0.1807,0.2488,-0.412,1.8413,-0.2008,-1.2402,0.3379,-1.7359,0.672,-1.2767,0.595,2.1855,-1.459,-2.0138,-0.2529,-1.2255,0.2378,0.0966,-1.1817,-0.8514,0.1073,0.2936,0.134,1.0628,0.503,-0.2174,-1.0419,1.4234,0.3704,-1.239,0.0895,1.2546,1.2344,-0.7561,0.3609,0.3924,-1.4318,-1.3264,-0.8409,-0.2906,-0.112,-0.961,-0.2524,-1.0449,0.0932,-0.3526,0.4124
0.3886,-0.5752,2.5683,-0.408,0.2157,0.0167,-2.22,0.5105,-0.3306,0.3407,-0.188,-0.1446,0.2751,1.0664,0.6697,-0.2664,-0.8282,1.1138,-0.2584,0.238,2.1171,-0.0768,2.4327,0.8227,2.7059,1.5069,-0.3926,1.0838,0.0033,-2.161,0.457,-0.9184,0.8735,-1.5712,-1.0016,-0.1776,0.6989,-0.8504,-1.6941,1.3714,-1.417,-1.2262,0.7442,0.3044,-0.3017,0.9812,0.3305,-0.4002,-0.4749,0.9778,-0.9779,0.4341,-2.8076,0.4938,-0.2704,0.18,0.5661,0.4674,0.0056,-0.5925,-0.9764,0.0755,1.7085,0.8865,0.3161,1.1923,0.6967,-0.6305
-0.2491,0.2734,-0.9799,1.0609,0.3087,0.3545,0.8445,0.2553,1.0708,0.48,1.2982,0.9692,-1.084,-0.1447,0.2629,-1.389,-0.0928,1.0685,1.2963,0.531,-0.2202,-1.1913,-0.6258,-1.3168,0.8754,-0.737,0.7813,-0.3241,0.9268,0.7626,-0.5088,-0.8712,0.7547,-1.4292,0.7181,1.1296,1.1397,-0.7766,0.1953,-0.7513,0.6354,0.2333,-0.6665,-1.2432,1.6449,-0.4546,-0.296,0.3606,-0.6783,0.6602,0.5624,-1.0049,0.2401,0.1027,0.9161,-0.8025,-0.1161,0.1717,-1.1331,0.7139,-1.3651,0.3693,-0.5201,-0.0591,0.2853,0.8017,-0.0681,0.2763
0.0341,-0.5119,0.4273,0.0301,-1.7881,-0.6573,4.113,0.8489,0.1894,1.0585,0.8447,0.9173,0.3434,0.8324,-0.2711,0.0378,1.5125,1.1602,-2.1949,0.8655,1.0802,-1.6591,0.8591,0.3073,0.888,-0.5007,0.0122,0.3819,0.0109,-1.4547,-0.0714,0.3168,-0.0652,0.769,0.7933,-1.2107,-0.5709,0.4295,0.0762,0.6046,-0.823,0.7158,-0.1728,1.1914,-0.4798,0.0577,-0.7525,-1.4433,1.0063,-0.413,-0.0581,0.8548,-0.2755,-0.1829,0.3003,0.7273,-0.6019,-2.2779,0.2722,-0.7663,1.6684,0.7067,1.4861,-1.3365,-1.306,1.3469,0.1643,0.9373
-0.6032,-1.2467,-0.7837,-0.3504,1.0371,-0.4508,-0.9931,-0.5028,0.3221,0.5762,-0.7276,2.3221,-0.7567,0.4828,-0.915,-0.293,0.6204,0.7228,-0.9283,0.7841,1.1886,-0.3867,0.4246,0.6642,-0.9371,1.6847,0.7111,-0.9314,-0.1319,-0.8179,-1.7266,-1.0365,2.9858,0.5794,0.5093,1.1278,0.955,-1.002,1.7749,-0.1158,0.1686,1.0378,-0.045,0.2831,0.6692,-0.477,-1.101,-0.1119,1.0998,2.0311,0.3657,-0.1918,0.0524,-0.9561,0.2771,-0.0319,-0.5902,0.8745,-0.4299,-0.0956,-1.7697,0.9369,-1.0605,-0.1142,0.1875,-1.0447,0.7021,0.0368
1.5165,1.7133,1.4143,-0.8653,0.358,-0.799,0.5978,1.2559,2.4072,-0.4937,1.0979,-0.6288,0.0597,-0.1219,1.2682,0.9232,-0.0829,0.9244,-0.6305,-0.7317,-0.5485,0.4398,2.7448,-0.2006,-0.1246,0.1834,-1.9159,-1.0572,-0.3646,-1.339,0.1475,1.6672,0.4654,-0.2445,1.3682,-3.1735,-0.3442,0.5858,1.1812,-0.8256,-0.3386,1.1824,0.0349,0.8121,-0.6055,-1.7046,0.7362,0.4811,0.7748,0.3052,0.2409,-0.6781,-0.4485,-0.4784,0.3034,1.0811,-0.0482,1.6041,1.2547,-1.0285,-1.8362,-0.2722,-1.1911,-1.4133,-0.94,-0.9866,-0.1242,0.2494
0.2911,0.7425,-0.2989,-0.1388,1.3521,-0.1748,1.1297,-0.3713,-1.6937,0.6302,-0.3174,1.6859,1.6672,-1.1794,-0.686,-0.8378,0.5521,0.8858,0.0831,-1.0775,0.1389,-0.2525,-1.8357,-1.3701,0.0244,-0.9163,-0.1087,1.385,-0.0969,0.3543,-1.5835,-0.3662,1.2864,0.4914,-0.8893,2.098,0.0716,-1.7583,0.1938,-0.3191,1.7709,-2.9881,-1.1678,1.8047,-1.7656,-0.0582,0.792,0.3132,1.818,-0.1005,0.7483,1.0699,-0.343,0.2061,0.2728,0.9721,-1.6384,-2.6763,-0.2981,0.5413,-1.396,-1.1258,-0.9972,0.6642,-1.5583,0.0668,0.6638,-0.7704
0.3724,-0.3834,0.7829,2.2331,0.5977,0.9308,0.5857,0.2966,0.9512,-0.5501,-1.2893,0.6374,-1.0365,-1.8158,-0.0583,-0.5859,-0.7525,1.0935,1.0081,2.3701,1.1608,1.034,0.4443,-1.095,0.5903,-1.4572,1.7992,-0.3742,-0.7542,-1.6588,0.1574,-0.1438,-0.2288,-1.0765,0.1836,-1.3975,0.181,0.951,0.6368,0.7907,1.4954,-0.2776,-0.7771,1.8549,0.573,-0.2124,-0.3163,-0.3121,-0.5361,1.5506,0.6411,0.4163,-0.3697,-0.4927,0.137,-1.9362,0.104,0.1412,1.505,-0.4034,1.5478,-1.0725,-1.2703,1.1798,-0.1321,-0.355,2.7845,0.0294
-1.2881,-0.7699,-0.7137,1.3704,0.4002,2.128,-0.5631,-0.8828,0.3831,-1.4763,-1.9229,1.136,0.87,-1.7631,-0.5997,-0.6115,0.2025,0.447,-0.2624,-0.029,-1.1359,-0.4404,-0.2307,-0.9076,-0.9567,0.8172,-0.2624,0.3559,0.424,0.292,-0.3403,-0.691,0.3483,-1.2659,0.2946,-0.031,-1.1337,1.7141,1.384,-0.9994,0.171,-0.4082,0.0295,-0.1283,-0.3419,0.5603,-1.954,0.1084,0.7272,-0.1992,1.2297,-0.0058,-0.2292,-0.1373,-0.8593,1.0389,1.0476,-0.1942,0.4719,-0.1316,-0.1421,0.5293,0.0639,0.2731,0.5243,-0.1864,0.0596,0.4646
0.0123,1.4479,-0.2543,0.9304,-1.1187,0.3507,-0.0684,0.3324,0.3065,0.4753,0.6785,0.7723,-2.137,0.5366,-0.2404,-1.4681,-0.211,0.1428,-0.2855,-0.1786,0.0153,-0.5955,-0.7862,0.6876,0.9391,1.7092,-0.0464,0.254,0.8109,-0.1043,1.6054,-0.5205,1.2253,-1.4897,-0.3415,0.7515,-0.2438,-0.0077,1.2814,1.9686,-1.0479,-0.4344,1.1909,-1.0765,-0.7695,1.733,-0.5502,0.4742,0.7545,-1.1073,-0.3316,-0.9221,-1.5761,1.2181,-0.3483,-0.1748,-0.9833,-0.1502,0.6097,0.2443,-0.7975,-0.0361,-1.1526,2.0551,-0.3654,-0.1273,-1.024,-0.0373
0.1243,1.4562,-0.362,-1.5652,-2.0705,1.8513,-2.1754,-0.4975,-2e-04,-0.0644,0.7526,-2.5641,0.425,1.4264,-0.5939,0.9045,-0.4633,1.0046,-0.7878,-1.0258,-1.9899,0.9509,0.1479,-0.8145,0.2207,-0.0356,-0.1601,-0.713,-0.1165,-0.4647,-1.2189,0.0394,-0.0343,-0.5265,1.1677,-0.8633,1.836,-0.4044,1.1207,0.4326,1.6648,-0.3052,1.5062,-0.0755,0.4669,0.7321,-0.6714,-0.3394,-0.0194,1.2511,-0.4642,0.1747,-0.166,-0.5682,0.3332,-0.5579,-1.1724,1.2752,0.5884,1.0826,-0.8295,-0.1881,-0.0184,-0.6366,-0.574,-0.7281,0.9946,-0.1669
