"target","NS1","NS2","NS3","NS4","NS5","NS6","NS7","NS8","NS9","NS10","NS11","NS12","NS13","NS14","NS15","NS16","NS17","NS18","NS19","NS20","NS21","NS22","NS23","NS24","NNS1","NNS2","NNS3","NNS4","NNS5","NNS6","NNS7","NNS8","NNS9","NNS10","NNS11","NNS12","NNS13","NNS14","NNS15","NNS16","NNS17","NNS18","NNS19","NNS20","NNS21","NNS22","NNS23","NNS24","NNS25","NNS26","NNS27","NNS28","NNS29","NNS30","NNS31","NNS32"
1.6631,0.607,-0.047,2.0958,-1.2306,0.0983,-0.2327,1.0876,-0.2452,0.8492,-2.8493,0.238,0.0171,-1.1934,0.752,0.8038,-2.4051,-1.3171,-0.6741,-0.1356,-0.9741,0.2669,2.0064,-0.1934,-2.2018,0.1786,-1.4531,-0.176,0.947,0.508,0.7524,-0.3644,1.3783,0.1423,-0.4584,0.3799,0.6302,-0.8969,-0.2557,-0.3025,1.03,-1.4286,0.6984,-0.1334,1.5084,1.1514,0.2473,0.5981,1.4879,1.3402,0.3866,-0.127,-1.1623,1.071,1.105,0.2351,-1.065
-0.7017,0.5657,-1.29,0.7368,-1.7639,-0.2311,-0.0382,-1.3701,0.0407,-1.7659,0.604,0.1411,-1.328,-0.3881,0.2386,1.7394,0.2597,-1.7009,-0.4691,-1.4912,-1.3128,1.4475,0.0442,1.4603,2.0037,0.6019,1.2074,-0.8819,0.9409,2.138,0.2915,1.0049,1.8229,-0.0188,0.9759,-0.5676,-0.6084,-0.984,-1.2002,1.1053,0.3703,-2.4368,-0.1048,1.0366,-1.0941,-0.4965,1.6923,0.3249,1.6225,0.6903,0.6334,1.2677,-0.7096,1.1733,-0.9086,-0.4605,-0.4977
-0.0173,0.8631,-0.2992,0.3157,0.7126,-1.1704,-0.2927,-0.9227,-0.9371,0.419,0.4913,-0.3413,-0.557,0.7812,1.731,2.324,-0.5491,0.1924,0.232,-2.0301,-0.0996,-0.2573,-0.4043,-0.222,1.0501,0.2611,-0.2818,0.1145,0.1005,-0.4269,0.7426,-0.1022,-1.3809,-0.0304,-0.4738,0.2663,-0.3299,-0.8248,-0.5122,0.0781,-0.5189,-0.2648,-1.6483,1.3681,1.2264,-0.4528,1.9551,-0.4701,-0.8976,-0.3401,-0.9147,0.4708,-0.8982,0.4294,1.8454,-0.0406,0.4734
0.6066,-0.6245,0.165,0.3291,0.5065,0.4676,-1.7403,-2.1106,0.9808,-0.3942,-1.041,0.8986,-1.3415,-0.7197,-0.853,0.2478,0.5706,0.1356,-0.2519,0.6449,-0.9299,-1.6946,-0.9399,-0.3702,-1.6726,0.3041,0.6984,0.6294,-0.4318,-0.9186,2.6352,-0.454,-1.2354,0.1626,0.8339,1.2364,2.5735,-0.1354,-0.711,0.272,-0.4969,-0.29,-1.0237,0.2228,-2.2248,2.4424,-0.8756,-0.1906,0.2363,-1.1117,-0.5584,-1.9488,-0.1148,-0.8227,1.0611,0.1329,-0.2241
0.1898,0.6119,1.6267,0.9739,0.5652,-1.1575,1.0844,-0.7454,1.0093,-0.3289,0.2197,-0.1063,-0.2513,-0.4509,-0.8125,0.1207,-2.1183,-0.1948,-0.4544,0.0283,-0.1554,1.4305,0.3937,-0.4489,-1.5236,-0.645,1.2828,-0.8633,0.112,-0.8516,1.4835,2.1686,-0.4737,-0.2476,1.5115,-2.5293,-1.5911,0.1929,2.0176,-0.5913,1.5968,-0.6918,0.3916,0.1336,-0.8623,-0.7598,-0.1469,1.1546,0.9962,0.4094,-0.2994,-0.1017,1.0172,-0.9139,-0.572,1.0829,1.9138
0.2171,1.976,-0.3887,0.6641,0.1581,0.6574,-0.872,1.138,1.169,-1.3154,-0.7352,-1.0886,-0.7025,0.7871,0.217,-1.3393,-0.8496,0.8521,-1.089,0.2934,1.3632,-0.3709,-0.2521,-0.0895,-0.8945,0.4092,1.5021,-0.179,-0.2919,-0.8711,-0.237,-0.647,-1.0842,1.5403,2.1219,-1.0737,-0.9418,0.643,0.8178,0.1087,0.265,0.0636,1.6977,-0.3854,0.9586,1.2728,0.0481,0.0304,-0.2955,-0.5871,1.511,0.2099,-0.5021,0.0767,-0.3899,1.0124,-0.1131
0.3864,0.6755,-1.4346,0.8553,0.4502,-0.7291,1.8512,0.3065,-0.5631,0.7863,2.5303,-0.6228,0.3528,-0.5517,0.1652,0.5809,-0.4385,-0.3421,0.6431,-0.125,-0.9768,1.1097,-1.232,0.0967,-0.5284,-1.0378,0.3142,0.9424,-0.5686,0.1824,-1.0179,-1.1825,-1.1042,-0.8822,-0.6261,0.4244,-0.6936,-0.4952,0.0048,1.3946,0.8246,0.0244,-1.9168,-0.2518,1.2929,0.7734,-2.004,1.3457,1.3288,-1.6149,-0.5963,0.3034,0.5581,0.0618,-1.0163,1.275,0.1993
-0.7205,0.6147,0.5252,2.0367,-0.6183,1.2671,0.0345,-0.8678,-0.1184,0.9508,0.3183,0.1313,-0.2386,0.4489,-0.9504,-1.69,0.4036,-0.1357,-0.5955,0.1004,0.2686,1.2558,0.4219,-1.923,1.8392,0.2386,0.4643,-1.4487,1.0779,0.8316,1.993,0.119,0.6366,0.0927,0.1486,0.0652,-0.3044,1.216,0.8044,0.1783,1.2552,-0.2095,-0.0319,-1.5679,0.2816,0.7766,0.0226,0.5383,-0.1872,0.2549,-1.4629,0.187,-0.9999,-0.2803,0.0904,-0.637,1.1523
0.1511,0.4117,0.4926,0.6142,1.6527,-0.67,-1.9531,-1.7682,1.1209,0.399,-0.5559,-0.5699,0.0471,-1.2897,-1.2771,2.4085,0.1394,-0.9092,-0.5719,-0.5132,0.0039,0.482,0.6869,1.8424,0.553,1.216,-1.2302,0.1231,-0.5671,-0.3603,-0.0299,2.0968,-0.1064,0.1036,1.1168,-1.2933,1.1217,-1.6306,-0.7709,0.7921,0.4531,-0.3743,-0.4014,-0.3253,-1.2454,1.5731,-0.0219,-0.3161,-0.7422,0.9121,-1.654,-0.1268,-0.3416,1.8885,0.2912,0.4186,1.3262
1.0298,-2.1892,0.4038,1.1072,-0.5922,1.02,-0.9657,-0.324,-0.8558,0.3651,1.2468,0.1665,0.0551,1.1941,0.2225,-0.5306,1.4618,1.7994,0.5951,-0.7671,-1.2306,-0.2902,-0.4613,-0.5105,-1.7061,-0.5933,1.9609,-2.4063,-0.2042,-0.6713,0.0814,-2.5924,0.2806,1.7782,-0.8106,-0.6705,1.344,-1.0209,0.5295,-1.2084,0.1247,-0.0517,0.3308,0.7007,0.0586,-1.2299,-0.6803,-0.8067,1.058,1.4604,0.1699,-1.3218,0.4022,-0.0628,-0.2646,-1.2104,-0.5065
-0.7173,0.9196,0.0117,0.6484,-0.291,0.9783,-0.4945,-0.5974,1.4514,0.4648,-0.0622,-0.1396,1.3669,-0.2283,-1.0243,1.6967,-0.6072,0.743,-0.6861,-0.2782,-0.5509,0.1618,-0.0013,1.5758,0.0967,-1.3027,0.198,-1.9692,0.5638,-0.0018,0.6917,0.1524,-0.1807,-0.1381,-0.0435,1.547,-0.4815,-0.295,-0.4659,-0.0934,-1.6184,-1.4718,-0.3445,1.0809,1.1228,-0.4779,0.0944,1.6914,-1.6194,0.0135,0.0057,-0.853,-1.1133,0.713,-0.1646,-0.3121,0.7933
-0.7524,0.9757,0.3288,1.0421,0.2901,-1.5366,-1.3441,0.4571,-0.2602,0.7074,-0.3042,-1.0084,1.171,-0.341,-0.2853,0.6586,-1.2839,1.4261,-0.7756,-1.0473,-0.8666,0.46,0.9697,-0.2155,0.2045,-0.2056,0.3278,-0.2913,-0.639,0.8183,-0.2785,0.2116,-0.5389,0.792,1.6738,0.3521,-2.2186,0.5527,-0.2596,1.6522,2.2505,0.0367,-0.0364,-0.4627,-1.0996,-1.1247,-0.9795,-0.4763,-0.5554,-0.4476,-1.6526,-1.2493,-0.5756,-0.7948,-0.55,1.5066,0.6766
0.3634,1.1697,-0.7824,0.6963,0.8139,-2.444,-0.0417,1.1282,-0.4482,1.2337,-0.4067,-0.9641,0.4572,1.258,-1.0765,-0.7362,0.6084,0.3051,0.4978,0.6431,-0.5742,-1.3907,-0.1543,0.1875,-1.9776,-1.009,-0.2542,0.5262,-0.7494,0.1006,-1.7284,0.3677,0.8149,-2.4513,0.0902,-0.7818,1.1555,-1.056,-0.3251,0.393,-0.6675,-0.5885,1.3669,-0.3947,-1.5164,1.0874,-0.3319,0.3402,-0.3972,0.7748,-0.5824,-0.7894,1.2267,0.9742,-0.6391,-0.2001,-1.3382
1.0033,-0.467,-0.6601,1.1359,0.5704,-0.3441,-0.1247,1.3703,-0.5399,-0.6264,-0.5802,-1.0562,1.333,0.0885,-0.0172,0.0704,-1.4033,0.9545,-0.0507,0.3531,0.256,0.5692,2.41,0.6028,0.444,0.3755,-2.1272,1.5659,0.6691,0.5883,1.0981,1.7623,-0.8235,-1.31,-0.8904,-0.0477,-0.1351,0.8254,-0.2115,-0.1519,-1.0724,-1.7511,-0.4351,-1.1324,1.8074,-0.265,0.0618,-0.6695,1.0832,-0.0357,0.9286,0.5847,0.7866,0.6091,0.2024,-0.2503,-0.5766
-0.0228,1.1106,-0.2765,-0.4973,-0.85,-1.0871,-2.1036,-1.0108,0.9969,1.4,-0.5046,0.5046,-0.5537,-0.2871,-2.7798,-0.2217,0.0242,-1.006,-0.1475,0.2325,0.5386,-1.2942,0.5582,0.687,0.8901,0.0232,0.5604,0.7565,-1.0141,0.2631,-0.3612,-0.431,2.1249,-0.3467,-0.9691,0.9216,0.7049,0.2554,-0.4479,-1.3757,1.0584,0.4853,0.4602,0.8899,0.333,0.1218,-0.5044,0.2104,-0.0885,0.6554,-0.4428,-1.2247,-0.8859,-0.6117,1.0368,1.0039,-0.3953
-0.9029,-0.5498,0.1861,-0.1757,0.9185,0.3487,0.8894,0.1254,-0.787,-0.2325,-0.4117,-1.0058,-0.9372,-1.1191,-1.8344,0.7468,-1.1264,-0.1885,1.015,-1.5737,-0.3669,-0.2892,-1.1654,-0.0216,1.4103,1.1645,0.9449,-0.0943,0.6778,-0.6397,-0.2986,0.6584,1.3649,-0.6607,0.6171,-0.1874,-0.6183,1.1139,0.7683,-1.1558,1.0464,-0.0018,-0.1779,0.3985,-1.0474,-1.2192,1.8794,0.8078,0.981,-1.7642,1.0679,0.4404,-0.0299,-2.9791,-0.9125,-0.2072,-0.3907
-1.2294,0.0049,-0.0325,-0.1562,0.4611,1.9305,1.2163,1.512,0.9079,-0.1501,2.0743,0.7548,1.2272,0.8306,-0.7578,-0.2374,-1.4028,-1.0985,0.9257,-0.6425,-0.1622,-0.6212,-0.019,-0.5925,1.258,-0.0449,-0.4904,-0.0403,2.2924,-0.63,0.5166,-1.6129,-0.8361,-2.3509,1.1529,-0.5629,0.1527,0.2348,1.0172,0.7738,0.0406,1.5078,0.1261,-0.209,1.432,-0.552,-1.1827,1.1229,0.6474,-0.9988,-0.7176,-1.8875,0.8767,-0.6225,0.7146,0.4756,-0.5497
0.4584,-1.3023,-0.7338,-0.0532,-0.6346,-0.1828,-0.7398,0.126,0.2511,-0.2501,-0.5699,1.3521,-1.0435,-1.5134,-1.2314,-0.5706,-1.6062,-1.3124,-0.9906,1.0036,-1.3885,-1.4189,0.0286,1.4442,-1.2088,0.4502,0.682,0.217,-1.1998,1.3042,1.1916,-0.4391,-1.0436,0.935,-2.4556,0.8982,-0.0785,0.9086,-1.5551,0.7523,0.6749,0.5519,-1.5725,0.3413,1.5749,3.0484,2.1343,-0.8739,0.8625,-1.7094,0.7766,-0.6753,-1.1653,-0.0903,0.1042,-0.0574,0.4318
-0.9015,1.7367,1.0969,-0.2743,0.4616,-0.3797,-1.0686,-0.4626,1.353,0.8426,-0.1473,0.6415,0.0817,0.3628,-0.5051,0.7858,-0.0462,-0.9238,-0.6464,-0.3926,1.2073,2.0233,-0.7808,0.732,0.191,-0.0368,-0.3253,-0.5151,-1.6732,0.5334,0.5589,2.1262,0.2931,2.2162,0.9628,-0.682,0.841,0.2181,-0.5891,1.2943,1.0311,0.7709,-0.0959,-0.0591,0.4018,-1.2042,0.9701,0.2774,-0.9972,-1.3122,0.8425,0.1727,0.166,-0.3005,1.9577,0.5855,0.8527
-0.6841,-0.3754,0.8712,-0.447,-0.2423,1.8161,0.2972,-1.3229,0.2636,-0.1752,-2.6511,0.9655,-0.706,-0.2321,-1.1118,-0.8336,1.1146,-0.5877,-0.6275,0.7186,-0.5916,1.7626,0.9631,0.4317,-1.1153,1.1049,1.0742,1.4602,0.6266,-1.8526,-0.0016,-0.8073,1.0603,-2.0247,-0.4816,0.2794,-0.2527,1.4194,1.7149,-0.0105,0.9532,-0.5754,-0.0486,-0.9742,-0.6695,-0.7325,0.2389,-0.6143,-0.2611,0.358,-0.5446,-1.2577,-0.7607,1.2893,0.6734,1.4025,-0.6687
-0.7433,0.7199,1.8356,-0.5071,0.5664,0.988,-0.2726,0.2852,-0.8892,-1.6011,-0.2394,1.5794,-1.001,0.0652,-2.4691,0.3033,0.3005,-0.3256,0.3428,-0.8892,1.2808,0.3838,1.5273,-0.1093,-0.3973,-0.3774,-0.3124,1.1612,0.7129,0.6004,0.4913,-0.9203,-1.0184,-0.4244,-0.4085,-0.2206,-1.4912,-0.995,1.1717,0.0249,-1.4888,-0.8438,-0.3189,0.1355,0.2742,-1.6235,-0.3324,0.1747,-1.0735,1.1059,-0.8119,0.154,0.1341,-0.5903,-0.6474,-0.2048,0.9469
1.4062,-1.4312,0.7245,0.2384,-1.7952,0.7341,0.402,-1.7533,0.3345,-1.0419,0.89,-0.6408,1.708,-0.5659,-0.3678,-0.8214,0.1171,0.1869,-0.0615,0.2176,1.286,-0.3074,0.2007,0.0538,0.3264,0.2855,1.2755,-2.0606,0.279,-0.2765,-0.9014,0.1699,-0.1039,-0.6489,1.6849,-0.5638,-0.0276,0.4757,-0.1506,-0.4245,0.053,-0.4476,1.3803,0.5358,-0.2476,-2.1835,-0.8137,1.9799,-1.0578,-1.0298,-0.808,-0.8824,-1.8454,0.5974,1.1559,0.0601,0.4074
2.0012,0.2236,1.1617,-0.762,-0.3911,-0.7458,-2.871,1.7676,0.2474,0.0485,2.3436,-0.4701,-1.465,-2.6212,0.515,1.604,0.7472,1.0655,-0.7421,0.2909,0.3849,1.444,-0.289,-0.7132,-0.0073,0.117,1.2028,0.305,0.7339,-0.2813,0.6523,1.4297,-0.1281,0.4284,1.6011,-0.0646,-1.0935,0.4537,0.1134,0.8871,-0.4783,1.2211,-0.2701,-0.1314,0.9874,1.9061,0.3937,-0.1793,-0.3078,-0.7105,-0.6023,-0.1369,0.3384,-1.1059,-0.6851,0.2876,-1.548
-1.5061,-0.2282,1.5951,0.7628,-1.4468,-0.7411,0.4379,0.563,-0.5106,-0.1615,-0.7999,-0.4899,0.9578,-0.7335,0.3636,0.0116,0.0795,-0.542,0.4074,0.822,0.3127,-1.3989,-1.3569,0.7579,1.6782,2.3688,-1.0483,0.5787,-0.2416,-0.3149,-1.7372,-0.7745,-0.0164,-1.4023,-0.3846,0.2383,-1.2232,-1.12,0.693,0.6421,0.1923,-0.2907,1.4555,-0.0775,0.8134,-0.8502,0.5876,-0.759,-0.5565,1.753,0.0671,0.9219,-0.301,-0.8746,0.0284,0.17,-0.8928
-0.3212,-0.6482,-1.8497,0.9604,-0.7643,-1.3918,1.186,0.8303,0.7971,1.2728,0.2898,0.0308,-1.6901,-0.4713,-1.2959,0.0516,-0.7336,-0.3571,-0.7598,0.2394,0.5083,-0.1197,-0.2252,1.5859,1.8545,0.464,1.813,-0.0493,0.0261,0.6644,-0.1274,-1.036,-1.7763,0.7757,-0.3702,-0.8149,-0.0836,0.3482,0.3502,0.4447,-0.5907,-1.2171,1.2894,0.2586,0.0735,0.8284,-0.0088,0.0564,-0.7858,1.1234,-1.0637,-0.8444,0.5517,2.0352,-1.5218,0.3703,0.55
